date,hit_count,text_count
2014-01-04,1,1
2014-01-08,1,1
2014-01-09,1,1
2014-01-13,1,1
2014-01-17,1,1
2014-01-18,2,1
2014-01-20,1,1
2014-01-21,1,1
2014-01-23,7,2
2014-01-24,1,1
2014-01-25,4,2
2014-02-01,6,2
2014-02-05,2,1
2014-02-06,4,2
2014-02-07,1,1
2014-02-08,1,1
2014-02-12,1,1
2014-03-05,1,1
2014-03-06,1,1
2014-03-10,1,1
2014-03-11,1,1
2014-03-20,2,2
2014-03-21,1,1
2014-03-22,2,1
2014-03-24,1,1
2014-03-28,1,1
2014-03-31,6,4
2014-04-01,8,4
2014-04-03,1,1
2014-04-05,1,1
2014-04-07,2,1
2014-04-08,1,1
2014-04-09,3,2
2014-04-10,2,2
2014-04-11,1,1
2014-04-12,5,2
2014-04-14,1,1
2014-04-22,1,1
2014-04-23,2,1
2014-04-24,1,1
2014-05-03,1,1
2014-05-08,1,1
2014-05-09,2,1
2014-05-10,1,1
2014-05-12,1,1
2014-05-14,1,1
2014-05-16,1,1
2014-05-17,2,1
2014-05-19,1,1
2014-05-22,1,1
2014-05-23,4,3
2014-05-24,2,2
2014-05-28,2,2
2014-05-31,2,2
2014-06-03,1,1
2014-06-05,3,1
2014-06-07,1,1
2014-06-13,3,1
2014-06-16,4,2
2014-06-18,1,1
2014-06-21,2,2
2014-07-07,3,1
2014-07-08,2,2
2014-07-09,3,2
2014-07-10,1,1
2014-07-16,2,1
2014-07-18,3,1
2014-07-19,2,2
2014-07-23,2,2
2014-07-25,1,1
2014-07-26,1,1
2014-07-28,3,1
2014-07-29,2,2
2014-08-02,1,1
2014-08-06,1,1
2014-08-08,1,1
2014-08-09,1,1
2014-08-14,1,1
2014-08-16,2,2
2014-08-18,3,1
2014-08-19,2,1
2014-08-20,4,2
2014-08-22,2,1
2014-08-25,3,2
2014-08-27,2,2
2014-08-29,1,1
2014-09-01,1,1
2014-09-02,1,1
2014-09-04,1,1
2014-09-05,1,1
2014-09-10,2,2
2014-09-12,1,1
2014-09-13,1,1
2014-09-17,1,1
2014-09-19,2,2
2014-09-22,2,1
2014-09-23,8,3
2014-09-24,1,1
2014-09-25,7,2
2014-10-04,4,1
2014-10-08,1,1
2014-10-10,3,1
2014-10-15,3,1
2014-10-17,1,1
2014-10-20,1,1
2014-10-22,1,1
2014-10-27,2,2
2014-10-28,1,1
2014-10-29,6,2
2014-11-01,1,1
2014-11-03,6,1
2014-11-08,2,2
2014-11-11,2,2
2014-11-12,3,1
2014-11-13,4,3
2014-11-15,1,1
2014-11-17,1,1
2014-11-20,1,1
2014-11-21,3,2
2014-11-22,1,1
2014-11-24,6,2
2014-11-25,1,1
2014-11-27,2,1
2014-11-28,1,1
2014-11-29,1,1
2014-12-03,3,1
2014-12-04,1,1
2014-12-06,1,1
2014-12-09,1,1
2014-12-10,6,2
2014-12-13,3,1
2014-12-19,5,2
2014-12-22,1,1
2014-12-29,1,1
2014-12-31,1,1
