date,hit_count,text_count
2009-01-28,1,1
2009-01-30,1,1
2009-02-19,1,1
2009-02-23,1,1
2009-02-26,1,1
2009-03-07,1,1
2009-03-09,1,1
2009-03-10,1,1
2009-03-17,2,2
2009-03-23,1,1
2009-03-30,1,1
2009-04-02,2,2
2009-04-06,2,2
2009-04-17,1,1
2009-04-22,3,3
2009-04-27,1,1
2009-05-05,1,1
2009-05-25,1,1
2009-05-27,1,1
2009-05-28,1,1
2009-05-29,1,1
2009-06-02,2,2
2009-06-09,1,1
2009-06-25,1,1
2009-06-27,2,2
2009-06-29,1,1
2009-07-07,1,1
2009-07-10,1,1
2009-07-11,1,1
2009-07-13,2,2
2009-07-14,2,2
2009-07-17,2,2
2009-08-20,1,1
2009-08-24,1,1
2009-09-19,1,1
2009-09-22,1,1
2009-09-24,1,1
2009-09-30,1,1
2009-10-05,1,1
2009-10-19,1,1
2009-10-24,1,1
2009-10-26,1,1
2009-10-27,1,1
2009-10-30,1,1
2009-11-04,1,1
2009-11-07,1,1
2009-11-16,1,1
2009-11-17,1,1
2009-11-18,1,1
2009-12-03,1,1
2009-12-04,1,1
2009-12-05,1,1
2009-12-07,1,1
2009-12-08,2,2
2009-12-12,3,3
2009-12-14,2,2
2009-12-18,1,1
2009-12-21,2,2
2009-12-22,1,1
2009-12-23,1,1
2009-12-29,1,1
2010-01-02,1,1
2010-01-11,1,1
2010-01-13,2,2
2010-01-15,1,1
2010-01-16,1,1
2010-01-20,1,1
2010-01-22,1,1
2010-01-23,1,1
2010-02-05,1,1
2010-02-06,1,1
2010-02-18,1,1
2010-02-19,1,1
2010-02-23,1,1
2010-02-25,1,1
2010-03-08,2,2
2010-03-13,1,1
2010-03-23,1,1
2010-04-12,1,1
2010-04-13,1,1
2010-04-21,1,1
2010-04-22,1,1
2010-04-28,1,1
2010-05-05,1,1
2010-05-18,1,1
2010-05-20,1,1
2010-05-27,1,1
2010-06-01,1,1
2010-06-08,2,2
2010-06-09,1,1
2010-06-11,1,1
2010-06-16,1,1
2010-07-15,1,1
2010-07-16,2,2
2010-07-17,1,1
2010-07-23,1,1
2010-07-27,1,1
2010-08-13,1,1
2010-08-31,1,1
2010-09-01,1,1
2010-09-04,1,1
2010-09-06,2,2
2010-09-07,1,1
2010-09-25,1,1
2010-09-27,1,1
2010-10-12,1,1
2010-11-02,1,1
2010-11-08,1,1
2010-11-12,1,1
2010-11-18,1,1
2010-11-23,1,1
2010-12-08,1,1
2010-12-10,1,1
2010-12-13,2,2
2010-12-22,1,1
2010-12-30,1,1
2011-01-07,1,1
2011-01-27,1,1
2011-02-05,1,1
2011-02-22,1,1
2011-02-24,1,1
2011-03-16,1,1
2011-03-28,1,1
2011-04-01,1,1
2011-04-02,2,2
2011-04-07,1,1
