date,hit_count,text_count
2014-01-10,1,1
2014-01-16,2,2
2014-01-23,2,2
2014-02-06,1,1
2014-04-10,1,1
2014-06-04,1,1
2014-06-30,1,1
2014-07-02,1,1
2014-07-10,2,2
2014-07-26,1,1
2014-08-23,1,1
2014-09-17,1,1
2014-09-23,1,1
2014-09-24,2,2
2014-09-25,1,1
2014-10-14,1,1
2014-10-23,1,1
2014-10-24,1,1
2014-11-03,1,1
2014-11-10,1,1
2014-11-13,1,1
2014-11-24,1,1
2014-12-02,1,1
2014-12-03,1,1
2014-12-13,1,1
2015-02-16,1,1
2015-03-10,1,1
2015-04-16,1,1
2015-05-05,1,1
2015-07-04,2,2
2015-08-08,1,1
2015-09-30,1,1
2015-10-24,1,1
2015-10-26,1,1
2015-11-14,1,1
2015-11-25,1,1
2015-12-01,1,1
2015-12-07,1,1
2015-12-14,2,2
2015-12-15,1,1
2015-12-16,1,1
2016-01-15,1,1
2016-01-20,1,1
2016-02-11,1,1
2016-02-13,1,1
2016-02-19,1,1
2016-03-01,1,1
2016-03-04,1,1
2016-04-23,1,1
2016-06-02,1,1
2016-06-10,1,1
2016-08-20,1,1
2016-08-25,1,1
2016-09-05,2,2
2016-11-08,1,1
2016-11-09,1,1
2016-11-11,1,1
2016-11-17,1,1
2017-02-10,1,1
2017-02-23,1,1
2017-03-14,1,1
2017-03-30,1,1
2017-05-23,1,1
2017-06-01,1,1
2017-06-14,1,1
2017-07-03,1,1
2017-07-06,1,1
2017-07-11,1,1
2017-08-04,1,1
2017-09-08,1,1
2017-10-27,1,1
2017-10-30,1,1
2017-11-07,1,1
2017-11-10,1,1
2017-11-14,1,1
2017-11-15,1,1
2017-11-17,1,1
2017-11-22,1,1
2017-12-08,1,1
2017-12-21,1,1
2018-01-20,1,1
2018-01-26,1,1
2018-02-02,1,1
2018-02-10,1,1
2018-03-14,1,1
2018-03-24,1,1
2018-03-29,1,1
2018-04-13,1,1
2018-04-14,2,2
2018-04-18,1,1
2018-04-19,1,1
2018-05-23,1,1
2018-06-19,2,2
2018-06-21,1,1
2018-08-09,1,1
2018-08-16,1,1
2018-08-17,1,1
2018-08-23,1,1
2018-09-08,1,1
2018-09-17,1,1
2018-10-08,1,1
2018-10-09,2,2
2018-10-17,1,1
2018-10-22,1,1
2018-10-24,1,1
2018-11-28,1,1
2018-11-29,1,1
2018-12-03,1,1
2018-12-07,1,1
2018-12-12,2,2
2018-12-13,1,1
2018-12-14,1,1
2018-12-17,1,1
2018-12-18,1,1
2018-12-19,1,1
2019-01-08,1,1
2019-01-14,1,1
2019-01-17,1,1
2019-01-19,1,1
2019-01-23,2,2
2019-01-24,1,1
2019-01-28,4,4
2019-01-31,1,1
2019-02-07,1,1
2019-02-09,1,1
2019-02-12,1,1
2019-02-22,1,1
2019-02-23,1,1
2019-03-02,1,1
2019-03-04,1,1
2019-03-06,1,1
2019-03-09,1,1
2019-03-15,1,1
2019-04-02,1,1
