date,hit_count,text_count
2014-01-16,2,2
2014-04-08,1,1
2014-07-17,1,1
2014-09-18,2,2
2014-10-23,1,1
2014-11-03,1,1
2014-12-04,1,1
2015-02-12,1,1
2015-03-12,1,1
2015-04-10,1,1
2015-05-23,1,1
2015-06-05,1,1
2015-08-04,1,1
2015-08-05,1,1
2015-08-24,1,1
2015-09-16,1,1
2015-09-19,1,1
2015-09-28,1,1
2015-10-10,1,1
2015-10-24,1,1
2015-11-03,1,1
2015-11-25,1,1
2015-11-28,1,1
2015-12-14,1,1
2016-02-24,1,1
2016-05-04,1,1
2016-08-20,1,1
2016-09-05,1,1
2016-11-18,1,1
2016-12-17,1,1
2017-02-16,1,1
2017-03-14,1,1
2017-06-09,1,1
2017-06-30,1,1
2017-07-14,1,1
2017-09-06,1,1
2017-09-19,1,1
2017-11-22,1,1
2018-04-13,1,1
2018-06-21,1,1
2018-09-12,1,1
2018-09-13,1,1
2018-09-15,1,1
2018-10-09,1,1
2018-11-09,1,1
2018-11-30,1,1
2018-12-07,1,1
2018-12-14,1,1
2018-12-18,1,1
2019-01-19,1,1
2019-01-22,1,1
2019-01-26,1,1
2019-02-14,1,1
2019-02-22,1,1
2019-03-02,1,1
2019-03-06,1,1
2019-03-27,1,1
2019-04-02,1,1
2019-04-09,1,1
2019-04-13,1,1
2019-04-15,1,1
2019-04-29,1,1
2019-05-04,1,1
2019-05-23,1,1
2019-06-17,1,1
2019-06-18,1,1
2019-07-08,1,1
2019-07-27,1,1
2019-07-29,1,1
2019-08-08,1,1
2019-08-09,1,1
2019-08-26,1,1
2019-08-28,1,1
2019-09-16,1,1
2019-09-19,1,1
2019-09-23,1,1
2019-10-05,2,2
2019-10-07,1,1
2019-10-08,1,1
2019-10-14,1,1
2019-10-19,1,1
2019-11-22,1,1
2019-11-28,1,1
2019-12-10,1,1
2019-12-27,1,1
2020-01-08,1,1
2020-01-09,1,1
2020-02-03,1,1
2020-02-15,2,2
2020-02-28,1,1
2020-03-03,1,1
2020-04-11,1,1
2020-05-11,1,1
2020-06-06,1,1
2020-06-10,1,1
2020-06-17,1,1
2020-08-07,1,1
2020-08-29,1,1
2020-09-03,1,1
2020-09-12,1,1
2020-09-14,1,1
2020-09-30,1,1
2020-11-05,1,1
2020-11-11,1,1
2020-11-28,1,1
2021-01-14,2,2
2021-01-28,1,1
2021-02-04,1,1
2021-02-27,1,1
2021-03-02,1,1
2021-03-11,1,1
2021-03-18,1,1
2021-03-20,2,2
2021-03-26,1,1
2021-04-15,1,1
2021-04-28,1,1
2021-04-30,1,1
2021-05-10,1,1
2021-05-27,1,1
2021-05-28,1,1
2021-05-29,2,2
2021-06-11,1,1
2021-06-12,1,1
2021-06-23,1,1
2021-06-30,3,3
2021-07-14,1,1
2021-07-17,1,1
2021-07-30,1,1
2021-07-31,2,2
2021-08-06,1,1
2021-08-13,1,1
2021-08-17,1,1
2021-08-23,1,1
2021-08-28,5,5
2021-09-02,1,1
2021-09-04,6,6
2021-09-07,1,1
2021-09-08,1,1
2021-09-18,1,1
2021-09-28,1,1
2021-10-01,1,1
2021-10-02,1,1
2021-10-15,1,1
2021-10-16,2,2
2021-10-21,2,2
2021-11-08,1,1
2021-11-25,1,1
2021-11-26,1,1
2021-11-30,1,1
2021-12-04,1,1
2021-12-15,1,1
2022-01-14,1,1
2022-01-18,1,1
2022-01-21,1,1
2022-01-28,1,1
2022-02-09,1,1
2022-02-12,1,1
2022-02-17,1,1
2022-03-03,1,1
2022-03-22,1,1
2022-03-23,2,2
2022-03-24,1,1
2022-03-25,1,1
2022-04-01,2,2
2022-04-05,1,1
2022-04-06,1,1
2022-04-12,2,2
2022-05-04,1,1
2022-05-06,1,1
2022-05-11,1,1
2022-05-18,1,1
2022-05-27,1,1
2022-05-28,1,1
2022-05-30,1,1
2022-06-21,1,1
2022-06-27,1,1
2022-06-28,1,1
2022-07-11,1,1
2022-07-15,1,1
2022-07-18,1,1
2022-07-20,1,1
2022-07-23,1,1
2022-07-29,1,1
2022-08-09,1,1
2022-08-13,1,1
2022-08-19,1,1
2022-08-20,1,1
2022-08-30,1,1
2022-08-31,1,1
2022-09-05,1,1
2022-09-06,1,1
2022-09-17,1,1
2022-09-22,1,1
2022-09-27,2,2
2022-10-11,1,1
2022-10-15,1,1
2022-10-24,1,1
2022-10-28,1,1
2022-10-29,1,1
2022-11-05,3,3
2022-11-08,2,2
2022-11-11,1,1
2022-11-15,1,1
2022-11-23,1,1
2022-11-26,1,1
2022-12-05,1,1
2022-12-09,1,1
2022-12-12,1,1
2022-12-15,1,1
2022-12-16,1,1
2022-12-17,1,1
2022-12-22,1,1
2022-12-30,1,1
