date,hit_count,text_count
2002-08-16,1,1
2003-08-07,1,1
2003-08-14,1,1
2003-09-29,1,1
2004-05-27,5,5
2004-11-29,1,1
2005-02-12,2,2
2006-10-11,1,1
2006-10-12,2,2
2006-10-15,3,3
2006-10-22,1,1
2006-11-10,1,1
2006-11-14,1,1
2006-11-16,1,1
2006-12-05,1,1
2007-01-26,1,1
2007-01-27,1,1
2007-01-31,1,1
2007-02-21,1,1
2007-03-08,1,1
2007-03-09,2,2
2007-03-10,1,1
2007-03-11,1,1
2007-03-17,1,1
2007-04-05,1,1
2007-04-07,1,1
2007-05-03,1,1
2007-05-05,1,1
2007-06-04,1,1
2007-07-05,1,1
2007-12-03,1,1
2007-12-14,1,1
2007-12-20,1,1
2008-01-26,1,1
2008-02-14,1,1
2008-02-17,1,1
2008-03-13,1,1
2008-04-25,2,2
2008-04-26,1,1
2008-04-27,1,1
2008-09-09,1,1
2008-11-11,1,1
2008-12-12,1,1
2009-06-23,1,1
2009-08-11,1,1
2009-10-07,1,1
2009-10-13,1,1
2009-10-16,1,1
2009-10-25,1,1
2009-12-02,1,1
2009-12-16,1,1
2010-02-24,1,1
2010-02-26,1,1
2010-05-11,1,1
2010-06-13,1,1
2010-07-16,1,1
2010-07-25,1,1
2010-11-03,1,1
2010-11-04,2,2
2010-11-05,1,1
2010-11-07,1,1
2011-03-20,1,1
2011-06-10,1,1
2011-07-20,1,1
2011-11-29,1,1
2011-12-01,1,1
2012-04-18,1,1
2012-05-19,1,1
2012-10-24,1,1
2012-12-29,1,1
2013-04-30,1,1
2013-05-22,1,1
2013-11-16,1,1
2013-11-23,1,1
2014-01-11,1,1
2014-10-29,1,1
2014-11-07,1,1
2015-03-28,1,1
2015-04-09,1,1
2015-04-14,1,1
2015-06-01,1,1
2015-10-20,1,1
2015-10-27,1,1
2015-12-01,1,1
2016-01-28,1,1
2016-03-01,1,1
2016-12-15,1,1
2017-06-07,1,1
2017-06-09,1,1
2017-08-09,1,1
2017-08-14,1,1
2017-08-20,1,1
2017-09-13,1,1
2017-10-13,1,1
2017-11-16,1,1
2018-04-23,1,1
2018-06-21,1,1
2018-09-05,1,1
2018-10-19,1,1
2018-11-29,1,1
2018-11-30,1,1
2018-12-05,1,1
2018-12-06,1,1
2018-12-07,2,2
2019-02-05,1,1
2019-03-19,1,1
2019-03-21,1,1
2019-03-23,1,1
2019-03-30,3,3
2019-04-04,1,1
2019-04-07,2,2
2019-04-19,1,1
2019-04-30,1,1
2019-05-08,1,1
2019-05-09,1,1
2019-05-12,1,1
2019-05-17,1,1
2019-05-22,1,1
2019-05-23,2,2
2019-05-24,1,1
2019-05-25,2,2
2019-05-29,4,4
2019-06-02,1,1
2019-06-05,1,1
2019-06-06,1,1
2019-06-13,2,2
2019-06-15,1,1
2019-06-16,1,1
2019-06-23,1,1
2019-06-26,1,1
2019-06-27,3,3
2019-06-28,2,2
2019-06-29,2,2
2019-06-30,1,1
2019-07-02,1,1
2019-07-03,2,2
2019-07-05,5,5
2019-07-06,1,1
2019-07-07,1,1
2019-07-10,1,1
2019-07-13,1,1
2019-07-14,2,2
2019-07-17,1,1
2019-07-18,1,1
2019-07-21,3,3
2019-07-23,1,1
2019-07-28,1,1
2019-08-04,1,1
2019-08-06,1,1
2019-08-07,1,1
2019-08-14,2,2
2019-08-16,3,3
2019-08-17,1,1
2019-08-20,1,1
2019-08-21,1,1
2019-08-23,1,1
2019-08-28,2,2
2019-09-01,1,1
2019-09-02,1,1
2019-09-04,1,1
2019-09-05,2,2
2019-09-07,3,3
2019-09-08,2,2
2019-09-10,2,2
2019-09-11,1,1
2019-09-12,1,1
2019-09-15,1,1
