date,hit_count,text_count
2003-10-18,1,1
2004-08-14,1,1
2004-11-06,1,1
2005-08-05,1,1
2005-11-29,1,1
2006-01-29,1,1
2006-07-02,1,1
2007-01-02,1,1
2007-03-09,1,1
2007-03-10,1,1
2007-04-17,1,1
2007-04-26,1,1
2007-06-04,1,1
2007-06-09,1,1
2007-07-11,1,1
2007-09-06,1,1
2007-09-23,1,1
2007-09-25,1,1
2007-11-21,2,2
2008-01-16,2,2
2008-02-09,1,1
2008-02-15,1,1
2008-02-19,2,2
2008-03-01,1,1
2008-03-15,1,1
2008-04-15,2,2
2008-04-17,1,1
2008-04-19,1,1
2008-04-23,1,1
2008-04-25,1,1
2008-06-03,1,1
2008-06-18,1,1
2008-07-08,1,1
2008-07-10,1,1
2008-07-11,1,1
2008-07-17,1,1
2008-07-30,1,1
2008-09-21,1,1
2008-10-15,1,1
2008-10-16,1,1
2008-11-19,1,1
2008-11-29,1,1
2008-12-03,1,1
2008-12-09,3,3
2008-12-13,1,1
2008-12-14,1,1
2009-01-22,1,1
2009-06-17,1,1
2009-06-28,1,1
2009-06-30,1,1
2009-07-09,2,2
2009-07-16,2,2
2009-07-17,1,1
2009-07-18,1,1
2009-09-20,1,1
2009-10-28,4,4
2009-11-02,1,1
2009-11-23,2,2
2009-11-25,1,1
2009-12-01,2,2
2009-12-02,1,1
2009-12-03,1,1
2009-12-04,1,1
2009-12-07,2,2
2009-12-08,1,1
2009-12-19,1,1
2009-12-20,1,1
2009-12-23,1,1
2010-01-10,1,1
2010-01-14,1,1
2010-02-24,1,1
2010-05-06,1,1
2010-05-18,1,1
2010-05-21,1,1
2010-06-19,2,2
2010-06-24,2,2
2010-07-01,1,1
2010-07-08,1,1
2010-07-30,1,1
2010-08-04,1,1
2010-09-23,1,1
2010-10-29,1,1
2010-11-02,1,1
2010-11-05,1,1
2010-11-23,1,1
2010-11-26,2,2
2010-11-28,1,1
2010-11-29,1,1
2010-12-08,1,1
2011-02-25,1,1
2011-05-17,1,1
2011-06-16,1,1
2011-07-12,1,1
2011-10-18,2,2
2011-10-21,1,1
2011-10-23,1,1
2011-11-15,1,1
2011-11-27,1,1
2011-12-09,1,1
2011-12-12,1,1
2011-12-14,1,1
2011-12-15,1,1
2011-12-18,1,1
2012-01-23,2,2
2012-02-15,1,1
2012-02-22,1,1
2012-02-29,1,1
2012-04-25,2,2
2012-05-16,1,1
2012-05-17,2,2
2012-06-07,1,1
2012-07-13,1,1
2012-07-18,1,1
2012-09-18,1,1
2012-09-20,1,1
2012-11-10,1,1
2012-11-26,1,1
2013-01-03,1,1
2013-02-27,1,1
2013-06-28,1,1
2013-09-14,1,1
2013-09-19,2,2
2013-11-01,1,1
2013-12-01,1,1
2014-01-04,1,1
2014-01-09,1,1
2014-01-16,3,3
2014-01-17,1,1
2014-01-23,1,1
2014-02-01,1,1
2014-02-14,1,1
2014-03-22,2,2
2014-03-29,1,1
2014-04-01,1,1
2014-04-05,1,1
2014-04-09,2,2
2014-04-26,1,1
2014-05-10,1,1
2014-08-14,1,1
2014-08-23,1,1
2014-08-24,1,1
2014-09-18,1,1
2014-09-24,1,1
2014-10-11,1,1
2014-10-19,1,1
2014-10-24,1,1
2014-10-25,1,1
2014-11-06,1,1
2014-11-07,1,1
2014-11-16,1,1
2014-11-17,1,1
2014-12-02,1,1
2015-01-04,1,1
2015-02-19,1,1
2015-03-01,1,1
2015-03-18,1,1
2015-04-04,1,1
2015-07-22,1,1
2015-08-04,1,1
2015-10-15,1,1
2015-10-21,1,1
2015-11-18,1,1
2015-11-23,1,1
2015-11-28,1,1
2015-11-29,1,1
2015-11-30,1,1
2015-12-01,1,1
2015-12-09,1,1
2015-12-13,1,1
2015-12-14,1,1
2015-12-15,1,1
2016-01-19,1,1
2016-01-29,1,1
2016-02-01,1,1
2016-02-11,1,1
2016-03-02,1,1
2016-03-04,1,1
2016-03-22,1,1
2016-04-19,1,1
2016-04-24,1,1
2016-07-18,1,1
2016-07-22,1,1
2016-08-29,1,1
2016-09-04,1,1
2016-09-18,1,1
2016-09-21,1,1
2016-09-25,2,2
2016-09-29,2,2
2016-10-02,1,1
2016-10-04,1,1
2016-10-05,1,1
2016-10-08,2,2
2016-10-15,1,1
2016-10-23,1,1
2016-10-26,1,1
2016-11-06,1,1
2016-11-07,1,1
2016-11-25,1,1
2016-12-29,1,1
2017-02-11,1,1
2017-02-15,1,1
2017-03-04,1,1
2017-03-24,1,1
2017-04-01,1,1
2017-04-05,2,2
2017-04-11,1,1
2017-04-12,1,1
2017-05-10,1,1
2017-06-02,2,2
2017-06-04,1,1
2017-06-07,1,1
2017-06-09,1,1
2017-06-20,1,1
2017-06-21,1,1
2017-06-25,1,1
2017-06-28,1,1
2017-07-19,1,1
2017-08-14,1,1
2017-08-20,2,2
2017-09-11,1,1
2017-10-20,2,2
2017-10-25,1,1
2017-11-05,1,1
2017-11-08,1,1
2017-11-18,1,1
2017-11-19,1,1
2017-11-25,1,1
2017-12-28,2,2
2018-01-19,1,1
2018-01-27,1,1
2018-02-11,1,1
2018-03-17,1,1
2018-03-18,1,1
2018-04-03,1,1
2018-04-04,1,1
2018-04-07,1,1
2018-05-15,1,1
2018-05-17,1,1
2018-05-29,1,1
2018-06-07,1,1
2018-06-19,1,1
2018-07-14,1,1
2018-07-22,2,2
2018-07-29,1,1
2018-07-31,1,1
2018-08-09,1,1
2018-09-01,1,1
2018-09-19,2,2
2018-10-02,2,2
2018-10-07,1,1
2018-10-12,1,1
2018-10-15,1,1
2018-10-31,2,2
2018-11-21,2,2
2018-11-23,1,1
2018-11-27,1,1
2018-11-29,2,2
2018-11-30,1,1
2018-12-03,1,1
2018-12-04,2,2
2018-12-17,2,2
2019-01-12,1,1
2019-01-19,1,1
2019-01-27,1,1
2019-01-31,1,1
2019-02-17,1,1
2019-02-22,1,1
2019-02-23,1,1
2019-02-26,1,1
2019-03-02,1,1
2019-03-17,1,1
2019-03-19,1,1
2019-03-21,2,2
2019-03-24,1,1
2019-03-30,1,1
2019-04-10,1,1
2019-04-12,3,3
2019-04-13,3,3
2019-04-16,1,1
2019-04-17,1,1
2019-04-21,1,1
2019-04-23,1,1
2019-05-01,1,1
2019-05-02,1,1
2019-05-03,1,1
2019-05-05,1,1
2019-05-06,1,1
2019-05-09,1,1
2019-05-10,2,2
2019-05-12,1,1
2019-05-22,1,1
2019-05-28,1,1
2019-06-03,2,2
2019-06-06,2,2
2019-06-07,3,3
2019-06-08,1,1
2019-06-09,1,1
2019-06-16,1,1
2019-06-21,1,1
2019-06-24,2,2
2019-06-29,2,2
2019-06-30,1,1
2019-07-02,1,1
2019-07-03,1,1
2019-07-05,2,2
2019-07-13,1,1
2019-07-16,1,1
2019-07-17,2,2
2019-07-18,1,1
2019-07-21,1,1
2019-07-24,1,1
2019-07-28,1,1
2019-08-04,1,1
2019-08-09,1,1
2019-08-11,1,1
2019-08-12,1,1
2019-08-13,1,1
2019-08-17,1,1
2019-08-19,1,1
2019-08-26,1,1
2019-08-28,1,1
2019-08-30,1,1
2019-09-05,1,1
2019-09-08,1,1
2019-09-11,1,1
2019-09-12,1,1
2019-09-20,1,1
2019-09-21,2,2
2019-09-26,4,4
2019-09-27,1,1
2019-09-28,2,2
2019-10-05,1,1
2019-10-06,1,1
2019-10-11,1,1
2019-10-14,1,1
2019-10-18,1,1
2019-10-20,1,1
2019-10-24,1,1
2019-10-31,1,1
2019-11-02,1,1
2019-11-04,1,1
2019-11-05,1,1
2019-11-06,1,1
2019-11-07,3,3
2019-11-08,1,1
2019-11-09,2,2
2019-11-13,1,1
2019-11-17,1,1
2019-11-19,1,1
2019-11-22,1,1
2019-11-29,1,1
2019-11-30,2,2
2019-12-02,1,1
2019-12-03,3,3
2019-12-04,1,1
2019-12-07,1,1
2019-12-08,2,2
2019-12-11,2,2
2019-12-12,1,1
2019-12-13,3,3
2019-12-14,1,1
2019-12-17,3,3
2019-12-18,1,1
2019-12-19,1,1
2019-12-21,1,1
2019-12-29,1,1
2020-01-03,2,2
2020-01-04,2,2
2020-01-05,2,2
2020-01-09,1,1
2020-01-10,1,1
2020-01-11,2,2
2020-01-13,2,2
2020-01-14,1,1
2020-01-15,1,1
2020-01-16,3,3
2020-01-17,4,4
2020-01-18,1,1
2020-01-19,1,1
2020-01-21,1,1
2020-01-22,1,1
2020-01-23,1,1
2020-01-24,3,3
2020-01-25,1,1
2020-01-29,1,1
2020-01-30,1,1
2020-02-03,1,1
2020-02-04,3,3
2020-02-07,1,1
2020-02-09,1,1
2020-02-13,4,4
2020-02-14,1,1
2020-02-17,2,2
2020-02-20,1,1
2020-02-26,1,1
2020-02-28,1,1
