date,hit_count,text_count
2002-09-15,1,1
2003-03-14,1,1
2003-03-19,1,1
2004-06-04,1,1
2004-10-22,1,1
2004-10-29,1,1
2004-11-18,1,1
2004-11-23,2,2
2004-11-27,1,1
2004-12-16,1,1
2005-02-11,1,1
2005-02-17,1,1
2005-03-02,1,1
2005-03-10,1,1
2005-08-05,1,1
2005-12-03,1,1
2006-02-10,1,1
2006-02-16,1,1
2006-02-25,1,1
2006-03-04,1,1
2006-03-10,1,1
2006-06-25,1,1
2006-07-17,1,1
2006-10-25,1,1
2006-11-03,1,1
2006-12-11,2,2
2007-01-25,1,1
2007-02-10,1,1
2007-02-12,3,3
2007-02-14,1,1
2007-02-16,1,1
2007-02-20,2,2
2007-02-27,1,1
2007-02-28,1,1
2007-03-05,2,2
2007-03-07,1,1
2007-03-10,2,2
2007-03-13,2,2
2007-03-20,1,1
2007-03-23,2,2
2007-04-16,1,1
2007-04-22,2,2
2007-04-30,3,3
2007-05-10,1,1
2007-05-17,2,2
2007-05-26,1,1
2007-05-30,1,1
2007-06-04,1,1
2007-06-06,3,3
2007-06-07,1,1
2007-06-12,1,1
2007-06-21,1,1
2007-06-23,4,4
2007-08-07,1,1
2007-08-10,1,1
2007-08-14,1,1
2007-08-25,1,1
2007-08-29,2,2
2007-08-31,1,1
2007-09-06,1,1
2007-09-10,1,1
2007-09-14,1,1
2007-09-20,1,1
2007-09-22,2,2
2007-09-25,3,3
2007-09-27,1,1
2007-10-12,1,1
2007-10-20,2,2
2007-11-18,1,1
2007-11-26,1,1
2008-01-12,1,1
2008-01-19,1,1
2008-01-23,3,3
2008-01-24,2,2
2008-01-30,2,2
2008-02-01,1,1
2008-02-15,1,1
2008-02-18,1,1
2008-03-13,1,1
2008-03-14,2,2
2008-03-22,2,2
2008-03-30,2,2
2008-04-04,1,1
2008-04-23,1,1
2008-05-01,1,1
2008-05-07,3,3
2008-05-27,1,1
2008-06-06,2,2
2008-06-09,1,1
2008-06-19,2,2
2008-06-24,1,1
2008-07-10,1,1
2008-09-01,1,1
2008-09-20,7,7
2008-09-22,1,1
2008-09-23,2,2
2008-10-16,1,1
2008-10-28,2,2
2008-10-31,2,2
2008-11-04,1,1
2008-11-09,1,1
2008-11-21,1,1
2008-12-01,3,3
2008-12-12,2,2
2008-12-24,1,1
2009-01-29,1,1
2009-03-06,2,2
2009-04-09,2,2
2009-04-17,1,1
2009-04-18,1,1
2009-06-10,1,1
2009-06-17,1,1
2009-06-18,1,1
2009-06-25,1,1
2009-07-14,1,1
2009-07-30,2,2
2009-08-06,1,1
2009-08-28,1,1
2009-09-23,1,1
2009-10-02,1,1
2009-10-12,2,2
2009-10-19,1,1
2009-11-16,1,1
2009-12-02,3,3
2009-12-04,1,1
2009-12-18,1,1
2009-12-19,1,1
2010-02-18,1,1
2010-02-26,1,1
2010-03-01,1,1
2010-03-08,1,1
2010-03-15,1,1
2010-04-08,1,1
2010-04-17,1,1
2010-05-06,1,1
2010-06-06,2,2
2010-06-08,1,1
2010-07-01,1,1
2010-09-15,1,1
2010-09-21,1,1
2010-10-14,1,1
2010-11-25,1,1
2010-11-29,1,1
2010-12-02,1,1
2010-12-06,1,1
2011-01-20,1,1
2011-02-23,1,1
2011-02-26,1,1
2011-03-09,2,2
2011-04-13,1,1
2011-05-20,1,1
2011-06-16,1,1
2011-06-26,1,1
2011-07-09,2,2
2011-07-29,1,1
2011-07-31,1,1
2011-08-05,1,1
2011-09-29,1,1
2011-10-15,2,2
2011-10-21,1,1
2011-11-09,2,2
2011-11-23,2,2
2011-12-13,1,1
2011-12-16,1,1
2012-01-23,4,4
2012-02-13,1,1
2012-02-19,1,1
2012-03-31,1,1
2012-04-29,2,2
2012-05-10,1,1
2012-06-14,1,1
2012-06-17,2,2
2012-06-21,1,1
2012-08-26,1,1
2012-09-04,1,1
2012-09-27,1,1
2012-10-05,1,1
2012-10-20,1,1
2012-11-20,2,2
2012-11-22,1,1
2012-12-29,1,1
2013-02-01,4,4
2013-03-02,2,2
2013-03-10,1,1
2013-03-23,1,1
2013-04-23,1,1
2013-04-26,1,1
2013-06-08,1,1
2013-06-16,1,1
2013-09-15,3,3
2013-10-05,1,1
2013-10-07,1,1
2013-10-18,1,1
2013-11-02,1,1
2013-11-14,1,1
2013-12-03,1,1
2014-01-16,1,1
2014-03-12,1,1
2014-04-07,1,1
2014-04-10,2,2
2014-07-24,1,1
2014-09-18,1,1
2014-09-24,1,1
2014-09-25,1,1
2014-10-06,1,1
2014-11-14,1,1
2014-11-28,2,2
2015-02-12,1,1
2015-02-26,1,1
2015-03-26,1,1
2015-04-10,2,2
2015-07-03,1,1
2015-09-04,3,3
2015-09-26,2,2
2015-09-28,1,1
2015-09-29,1,1
2015-10-10,1,1
2015-10-29,1,1
2015-11-05,1,1
2015-11-30,1,1
2015-12-04,2,2
2015-12-07,1,1
2015-12-08,1,1
2015-12-11,4,4
2015-12-20,1,1
2016-02-18,2,2
2016-02-21,1,1
2016-03-19,1,1
2016-04-16,1,1
2016-05-27,1,1
2016-06-26,3,3
2016-07-03,1,1
2016-10-28,1,1
2016-11-09,3,3
2016-11-14,1,1
2016-11-15,1,1
2016-11-25,1,1
2016-11-27,1,1
2016-12-16,1,1
2017-02-24,1,1
2017-03-27,1,1
2017-03-30,1,1
2017-04-23,1,1
2017-05-09,1,1
2017-05-12,1,1
2017-05-22,1,1
2017-06-01,3,3
2017-06-02,4,4
2017-06-13,1,1
2017-06-17,1,1
2017-06-20,3,3
2017-06-30,1,1
2017-08-11,2,2
2017-08-14,1,1
2017-09-16,1,1
2017-09-21,1,1
2017-09-27,1,1
2017-09-29,1,1
2017-10-13,2,2
2017-10-22,1,1
2017-11-06,2,2
2017-11-13,1,1
2017-11-19,1,1
2017-12-21,2,2
2018-03-16,1,1
2018-03-19,1,1
2018-03-31,1,1
2018-04-03,1,1
2018-05-11,1,1
2018-05-28,3,3
2018-06-24,1,1
2018-07-28,1,1
2018-08-09,1,1
2018-09-08,2,2
2018-10-12,2,2
2018-10-16,1,1
2018-10-22,1,1
2018-10-31,1,1
2018-11-16,1,1
2018-11-21,2,2
2018-11-22,1,1
2018-11-25,1,1
2018-11-30,1,1
2018-12-02,1,1
2018-12-03,1,1
2018-12-06,2,2
2018-12-11,2,2
2019-01-18,1,1
2019-01-25,3,3
2019-01-26,2,2
2019-02-02,1,1
2019-02-20,1,1
2019-03-15,2,2
2019-03-20,1,1
2019-03-22,1,1
2019-04-07,1,1
2019-04-15,1,1
2019-05-05,1,1
2019-05-08,1,1
2019-05-11,2,2
2019-05-17,1,1
2019-05-19,1,1
2019-05-24,2,2
2019-05-29,1,1
2019-05-31,3,3
2019-06-02,1,1
2019-06-11,1,1
2019-06-15,2,2
