date,hit_count,text_count
2007-06-30,1,1
2007-07-02,5,1
2007-07-03,6,1
2007-07-04,4,3
2007-07-05,2,1
2007-07-06,6,3
2007-07-07,2,2
2007-07-09,3,2
2007-07-10,1,1
2007-07-11,5,2
2007-07-13,2,1
2007-07-14,3,1
2007-07-17,2,1
2007-07-24,2,2
2007-07-25,1,1
2007-07-26,1,1
2007-08-01,1,1
2007-08-04,1,1
2007-08-06,2,2
2007-08-10,1,1
2007-08-13,3,2
2007-08-15,1,1
2007-08-16,3,2
2007-08-17,5,2
2007-08-18,2,2
2007-08-20,1,1
2007-08-22,1,1
2007-08-23,5,3
2007-08-24,1,1
2007-08-25,5,4
2007-08-27,1,1
2007-08-28,6,3
2007-08-29,3,1
2007-08-30,3,1
2007-08-31,1,1
2007-09-01,4,2
2007-09-03,2,1
2007-09-04,3,3
2007-09-05,6,4
2007-09-06,1,1
2007-09-10,2,1
2007-09-13,2,2
2007-09-15,1,1
2007-09-17,1,1
2007-09-21,1,1
2007-09-22,1,1
2007-09-24,6,4
2007-09-25,4,1
2007-09-26,4,2
2007-09-27,3,3
2007-10-03,2,2
2007-10-05,1,1
2007-10-06,2,2
2007-10-09,4,2
2007-10-12,1,1
2007-10-13,8,3
2007-10-15,2,1
2007-10-17,4,2
2007-10-19,1,1
2007-10-20,2,2
2007-10-25,1,1
2007-10-27,7,1
2007-10-29,3,3
2007-10-30,10,5
2007-10-31,4,2
2007-11-02,3,2
2007-11-03,1,1
2007-11-05,1,1
2007-11-06,27,10
2007-11-12,3,1
2007-11-13,2,1
2007-11-15,1,1
2007-11-16,2,1
2007-11-17,2,2
2007-11-19,11,4
2007-11-21,3,2
2007-11-22,2,2
2007-11-24,7,3
2007-11-26,3,3
2007-11-27,5,1
2007-11-29,3,2
2007-11-30,11,2
2007-12-01,1,1
2007-12-03,2,1
2007-12-04,7,5
2007-12-06,2,2
2007-12-07,1,1
2007-12-08,5,3
2007-12-10,4,1
2007-12-11,1,1
2007-12-12,3,2
2007-12-13,3,2
2007-12-14,3,2
2007-12-15,4,3
2007-12-17,6,2
2007-12-19,2,2
2007-12-21,1,1
2007-12-22,5,3
2007-12-24,1,1
2007-12-28,6,1
2007-12-31,2,2
2008-01-05,1,1
2008-01-10,1,1
2008-01-11,2,2
2008-01-12,1,1
2008-01-17,2,1
2008-01-18,2,2
2008-01-19,1,1
2008-01-24,8,3
2008-01-25,1,1
2008-01-26,1,1
2008-01-30,1,1
2008-01-31,1,1
2008-02-04,1,1
2008-02-05,3,2
2008-02-06,1,1
2008-02-07,1,1
2008-02-13,4,2
2008-02-15,1,1
2008-02-23,2,1
2008-03-01,3,1
2008-03-04,8,4
2008-03-05,1,1
2008-03-10,4,1
2008-03-12,3,1
2008-03-13,3,2
2008-03-14,2,2
2008-03-15,1,1
2008-03-18,4,2
2008-03-26,1,1
2008-03-27,9,4
2008-03-28,3,2
2008-03-29,1,1
2008-03-31,1,1
2008-04-01,5,2
2008-04-02,5,3
2008-04-03,2,2
2008-04-04,4,1
2008-04-05,4,2
2008-04-07,2,1
2008-04-08,3,2
2008-04-09,2,2
2008-04-10,1,1
2008-04-12,1,1
2008-04-14,1,1
2008-04-15,1,1
2008-04-16,2,2
2008-04-17,1,1
2008-04-18,10,5
2008-04-19,2,2
2008-04-21,1,1
2008-04-23,3,1
2008-04-24,3,3
2008-04-25,1,1
2008-04-26,1,1
2008-04-30,1,1
2008-05-01,2,1
2008-05-03,2,2
2008-05-06,1,1
2008-05-07,2,2
2008-05-08,2,2
2008-05-09,2,1
2008-05-14,1,1
2008-05-16,1,1
2008-05-19,1,1
2008-05-20,3,2
2008-05-21,2,1
2008-05-24,2,2
2008-05-26,1,1
2008-05-27,1,1
2008-05-29,3,1
2008-05-31,1,1
2008-06-05,2,2
2008-06-07,6,3
2008-06-09,1,1
2008-06-10,1,1
2008-06-11,5,3
2008-06-12,2,2
2008-06-13,1,1
2008-06-14,4,2
2008-06-16,1,1
2008-06-19,1,1
2008-06-20,1,1
2008-06-23,1,1
2008-06-24,2,2
2008-06-25,1,1
2008-06-27,2,2
2008-06-28,3,2
2008-06-30,2,2
2008-07-01,1,1
2008-07-02,2,2
2008-07-04,6,1
2008-07-05,1,1
2008-07-07,1,1
2008-07-08,5,3
2008-07-09,6,3
2008-07-10,8,3
2008-07-11,1,1
2008-07-14,1,1
2008-07-15,1,1
2008-07-17,1,1
2008-07-19,2,2
2008-07-23,1,1
2008-07-24,1,1
2008-07-25,3,2
2008-07-31,3,1
2008-08-02,2,2
2008-08-06,1,1
2008-08-07,1,1
2008-08-08,1,1
2008-08-09,2,2
2008-08-14,4,3
2008-08-16,1,1
