date,hit_count,text_count
2000-01-29,1,1
2000-02-01,1,1
2000-02-10,1,1
2000-02-14,1,1
2000-02-19,4,2
2000-02-21,3,1
2000-03-15,1,1
2000-04-04,2,1
2000-04-11,1,1
2000-04-13,3,3
2000-04-26,1,1
2000-05-09,1,1
2000-05-10,2,1
2000-05-13,2,1
2000-06-19,1,1
2000-07-04,5,1
2000-07-26,1,1
2000-07-27,2,1
2000-07-29,2,1
2000-08-12,2,1
2000-09-19,1,1
2000-09-25,1,1
2000-10-18,1,1
2000-10-19,5,2
2000-10-24,1,1
2000-10-27,3,3
2000-11-08,4,1
2000-11-10,1,1
2000-11-13,2,2
2000-11-14,3,1
2000-11-22,1,1
2000-11-24,1,1
2000-11-30,2,1
2000-12-01,1,1
2000-12-05,1,1
2001-01-02,1,1
2001-01-03,2,1
2001-01-05,1,1
2001-01-06,1,1
2001-01-11,2,2
2001-01-12,1,1
2001-01-23,1,1
2001-01-27,2,1
2001-02-06,3,2
2001-02-10,2,1
2001-02-12,5,2
2001-02-14,2,1
2001-02-15,2,1
2001-02-24,5,3
2001-03-06,1,1
2001-03-16,1,1
2001-03-17,3,1
2001-03-26,1,1
2001-03-28,1,1
2001-03-30,2,2
2001-03-31,3,2
2001-04-04,3,1
2001-04-05,2,1
2001-04-07,2,2
2001-04-17,3,1
2001-06-05,1,1
2001-06-07,2,2
2001-06-13,3,1
2001-06-18,1,1
2001-06-22,1,1
2001-06-26,2,1
2001-06-27,2,1
2001-06-30,1,1
2001-07-03,2,2
2001-07-19,1,1
2001-07-20,1,1
2001-07-21,1,1
2001-07-23,1,1
2001-07-24,1,1
2001-07-27,4,1
2001-07-28,4,3
2001-08-06,3,1
2001-08-31,1,1
2001-09-18,2,2
2001-10-02,1,1
2001-10-05,1,1
2001-10-23,3,1
2001-10-24,1,1
2001-10-26,1,1
2001-10-27,1,1
2001-10-30,1,1
2001-10-31,1,1
2001-11-07,1,1
2001-11-08,2,1
2001-11-09,4,1
2001-11-12,3,2
2001-11-13,1,1
2001-11-21,1,1
2001-11-24,1,1
2001-11-28,5,2
2001-12-01,1,1
2001-12-11,2,1
2001-12-15,1,1
2001-12-18,1,1
2001-12-24,1,1
2002-01-12,1,1
2002-01-19,1,1
2002-01-29,1,1
2002-02-16,2,1
2002-02-20,1,1
2002-02-26,2,1
2002-03-02,2,2
2002-03-13,2,1
2002-03-23,3,1
2002-03-25,1,1
2002-03-28,2,2
2002-04-12,3,1
2002-04-24,1,1
2002-05-11,1,1
2002-05-16,2,1
2002-05-18,2,1
2002-05-21,2,1
2002-05-27,1,1
2002-06-01,1,1
2002-06-08,1,1
2002-06-19,2,1
2002-06-27,1,1
2002-06-28,2,2
2002-06-29,1,1
2002-07-03,1,1
2002-07-05,1,1
2002-07-09,1,1
2002-07-13,1,1
2002-07-15,1,1
2002-07-20,1,1
2002-08-09,1,1
2002-08-10,2,2
2002-08-13,2,1
2002-08-15,2,2
2002-08-16,1,1
2002-08-22,1,1
2002-08-23,1,1
2002-08-30,2,1
2002-09-03,5,1
2002-09-04,1,1
2002-09-11,1,1
2002-09-12,4,2
2002-09-13,2,1
2002-09-14,2,1
2002-09-16,5,2
2002-09-17,4,4
2002-09-18,5,5
2002-09-19,1,1
2002-09-20,1,1
2002-09-21,1,1
2002-09-23,1,1
2002-09-25,1,1
2002-09-26,3,2
2002-09-27,1,1
2002-09-28,2,1
2002-10-01,1,1
2002-10-05,1,1
2002-10-08,2,2
2002-10-10,2,2
2002-10-11,2,1
2002-10-18,1,1
2002-10-19,2,1
2002-10-21,1,1
2002-10-24,2,1
2002-11-29,1,1
2002-12-12,1,1
2002-12-18,1,1
2002-12-30,1,1
2003-01-03,5,1
2003-01-25,1,1
2003-02-17,2,2
2003-02-18,1,1
2003-02-19,2,2
2003-02-24,2,1
2003-02-26,2,1
2003-03-04,2,1
2003-03-05,2,1
2003-03-06,1,1
2003-03-17,4,2
2003-03-26,2,1
2003-03-27,1,1
2003-03-31,1,1
2003-04-07,1,1
2003-04-12,1,1
2003-05-17,1,1
2003-06-04,2,2
2003-06-05,1,1
2003-06-06,1,1
2003-06-07,3,2
2003-06-12,2,1
2003-07-01,3,1
2003-07-03,2,1
2003-07-05,1,1
2003-07-07,11,5
2003-07-10,2,2
2003-07-14,1,1
2003-07-18,1,1
2003-07-19,1,1
2003-07-30,2,2
2003-08-02,1,1
2003-08-07,1,1
2003-08-09,1,1
2003-08-14,1,1
2003-08-28,1,1
2003-09-01,1,1
2003-09-22,1,1
2003-09-25,1,1
2003-09-26,1,1
2003-09-29,2,1
2003-10-02,1,1
2003-10-07,1,1
2003-10-17,1,1
2003-10-28,1,1
2003-11-01,1,1
2003-11-05,1,1
2003-11-20,1,1
2003-11-22,4,3
2003-11-29,2,1
2003-12-02,1,1
2003-12-03,1,1
2003-12-05,4,1
2003-12-10,1,1
2003-12-19,3,1
2003-12-31,1,1
2004-01-06,2,2
2004-01-10,3,1
2004-01-20,1,1
2004-01-22,2,1
2004-01-23,6,4
2004-01-27,1,1
2004-01-28,1,1
2004-01-29,1,1
2004-02-07,6,4
2004-02-09,1,1
2004-02-13,1,1
2004-02-19,1,1
2004-02-21,1,1
2004-02-25,1,1
2004-02-26,1,1
2004-02-27,1,1
2004-03-01,1,1
2004-03-02,1,1
2004-03-04,4,2
2004-03-08,1,1
2004-03-09,1,1
2004-03-16,1,1
2004-03-17,1,1
2004-03-24,1,1
2004-03-26,1,1
2004-03-30,1,1
2004-03-31,1,1
2004-04-05,3,2
2004-04-08,1,1
2004-04-15,4,2
2004-04-17,1,1
2004-04-20,1,1
2004-04-21,12,7
2004-04-22,3,2
2004-04-23,1,1
2004-04-28,2,1
2004-04-29,2,1
2004-05-06,3,3
2004-05-08,1,1
2004-05-10,1,1
2004-05-11,2,1
2004-05-13,1,1
2004-05-14,2,2
2004-05-19,1,1
2004-05-25,1,1
2004-05-26,1,1
2004-05-27,1,1
