date,hit_count,text_count
2000-04-11,1,1
2000-04-26,1,1
2000-06-19,2,2
2000-10-27,3,3
2000-11-27,1,1
2000-12-05,1,1
2001-04-02,1,1
2001-08-31,1,1
2001-11-21,1,1
2002-01-12,1,1
2002-05-16,1,1
2002-05-18,1,1
2002-05-21,1,1
2002-05-27,1,1
2002-06-19,1,1
2002-09-03,1,1
2002-10-10,1,1
2003-01-03,1,1
2003-02-19,1,1
2003-02-24,1,1
2003-02-26,1,1
2003-03-04,1,1
2003-03-05,1,1
2003-03-26,1,1
2003-12-10,1,1
2004-01-06,2,2
2004-01-22,1,1
2004-04-17,1,1
2004-05-11,1,1
2004-05-19,2,2
2004-05-20,1,1
2004-05-28,1,1
2004-06-01,2,2
2004-06-02,2,2
2004-06-03,1,1
2004-06-05,2,2
2004-06-07,1,1
2004-06-12,1,1
2004-09-03,1,1
2005-02-08,1,1
2005-02-16,1,1
2005-02-24,2,2
2005-02-25,1,1
2005-03-18,1,1
2005-05-03,1,1
2005-05-10,1,1
2005-06-04,1,1
2005-09-21,1,1
2005-10-01,3,3
2005-10-05,1,1
2005-10-06,1,1
2005-10-25,1,1
2005-10-27,1,1
2005-11-09,1,1
2006-01-04,1,1
2006-01-05,1,1
2006-01-20,1,1
2006-01-21,1,1
2006-02-10,1,1
2006-03-18,1,1
2006-04-03,1,1
2006-04-04,1,1
2006-04-26,4,4
2006-05-26,1,1
2006-05-27,1,1
2006-05-30,2,2
2006-06-10,3,3
2006-06-24,1,1
2006-08-17,1,1
2006-09-15,1,1
2006-11-08,1,1
2006-11-10,1,1
2006-11-14,1,1
2006-12-01,1,1
2006-12-04,3,3
2006-12-06,2,2
2006-12-08,1,1
2006-12-29,1,1
2006-12-30,1,1
2007-01-11,1,1
2007-01-18,1,1
2007-02-02,1,1
2007-02-05,1,1
2007-02-06,1,1
2007-02-08,1,1
2007-02-09,2,2
2007-02-10,1,1
2007-02-15,1,1
2007-02-16,1,1
2007-02-23,1,1
2007-02-28,2,2
2007-03-08,6,6
2007-03-09,1,1
2007-03-10,2,2
2007-03-12,3,3
2007-03-13,3,3
2007-03-15,1,1
2007-03-17,1,1
2007-03-23,1,1
2007-03-24,1,1
2007-03-27,1,1
2007-03-28,1,1
2007-03-31,1,1
2007-04-04,1,1
2007-04-10,1,1
2007-04-11,1,1
2007-04-16,1,1
2007-04-18,3,3
2007-04-25,1,1
2007-04-27,1,1
2007-05-05,1,1
2007-06-02,1,1
2007-06-09,1,1
2007-06-16,4,4
2007-06-21,1,1
2007-06-25,2,2
2007-06-28,2,2
2007-07-03,1,1
2007-07-05,1,1
2007-07-06,2,2
2007-07-11,2,2
2007-07-28,2,2
2007-08-16,1,1
2007-08-17,1,1
2007-08-21,1,1
2007-08-22,1,1
2007-08-27,1,1
2007-09-07,1,1
2007-09-08,1,1
2007-09-11,1,1
2007-09-19,1,1
2007-09-22,1,1
2007-09-26,1,1
2007-10-11,1,1
2007-10-12,1,1
2007-10-29,4,4
2007-11-01,2,2
2007-11-03,1,1
2007-11-05,1,1
2007-11-07,2,2
2007-11-08,1,1
2007-11-12,1,1
2007-11-21,2,2
2007-11-22,2,2
2007-11-24,1,1
2007-11-26,1,1
2007-11-29,1,1
2007-12-06,1,1
2007-12-11,1,1
2007-12-15,1,1
2007-12-22,1,1
2007-12-31,1,1
2008-01-19,1,1
2008-01-23,1,1
2008-01-24,3,3
2008-01-25,1,1
2008-01-31,1,1
2008-02-01,2,2
2008-02-02,1,1
2008-02-05,2,2
2008-02-15,1,1
2008-02-20,1,1
2008-03-15,1,1
2008-03-19,1,1
2008-04-14,1,1
2008-04-18,1,1
2008-05-23,1,1
2008-05-30,1,1
2008-06-06,1,1
2008-06-07,1,1
2008-06-17,1,1
2008-06-20,1,1
2008-06-24,1,1
2008-06-30,1,1
2008-07-07,1,1
2008-07-09,2,2
2008-07-10,1,1
2008-08-08,1,1
2008-08-09,2,2
2008-08-18,1,1
2008-08-26,1,1
2008-09-03,2,2
2008-09-13,1,1
2008-09-15,1,1
2008-09-20,1,1
2008-09-23,1,1
2008-10-01,1,1
2008-10-10,1,1
2008-10-13,1,1
2008-10-23,1,1
2008-10-24,4,4
2008-10-25,3,3
2008-10-30,1,1
2008-11-06,1,1
2008-11-12,1,1
2008-11-15,1,1
2008-12-04,1,1
2008-12-09,1,1
2008-12-13,1,1
2008-12-15,1,1
2009-02-04,1,1
2009-02-10,1,1
2009-04-02,1,1
2009-05-02,1,1
2009-05-25,1,1
2009-06-11,1,1
2009-08-29,1,1
2009-09-24,1,1
2009-10-09,1,1
2009-10-27,1,1
2009-12-01,1,1
2009-12-02,1,1
2009-12-03,1,1
2009-12-11,1,1
2010-01-07,1,1
2010-01-15,1,1
2010-04-20,1,1
2010-04-29,1,1
2010-05-10,1,1
2010-05-14,1,1
2010-07-17,1,1
2010-08-25,1,1
2010-09-14,1,1
2010-10-05,1,1
2010-11-01,1,1
2010-12-14,2,2
2010-12-17,1,1
2011-01-14,2,2
2011-02-16,1,1
2011-03-17,2,2
2011-04-16,1,1
2011-05-04,1,1
2011-05-19,1,1
2011-05-21,1,1
2011-05-23,1,1
2011-05-24,1,1
2011-05-25,1,1
2011-06-03,1,1
2011-06-07,3,3
2011-06-22,1,1
2011-07-27,2,2
2011-08-02,1,1
2011-08-18,1,1
2011-11-23,1,1
2011-11-26,1,1
2011-12-03,1,1
2011-12-07,1,1
2011-12-17,1,1
2011-12-30,2,2
2011-12-31,2,2
2012-01-03,1,1
2012-03-15,3,3
2012-03-24,1,1
2012-03-29,1,1
2012-04-13,2,2
2012-05-08,1,1
2012-08-09,1,1
2012-08-17,1,1
2012-08-22,2,2
2012-12-04,1,1
2012-12-10,1,1
2013-01-16,2,2
2013-03-28,1,1
2013-05-30,1,1
2013-07-06,1,1
2013-07-15,1,1
2013-08-14,1,1
2013-10-10,1,1
2013-10-21,1,1
2013-11-30,1,1
2014-01-08,1,1
2014-01-31,1,1
2014-02-27,1,1
2014-04-24,1,1
2014-06-14,1,1
2014-06-19,1,1
2014-06-24,1,1
2014-09-17,1,1
2014-10-04,1,1
2014-11-01,2,2
2014-11-11,1,1
2014-11-27,1,1
2014-12-09,1,1
2015-01-05,1,1
2015-01-06,2,2
2015-02-12,1,1
2015-04-17,1,1
2015-04-27,1,1
2015-04-28,1,1
2015-06-04,1,1
2015-06-12,2,2
2015-12-02,1,1
2016-01-05,1,1
2016-01-06,2,2
2016-01-12,1,1
2016-03-29,1,1
2016-06-28,1,1
2016-08-09,1,1
2016-09-17,1,1
2016-09-19,1,1
2017-04-28,1,1
2017-04-29,1,1
2017-05-19,1,1
2017-05-24,1,1
2017-06-03,1,1
2017-06-09,1,1
2017-06-27,1,1
2017-07-08,1,1
2017-08-31,1,1
2017-09-09,1,1
2017-11-11,1,1
2017-12-12,1,1
2017-12-13,1,1
2017-12-14,1,1
2018-03-22,1,1
2018-03-31,1,1
2018-05-14,1,1
2018-05-15,1,1
2018-05-31,1,1
2018-06-27,1,1
2018-06-30,1,1
2018-08-03,1,1
2018-08-09,1,1
2018-08-14,1,1
2018-09-20,1,1
2018-09-29,1,1
2018-10-13,1,1
2018-10-20,1,1
2018-11-22,1,1
2018-12-07,1,1
2018-12-14,1,1
2019-01-14,2,2
2019-01-21,1,1
2019-01-22,3,3
2019-01-29,1,1
2019-02-13,1,1
2019-03-13,1,1
2019-04-15,1,1
2019-04-30,1,1
2019-05-25,1,1
2019-06-15,1,1
2019-07-04,1,1
2019-08-07,1,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-17,1,1
2019-08-30,1,1
2019-09-20,2,2
2019-09-21,1,1
2019-10-09,1,1
2019-10-18,1,1
2019-10-29,1,1
2019-11-11,1,1
2019-11-12,3,3
2019-11-22,1,1
2019-11-26,1,1
2019-11-27,2,2
2019-11-28,2,2
2019-11-29,1,1
2019-12-10,1,1
2019-12-13,1,1
2019-12-21,1,1
2019-12-27,1,1
2019-12-31,1,1
2020-01-03,1,1
2020-01-07,1,1
2020-01-09,1,1
2020-01-23,1,1
2020-01-24,3,3
2020-01-30,1,1
2020-02-03,1,1
2020-02-15,2,2
2020-02-21,1,1
2020-02-27,1,1
2020-02-28,1,1
2020-02-29,1,1
2020-03-05,1,1
2020-03-30,2,2
2020-04-17,1,1
2020-04-30,2,2
2020-05-02,1,1
2020-05-16,1,1
2020-06-04,2,2
2020-06-06,1,1
2020-06-10,1,1
2020-06-13,1,1
2020-06-23,1,1
2020-06-24,1,1
2020-06-25,1,1
2020-06-26,1,1
2020-07-16,1,1
2020-08-22,1,1
2020-08-29,1,1
2020-09-12,1,1
2020-09-24,1,1
2020-09-29,3,3
