date,hit_count,text_count
1998-10-29,1,1
1998-11-14,1,1
1999-09-18,1,1
2001-03-14,1,1
2001-03-17,1,1
2001-03-31,1,1
2001-04-17,1,1
2001-06-16,1,1
2001-07-17,1,1
2001-07-20,1,1
2001-07-21,3,3
2001-07-27,1,1
2001-08-16,1,1
2001-10-30,1,1
2002-01-19,1,1
2002-05-22,1,1
2002-08-21,1,1
2002-08-29,1,1
2002-08-31,1,1
2002-09-02,1,1
2002-09-04,1,1
2002-09-05,1,1
2002-10-09,1,1
2002-11-09,1,1
2002-12-02,1,1
2002-12-18,1,1
2003-04-19,1,1
2003-11-15,1,1
2003-11-26,1,1
2003-12-23,1,1
2004-03-19,1,1
2004-03-30,1,1
2004-03-31,1,1
2004-06-05,1,1
2004-07-05,1,1
2004-09-27,1,1
2004-12-07,1,1
2004-12-10,1,1
2004-12-17,1,1
2004-12-18,1,1
2004-12-20,1,1
2004-12-22,1,1
2005-02-17,1,1
2005-02-23,1,1
2005-02-24,2,2
2005-03-04,1,1
2005-03-11,2,2
2005-05-04,1,1
2005-05-12,1,1
2005-07-04,1,1
2005-07-08,1,1
2005-07-09,1,1
2005-09-08,1,1
2005-09-14,1,1
2005-09-29,1,1
2005-11-24,2,2
2005-12-02,1,1
2005-12-12,1,1
2005-12-29,1,1
2006-02-17,1,1
2006-03-18,1,1
2006-03-20,1,1
2006-12-04,1,1
2006-12-14,1,1
2007-01-29,1,1
2007-02-17,1,1
2007-02-24,1,1
2007-03-05,3,3
2007-03-08,3,3
2007-03-10,1,1
2007-03-12,1,1
2007-03-19,1,1
2007-03-24,1,1
2007-04-05,1,1
2007-04-07,2,2
2007-04-25,1,1
2007-05-01,1,1
2007-05-05,2,2
2007-05-08,2,2
2007-05-14,3,3
2007-05-22,1,1
2007-05-25,2,2
2007-05-29,2,2
2007-05-30,1,1
2007-06-01,1,1
2007-06-04,1,1
2007-06-06,4,4
2007-06-07,5,5
2007-06-09,3,3
2007-06-11,2,2
2007-06-19,1,1
2007-06-21,1,1
2007-07-04,1,1
2007-07-07,1,1
2007-07-09,1,1
2007-08-13,1,1
2007-08-20,1,1
2007-08-25,1,1
2007-08-27,1,1
2007-09-13,2,2
2007-10-11,1,1
2007-10-17,1,1
2007-10-20,1,1
2007-10-24,1,1
2007-10-29,2,2
2007-11-08,1,1
2007-11-09,1,1
2007-11-23,1,1
2007-12-05,1,1
2007-12-07,1,1
2007-12-08,1,1
2007-12-14,1,1
2007-12-15,1,1
2008-01-11,1,1
2008-01-24,2,2
2008-02-05,1,1
2008-03-04,1,1
2008-03-10,1,1
2008-03-20,1,1
2008-03-29,1,1
2008-04-09,1,1
2008-04-19,1,1
2008-04-25,1,1
2008-04-26,2,2
2008-05-06,1,1
2008-05-09,1,1
2008-05-14,1,1
2008-05-21,1,1
2008-05-26,1,1
2008-05-31,1,1
2008-06-11,1,1
2008-06-12,1,1
2008-06-19,1,1
2008-06-20,1,1
2008-07-07,1,1
2008-07-08,1,1
2008-07-26,1,1
2008-08-07,1,1
2008-08-22,1,1
2008-10-16,2,2
2008-11-08,1,1
2008-11-13,1,1
2008-11-17,1,1
2008-12-03,1,1
2008-12-08,1,1
2008-12-13,1,1
2008-12-18,1,1
2009-01-12,1,1
2009-01-27,1,1
2009-02-02,1,1
2009-02-11,1,1
2009-02-12,1,1
2009-02-23,1,1
2009-03-07,1,1
2009-03-17,1,1
2009-03-18,1,1
2009-03-31,1,1
2009-04-16,1,1
2009-06-06,1,1
2009-06-30,1,1
2009-07-10,1,1
2009-07-14,1,1
2009-09-21,1,1
2009-09-22,1,1
2009-10-29,1,1
2009-11-06,1,1
2009-12-05,1,1
2009-12-08,3,3
2009-12-09,1,1
2009-12-14,1,1
2009-12-18,2,2
2009-12-19,2,2
2009-12-21,1,1
2010-01-09,2,2
2010-02-05,1,1
2010-02-27,1,1
2010-07-16,1,1
2010-07-17,1,1
2010-08-03,1,1
2010-08-13,1,1
2010-09-17,1,1
2010-10-21,1,1
2010-11-16,1,1
2010-11-30,2,2
2010-12-09,1,1
2010-12-13,1,1
2011-02-10,1,1
2011-04-01,1,1
2011-04-14,1,1
2011-05-11,1,1
2011-06-04,1,1
2011-06-08,1,1
2011-06-22,1,1
2011-07-08,1,1
2011-10-22,1,1
2011-12-09,2,2
2012-01-14,1,1
2012-05-19,1,1
2012-05-21,1,1
2012-05-23,1,1
2012-07-03,1,1
2012-07-25,1,1
2012-07-27,1,1
2012-10-02,1,1
2012-10-18,1,1
2012-11-26,1,1
2012-11-27,1,1
2012-12-03,1,1
2012-12-04,1,1
2012-12-07,1,1
2012-12-10,1,1
2012-12-22,1,1
2012-12-24,1,1
2013-02-01,1,1
2013-03-19,1,1
2013-03-25,1,1
2013-04-27,1,1
2013-05-07,1,1
2013-08-21,1,1
2013-08-24,1,1
2013-08-28,1,1
2013-09-13,1,1
2013-10-16,1,1
2013-11-13,1,1
2013-12-12,1,1
2014-02-01,1,1
2014-03-11,1,1
2014-03-13,1,1
2014-04-01,1,1
2014-06-26,1,1
2014-07-07,1,1
2014-07-15,1,1
2014-09-23,1,1
2014-11-20,1,1
2014-11-24,1,1
2014-12-08,2,2
2014-12-15,1,1
2014-12-17,1,1
2014-12-31,1,1
2015-01-06,1,1
2015-02-23,1,1
2015-04-08,1,1
2015-04-18,1,1
2015-04-24,1,1
2015-05-09,1,1
2015-05-20,2,2
2015-05-27,2,2
2015-05-28,1,1
2015-06-02,1,1
2015-06-05,1,1
2015-06-06,1,1
2015-06-08,2,2
