date,hit_count,text_count
2012-07-16,1,1
2012-07-19,1,1
2012-07-23,1,1
2012-10-06,1,1
2012-11-15,1,1
2012-11-16,1,1
2012-11-23,1,1
2012-11-27,1,1
2012-11-30,1,1
2012-12-04,1,1
2012-12-07,2,2
2012-12-08,1,1
2012-12-20,1,1
2012-12-28,1,1
2013-01-02,1,1
2013-01-24,1,1
2013-02-15,1,1
2013-03-25,1,1
2013-03-28,1,1
2013-04-19,1,1
2013-05-07,1,1
2013-05-25,1,1
2013-05-27,1,1
2013-06-26,1,1
2013-06-27,1,1
2013-08-14,1,1
2013-08-17,1,1
2013-09-23,1,1
2013-09-27,1,1
2013-10-01,1,1
2013-11-05,2,2
2013-11-09,2,2
2013-11-12,1,1
2013-11-19,1,1
2013-11-21,1,1
2013-11-22,2,2
2013-12-06,1,1
2013-12-10,1,1
2013-12-13,1,1
2013-12-17,1,1
2013-12-21,1,1
2014-01-06,1,1
2014-01-23,3,3
2014-02-03,1,1
2014-02-06,1,1
2014-02-10,1,1
2014-02-13,1,1
2014-02-19,1,1
2014-03-06,3,3
2014-03-12,1,1
2014-03-19,1,1
2014-03-20,1,1
2014-03-24,1,1
2014-03-25,1,1
2014-03-26,1,1
2014-04-02,1,1
2014-04-03,1,1
2014-04-30,1,1
2014-05-20,1,1
2014-06-16,1,1
2014-06-21,1,1
2014-06-25,1,1
2014-06-28,1,1
2014-07-02,1,1
2014-07-09,1,1
2014-07-10,1,1
2014-07-11,1,1
2014-07-12,1,1
2014-08-11,1,1
2014-08-27,1,1
2014-09-22,1,1
2014-09-23,1,1
2014-09-24,1,1
2014-10-04,1,1
2014-10-16,1,1
2014-10-23,1,1
2014-10-28,1,1
2014-11-03,1,1
2014-11-06,1,1
2014-11-21,1,1
2014-11-22,1,1
2014-12-02,2,2
2014-12-11,1,1
2014-12-12,1,1
2014-12-15,1,1
2014-12-16,1,1
2015-01-06,1,1
2015-02-21,2,2
2015-02-23,1,1
2015-03-10,1,1
2015-04-01,1,1
2015-04-09,1,1
2015-04-11,1,1
2015-04-21,1,1
2015-04-25,1,1
2015-05-02,1,1
2015-05-12,1,1
2015-05-19,1,1
2015-05-20,1,1
2015-05-22,1,1
2015-05-27,1,1
2015-05-30,2,2
2015-06-01,1,1
2015-06-04,1,1
2015-06-05,1,1
2015-06-06,2,2
2015-06-08,3,3
2015-06-09,1,1
2015-06-20,1,1
2015-06-29,2,2
2015-07-04,1,1
2015-07-16,1,1
2015-08-06,1,1
2015-08-17,1,1
2015-08-20,1,1
2015-08-27,1,1
2015-09-10,1,1
2015-09-24,1,1
2015-10-07,1,1
2015-10-31,1,1
2015-11-03,1,1
2015-11-17,1,1
2015-11-23,2,2
2015-11-26,1,1
2015-11-30,3,3
2015-12-03,1,1
2015-12-07,1,1
2015-12-08,1,1
2015-12-09,2,2
2015-12-10,1,1
2015-12-12,1,1
2015-12-14,1,1
2015-12-16,1,1
2015-12-19,3,3
2015-12-23,1,1
2016-01-05,1,1
2016-01-06,1,1
2016-01-09,1,1
2016-01-11,1,1
2016-01-23,1,1
2016-02-01,1,1
2016-02-15,1,1
2016-02-23,1,1
2016-02-25,1,1
2016-03-12,1,1
2016-03-15,1,1
2016-03-21,1,1
2016-03-22,1,1
2016-03-26,1,1
2016-04-12,2,2
2016-04-18,1,1
2016-04-28,1,1
2016-05-09,1,1
2016-05-14,1,1
2016-05-31,1,1
2016-06-02,1,1
2016-07-02,2,2
2016-07-27,1,1
2016-07-29,1,1
2016-08-04,1,1
2016-08-11,1,1
2016-08-15,1,1
2016-08-20,1,1
2016-08-27,1,1
2016-09-06,1,1
2016-09-07,1,1
2016-09-17,1,1
2016-09-27,1,1
2016-10-04,2,2
2016-10-07,1,1
2016-10-12,1,1
2016-10-15,1,1
