date,hit_count,text_count
2015-10-07,4,2
2015-10-13,1,1
2015-10-19,1,1
2015-10-27,2,2
2015-10-28,2,1
2015-10-31,1,1
2015-11-05,1,1
2015-11-14,2,1
2015-11-21,1,1
2015-11-25,1,1
2015-11-30,1,1
2015-12-11,1,1
2015-12-31,4,1
2016-01-06,4,1
2016-01-19,2,1
2016-02-03,2,1
2016-02-18,1,1
2016-02-27,7,1
2016-03-04,1,1
2016-04-29,1,1
2016-05-14,1,1
2016-05-19,1,1
2016-06-02,1,1
2016-06-10,1,1
2016-06-18,2,1
2016-07-14,4,1
2016-08-19,4,2
2016-08-20,1,1
2016-09-09,2,1
2016-09-10,6,2
2016-09-16,1,1
2016-09-19,3,1
2016-09-23,1,1
2016-09-30,1,1
2016-10-15,2,1
2016-10-20,3,1
2016-11-04,1,1
2016-11-07,2,1
2016-11-10,3,1
2016-11-14,2,1
2016-11-15,1,1
2016-12-09,1,1
2016-12-13,1,1
2016-12-31,1,1
2017-01-06,1,1
2017-01-07,2,1
2017-01-12,3,1
2017-02-21,1,1
2017-02-25,1,1
2017-03-04,1,1
2017-03-23,2,1
2017-04-20,1,1
2017-05-18,1,1
2017-05-23,4,1
2017-05-31,1,1
2017-06-02,4,1
2017-06-17,2,1
2017-07-12,2,1
2017-07-21,1,1
2017-07-29,1,1
2017-08-07,1,1
2017-08-16,1,1
2017-08-17,1,1
2017-08-22,3,1
2017-09-07,3,1
2017-09-09,1,1
2017-09-16,1,1
2017-09-20,1,1
2017-10-05,1,1
2017-10-09,2,1
2017-10-12,2,2
2017-10-13,2,1
2017-10-18,1,1
2017-10-20,1,1
2017-10-25,1,1
2017-10-30,1,1
2017-11-10,1,1
2017-11-13,1,1
2017-11-15,3,2
2017-11-16,1,1
2017-11-17,4,1
2017-11-22,1,1
2017-11-28,1,1
2017-11-29,1,1
2017-12-02,1,1
2017-12-14,2,1
2017-12-22,2,1
2018-01-27,1,1
2018-02-10,1,1
2018-02-12,1,1
2018-02-16,1,1
2018-02-28,1,1
2018-03-01,2,1
2018-03-16,2,1
2018-03-19,3,1
2018-03-22,1,1
2018-03-23,2,1
2018-03-24,3,1
2018-04-04,3,2
2018-04-12,1,1
2018-04-13,1,1
2018-04-16,1,1
2018-04-20,1,1
2018-04-27,2,1
2018-05-30,3,2
2018-06-02,1,1
2018-06-16,1,1
2018-06-26,1,1
2018-06-30,1,1
2018-07-20,1,1
2018-08-04,2,2
2018-08-08,2,1
2018-08-13,2,1
2018-08-14,1,1
2018-08-18,2,2
2018-08-22,1,1
2018-08-23,1,1
2018-08-25,2,1
2018-09-04,1,1
2018-09-05,1,1
2018-09-07,1,1
2018-09-20,2,2
2018-09-21,1,1
2018-09-24,1,1
2018-09-25,2,1
2018-09-26,1,1
2018-09-29,1,1
2018-10-05,5,2
2018-10-09,5,1
2018-10-24,3,1
2018-10-30,1,1
2018-11-07,1,1
2018-11-14,2,1
2018-11-15,2,1
2018-11-30,3,1
2018-12-06,2,1
2018-12-13,1,1
2018-12-22,1,1
2019-01-18,1,1
2019-01-21,1,1
2019-01-22,2,1
2019-02-02,1,1
2019-02-09,5,2
2019-02-12,1,1
2019-02-20,1,1
2019-02-23,2,1
2019-03-11,6,2
2019-03-14,3,2
2019-03-15,1,1
2019-03-27,1,1
2019-04-01,1,1
2019-04-16,4,2
2019-04-26,1,1
2019-05-04,2,2
2019-05-06,1,1
2019-05-07,1,1
2019-05-20,1,1
2019-05-23,1,1
2019-05-24,2,2
2019-05-25,3,1
2019-05-28,2,2
2019-05-29,5,1
2019-05-31,2,1
2019-06-05,3,2
2019-06-07,5,1
2019-06-08,9,3
2019-06-13,1,1
2019-06-18,1,1
2019-06-19,1,1
2019-06-21,1,1
2019-06-25,3,1
2019-06-26,1,1
2019-06-27,1,1
2019-07-03,4,1
2019-07-05,3,1
2019-07-10,1,1
2019-07-11,1,1
2019-07-16,1,1
2019-07-19,1,1
2019-07-20,1,1
2019-07-22,1,1
2019-07-24,11,3
2019-07-27,2,2
2019-07-29,3,2
2019-07-30,1,1
2019-08-01,1,1
2019-08-02,3,1
2019-08-03,1,1
2019-08-06,1,1
2019-08-07,3,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-16,1,1
2019-08-20,1,1
2019-08-21,1,1
2019-08-23,1,1
2019-09-07,1,1
2019-09-13,3,2
2019-09-14,1,1
2019-09-18,1,1
2019-09-20,1,1
2019-09-24,3,1
2019-10-11,1,1
2019-10-12,2,1
2019-10-19,1,1
2019-10-23,1,1
2019-10-26,2,1
2019-10-28,1,1
2019-10-29,1,1
2019-11-02,1,1
2019-11-05,1,1
2019-11-08,1,1
2019-11-19,2,1
2019-11-21,1,1
2019-11-25,1,1
2019-11-28,1,1
2019-12-05,3,1
2019-12-13,2,1
2019-12-18,3,2
2019-12-19,1,1
2020-01-15,1,1
2020-01-16,3,2
2020-01-17,1,1
2020-01-28,2,2
2020-02-06,1,1
2020-03-17,1,1
2020-03-18,3,1
2020-03-27,2,1
2020-04-01,1,1
2020-04-06,1,1
2020-04-20,3,1
2020-04-25,1,1
2020-05-13,2,1
2020-06-16,1,1
2020-06-22,1,1
2020-06-24,2,1
2020-06-26,4,2
2020-07-09,5,1
2020-07-10,1,1
2020-07-28,1,1
2020-08-11,1,1
2020-09-05,3,1
2020-09-10,1,1
2020-09-14,1,1
2020-09-22,1,1
2020-09-29,1,1
2020-10-08,3,3
2020-10-17,2,2
2020-10-23,1,1
2020-10-29,2,1
2020-11-03,1,1
2020-11-07,3,1
2020-11-09,3,3
2020-11-13,2,1
2020-11-14,1,1
2020-11-17,1,1
2020-11-18,4,2
2020-11-20,1,1
2020-11-24,1,1
2020-11-26,2,1
2020-12-04,5,3
2020-12-08,1,1
2020-12-12,3,2
2020-12-31,1,1
2021-01-04,2,2
2021-01-06,1,1
