date,hit_count,text_count
2016-08-10,1,1
2017-01-07,1,1
2017-09-12,1,1
2017-11-22,1,1
2017-12-27,1,1
2018-01-20,1,1
2018-04-26,1,1
2018-09-29,1,1
2018-10-30,1,1
2018-11-07,1,1
2019-03-12,1,1
2019-03-13,1,1
2019-03-15,1,1
2019-03-16,2,2
2019-03-20,2,2
2019-04-06,1,1
2019-04-11,1,1
2019-04-13,2,2
2019-04-27,1,1
2019-05-07,1,1
2019-05-10,1,1
2019-05-22,1,1
2019-05-23,1,1
2019-05-24,3,3
2019-05-25,1,1
2019-05-27,2,2
2019-05-28,1,1
2019-05-31,1,1
2019-06-05,1,1
2019-06-07,2,2
2019-06-21,1,1
2019-06-27,1,1
2019-06-28,1,1
2019-06-29,2,2
2019-07-06,1,1
2019-07-12,1,1
2019-09-02,1,1
2019-09-05,1,1
2019-09-06,2,2
2019-09-13,1,1
2019-09-14,1,1
2019-09-20,1,1
2019-09-21,1,1
2019-09-24,1,1
2019-10-22,1,1
2019-10-24,1,1
2019-11-13,1,1
2019-11-20,3,3
2019-11-23,1,1
2019-11-27,1,1
2019-11-30,1,1
2019-12-07,1,1
2019-12-12,1,1
2020-01-11,1,1
2020-01-13,1,1
2020-02-04,1,1
2020-02-08,1,1
2020-04-22,1,1
2020-04-23,1,1
2020-05-15,1,1
2020-05-18,1,1
2020-06-23,1,1
2020-06-24,1,1
2020-07-01,1,1
2020-07-18,1,1
2020-07-23,1,1
2020-09-01,1,1
2020-09-08,1,1
2020-09-19,1,1
2020-09-25,1,1
2020-09-26,1,1
2020-12-11,1,1
2020-12-22,1,1
2021-01-14,1,1
2021-01-23,1,1
2021-01-25,1,1
2021-03-13,1,1
2021-03-18,2,2
2021-03-20,1,1
2021-03-22,1,1
2021-03-31,1,1
2021-04-01,1,1
2021-04-30,2,2
2021-05-05,1,1
2021-06-03,1,1
2021-06-05,1,1
2021-06-08,1,1
2021-07-13,1,1
2021-08-23,1,1
2021-08-25,1,1
2021-09-01,1,1
2021-09-10,2,2
2021-09-15,1,1
2021-09-21,1,1
2021-09-23,1,1
2021-09-24,1,1
2021-09-25,2,2
2021-10-12,2,2
2021-10-14,1,1
2021-11-05,1,1
2022-01-22,1,1
2022-01-25,1,1
2022-01-26,1,1
2022-02-15,1,1
2022-03-01,1,1
2022-03-14,2,2
2022-03-16,1,1
2022-03-23,1,1
2022-03-26,1,1
2022-04-29,1,1
2022-06-04,1,1
2022-07-19,1,1
2022-07-21,1,1
2022-07-25,1,1
2022-08-22,1,1
2022-09-21,1,1
2022-09-23,2,2
2022-10-04,1,1
2022-10-07,1,1
2022-10-08,1,1
2022-10-11,1,1
2022-10-20,1,1
2022-10-28,1,1
2022-11-01,1,1
