date,hit_count,text_count
1999-06-01,1,1
1999-12-07,1,1
2000-04-11,1,1
2000-04-22,1,1
2000-04-26,1,1
2000-05-26,1,1
2000-07-26,1,1
2000-07-31,1,1
2000-08-08,1,1
2000-10-02,1,1
2000-10-18,1,1
2000-10-23,1,1
2000-11-18,1,1
2000-11-20,1,1
2001-01-16,1,1
2001-03-14,1,1
2001-04-23,1,1
2001-06-15,1,1
2001-06-21,1,1
2001-07-17,1,1
2001-07-26,1,1
2001-08-01,1,1
2001-11-09,1,1
2001-11-13,1,1
2001-11-14,1,1
2002-06-21,1,1
2002-07-09,1,1
2002-08-14,1,1
2002-08-15,1,1
2002-08-27,1,1
2002-09-02,1,1
2002-09-03,1,1
2002-09-05,1,1
2002-09-20,1,1
2002-10-08,1,1
2002-10-10,1,1
2002-10-11,1,1
2002-11-01,1,1
2002-11-02,1,1
2003-01-06,1,1
2003-08-07,1,1
2003-08-14,1,1
2003-09-18,1,1
2003-09-29,1,1
2003-11-06,1,1
2003-11-26,1,1
2004-01-28,1,1
2004-03-05,1,1
2004-03-30,1,1
2004-04-01,2,2
2004-05-07,1,1
2004-05-12,1,1
2004-05-28,1,1
2004-06-01,1,1
2004-06-02,1,1
2004-06-03,1,1
2004-06-05,1,1
2004-08-11,1,1
2004-10-01,1,1
2004-11-03,1,1
2005-01-26,1,1
2005-02-18,1,1
2005-02-24,1,1
2005-05-23,1,1
2005-05-27,1,1
2005-06-09,1,1
2005-06-30,1,1
2005-08-26,1,1
2005-08-29,1,1
2005-09-24,1,1
2005-09-30,1,1
2005-11-04,1,1
2005-11-28,1,1
2005-11-29,1,1
2005-12-01,2,2
2005-12-02,1,1
2005-12-05,1,1
2005-12-27,1,1
2006-01-03,1,1
2006-01-04,1,1
2006-01-18,1,1
2006-03-08,1,1
2006-03-30,2,2
2006-03-31,1,1
2006-04-03,1,1
2006-04-04,1,1
2006-04-05,1,1
2006-04-24,1,1
2006-05-20,1,1
2006-06-28,1,1
2006-07-07,1,1
2006-07-13,1,1
2006-08-04,1,1
2006-08-14,3,3
2006-08-26,1,1
2006-09-07,1,1
2006-10-21,1,1
2006-11-06,1,1
2006-11-15,1,1
2006-11-21,1,1
2006-12-01,1,1
2006-12-02,1,1
2006-12-04,1,1
2006-12-16,1,1
2006-12-29,1,1
2006-12-30,1,1
2007-01-02,1,1
2007-01-04,1,1
2007-01-08,1,1
2007-01-10,1,1
2007-01-12,1,1
2007-01-17,1,1
2007-01-19,1,1
2007-01-29,1,1
2007-01-30,1,1
2007-02-01,1,1
2007-02-05,3,3
2007-02-06,1,1
2007-02-08,3,3
2007-02-10,1,1
2007-02-14,1,1
2007-02-15,1,1
2007-02-16,1,1
2007-02-17,1,1
2007-02-21,3,3
2007-02-22,1,1
2007-02-24,1,1
2007-02-28,1,1
2007-03-02,2,2
2007-03-05,3,3
2007-03-06,2,2
2007-03-07,1,1
2007-03-08,1,1
2007-03-09,3,3
2007-03-10,4,4
2007-03-12,4,4
2007-03-13,1,1
2007-03-15,1,1
2007-03-16,3,3
2007-03-19,1,1
2007-03-27,1,1
2007-04-10,4,4
2007-04-11,1,1
2007-04-13,2,2
2007-04-16,1,1
2007-04-18,1,1
2007-04-23,1,1
2007-04-25,1,1
2007-04-26,1,1
2007-04-28,1,1
2007-04-30,1,1
2007-05-02,1,1
2007-05-04,2,2
2007-05-05,2,2
2007-05-07,1,1
2007-05-16,2,2
2007-05-18,1,1
2007-05-26,1,1
2007-06-04,1,1
2007-06-06,1,1
2007-06-11,1,1
2007-06-12,1,1
2007-06-13,2,2
2007-06-15,1,1
