date,hit_count,text_count
1997-05-04,1,1
1997-12-14,2,1
1998-05-31,1,1
1998-11-15,1,1
1999-03-07,1,1
1999-03-21,1,1
1999-06-13,1,1
1999-07-11,1,1
1999-09-12,1,1
1999-09-19,1,1
1999-11-14,1,1
2000-01-02,2,2
2000-01-09,1,1
2000-02-06,1,1
2000-02-20,1,1
2000-04-16,1,1
2000-05-21,1,1
2000-06-11,1,1
2000-09-17,1,1
2000-10-22,1,1
2000-11-26,2,1
2000-12-03,3,1
2000-12-10,2,2
2001-01-28,6,1
2001-02-18,1,1
2001-02-25,1,1
2001-04-01,3,3
2001-04-08,1,1
2001-04-29,1,1
2001-05-06,1,1
2001-05-13,2,2
2001-05-20,1,1
2001-05-27,2,1
2001-07-15,2,1
2001-07-22,3,3
2001-07-29,3,2
2001-09-02,3,1
2001-11-18,1,1
2002-01-13,1,1
2002-01-20,1,1
2002-02-17,2,1
2002-03-03,1,1
2002-05-05,1,1
2002-05-19,1,1
2002-06-16,1,1
2002-06-30,1,1
2002-07-14,5,2
2002-08-11,3,1
2002-08-18,4,4
2002-09-01,1,1
2002-11-03,2,2
2002-12-22,1,1
2003-01-05,1,1
2003-03-23,2,1
2003-06-01,2,2
2003-06-15,1,1
2003-07-06,1,1
2003-07-20,2,2
2003-07-27,7,2
2003-08-10,1,1
2003-08-24,1,1
2003-09-14,1,1
2003-09-21,1,1
2003-10-26,1,1
2004-01-04,2,2
2004-01-25,2,1
2004-02-01,1,1
2004-02-15,3,1
2004-02-22,4,2
2004-02-29,2,1
2004-03-07,2,1
2004-03-21,2,1
2004-04-04,1,1
2004-04-11,1,1
2004-05-23,1,1
2004-05-30,1,1
2004-06-13,2,1
2004-08-15,5,3
2004-09-05,2,1
2004-09-12,1,1
2004-09-19,1,1
2004-10-03,3,1
2004-10-17,2,2
2004-10-24,1,1
2004-11-07,1,1
2004-11-14,2,1
2004-12-05,8,1
2004-12-26,1,1
2005-01-02,1,1
2005-01-16,1,1
2005-01-30,1,1
2005-02-06,4,3
2005-02-13,10,2
2005-02-20,2,1
2005-02-27,2,2
2005-04-17,1,1
2005-05-08,3,3
2005-05-29,1,1
2005-06-05,1,1
2005-06-19,3,1
2005-07-10,2,2
2005-08-21,1,1
