date,hit_count,text_count
1999-08-29,1,1
2000-12-31,1,1
2001-01-07,1,1
2001-07-01,1,1
2001-07-22,2,2
2002-06-16,1,1
2002-08-25,4,4
2003-06-22,1,1
2003-08-03,1,1
2003-08-10,1,1
2003-08-17,1,1
2003-09-14,1,1
2004-02-29,1,1
2004-04-04,1,1
2004-04-11,1,1
2004-07-11,1,1
2004-11-21,1,1
2004-12-12,1,1
2005-01-23,1,1
2005-02-20,1,1
2005-02-27,1,1
2005-05-01,1,1
2005-05-08,1,1
2005-07-10,1,1
2005-08-07,1,1
2005-09-04,1,1
2005-10-30,1,1
2005-12-04,1,1
2006-01-08,1,1
2006-04-02,1,1
2006-04-16,1,1
2006-05-28,1,1
2006-06-11,1,1
2006-07-02,1,1
2006-07-09,1,1
2006-08-06,1,1
2006-09-03,1,1
2006-11-26,1,1
2006-12-17,2,2
2007-01-14,1,1
2007-01-21,2,2
2007-01-28,4,4
2007-02-11,4,4
2007-02-18,1,1
2007-02-25,1,1
2007-03-11,7,7
2007-03-18,3,3
2007-03-25,2,2
2007-04-01,2,2
2007-04-08,1,1
2007-04-22,1,1
2007-04-29,1,1
2007-05-06,2,2
2007-05-13,4,4
2007-05-20,2,2
2007-05-27,4,4
2007-06-03,10,10
2007-06-10,4,4
2007-06-17,4,4
2007-07-01,3,3
2007-07-08,5,5
2007-07-15,1,1
2007-07-22,1,1
2007-08-05,1,1
2007-08-12,1,1
2007-08-19,2,2
2007-08-26,4,4
2007-09-02,4,4
2007-09-16,2,2
2007-09-23,1,1
2007-09-30,1,1
2007-10-07,2,2
2007-10-14,3,3
2007-10-21,1,1
2007-11-11,3,3
2007-11-18,1,1
2007-11-25,1,1
2007-12-02,3,3
2007-12-09,2,2
2007-12-16,5,5
2007-12-23,1,1
2007-12-30,1,1
2008-01-06,2,2
2008-01-13,1,1
2008-01-20,1,1
2008-01-27,1,1
2008-03-09,1,1
2008-03-23,1,1
2008-04-13,2,2
2008-04-20,2,2
2008-06-01,1,1
2008-06-22,2,2
2008-06-29,1,1
2008-07-06,1,1
2008-07-20,1,1
2008-08-03,2,2
2008-08-10,1,1
2008-08-17,1,1
2008-08-31,2,2
2008-09-07,1,1
2008-09-28,1,1
2008-10-12,1,1
2008-10-19,1,1
2008-11-02,1,1
2008-11-09,3,3
