date,hit_count,text_count
2007-01-10,1,1
2007-11-02,1,1
2008-12-15,1,1
2009-01-23,1,1
2009-08-14,1,1
2010-05-29,1,1
2010-09-15,1,1
2010-11-30,1,1
2011-04-09,1,1
2011-06-16,1,1
2011-07-05,1,1
2011-07-19,1,1
2011-09-20,1,1
2012-08-16,1,1
2015-01-05,1,1
2018-02-23,1,1
2018-02-24,1,1
2018-03-26,1,1
2018-03-31,1,1
2018-05-04,1,1
2018-05-08,1,1
2018-05-11,2,2
2018-07-11,1,1
2018-08-22,1,1
2018-09-17,1,1
2018-10-02,1,1
2018-10-10,2,2
2019-01-23,1,1
2019-01-25,1,1
2019-01-29,1,1
2019-01-30,2,2
2019-02-19,1,1
2019-03-19,2,2
2019-04-04,1,1
2019-04-17,1,1
2019-04-25,1,1
2019-05-03,1,1
2019-05-20,1,1
2019-05-28,1,1
2019-06-01,1,1
2019-06-18,2,2
2019-06-22,1,1
2019-06-27,1,1
2019-06-28,1,1
2019-07-04,4,4
2019-07-11,1,1
2019-07-13,1,1
2019-07-17,2,2
2019-07-20,1,1
2019-07-24,1,1
2019-07-26,1,1
2019-07-30,2,2
2019-08-02,1,1
2019-08-08,1,1
2019-08-17,1,1
2019-08-21,1,1
2019-08-23,1,1
2019-08-24,1,1
2019-08-29,1,1
2019-09-03,1,1
2019-09-16,1,1
2019-09-21,3,3
2019-10-10,1,1
2019-10-22,1,1
2019-10-23,1,1
2019-11-07,1,1
2019-11-16,1,1
2019-11-20,1,1
2019-11-27,1,1
2019-12-03,1,1
2019-12-05,1,1
2019-12-07,1,1
2019-12-11,1,1
2019-12-12,1,1
2019-12-20,1,1
2020-01-03,1,1
2020-01-08,1,1
2020-01-11,1,1
2020-01-14,1,1
2020-01-15,4,4
2020-01-24,2,2
2020-02-11,1,1
2020-02-12,1,1
2020-02-24,1,1
2020-03-05,1,1
2020-03-30,1,1
2020-04-04,1,1
2020-04-08,1,1
2020-04-11,1,1
2020-04-24,1,1
2020-04-29,2,2
2020-05-02,2,2
2020-05-04,1,1
2020-05-05,1,1
2020-06-10,1,1
2020-06-16,1,1
2021-01-09,1,1
2021-01-20,1,1
2021-01-26,1,1
2021-01-28,1,1
2021-02-03,1,1
2021-02-11,1,1
2021-02-17,1,1
2021-02-27,1,1
2021-03-06,2,2
2021-03-09,1,1
2021-03-10,1,1
2021-03-11,1,1
2021-03-17,1,1
2021-03-20,2,2
2021-03-27,1,1
2021-04-03,1,1
2021-04-21,1,1
2021-04-23,5,5
2021-04-24,1,1
2021-05-05,1,1
2021-05-06,1,1
2021-05-08,1,1
2021-05-20,1,1
2021-05-28,1,1
2021-06-04,1,1
2021-06-10,1,1
2021-06-11,1,1
2021-06-14,4,4
2021-06-15,1,1
2021-06-16,1,1
2021-06-18,2,2
2021-06-19,1,1
2021-06-21,2,2
2021-06-22,1,1
2021-06-23,2,2
2021-07-06,1,1
2021-07-14,1,1
2021-07-17,1,1
2021-07-19,1,1
2021-07-23,1,1
2021-07-29,2,2
2021-08-03,1,1
2021-08-04,1,1
2021-08-10,1,1
2021-08-12,1,1
2021-08-18,1,1
2021-08-24,1,1
2021-08-25,1,1
2021-08-28,3,3
2021-08-30,2,2
2021-08-31,1,1
2021-09-13,1,1
2021-09-18,1,1
2021-09-20,1,1
2021-09-22,2,2
2021-09-23,1,1
2021-09-24,1,1
2021-09-27,1,1
2021-09-29,1,1
2021-10-02,1,1
2021-10-16,2,2
2021-10-18,1,1
2021-10-22,2,2
2021-10-23,3,3
2021-10-28,2,2
2021-10-30,1,1
2021-11-01,3,3
2021-11-02,1,1
2021-11-03,2,2
2021-11-12,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-20,2,2
2021-11-22,1,1
2021-11-23,1,1
2021-11-25,1,1
2021-12-01,1,1
2021-12-07,1,1
2021-12-18,1,1
2021-12-24,1,1
2021-12-27,1,1
2021-12-28,1,1
2021-12-31,1,1
2022-01-04,2,2
2022-01-07,2,2
2022-01-13,1,1
2022-01-19,1,1
2022-01-22,1,1
2022-01-29,2,2
2022-02-02,1,1
2022-02-04,1,1
2022-02-15,3,3
2022-02-16,1,1
2022-02-18,3,3
2022-02-21,1,1
2022-02-28,2,2
2022-03-01,2,2
2022-03-03,1,1
2022-03-04,3,3
2022-03-23,1,1
2022-03-26,1,1
2022-03-29,1,1
2022-04-01,1,1
2022-04-08,1,1
2022-04-09,1,1
2022-04-11,1,1
2022-04-14,1,1
2022-04-29,1,1
2022-05-04,1,1
2022-05-13,1,1
2022-06-10,1,1
2022-06-23,1,1
2022-07-11,2,2
2022-07-16,1,1
2022-07-29,1,1
2022-08-08,2,2
2022-08-09,1,1
2022-09-01,1,1
2022-09-12,1,1
2022-09-14,2,2
2022-09-17,1,1
2022-09-30,2,2
2022-10-03,1,1
2022-10-20,1,1
2022-10-28,1,1
2022-11-01,1,1
2022-11-08,1,1
2022-11-09,2,2
2022-11-15,1,1
2022-11-16,1,1
2022-11-26,1,1
2022-12-08,1,1
2022-12-13,2,2
2022-12-14,1,1
2022-12-16,1,1
2022-12-23,1,1
2022-12-28,1,1
