date,hit_count,text_count
2013-03-02,1,1
2013-04-03,1,1
2013-10-02,1,1
2014-09-13,1,1
2014-10-09,1,1
2014-10-21,1,1
2014-10-27,1,1
2018-08-21,1,1
2018-09-17,1,1
2019-05-16,1,1
2019-06-12,1,1
2019-06-14,2,2
2019-06-17,1,1
2019-06-18,1,1
2019-06-20,1,1
2019-07-04,1,1
2019-07-11,1,1
2019-08-02,1,1
2019-08-14,1,1
2019-08-24,1,1
2019-08-31,1,1
2019-09-13,1,1
2019-09-14,1,1
2019-09-20,1,1
2019-09-21,1,1
2019-09-28,1,1
2019-10-02,1,1
2019-12-03,1,1
2020-01-13,1,1
2020-01-17,1,1
2020-02-06,1,1
2020-02-12,1,1
2020-02-15,1,1
2020-02-19,1,1
2020-02-28,1,1
2020-06-20,1,1
2021-01-19,1,1
2021-02-05,1,1
2021-03-06,1,1
2021-03-15,1,1
2021-03-25,1,1
2021-06-07,1,1
2021-06-28,1,1
2021-07-06,1,1
2021-07-27,1,1
2021-08-16,1,1
2021-08-25,1,1
2021-08-28,1,1
2021-09-02,2,2
2021-09-11,1,1
2021-09-15,1,1
2021-09-20,1,1
2021-10-22,1,1
2021-12-17,1,1
2022-01-17,1,1
2022-02-19,1,1
2022-03-14,1,1
2022-03-26,2,2
2022-05-09,1,1
2022-05-30,1,1
2022-06-16,1,1
2022-07-12,1,1
2022-08-04,2,2
2022-09-20,1,1
2022-09-24,1,1
2022-11-03,1,1
2022-11-23,1,1
2022-12-12,1,1
