date,hit_count,text_count
2009-10-31,1,1
2010-01-14,1,1
2016-07-05,1,1
2017-05-23,1,1
2017-10-21,1,1
2018-01-19,1,1
2018-05-05,1,1
2018-12-14,1,1
2019-03-14,1,1
2019-04-10,1,1
2019-04-16,1,1
2019-06-19,1,1
2019-06-28,1,1
2019-06-29,1,1
2019-07-05,1,1
2019-07-22,1,1
2019-07-23,1,1
2019-08-13,1,1
2019-08-29,1,1
2019-08-31,1,1
2019-09-09,1,1
2019-09-18,1,1
2019-09-20,1,1
2019-10-04,1,1
2019-10-11,1,1
2019-10-21,1,1
2019-11-27,1,1
2019-11-30,1,1
2020-01-09,1,1
2020-01-16,1,1
2020-02-15,2,2
2020-03-06,1,1
2020-03-07,1,1
2020-04-25,1,1
2020-06-08,1,1
2020-06-10,1,1
2020-06-30,1,1
2020-09-12,1,1
2020-09-26,1,1
2020-10-28,1,1
2020-10-29,1,1
2020-11-10,1,1
2020-12-18,1,1
2021-01-04,1,1
2021-01-11,1,1
2021-01-25,2,2
2021-02-01,1,1
2021-02-05,1,1
2021-02-08,1,1
2021-02-11,1,1
2021-02-13,1,1
2021-03-09,1,1
2021-03-10,1,1
2021-03-20,1,1
2021-04-27,1,1
2021-05-22,1,1
2021-07-16,1,1
2021-08-14,1,1
2021-08-16,1,1
2021-09-01,1,1
2021-09-06,1,1
2021-09-11,1,1
2021-11-05,1,1
2021-11-12,1,1
2021-12-01,1,1
2021-12-03,1,1
2021-12-13,1,1
2022-01-15,1,1
2022-02-07,1,1
2022-02-10,1,1
2022-02-16,1,1
2022-02-19,1,1
2022-04-07,1,1
2022-04-29,1,1
2022-04-30,1,1
2022-05-07,1,1
2022-06-11,1,1
2022-07-14,1,1
2022-08-02,1,1
2022-08-09,1,1
2022-08-19,1,1
2022-08-23,1,1
2022-09-24,1,1
2022-10-19,1,1
2022-11-05,1,1
2022-11-12,1,1
2022-11-17,1,1
2022-11-28,1,1
2022-11-29,1,1
2022-12-01,1,1
2022-12-09,1,1
2022-12-14,1,1
2022-12-21,1,1
2022-12-28,1,1
2022-12-29,1,1
