date,hit_count,text_count
2012-01-31,1,1
2012-05-19,1,1
2012-10-23,1,1
2013-07-03,1,1
2014-01-15,1,1
2014-06-13,1,1
2014-09-22,1,1
2014-10-11,1,1
2015-02-09,1,1
2015-04-17,1,1
2015-06-24,1,1
2015-11-03,1,1
2015-12-02,1,1
2016-01-22,1,1
2016-01-29,1,1
2016-02-02,1,1
2016-07-01,1,1
2016-11-19,1,1
2017-02-02,1,1
2017-09-07,1,1
2017-11-02,1,1
2017-12-13,1,1
2018-01-10,1,1
2018-06-08,1,1
2018-11-10,1,1
2019-01-19,1,1
2019-01-22,1,1
2019-01-28,1,1
2019-01-29,1,1
2019-01-30,1,1
2019-02-04,1,1
2019-05-02,1,1
2019-05-07,1,1
2019-05-10,1,1
2019-05-28,1,1
2019-05-29,1,1
2019-06-06,1,1
2019-06-12,2,2
2019-09-21,1,1
2019-10-07,1,1
2019-10-19,3,3
2019-10-21,1,1
2019-10-26,1,1
2019-10-28,1,1
2019-10-29,1,1
2019-11-29,2,2
2019-11-30,1,1
2019-12-04,1,1
2019-12-06,1,1
2019-12-12,1,1
2019-12-17,1,1
2019-12-27,1,1
2020-01-07,1,1
2020-01-15,1,1
2020-01-29,1,1
2020-02-06,1,1
2020-02-15,1,1
2020-02-19,2,2
2020-02-29,1,1
2020-03-13,1,1
2020-05-06,1,1
2020-07-01,1,1
2020-08-29,1,1
2020-11-02,1,1
2020-11-25,1,1
2020-11-28,1,1
2020-12-15,1,1
2021-01-29,1,1
2021-01-30,1,1
2021-03-08,1,1
2021-03-11,1,1
2021-03-17,2,2
2021-03-29,1,1
2021-04-22,1,1
2021-04-30,1,1
2021-05-04,1,1
2021-05-05,1,1
2021-05-07,1,1
2021-05-14,1,1
2021-06-10,1,1
2021-06-12,1,1
2021-06-18,1,1
2021-06-19,1,1
2021-07-01,1,1
2021-07-09,1,1
2021-07-15,2,2
2021-07-21,1,1
2021-07-23,1,1
2021-07-27,1,1
2021-08-04,1,1
2021-08-10,2,2
2021-08-21,2,2
2021-08-31,1,1
2021-09-01,3,3
2021-09-09,1,1
2021-09-11,1,1
2021-09-20,2,2
2021-09-23,1,1
2021-09-24,1,1
2021-09-25,1,1
2021-09-27,1,1
2021-09-30,1,1
2021-10-02,1,1
2021-10-13,2,2
2021-10-16,2,2
2021-10-20,2,2
2021-10-21,1,1
2021-10-26,2,2
2021-10-28,1,1
2021-10-29,1,1
2021-10-30,1,1
2021-11-03,1,1
2021-11-25,1,1
2021-11-26,1,1
2021-11-29,1,1
2021-11-30,1,1
2021-12-07,1,1
2021-12-10,1,1
2021-12-29,1,1
2022-01-04,1,1
2022-01-11,1,1
2022-01-18,1,1
2022-01-19,1,1
2022-02-10,1,1
2022-03-03,1,1
2022-03-11,1,1
2022-03-12,1,1
2022-03-15,1,1
2022-03-21,2,2
2022-03-22,1,1
2022-03-24,1,1
2022-03-26,1,1
2022-03-28,1,1
2022-04-04,1,1
2022-04-11,1,1
2022-04-13,1,1
2022-05-03,1,1
2022-05-14,1,1
2022-05-18,1,1
2022-06-03,1,1
2022-06-11,1,1
2022-06-28,1,1
2022-06-29,1,1
2022-07-07,1,1
2022-07-08,1,1
2022-07-14,2,2
2022-07-15,1,1
2022-07-23,2,2
2022-08-01,1,1
2022-08-03,1,1
2022-08-09,1,1
2022-08-13,1,1
2022-08-30,1,1
2022-09-14,1,1
2022-09-28,1,1
2022-10-06,1,1
2022-10-12,1,1
2022-10-21,1,1
2022-11-02,1,1
2022-11-05,1,1
2022-11-12,1,1
2022-11-18,2,2
2022-11-21,1,1
2022-11-22,1,1
2022-11-26,1,1
2022-12-02,1,1
2022-12-05,1,1
2022-12-06,1,1
2022-12-07,1,1
2022-12-16,1,1
2022-12-22,1,1
2022-12-30,1,1
2022-12-31,6,6
