date,hit_count,text_count
2019-01-18,1,1
2019-01-26,1,1
2019-03-04,1,1
2019-03-09,2,2
2019-03-12,1,1
2019-03-23,1,1
2019-03-26,1,1
2019-03-27,1,1
2019-04-05,1,1
2019-05-04,1,1
2019-05-11,1,1
2019-05-18,1,1
2019-05-21,1,1
2019-05-23,1,1
2019-05-24,3,3
2019-05-25,4,4
2019-05-30,1,1
2019-06-03,1,1
2019-06-04,2,2
2019-06-06,1,1
2019-06-08,2,2
2019-06-11,1,1
2019-06-13,1,1
2019-06-14,1,1
2019-06-18,1,1
2019-06-19,3,3
2019-06-20,2,2
2019-06-22,4,4
2019-06-25,3,3
2019-06-26,1,1
2019-06-28,1,1
2019-06-29,4,4
2019-07-02,1,1
2019-07-04,3,3
2019-07-06,3,3
2019-07-09,4,4
2019-07-10,3,3
2019-07-11,2,2
2019-07-12,6,6
2019-07-13,4,4
2019-07-18,1,1
2019-07-19,2,2
2019-07-23,1,1
2019-07-24,2,2
2019-07-27,1,1
2019-07-29,1,1
2019-07-30,1,1
2019-08-01,2,2
2019-08-03,1,1
2019-08-10,2,2
2019-08-12,1,1
2019-08-13,2,2
2019-08-14,2,2
2019-08-17,1,1
2019-08-19,2,2
2019-08-21,1,1
2019-08-24,1,1
2019-08-28,2,2
2019-08-29,1,1
2019-09-02,1,1
2019-09-03,1,1
2019-09-04,1,1
2019-09-07,3,3
2019-09-09,1,1
2019-09-12,1,1
2019-09-13,1,1
2019-09-14,2,2
2019-09-16,1,1
2019-09-17,1,1
2019-09-18,3,3
2019-09-20,1,1
2019-09-21,2,2
2019-09-24,3,3
2019-09-25,3,3
2019-09-26,1,1
2019-09-28,2,2
2019-10-05,1,1
2019-10-10,1,1
2019-10-11,2,2
2019-10-19,1,1
2019-10-21,1,1
2019-10-29,1,1
2019-10-30,1,1
2019-11-11,1,1
2019-11-14,1,1
2019-11-15,3,3
2019-11-16,1,1
2019-11-19,3,3
2019-11-22,1,1
2019-11-23,2,2
2019-11-27,1,1
2019-11-28,1,1
2019-12-02,1,1
2019-12-06,1,1
2019-12-07,1,1
2019-12-10,1,1
2019-12-12,1,1
2019-12-13,1,1
2019-12-14,2,2
2019-12-19,3,3
2019-12-28,3,3
2020-01-06,2,2
2020-01-10,1,1
2020-01-13,1,1
2020-01-14,3,3
2020-01-15,1,1
2020-01-16,1,1
2020-01-17,1,1
2020-01-18,1,1
2020-01-22,1,1
2020-01-25,1,1
2020-01-29,1,1
2020-02-03,1,1
2020-02-12,1,1
2020-02-13,1,1
2020-02-19,2,2
2020-02-20,1,1
2020-02-27,3,3
2020-03-05,1,1
2020-03-11,1,1
2020-04-23,2,2
2020-04-25,2,2
2020-04-28,1,1
2020-07-25,1,1
2020-07-28,1,1
2020-08-19,1,1
2020-08-21,1,1
2020-08-28,1,1
2020-09-03,2,2
2020-09-07,1,1
2020-09-10,2,2
2020-09-16,1,1
2020-09-25,1,1
2020-09-26,1,1
2020-09-28,1,1
2020-10-01,2,2
2020-10-02,1,1
2020-11-04,1,1
2020-11-10,1,1
2020-12-03,1,1
2020-12-08,1,1
2020-12-19,1,1
2020-12-24,1,1
2021-01-02,1,1
2021-01-08,1,1
2021-01-12,1,1
2021-01-26,1,1
2021-01-30,1,1
2021-02-02,1,1
2021-02-03,1,1
2021-02-06,1,1
2021-02-09,1,1
2021-02-10,1,1
2021-02-16,1,1
2021-02-19,1,1
2021-02-20,2,2
2021-02-23,1,1
2021-02-24,1,1
2021-02-25,2,2
2021-02-27,1,1
2021-03-02,3,3
2021-03-10,1,1
2021-03-11,1,1
2021-03-20,1,1
2021-03-27,1,1
2021-03-29,1,1
2021-04-08,1,1
2021-04-10,1,1
2021-04-13,1,1
2021-04-15,1,1
2021-04-16,1,1
2021-04-17,2,2
2021-04-23,3,3
