date,hit_count,text_count
2019-02-04,1,1
2019-02-18,1,1
2019-02-20,1,1
2019-03-06,2,2
2019-03-15,1,1
2019-03-19,1,1
2019-03-25,2,2
2019-04-24,1,1
2019-05-24,1,1
2019-06-01,1,1
2019-06-03,1,1
2019-06-05,2,2
2019-06-11,1,1
2019-06-12,1,1
2019-06-13,1,1
2019-06-14,2,2
2019-06-15,1,1
2019-06-29,1,1
2019-07-02,1,1
2019-07-20,1,1
2019-07-31,1,1
2019-08-02,3,3
2019-08-06,1,1
2019-08-09,2,2
2019-08-10,1,1
2019-08-12,1,1
2019-08-14,1,1
2019-08-16,1,1
2019-08-17,2,2
2019-08-26,1,1
2019-08-28,4,4
2019-08-30,2,2
2019-09-09,1,1
2019-09-19,1,1
2019-09-21,1,1
2019-09-25,1,1
2019-09-26,4,4
2019-09-28,1,1
2019-10-01,1,1
2019-10-05,1,1
2019-10-08,1,1
2019-10-25,1,1
2019-10-28,1,1
2019-10-31,1,1
2019-11-02,1,1
2019-11-05,1,1
2019-11-06,1,1
2019-11-13,1,1
2019-11-15,1,1
2019-11-18,1,1
2019-11-19,1,1
2019-11-21,2,2
2019-11-22,2,2
2019-11-25,1,1
2019-11-27,1,1
2019-11-29,1,1
2019-11-30,1,1
2019-12-03,1,1
2019-12-09,1,1
2019-12-10,1,1
2019-12-12,1,1
2019-12-13,1,1
2019-12-17,1,1
2019-12-28,1,1
2020-01-03,1,1
2020-01-13,1,1
2020-01-16,1,1
2020-01-17,1,1
2020-01-23,1,1
2020-01-25,1,1
2020-01-28,1,1
2020-02-10,1,1
2020-02-19,1,1
2020-02-24,1,1
2020-02-25,1,1
2020-02-26,1,1
2020-02-28,1,1
2020-03-02,1,1
2020-03-05,1,1
2020-03-25,1,1
2020-04-18,1,1
2020-04-25,1,1
2020-04-29,1,1
2020-05-05,2,2
2020-05-07,1,1
2020-05-09,1,1
2020-05-30,1,1
2020-06-02,1,1
2020-06-05,1,1
2020-06-06,1,1
2020-06-08,1,1
2020-06-18,1,1
2020-06-22,1,1
2020-07-07,1,1
2020-07-14,1,1
2020-07-24,1,1
2020-08-01,1,1
2020-08-21,1,1
2020-09-09,1,1
2020-09-11,1,1
2020-09-15,1,1
2020-09-16,1,1
2020-09-17,1,1
2020-09-25,2,2
2020-09-26,1,1
2020-10-05,1,1
2020-10-06,1,1
2020-10-08,2,2
2020-10-16,2,2
2020-11-05,1,1
2020-11-10,1,1
2020-11-16,1,1
2020-11-21,1,1
2020-11-23,1,1
2020-11-24,1,1
2020-12-01,1,1
2020-12-15,1,1
2021-01-02,1,1
2021-01-06,1,1
2021-01-20,1,1
2021-01-23,1,1
2021-02-22,1,1
2021-03-02,1,1
2021-03-06,1,1
2021-03-15,1,1
2021-03-19,1,1
2021-03-22,1,1
2021-04-07,1,1
2021-04-19,2,2
2021-04-24,1,1
2021-05-03,1,1
2021-05-10,1,1
2021-05-13,1,1
2021-05-22,1,1
2021-05-25,1,1
2021-05-28,1,1
2021-06-02,1,1
2021-06-03,1,1
2021-06-05,2,2
2021-06-07,1,1
2021-06-12,1,1
2021-06-15,2,2
2021-06-22,1,1
2021-07-20,1,1
2021-07-21,1,1
2021-08-05,1,1
2021-08-07,1,1
2021-08-24,1,1
2021-08-26,1,1
2021-08-27,1,1
2021-08-28,1,1
2021-09-04,1,1
2021-09-06,1,1
2021-09-09,1,1
2021-09-10,1,1
2021-09-11,2,2
2021-09-22,1,1
2021-09-23,1,1
2021-09-24,2,2
2021-09-25,1,1
2021-10-01,1,1
2021-10-02,1,1
2021-10-06,1,1
2021-10-08,1,1
2021-10-14,1,1
2021-10-16,1,1
2021-10-18,1,1
2021-10-26,1,1
2021-11-01,1,1
2021-11-04,3,3
2021-11-08,1,1
2021-11-10,2,2
2021-11-11,1,1
2021-11-15,1,1
2021-11-16,1,1
2021-11-17,1,1
2021-11-18,2,2
2021-11-20,1,1
2021-11-25,1,1
2021-12-08,1,1
2021-12-09,1,1
2021-12-18,1,1
2022-01-08,1,1
2022-01-25,1,1
2022-02-19,2,2
2022-03-05,2,2
2022-03-07,1,1
2022-03-22,1,1
2022-03-23,1,1
2022-03-25,1,1
2022-03-26,1,1
2022-04-06,1,1
2022-04-09,1,1
2022-04-11,1,1
2022-04-29,1,1
2022-05-17,1,1
2022-05-21,1,1
2022-05-24,2,2
2022-05-25,1,1
2022-05-28,3,3
2022-05-31,2,2
2022-06-03,1,1
2022-06-04,1,1
2022-06-08,1,1
2022-06-13,1,1
2022-06-29,1,1
2022-07-02,1,1
2022-07-13,1,1
2022-07-15,1,1
2022-07-20,1,1
2022-07-25,1,1
2022-08-05,1,1
2022-08-15,1,1
2022-08-19,1,1
2022-09-03,1,1
2022-09-08,1,1
2022-09-10,1,1
2022-09-14,1,1
2022-09-24,1,1
2022-09-27,1,1
2022-10-01,1,1
2022-10-07,1,1
2022-10-19,1,1
2022-10-22,1,1
2022-10-25,1,1
2022-10-26,2,2
2022-11-03,1,1
2022-11-10,1,1
2022-11-12,1,1
2022-11-14,1,1
2022-11-17,1,1
2022-11-26,1,1
2022-11-28,1,1
2022-11-29,1,1
2022-12-15,1,1
2022-12-17,1,1
2022-12-27,1,1
2022-12-28,2,2
