date,hit_count,text_count
2012-11-15,1,1
2013-05-03,1,1
2018-01-11,1,1
2018-06-21,1,1
2019-01-31,2,2
2019-02-14,1,1
2019-03-14,1,1
2019-03-21,1,1
2019-04-04,1,1
2019-05-16,3,3
2019-07-25,1,1
2019-08-15,1,1
2019-08-22,1,1
2019-09-05,1,1
2019-09-26,3,3
2019-10-10,1,1
2019-11-14,1,1
2019-12-05,1,1
2019-12-12,1,1
2020-01-03,1,1
2020-01-09,1,1
2020-01-16,1,1
2020-01-23,2,2
2020-05-14,1,1
2020-06-11,1,1
2020-07-16,1,1
2020-08-06,1,1
2020-09-10,1,1
2020-09-17,2,2
2020-10-15,1,1
2020-10-22,1,1
2020-11-26,1,1
2021-01-14,1,1
2021-03-11,1,1
2021-03-25,1,1
2021-04-15,1,1
2021-06-24,1,1
2021-07-29,1,1
2021-09-16,1,1
2021-10-28,2,2
2021-11-04,1,1
2021-11-11,1,1
2021-12-02,1,1
2022-02-10,1,1
2022-03-03,1,1
2022-05-05,1,1
2022-09-01,1,1
2022-11-10,1,1
