date,hit_count,text_count
2013-12-09,1,1
2013-12-18,3,2
2014-01-24,1,1
2014-02-10,1,1
2014-02-14,1,1
2014-02-19,1,1
2014-02-20,1,1
2014-02-21,1,1
2014-03-18,1,1
2014-04-05,1,1
2014-04-17,3,2
2014-05-12,2,2
2014-05-30,1,1
2014-05-31,1,1
2014-06-11,2,1
2014-06-17,1,1
2014-07-03,1,1
2014-07-07,1,1
2014-08-07,1,1
2014-08-21,1,1
2014-08-28,3,1
2014-09-01,4,2
2014-09-05,1,1
2014-09-11,5,2
2014-09-12,1,1
2014-10-14,1,1
2014-10-21,1,1
2014-10-22,1,1
2014-10-31,1,1
2014-11-13,2,1
2014-11-21,1,1
2014-11-28,1,1
2014-12-03,1,1
2014-12-13,1,1
2015-01-29,1,1
2015-01-30,1,1
2015-01-31,4,2
2015-02-04,1,1
2015-04-13,2,1
2015-04-25,3,1
2015-05-07,1,1
2015-05-18,1,1
2015-05-30,1,1
2015-06-20,1,1
2015-06-26,1,1
2015-07-17,2,1
2015-07-22,3,1
2015-07-23,1,1
2015-08-17,1,1
2015-09-10,1,1
2015-09-23,4,1
2015-10-05,1,1
2015-11-04,2,1
2015-11-20,1,1
2015-11-27,1,1
2015-12-09,3,2
2015-12-18,4,2
2015-12-19,2,1
2016-01-04,4,3
2016-01-09,4,1
2016-01-16,1,1
2016-01-20,2,1
2016-01-21,2,1
2016-01-22,1,1
2016-01-25,2,1
2016-01-30,1,1
2016-02-12,2,1
2016-02-17,6,3
2016-02-18,3,1
2016-03-08,2,1
2016-03-10,1,1
2016-03-12,3,1
2016-03-19,1,1
2016-03-22,1,1
2016-04-05,1,1
2016-04-19,1,1
2016-04-28,1,1
2016-05-02,1,1
2016-05-03,1,1
2016-05-06,3,1
2016-05-25,2,1
2016-06-25,1,1
2016-06-30,1,1
2016-07-12,1,1
2016-07-13,2,1
2016-07-27,1,1
2016-08-08,1,1
2016-08-09,1,1
2016-08-12,2,2
2016-08-26,1,1
2016-08-30,1,1
2016-09-03,1,1
2016-09-15,1,1
2016-10-12,2,2
2016-10-14,1,1
2016-10-21,1,1
2016-10-26,1,1
2016-11-05,2,1
2016-11-17,1,1
2016-11-19,1,1
2016-12-09,1,1
2016-12-19,1,1
2016-12-28,1,1
2017-01-06,1,1
2017-02-25,1,1
2017-03-25,3,1
2017-03-28,1,1
2017-03-30,1,1
2017-04-05,2,1
2017-04-22,3,1
2017-05-04,1,1
