date,hit_count,text_count
2019-01-17,1,1
2019-01-19,1,1
2019-01-28,1,1
2019-02-06,1,1
2019-02-28,1,1
2019-03-02,1,1
2019-03-07,1,1
2019-03-09,1,1
2019-03-25,1,1
2019-04-29,1,1
2019-05-02,2,2
2019-05-06,2,2
2019-05-08,1,1
2019-05-09,1,1
2019-05-13,1,1
2019-05-15,1,1
2019-05-17,2,2
2019-05-18,1,1
2019-05-21,1,1
2019-05-23,1,1
2019-05-24,1,1
2019-05-28,4,4
2019-05-31,1,1
2019-06-06,1,1
2019-06-07,1,1
2019-06-11,1,1
2019-06-13,1,1
2019-06-15,3,3
2019-06-19,1,1
2019-06-20,1,1
2019-06-27,1,1
2019-07-01,1,1
2019-07-02,1,1
2019-07-04,1,1
2019-07-15,1,1
2019-07-22,2,2
2019-07-29,1,1
2019-08-07,1,1
2019-08-09,1,1
2019-08-12,1,1
2019-08-14,1,1
2019-08-16,2,2
2019-08-17,1,1
2019-08-23,1,1
2019-08-24,1,1
2019-08-27,1,1
2019-09-03,1,1
2019-09-09,2,2
2019-09-11,1,1
2019-09-12,2,2
2019-09-13,1,1
2019-09-17,2,2
2019-09-18,2,2
2019-09-19,2,2
2019-09-20,3,3
2019-09-23,2,2
2019-09-26,1,1
2019-09-27,1,1
2019-09-30,1,1
2019-10-02,1,1
2019-10-05,1,1
2019-10-19,1,1
2019-10-25,1,1
2019-11-18,1,1
2019-11-23,1,1
2019-11-25,1,1
2019-12-06,1,1
2019-12-07,1,1
2019-12-10,1,1
2019-12-11,1,1
2019-12-13,1,1
2019-12-17,1,1
2019-12-19,1,1
2019-12-27,1,1
2019-12-30,1,1
2020-01-21,1,1
2020-02-03,1,1
2020-02-10,1,1
2020-02-11,1,1
2020-02-13,1,1
2020-02-15,1,1
2020-02-19,1,1
2020-03-10,1,1
2020-03-27,1,1
2020-04-04,1,1
2020-04-21,1,1
2020-04-27,1,1
2020-05-23,1,1
2020-05-26,1,1
2020-06-20,1,1
2020-06-22,1,1
2020-07-03,1,1
2020-07-04,1,1
2020-07-08,1,1
2020-07-09,1,1
2020-07-11,1,1
2020-07-18,1,1
2020-07-25,1,1
2020-08-05,1,1
2020-08-12,3,3
2020-08-19,1,1
2020-08-20,1,1
2020-08-24,1,1
2020-08-31,1,1
2020-09-10,2,2
2020-09-14,1,1
2020-09-19,1,1
2020-09-24,1,1
2020-09-28,2,2
2020-10-07,1,1
2020-10-13,1,1
2020-10-21,1,1
2020-11-07,1,1
2020-11-10,1,1
2020-11-18,1,1
2020-11-24,1,1
2020-12-04,1,1
2020-12-30,2,2
2021-02-03,1,1
2021-02-08,1,1
2021-03-20,1,1
2021-03-25,1,1
2021-04-30,1,1
2021-05-05,1,1
2021-05-19,1,1
2021-05-21,1,1
2021-06-19,1,1
2021-06-23,1,1
2021-06-26,1,1
2021-06-28,1,1
2021-07-01,1,1
2021-07-02,1,1
2021-07-03,1,1
2021-07-09,1,1
2021-07-10,1,1
2021-07-16,1,1
2021-07-17,1,1
2021-07-22,1,1
2021-07-24,1,1
2021-07-30,1,1
2021-07-31,1,1
2021-08-03,1,1
2021-08-05,1,1
2021-08-07,2,2
2021-08-14,1,1
2021-08-19,1,1
2021-08-21,1,1
2021-08-28,1,1
2021-09-04,2,2
2021-09-07,1,1
2021-09-09,2,2
2021-09-10,2,2
2021-09-11,2,2
2021-09-14,2,2
2021-09-20,1,1
2021-09-22,1,1
2021-09-23,1,1
2021-09-24,2,2
2021-09-25,5,5
2021-09-27,1,1
2021-10-06,1,1
2021-10-11,1,1
2021-10-15,1,1
2021-10-20,1,1
2021-10-21,1,1
2021-10-22,2,2
2021-10-23,1,1
2021-10-29,1,1
2021-10-30,2,2
2021-11-02,1,1
2021-11-05,1,1
2021-11-06,1,1
2021-11-08,2,2
2021-11-11,2,2
2021-11-12,1,1
2021-11-15,2,2
2021-11-22,1,1
2021-11-25,1,1
2021-11-30,1,1
2021-12-10,1,1
2021-12-29,1,1
2021-12-31,1,1
2022-01-22,1,1
2022-01-31,1,1
2022-02-07,1,1
2022-02-15,1,1
2022-02-17,1,1
2022-02-19,1,1
2022-03-01,2,2
2022-03-24,1,1
2022-03-25,1,1
2022-03-26,1,1
2022-04-02,1,1
2022-04-07,2,2
2022-04-16,1,1
2022-05-06,1,1
2022-05-09,1,1
2022-05-23,1,1
2022-05-25,1,1
2022-05-30,1,1
2022-05-31,1,1
2022-06-08,1,1
2022-06-09,1,1
2022-06-15,2,2
2022-06-28,1,1
2022-06-29,1,1
2022-07-02,1,1
2022-07-04,1,1
2022-07-08,1,1
2022-07-14,1,1
2022-07-18,1,1
2022-07-19,1,1
2022-07-22,1,1
2022-07-27,2,2
2022-07-30,2,2
2022-08-05,1,1
2022-08-11,1,1
2022-08-15,1,1
2022-08-22,1,1
2022-08-24,1,1
2022-08-31,2,2
2022-09-03,4,4
2022-09-21,1,1
2022-09-22,2,2
2022-09-23,2,2
2022-09-24,2,2
2022-10-17,1,1
2022-10-19,1,1
2022-10-20,1,1
2022-10-22,3,3
2022-10-29,1,1
2022-11-02,1,1
2022-11-07,2,2
2022-11-09,1,1
2022-11-16,1,1
2022-11-19,1,1
2022-11-21,2,2
2022-12-08,1,1
2022-12-09,2,2
2022-12-10,2,2
2022-12-13,1,1
2022-12-16,1,1
2022-12-17,2,2
2022-12-20,1,1
2022-12-28,1,1
2022-12-31,1,1
