date,hit_count,text_count
2002-08-10,1,1
2002-08-12,1,1
2002-08-15,3,3
2002-08-17,4,1
2002-09-01,1,1
2002-09-02,4,1
2002-10-04,1,1
2003-01-05,4,1
2003-02-20,1,1
2003-03-21,1,1
2003-06-04,1,1
2003-11-01,1,1
2003-12-01,1,1
2004-01-28,1,1
2004-02-03,1,1
2004-03-09,1,1
2004-03-19,1,1
2004-03-21,1,1
2004-03-31,1,1
2004-05-26,1,1
2004-06-02,1,1
2004-06-05,1,1
2004-08-04,1,1
2004-11-03,1,1
2004-11-11,2,1
2004-11-24,1,1
2004-11-25,1,1
2004-12-08,1,1
2004-12-09,2,2
2005-01-21,1,1
2005-01-31,1,1
2005-02-16,2,2
2005-02-17,2,2
2005-02-19,1,1
2005-02-22,1,1
2005-02-24,1,1
2005-03-15,1,1
2005-03-18,3,1
2005-04-14,1,1
2005-04-18,1,1
2005-05-05,1,1
2005-05-06,1,1
2005-05-17,1,1
2005-06-01,1,1
2005-06-25,2,1
2005-07-08,1,1
2005-08-01,1,1
2005-08-03,1,1
2005-08-16,1,1
2005-08-30,2,1
2005-10-10,1,1
2005-10-12,1,1
2005-11-09,2,1
2005-12-03,1,1
2005-12-08,1,1
2005-12-10,2,1
2005-12-13,2,2
2006-02-09,1,1
2006-02-18,1,1
2006-02-20,2,1
2006-02-27,1,1
2006-03-29,1,1
2006-04-18,1,1
2006-04-21,1,1
2006-06-02,1,1
2006-06-15,1,1
2006-06-29,1,1
2006-08-04,1,1
2006-08-18,1,1
2006-08-21,2,1
2006-08-22,1,1
2006-09-04,2,1
2006-09-12,2,1
2006-09-19,1,1
2006-10-11,1,1
2006-11-02,1,1
2006-11-09,1,1
2006-11-13,1,1
2006-11-14,2,1
2006-11-17,1,1
2006-11-30,1,1
2006-12-14,1,1
2006-12-28,1,1
2006-12-29,1,1
2007-01-16,1,1
2007-01-17,2,1
2007-01-20,3,2
2007-01-25,1,1
2007-01-27,2,1
2007-02-02,1,1
2007-02-03,2,2
2007-02-04,1,1
2007-02-07,1,1
2007-02-11,1,1
2007-02-12,1,1
2007-02-13,1,1
2007-02-15,1,1
2007-02-16,2,2
2007-02-17,2,2
2007-02-18,1,1
2007-02-19,2,2
2007-02-21,9,5
2007-02-22,1,1
2007-02-23,4,2
2007-02-24,2,2
2007-02-25,3,1
2007-02-26,3,3
2007-02-27,1,1
2007-02-28,3,3
2007-03-01,1,1
2007-03-02,1,1
2007-03-03,4,2
2007-03-04,4,2
2007-03-06,3,2
2007-03-07,4,3
2007-03-08,3,1
2007-03-09,6,3
2007-03-10,5,3
2007-03-13,1,1
2007-03-15,6,4
2007-03-16,2,2
2007-03-17,1,1
2007-03-18,2,2
2007-03-20,1,1
2007-03-24,2,2
2007-03-25,3,2
2007-03-26,1,1
2007-03-28,2,1
2007-03-29,1,1
2007-04-07,3,2
2007-04-08,1,1
2007-04-10,3,2
2007-04-11,2,1
2007-04-12,1,1
2007-04-14,2,2
2007-04-16,2,1
2007-04-17,2,2
2007-04-18,1,1
2007-04-19,3,3
2007-04-25,2,2
2007-04-26,1,1
2007-04-29,2,1
2007-04-30,1,1
2007-05-01,4,1
2007-05-03,4,2
2007-05-04,2,2
2007-05-05,3,2
2007-05-06,2,1
2007-05-08,1,1
2007-05-09,1,1
2007-05-11,1,1
2007-05-12,1,1
2007-05-13,2,1
2007-05-14,1,1
2007-05-15,1,1
2007-05-16,1,1
2007-05-17,3,1
2007-05-24,3,3
2007-05-25,1,1
2007-05-29,1,1
2007-05-30,2,2
2007-05-31,1,1
2007-06-03,1,1
2007-06-07,3,1
2007-06-08,4,3
2007-06-09,2,1
2007-06-10,1,1
2007-06-18,3,2
2007-06-26,2,1
2007-07-01,1,1
2007-07-04,3,2
2007-07-06,1,1
2007-07-08,2,2
2007-07-12,2,1
2007-07-18,2,2
2007-07-25,1,1
2007-07-26,2,1
2007-08-06,1,1
2007-08-13,2,2
2007-08-14,1,1
2007-08-15,1,1
2007-08-18,2,1
2007-08-28,2,1
2007-08-31,1,1
2007-09-02,1,1
2007-09-05,1,1
2007-09-09,2,2
2007-09-24,1,1
2007-09-25,1,1
2007-09-26,3,2
2007-10-10,1,1
2007-10-13,7,2
2007-10-15,1,1
2007-10-19,3,2
2007-10-20,1,1
2007-10-27,2,1
2007-10-30,3,2
2007-11-01,2,2
2007-11-05,1,1
2007-11-08,1,1
2007-11-11,2,2
2007-11-14,2,1
2007-11-17,1,1
2007-11-23,1,1
2007-11-24,1,1
2007-11-27,2,1
2007-12-03,2,1
2007-12-06,2,2
2007-12-08,3,3
2007-12-10,3,2
2007-12-11,2,2
2007-12-12,9,4
2007-12-15,1,1
2007-12-16,1,1
2007-12-22,1,1
2007-12-27,1,1
2007-12-28,3,1
2007-12-29,1,1
2008-01-02,3,1
2008-01-03,1,1
2008-01-04,1,1
2008-01-05,2,1
2008-01-07,1,1
2008-01-14,1,1
2008-01-16,2,2
2008-01-29,1,1
2008-01-31,1,1
2008-02-01,1,1
2008-02-04,2,2
2008-02-09,1,1
2008-02-10,1,1
2008-02-17,1,1
2008-02-19,1,1
2008-02-20,1,1
2008-02-21,2,1
2008-02-23,1,1
2008-02-24,1,1
2008-02-26,1,1
2008-02-27,1,1
2008-02-28,2,1
2008-03-03,1,1
2008-03-06,1,1
2008-03-11,2,1
2008-03-13,2,2
2008-03-14,2,2
2008-03-18,2,2
2008-03-26,1,1
2008-03-27,1,1
2008-03-28,1,1
2008-03-30,1,1
2008-04-01,1,1
2008-04-06,1,1
2008-04-13,1,1
2008-04-17,2,1
2008-04-19,1,1
2008-04-20,1,1
2008-04-25,1,1
2008-04-26,1,1
2008-05-02,1,1
2008-05-05,1,1
2008-05-08,1,1
2008-05-16,1,1
2008-05-17,1,1
2008-05-18,1,1
2008-05-20,3,2
2008-05-24,1,1
2008-06-04,2,2
2008-06-08,1,1
2008-06-10,2,2
2008-06-11,1,1
2008-06-12,1,1
2008-06-15,1,1
2008-06-17,1,1
2008-06-19,2,1
2008-06-23,2,1
2008-06-24,2,1
2008-07-07,1,1
2008-07-09,2,1
2008-07-10,1,1
2008-07-12,3,1
2008-07-16,1,1
2008-07-17,1,1
2008-07-28,2,2
2008-07-29,1,1
2008-08-05,2,2
2008-08-06,1,1
2008-08-14,1,1
2008-08-16,1,1
2008-08-29,1,1
2008-09-04,2,2
2008-09-09,1,1
2008-09-12,2,2
2008-09-16,1,1
2008-09-17,1,1
2008-09-18,1,1
2008-09-28,1,1
2008-10-10,2,1
2008-10-16,1,1
2008-10-18,2,1
2008-10-28,1,1
2008-11-04,1,1
2008-11-05,1,1
2008-11-06,3,2
2008-11-08,4,2
2008-11-09,2,1
2008-11-11,2,1
2008-11-16,1,1
2008-11-27,1,1
2008-12-02,1,1
2008-12-03,1,1
2008-12-05,1,1
2008-12-08,1,1
2008-12-14,2,2
2008-12-31,1,1
2009-01-07,1,1
2009-01-08,2,1
2009-01-09,1,1
2009-01-10,1,1
2009-01-16,1,1
2009-01-21,2,1
2009-01-29,1,1
2009-02-03,2,1
2009-02-12,1,1
2009-02-22,1,1
2009-03-06,1,1
2009-03-07,1,1
2009-03-08,1,1
2009-03-17,1,1
2009-03-18,1,1
2009-03-30,1,1
2009-04-06,1,1
2009-04-09,1,1
2009-04-26,1,1
2009-05-05,2,2
2009-05-10,1,1
2009-05-11,1,1
2009-05-17,1,1
2009-05-29,1,1
2009-06-05,1,1
2009-06-09,2,1
2009-06-17,1,1
2009-06-19,1,1
2009-06-20,1,1
2009-06-22,1,1
2009-06-26,1,1
2009-06-27,3,1
2009-06-29,1,1
2009-07-03,1,1
2009-07-07,1,1
2009-07-11,1,1
2009-07-17,1,1
2009-07-19,3,3
2009-07-22,1,1
2009-07-24,2,1
2009-07-27,1,1
2009-08-07,2,1
2009-08-12,2,2
2009-08-17,1,1
2009-08-19,3,1
2009-08-20,2,1
2009-08-30,1,1
2009-09-03,1,1
2009-09-04,1,1
2009-09-13,1,1
2009-09-18,1,1
2009-09-27,1,1
2009-09-28,1,1
2009-10-02,1,1
2009-10-10,5,2
2009-10-14,3,2
2009-10-18,1,1
2009-10-21,1,1
2009-10-22,2,1
2009-11-01,2,1
2009-11-04,1,1
2009-11-09,1,1
2009-11-11,1,1
2009-11-18,1,1
2009-11-30,2,1
2009-12-05,1,1
2009-12-09,7,3
2009-12-13,3,1
2009-12-18,2,1
2009-12-21,2,2
2009-12-22,1,1
2009-12-30,3,1
2010-02-01,1,1
2010-02-07,1,1
2010-02-08,1,1
2010-02-17,5,1
2010-02-21,1,1
2010-03-09,1,1
2010-03-14,9,4
2010-03-17,1,1
2010-03-22,3,2
2010-03-27,3,2
2010-03-29,2,1
2010-04-15,2,1
2010-04-18,1,1
2010-04-22,3,1
2010-05-03,2,1
2010-05-05,2,1
2010-05-07,1,1
2010-05-10,2,2
2010-05-12,1,1
2010-06-01,2,1
2010-06-18,1,1
2010-06-27,4,1
2010-07-13,1,1
2010-07-16,3,2
2010-08-17,1,1
2010-08-24,2,2
2010-08-28,3,1
2010-08-30,1,1
2010-09-08,1,1
2010-09-15,4,2
2010-09-28,1,1
2010-10-02,1,1
2010-10-07,1,1
2010-10-15,3,1
2010-10-24,1,1
2010-10-26,1,1
2010-10-29,1,1
2010-11-03,1,1
2010-11-13,1,1
2010-12-03,1,1
2010-12-09,1,1
2010-12-10,1,1
2010-12-11,1,1
2010-12-12,4,1
2010-12-13,1,1
2010-12-22,1,1
2010-12-30,1,1
2011-01-03,1,1
2011-01-18,2,1
2011-01-31,1,1
2011-02-12,1,1
2011-02-14,1,1
2011-02-15,1,1
2011-02-16,2,1
2011-02-19,1,1
2011-02-20,1,1
2011-02-25,1,1
2011-03-05,1,1
2011-03-09,2,1
2011-03-18,1,1
2011-03-20,1,1
2011-04-01,2,1
2011-04-02,1,1
2011-04-10,1,1
2011-04-18,1,1
2011-04-19,1,1
2011-05-05,4,1
2011-05-07,1,1
2011-06-18,1,1
2011-06-21,1,1
