date,hit_count,text_count
2002-08-15,1,1
2003-01-05,1,1
2004-03-09,1,1
2005-04-18,1,1
2005-08-16,1,1
2006-12-29,1,1
2007-01-23,1,1
2007-02-08,1,1
2007-02-10,1,1
2007-02-11,1,1
2007-02-12,1,1
2007-02-23,1,1
2007-02-25,1,1
2007-03-06,1,1
2007-03-09,1,1
2007-03-15,2,2
2007-04-10,1,1
2007-05-05,1,1
2007-08-22,1,1
2007-10-30,1,1
2007-11-17,1,1
2007-12-12,2,2
2007-12-28,1,1
2008-06-24,1,1
2008-08-04,1,1
2008-11-04,1,1
2008-11-05,1,1
2009-06-09,1,1
2009-07-05,1,1
2011-01-18,1,1
2013-06-29,1,1
2015-09-08,1,1
2016-11-05,1,1
2017-06-11,1,1
2017-09-03,1,1
2019-01-19,1,1
2019-01-22,1,1
2019-01-27,1,1
2019-01-29,1,1
2019-03-27,2,2
2019-08-03,1,1
2019-08-24,1,1
2019-10-21,1,1
2019-11-05,1,1
2019-11-17,1,1
2019-12-06,1,1
2019-12-27,2,2
2019-12-29,1,1
2020-01-19,1,1
2020-08-16,1,1
2020-09-25,1,1
2020-11-16,1,1
2021-03-02,1,1
2021-04-16,2,2
2021-04-27,1,1
2021-05-21,1,1
2021-06-15,1,1
2021-07-04,1,1
2021-07-20,1,1
2021-08-11,1,1
2021-08-22,1,1
2021-09-28,1,1
2021-12-07,1,1
2022-05-07,2,2
2022-05-15,1,1
2022-05-24,1,1
2022-08-09,1,1
2022-08-30,1,1
2022-09-01,1,1
2022-11-08,1,1
2022-11-25,1,1
2022-12-09,1,1
