date,hit_count,text_count
2000-01-28,1,1
2001-07-16,1,1
2002-02-05,1,1
2002-02-15,1,1
2002-07-12,1,1
2002-08-16,1,1
2002-09-03,1,1
2003-03-14,1,1
2003-08-16,1,1
2004-05-24,1,1
2004-05-26,2,2
2004-06-01,1,1
2004-06-04,1,1
2004-06-05,1,1
2004-10-01,1,1
2005-02-16,1,1
2005-05-11,1,1
2005-07-02,1,1
2006-08-26,1,1
2006-10-06,1,1
2006-11-04,1,1
2006-11-07,1,1
2007-01-10,1,1
2007-01-27,1,1
2007-02-01,1,1
2007-02-05,1,1
2007-02-10,2,2
2007-02-17,1,1
2007-02-19,1,1
2007-02-23,1,1
2007-03-05,2,2
2007-03-10,1,1
2007-03-19,1,1
2007-03-27,1,1
2007-04-13,2,2
2007-04-18,1,1
2007-05-03,1,1
2007-05-05,1,1
2007-05-21,1,1
2007-05-22,1,1
2007-05-25,1,1
2007-05-30,1,1
2007-06-02,2,2
2007-06-06,1,1
2007-06-08,2,2
2007-06-13,1,1
2007-09-22,1,1
2007-10-09,1,1
2007-10-10,1,1
2007-10-13,2,2
2007-10-24,1,1
2007-12-08,1,1
2007-12-10,1,1
2007-12-18,1,1
2008-02-09,1,1
2008-03-04,1,1
2008-03-06,1,1
2008-03-07,1,1
2008-05-02,2,2
2008-05-17,1,1
2008-05-28,3,3
2008-06-20,1,1
2008-07-05,1,1
2008-08-22,1,1
2008-10-11,1,1
2008-11-06,2,2
2009-02-28,1,1
2009-03-31,1,1
2009-04-25,1,1
2009-05-11,1,1
2009-05-22,1,1
2009-06-02,2,2
2009-06-10,1,1
2009-09-03,1,1
2009-09-23,1,1
2009-10-28,1,1
2009-11-13,2,2
2009-11-24,2,2
2009-12-07,1,1
2009-12-11,3,3
2009-12-12,1,1
2009-12-14,1,1
2010-01-02,2,2
2010-03-16,1,1
2010-07-15,1,1
2010-10-14,1,1
2010-11-26,1,1
2010-12-20,2,2
2011-06-11,1,1
2011-09-15,2,2
2012-03-31,1,1
2012-04-17,1,1
2012-06-26,1,1
2012-11-15,1,1
2012-12-17,1,1
2013-02-26,2,2
2013-04-15,1,1
2013-05-06,1,1
2013-06-29,1,1
2013-07-19,1,1
2013-10-04,1,1
2014-09-06,1,1
2014-09-08,1,1
2014-11-26,1,1
2014-12-02,1,1
2015-05-05,1,1
2015-11-28,1,1
2015-12-12,1,1
2016-01-05,1,1
2016-07-21,1,1
2016-09-14,1,1
2016-10-05,1,1
2016-12-28,1,1
2017-03-28,1,1
2017-04-08,2,2
2017-04-11,1,1
2017-05-27,1,1
2017-06-01,1,1
2017-07-22,1,1
2017-08-19,3,3
2017-08-21,1,1
2017-11-08,1,1
2018-04-30,1,1
2018-07-25,1,1
2018-07-26,1,1
2018-07-28,1,1
2018-08-03,1,1
2018-08-11,1,1
2018-08-17,1,1
2018-08-24,1,1
2018-09-22,1,1
2018-10-13,1,1
2018-10-15,1,1
2018-10-20,1,1
2018-10-26,2,2
2018-11-09,1,1
2018-12-01,1,1
2018-12-17,1,1
2019-01-12,1,1
2019-01-14,1,1
2019-01-17,1,1
2019-02-04,1,1
2019-02-05,1,1
2019-02-15,1,1
2019-02-16,1,1
2019-02-21,2,2
2019-02-27,1,1
2019-03-02,1,1
2019-03-13,1,1
2019-04-02,1,1
2019-04-05,1,1
2019-04-08,1,1
2019-04-12,1,1
2019-04-23,1,1
2019-04-25,1,1
2019-04-26,1,1
2019-04-29,1,1
2019-05-04,1,1
2019-05-13,1,1
2019-05-16,1,1
2019-05-22,1,1
2019-05-23,1,1
2019-05-25,1,1
2019-05-27,1,1
2019-05-29,1,1
2019-05-31,1,1
2019-06-03,1,1
2019-06-05,1,1
2019-06-12,1,1
2019-06-15,1,1
2019-06-22,1,1
2019-06-24,2,2
2019-06-26,2,2
2019-06-28,1,1
2019-07-12,1,1
2019-07-13,3,3
2019-07-17,1,1
2019-07-20,1,1
2019-07-30,1,1
2019-08-02,2,2
2019-08-08,1,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-12,1,1
2019-08-13,1,1
2019-08-15,1,1
2019-08-26,1,1
2019-08-27,1,1
2019-08-31,2,2
2019-09-20,2,2
2019-09-28,2,2
2019-10-04,1,1
2019-10-05,2,2
2019-10-08,1,1
2019-10-18,1,1
2019-10-19,2,2
2019-10-29,1,1
2019-11-01,2,2
2019-11-02,1,1
2019-11-09,1,1
2019-11-15,1,1
2019-11-16,1,1
2019-11-28,2,2
2019-11-29,3,3
2019-12-02,1,1
2019-12-05,1,1
2019-12-07,1,1
2019-12-10,1,1
2019-12-13,1,1
2019-12-17,1,1
2019-12-23,1,1
2019-12-27,1,1
2019-12-28,1,1
2019-12-30,1,1
2019-12-31,1,1
2020-01-07,1,1
2020-01-11,1,1
2020-01-14,1,1
