date,hit_count,text_count
2000-01-28,1,1
2000-07-27,1,1
2000-08-28,1,1
2000-10-19,1,1
2000-10-28,1,1
2000-11-24,1,1
2001-02-24,1,1
2001-06-08,1,1
2001-06-15,2,2
2001-07-17,1,1
2002-02-20,1,1
2002-06-05,1,1
2002-09-03,1,1
2002-09-14,2,2
2003-12-13,1,1
2004-02-26,3,3
2004-03-23,1,1
2004-03-30,1,1
2004-05-22,1,1
2004-06-07,1,1
2004-10-01,1,1
2004-11-11,1,1
2005-02-16,1,1
2005-02-17,1,1
2005-02-25,1,1
2005-04-12,1,1
2005-06-13,1,1
2005-06-22,1,1
2005-07-28,1,1
2005-11-02,1,1
2006-04-07,1,1
2006-04-22,1,1
2006-05-31,1,1
2006-08-05,1,1
2006-10-06,1,1
2006-11-01,1,1
2006-12-01,1,1
2006-12-09,1,1
2006-12-14,1,1
2007-02-20,1,1
2007-02-21,1,1
2007-02-24,1,1
2007-02-26,1,1
2007-03-03,1,1
2007-03-12,2,2
2007-03-13,1,1
2007-03-14,1,1
2007-03-17,1,1
2007-03-26,1,1
2007-04-27,1,1
2007-05-04,1,1
2007-05-24,1,1
2007-05-30,1,1
2007-06-02,1,1
2007-06-04,1,1
2007-06-08,2,2
2007-06-13,1,1
2007-06-21,1,1
2007-06-25,1,1
2007-08-06,1,1
2007-08-07,1,1
2007-08-13,1,1
2007-08-14,1,1
2007-08-15,1,1
2007-08-21,1,1
2007-08-23,1,1
2007-08-31,1,1
2007-09-24,1,1
2007-10-06,2,2
2007-10-10,1,1
2007-10-20,1,1
2007-10-22,1,1
2007-10-23,1,1
2007-10-26,1,1
2007-11-19,1,1
2007-11-20,1,1
2007-11-26,1,1
2007-12-01,1,1
2007-12-03,2,2
2007-12-06,2,2
2007-12-11,2,2
2007-12-13,1,1
2007-12-17,1,1
2007-12-18,1,1
2008-01-07,1,1
2008-01-11,2,2
2008-01-12,1,1
2008-01-16,2,2
2008-01-22,1,1
2008-01-24,1,1
2008-03-06,1,1
2008-03-07,1,1
2008-03-19,1,1
2008-04-28,1,1
2008-04-30,1,1
2008-06-07,1,1
2008-06-11,1,1
2008-06-12,1,1
2008-06-19,4,4
2008-06-25,1,1
2008-07-10,2,2
2008-09-16,1,1
2008-10-16,2,2
2008-10-17,1,1
2008-10-21,1,1
2008-10-22,2,2
2008-10-24,1,1
2008-10-28,1,1
2008-10-30,1,1
2008-11-04,2,2
2008-11-08,1,1
2008-11-11,2,2
2008-11-15,3,3
2008-12-05,3,3
2008-12-12,1,1
2008-12-13,5,5
2008-12-27,1,1
