date,hit_count,text_count
2000-01-05,2,1
2000-01-28,1,1
2000-02-26,1,1
2000-03-03,1,1
2000-03-04,1,1
2000-03-07,1,1
2000-03-24,5,2
2000-03-29,2,2
2000-04-07,1,1
2000-04-25,1,1
2000-05-17,2,2
2000-05-24,1,1
2000-05-26,7,1
2000-05-31,2,2
2000-06-09,1,1
2000-06-14,1,1
2000-06-19,1,1
2000-06-29,1,1
2000-07-14,2,1
2000-07-15,1,1
2000-07-22,1,1
2000-07-27,1,1
2000-08-01,1,1
2000-08-03,1,1
2000-08-04,1,1
2000-08-17,1,1
2000-08-28,1,1
2000-09-14,1,1
2000-09-16,1,1
2000-09-29,1,1
2000-09-30,1,1
2000-10-02,1,1
2000-10-10,1,1
2000-10-11,1,1
2000-10-17,1,1
2000-10-19,3,2
2000-10-21,1,1
2000-10-24,1,1
2000-10-26,2,1
2000-10-28,1,1
2000-11-10,2,1
2000-11-13,3,2
2000-11-14,5,1
2000-11-21,2,1
2000-11-24,2,1
2000-11-27,2,1
2000-12-04,1,1
2000-12-08,7,2
2000-12-09,1,1
2000-12-11,1,1
2000-12-21,4,3
2000-12-29,2,1
2001-01-23,4,1
2001-01-31,17,3
2001-02-06,3,1
2001-02-07,1,1
2001-02-08,2,1
2001-02-12,1,1
2001-02-15,1,1
2001-02-22,1,1
2001-02-24,1,1
2001-02-27,2,1
2001-03-05,1,1
2001-03-06,2,2
2001-03-07,1,1
2001-03-10,1,1
2001-03-14,4,2
2001-03-19,3,1
2001-03-28,1,1
2001-03-30,1,1
2001-03-31,3,2
2001-04-03,7,2
2001-04-06,2,1
2001-04-11,2,2
2001-04-12,2,2
2001-04-23,2,2
2001-04-24,3,2
2001-04-26,1,1
2001-04-30,1,1
2001-05-22,6,1
2001-05-26,1,1
2001-06-02,1,1
2001-06-05,3,2
2001-06-06,1,1
2001-06-08,2,1
2001-06-11,2,1
2001-06-13,1,1
2001-06-15,2,1
2001-06-16,1,1
2001-06-18,2,2
2001-06-27,4,2
2001-07-06,1,1
2001-07-10,2,2
2001-07-11,1,1
2001-07-14,1,1
2001-07-16,2,1
2001-07-17,13,2
2001-07-19,1,1
2001-07-20,2,1
2001-07-21,2,1
2001-07-23,1,1
2001-07-24,1,1
2001-07-25,6,3
2001-07-26,1,1
2001-07-31,4,4
2001-08-02,1,1
2001-08-04,1,1
2001-08-17,1,1
2001-08-18,1,1
2001-09-06,1,1
2001-09-13,2,2
2001-09-19,2,1
2001-09-29,1,1
2001-10-01,1,1
2001-10-06,1,1
2001-10-11,4,2
2001-10-30,2,1
2001-11-09,3,1
2001-11-12,1,1
2001-11-28,4,2
2001-12-04,1,1
2001-12-08,2,1
2002-01-05,3,2
2002-01-16,1,1
2002-01-21,1,1
2002-02-05,2,2
2002-02-15,2,1
2002-02-18,1,1
2002-02-20,5,2
2002-03-02,6,2
2002-03-05,3,2
2002-03-12,1,1
2002-03-14,1,1
2002-03-15,3,2
2002-03-16,1,1
2002-03-23,2,1
2002-04-03,1,1
2002-04-12,1,1
2002-04-15,2,1
2002-04-18,2,1
2002-04-19,5,1
2002-05-11,1,1
2002-05-15,1,1
2002-05-22,5,2
2002-05-28,1,1
2002-06-01,5,2
2002-06-04,1,1
2002-06-05,1,1
2002-06-26,2,1
2002-07-03,1,1
2002-07-08,1,1
2002-07-11,1,1
2002-07-12,4,3
2002-07-18,1,1
2002-07-22,1,1
2002-07-31,1,1
2002-08-01,3,1
2002-08-10,2,2
2002-08-12,3,1
2002-08-13,5,2
2002-08-15,5,3
2002-08-17,2,2
2002-08-20,3,3
2002-08-22,3,2
2002-08-23,1,1
2002-08-26,3,2
2002-08-28,2,1
2002-08-29,2,2
2002-08-31,1,1
2002-09-03,6,2
2002-09-06,1,1
2002-09-09,1,1
2002-09-10,3,2
2002-09-14,4,1
2002-09-16,2,1
2002-09-18,1,1
2002-09-27,3,1
2002-10-07,2,1
2002-10-08,1,1
2002-10-09,1,1
2002-10-11,1,1
2002-10-12,1,1
2002-10-23,2,1
2002-11-02,4,2
2002-11-07,1,1
2002-11-16,1,1
2002-11-23,1,1
2002-11-29,2,2
2002-12-10,2,1
2002-12-27,1,1
2003-01-11,1,1
2003-01-18,1,1
2003-01-29,6,1
2003-02-04,1,1
2003-02-06,1,1
2003-02-14,1,1
2003-03-13,1,1
2003-03-15,1,1
2003-04-17,1,1
2003-04-19,2,2
2003-04-26,1,1
2003-05-13,1,1
2003-05-15,1,1
2003-05-16,1,1
2003-05-17,2,1
2003-05-22,2,2
2003-06-03,2,2
2003-06-05,1,1
2003-06-11,1,1
2003-06-12,1,1
2003-06-19,4,1
2003-06-27,3,1
2003-07-08,1,1
2003-07-11,1,1
2003-07-18,1,1
2003-07-23,2,2
2003-07-26,1,1
2003-08-02,1,1
2003-08-05,1,1
2003-08-06,1,1
2003-08-08,7,4
2003-08-09,1,1
2003-08-12,1,1
2003-08-13,2,2
2003-08-16,1,1
2003-08-21,1,1
2003-08-27,1,1
2003-08-28,9,4
2003-08-30,1,1
2003-09-04,1,1
2003-09-05,1,1
2003-09-06,1,1
