date,hit_count,text_count
2007-01-18,2,2
2007-01-19,1,1
2007-01-22,1,1
2007-01-30,1,1
2007-02-02,1,1
2007-02-03,1,1
2007-02-08,1,1
2007-02-10,1,1
2007-02-12,1,1
2007-02-15,1,1
2007-02-20,1,1
2007-02-22,1,1
2007-02-24,1,1
2007-02-27,1,1
2007-02-28,1,1
2007-03-02,1,1
2007-03-09,1,1
2007-03-10,2,2
2007-03-13,1,1
2007-03-14,1,1
2007-03-16,5,5
2007-03-17,3,3
2007-03-19,2,2
2007-03-21,1,1
2007-03-23,1,1
2007-03-26,3,3
2007-03-30,1,1
2007-04-02,1,1
2007-04-04,1,1
2007-04-07,1,1
2007-04-10,1,1
2007-04-11,1,1
2007-04-14,1,1
2007-04-18,1,1
2007-04-23,1,1
2007-04-25,2,2
2007-04-27,1,1
2007-05-11,1,1
2007-05-15,1,1
2007-05-18,1,1
2007-05-19,1,1
2007-05-22,1,1
2007-05-23,2,2
2007-05-24,1,1
2007-05-25,2,2
2007-05-26,2,2
2007-05-29,1,1
2007-05-30,1,1
2007-06-04,4,4
2007-06-05,2,2
2007-06-06,5,5
2007-06-07,4,4
2007-06-08,4,4
2007-06-09,3,3
2007-06-12,1,1
2007-06-13,2,2
2007-06-15,1,1
2007-06-16,1,1
2007-06-18,2,2
2007-06-19,1,1
2007-06-21,1,1
2007-06-22,1,1
2007-06-28,1,1
2007-07-04,1,1
2007-07-07,1,1
2007-07-10,1,1
2007-07-24,1,1
2007-07-26,1,1
2007-08-01,1,1
2007-08-02,1,1
2007-08-20,1,1
2007-08-23,1,1
2007-08-24,1,1
2007-08-25,1,1
2007-09-11,1,1
2007-09-27,1,1
2007-10-06,1,1
2007-10-11,1,1
2007-10-13,1,1
2007-10-27,1,1
2007-11-03,1,1
2007-11-07,1,1
2007-11-12,2,2
2007-11-21,1,1
2007-11-22,1,1
2007-11-28,1,1
2007-12-04,1,1
2007-12-05,1,1
2007-12-06,2,2
2007-12-07,2,2
2007-12-08,2,2
2007-12-10,1,1
2007-12-15,2,2
2007-12-19,1,1
2007-12-20,2,2
2007-12-24,1,1
2008-01-03,1,1
2008-01-08,1,1
2008-01-09,1,1
2008-01-25,1,1
2008-02-04,1,1
2008-02-05,1,1
2008-02-08,1,1
2008-02-19,2,2
2008-02-20,1,1
2008-02-29,1,1
2008-04-01,1,1
2008-04-10,1,1
2008-04-12,1,1
2008-04-17,1,1
2008-04-22,1,1
2008-04-28,1,1
2008-05-07,1,1
2008-05-13,1,1
2008-05-19,2,2
2008-05-22,1,1
2008-05-24,1,1
2008-05-27,1,1
2008-06-07,1,1
2008-06-11,1,1
2008-06-14,1,1
2008-06-17,1,1
2008-06-19,1,1
2008-06-25,1,1
2008-06-27,1,1
2008-06-30,1,1
2008-07-07,1,1
2008-07-17,1,1
2008-07-18,1,1
2008-07-22,1,1
2008-07-25,1,1
2008-08-23,1,1
2008-08-30,1,1
2008-09-05,1,1
2008-09-06,1,1
2008-09-09,1,1
2008-09-10,1,1
2008-09-13,1,1
2008-10-02,2,2
2008-10-13,1,1
2008-10-16,1,1
2008-10-23,1,1
2008-10-28,1,1
2008-11-04,1,1
2008-11-07,2,2
2008-11-11,1,1
2008-11-13,1,1
2008-11-15,1,1
2008-11-20,1,1
2008-11-24,1,1
2008-11-26,1,1
2008-11-27,1,1
2008-11-29,1,1
2008-12-01,1,1
2008-12-12,1,1
2008-12-15,1,1
2008-12-18,1,1
2008-12-23,1,1
2009-01-03,1,1
2009-01-08,2,2
2009-01-10,1,1
2009-01-13,1,1
2009-01-24,1,1
2009-01-27,2,2
2009-01-30,2,2
2009-02-03,1,1
2009-02-07,1,1
2009-02-10,1,1
2009-03-07,2,2
2009-03-12,1,1
2009-03-30,1,1
2009-04-01,1,1
2009-04-16,1,1
2009-04-18,1,1
2009-04-22,1,1
2009-04-25,1,1
2009-04-28,1,1
2009-04-30,1,1
2009-05-02,2,2
2009-05-13,2,2
2009-05-14,1,1
2009-05-25,2,2
2009-05-27,1,1
2009-06-11,1,1
2009-06-17,1,1
2009-06-18,1,1
2009-06-20,1,1
2009-06-24,1,1
2009-06-26,1,1
2009-06-30,1,1
2009-07-02,1,1
2009-07-09,1,1
2009-07-10,2,2
2009-07-11,1,1
2009-07-16,1,1
2009-07-24,2,2
2009-07-29,1,1
2009-07-31,1,1
2009-08-07,1,1
2009-08-18,1,1
2009-08-19,1,1
2009-08-26,1,1
2009-09-04,1,1
2009-09-16,2,2
2009-09-22,1,1
2009-09-24,2,2
2009-09-26,1,1
2009-09-28,1,1
2009-10-02,2,2
2009-10-12,1,1
2009-10-14,2,2
2009-10-20,1,1
2009-10-21,1,1
2009-10-30,1,1
2009-11-02,1,1
2009-11-04,1,1
2009-11-05,1,1
2009-11-07,2,2
2009-11-12,1,1
2009-11-18,1,1
2009-11-19,1,1
2009-11-26,1,1
2009-11-27,1,1
2009-11-28,1,1
2009-12-02,2,2
2009-12-03,1,1
2009-12-04,1,1
2009-12-05,1,1
2009-12-07,4,4
2009-12-08,2,2
2009-12-09,1,1
2009-12-11,2,2
2009-12-14,2,2
2009-12-15,2,2
2009-12-16,2,2
2009-12-17,3,3
2009-12-18,1,1
2009-12-19,3,3
2009-12-21,2,2
2009-12-23,1,1
2009-12-24,1,1
2009-12-28,1,1
2010-01-08,2,2
2010-01-12,1,1
2010-01-13,3,3
2010-01-16,1,1
2010-01-19,1,1
2010-01-20,2,2
2010-01-21,1,1
2010-01-27,1,1
2010-01-29,1,1
2010-02-03,1,1
2010-02-06,1,1
2010-02-10,2,2
2010-02-11,1,1
2010-02-18,1,1
2010-02-20,1,1
2010-02-23,1,1
2010-02-26,1,1
2010-03-02,1,1
2010-03-15,1,1
2010-03-18,1,1
2010-03-25,1,1
2010-03-27,1,1
2010-03-29,1,1
2010-04-01,1,1
2010-04-06,1,1
2010-04-07,2,2
2010-04-09,1,1
2010-04-14,2,2
2010-05-03,1,1
2010-05-04,1,1
2010-05-06,2,2
2010-05-10,1,1
2010-05-31,1,1
2010-06-02,1,1
2010-06-03,1,1
2010-06-05,2,2
2010-06-22,1,1
2010-06-23,1,1
2010-06-30,1,1
2010-07-10,1,1
2010-07-12,1,1
2010-07-13,1,1
2010-07-19,1,1
2010-08-03,1,1
2010-08-10,1,1
2010-08-27,1,1
2010-08-28,1,1
2010-09-01,2,2
2010-09-02,1,1
2010-09-09,2,2
2010-09-14,1,1
2010-09-16,1,1
2010-09-21,1,1
2010-09-30,3,3
2010-10-07,1,1
2010-10-14,1,1
2010-10-16,1,1
2010-10-19,1,1
2010-10-21,1,1
2010-10-25,2,2
2010-10-26,1,1
2010-10-29,1,1
2010-11-03,1,1
2010-11-05,1,1
2010-11-08,2,2
2010-11-11,1,1
2010-11-16,1,1
2010-11-18,1,1
2010-11-29,1,1
2010-11-30,1,1
2010-12-01,1,1
2010-12-02,1,1
2010-12-03,1,1
2010-12-07,1,1
2010-12-13,2,2
2010-12-28,1,1
2011-01-04,1,1
2011-01-06,1,1
2011-01-22,2,2
2011-01-28,1,1
2011-02-15,1,1
2011-02-21,1,1
2011-02-25,1,1
2011-03-07,1,1
2011-03-08,1,1
2011-03-12,1,1
2011-03-19,1,1
2011-03-22,1,1
2011-03-23,1,1
2011-03-24,2,2
2011-03-28,2,2
2011-04-02,2,2
2011-04-09,2,2
2011-04-14,1,1
2011-04-15,2,2
2011-04-28,1,1
2011-05-05,1,1
2011-05-06,1,1
2011-05-14,1,1
2011-05-17,1,1
2011-05-18,1,1
2011-05-25,2,2
2011-05-26,1,1
2011-05-30,2,2
2011-06-03,1,1
2011-06-10,1,1
2011-06-16,1,1
2011-06-18,1,1
2011-06-21,1,1
2011-06-23,1,1
2011-07-07,1,1
2011-07-08,2,2
2011-07-09,1,1
2011-07-21,1,1
2011-07-22,1,1
2011-07-26,2,2
2011-08-12,1,1
2011-08-13,1,1
2011-08-16,1,1
2011-08-18,1,1
2011-09-05,2,2
2011-09-07,1,1
2011-09-08,1,1
2011-09-21,1,1
2011-09-23,1,1
2011-09-24,2,2
2011-09-27,1,1
2011-10-05,1,1
2011-10-07,1,1
2011-10-08,1,1
2011-10-28,1,1
2011-10-29,1,1
2011-11-05,1,1
2011-11-17,2,2
2011-11-19,1,1
2011-11-25,1,1
2011-11-28,1,1
2011-11-30,1,1
2011-12-01,1,1
2011-12-06,2,2
2011-12-10,1,1
2011-12-13,1,1
2011-12-20,1,1
2011-12-22,1,1
2011-12-29,1,1
2012-01-04,1,1
2012-01-12,1,1
2012-01-14,1,1
2012-01-25,1,1
2012-01-27,1,1
2012-02-04,1,1
2012-02-09,2,2
2012-02-13,1,1
2012-02-16,1,1
2012-02-18,1,1
2012-02-22,1,1
2012-03-06,1,1
2012-03-07,1,1
2012-03-08,1,1
2012-03-12,1,1
2012-03-19,1,1
2012-03-21,1,1
2012-04-10,1,1
2012-04-12,1,1
2012-04-18,1,1
2012-04-24,1,1
2012-04-25,1,1
2012-05-18,1,1
2012-05-25,1,1
2012-05-26,1,1
2012-05-29,1,1
2012-06-08,1,1
2012-06-15,2,2
2012-06-23,1,1
2012-06-28,1,1
2012-07-16,2,2
2012-07-28,1,1
2012-07-30,1,1
2012-08-08,1,1
2012-08-17,1,1
2012-08-24,1,1
2012-08-29,1,1
2012-09-06,2,2
2012-09-15,1,1
2012-09-17,1,1
2012-09-28,1,1
2012-10-11,1,1
2012-10-12,1,1
2012-10-16,2,2
2012-10-22,1,1
2012-10-25,2,2
2012-10-29,1,1
2012-11-01,1,1
2012-11-02,1,1
2012-11-17,1,1
2012-11-27,1,1
2012-12-04,1,1
2012-12-11,1,1
2012-12-19,1,1
2012-12-20,1,1
2012-12-27,2,2
2013-02-11,2,2
2013-02-23,1,1
2013-03-02,1,1
2013-03-07,1,1
2013-04-18,1,1
2013-05-07,1,1
2013-05-25,1,1
2013-06-21,1,1
2013-06-22,1,1
2013-06-25,1,1
2013-07-03,1,1
2013-07-05,2,2
2013-07-16,1,1
2013-07-18,1,1
2013-07-20,1,1
2013-08-03,1,1
2013-08-16,1,1
2013-08-26,1,1
2013-08-30,1,1
2013-09-14,1,1
2013-09-17,1,1
2013-09-18,2,2
2013-09-21,1,1
2013-09-27,1,1
2013-10-05,1,1
2013-10-23,1,1
2013-10-30,1,1
2013-11-09,1,1
2013-11-11,1,1
2013-11-16,1,1
2013-11-20,1,1
2013-11-22,1,1
2013-11-23,1,1
2013-11-26,1,1
2013-12-20,1,1
2013-12-23,1,1
2014-01-08,1,1
2014-01-20,1,1
2014-01-24,1,1
2014-02-07,1,1
2014-02-26,1,1
2014-03-04,1,1
2014-03-10,1,1
2014-03-18,1,1
2014-03-22,1,1
2014-03-29,3,3
2014-04-02,2,2
2014-04-15,1,1
2014-04-17,1,1
2014-05-10,1,1
2014-05-27,1,1
2014-05-31,1,1
2014-06-03,1,1
2014-06-04,1,1
2014-06-06,1,1
2014-06-17,1,1
2014-06-21,1,1
2014-06-26,1,1
2014-06-27,1,1
2014-07-10,1,1
2014-07-14,1,1
2014-07-24,1,1
2014-08-06,1,1
2014-08-18,1,1
2014-08-25,1,1
2014-09-11,2,2
2014-09-22,3,3
2014-09-24,1,1
2014-10-04,1,1
2014-10-07,1,1
2014-10-11,1,1
2014-10-20,1,1
2014-10-29,1,1
2014-11-06,2,2
2014-12-08,3,3
2014-12-15,1,1
2014-12-23,4,4
2014-12-24,1,1
2014-12-27,1,1
2015-01-06,3,3
2015-01-10,1,1
2015-01-12,1,1
2015-02-23,1,1
2015-03-17,1,1
2015-03-25,1,1
2015-03-26,1,1
2015-03-28,1,1
2015-04-14,1,1
2015-04-25,2,2
2015-04-27,2,2
2015-04-29,1,1
2015-05-15,1,1
2015-05-20,1,1
2015-06-02,1,1
2015-06-03,1,1
2015-06-19,1,1
2015-06-30,1,1
2015-07-27,1,1
2015-08-06,1,1
2015-08-12,1,1
2015-08-15,1,1
2015-09-01,1,1
2015-09-09,1,1
2015-09-12,2,2
2015-09-26,1,1
2015-11-04,1,1
2015-11-09,1,1
2015-11-10,1,1
2015-11-25,1,1
2015-11-30,3,3
2015-12-07,1,1
2015-12-11,1,1
2015-12-17,1,1
2015-12-18,1,1
2016-01-05,1,1
2016-01-11,1,1
2016-01-16,1,1
2016-01-23,1,1
2016-02-01,1,1
2016-03-01,1,1
2016-03-07,1,1
2016-03-12,1,1
2016-04-29,1,1
2016-05-14,1,1
2016-06-06,1,1
2016-06-08,1,1
2016-06-09,2,2
2016-07-01,1,1
2016-07-04,1,1
2016-08-22,1,1
2016-08-31,1,1
2016-09-05,1,1
2016-09-09,2,2
2016-09-15,1,1
2016-09-21,1,1
2016-09-27,1,1
2016-10-12,3,3
2016-10-20,1,1
2016-11-02,3,3
2016-11-05,1,1
2016-11-07,1,1
2016-11-09,1,1
2016-11-10,1,1
2016-11-12,2,2
2016-11-19,1,1
2016-11-23,2,2
2016-12-02,2,2
2016-12-09,1,1
2016-12-13,1,1
2016-12-15,1,1
2016-12-22,1,1
2017-01-09,4,4
2017-01-16,1,1
2017-01-18,1,1
2017-02-23,1,1
2017-03-11,1,1
2017-04-03,2,2
2017-04-06,1,1
2017-04-20,1,1
2017-04-24,1,1
2017-05-05,1,1
2017-05-13,1,1
2017-05-29,1,1
2017-06-02,1,1
2017-06-03,1,1
2017-06-10,1,1
2017-06-17,1,1
2017-06-20,1,1
2017-06-22,1,1
2017-06-24,1,1
2017-06-26,1,1
2017-07-03,1,1
2017-07-04,1,1
2017-07-07,1,1
2017-07-08,3,3
2017-07-10,1,1
2017-07-15,1,1
2017-08-03,1,1
2017-08-11,1,1
2017-08-14,2,2
2017-08-19,1,1
2017-08-26,1,1
2017-08-29,1,1
2017-08-31,1,1
2017-09-07,1,1
2017-09-11,1,1
2017-09-13,3,3
2017-09-15,1,1
2017-09-18,1,1
2017-09-19,2,2
2017-10-10,1,1
2017-10-13,1,1
2017-10-14,1,1
2017-10-18,2,2
2017-10-25,1,1
2017-11-04,1,1
2017-11-07,1,1
2017-11-08,1,1
2017-11-11,1,1
2017-11-13,2,2
2017-11-14,1,1
2017-11-15,1,1
2017-11-16,1,1
2017-11-17,1,1
2017-11-18,3,3
2017-11-20,2,2
2017-11-24,2,2
2017-11-25,1,1
2017-12-02,1,1
2017-12-13,2,2
2017-12-18,1,1
2017-12-23,1,1
2018-01-08,1,1
2018-01-17,1,1
2018-01-18,1,1
2018-01-22,1,1
2018-01-29,1,1
2018-02-03,1,1
2018-02-10,1,1
2018-02-16,1,1
2018-03-06,1,1
2018-03-10,2,2
2018-03-17,2,2
2018-03-29,1,1
2018-04-05,2,2
2018-04-06,1,1
2018-04-09,1,1
2018-04-13,1,1
2018-04-14,1,1
2018-04-16,1,1
2018-04-24,1,1
2018-04-27,2,2
2018-05-03,1,1
2018-05-07,1,1
2018-05-08,1,1
2018-05-16,1,1
2018-06-02,2,2
2018-06-05,1,1
2018-06-07,1,1
2018-06-15,1,1
2018-06-20,3,3
2018-06-21,1,1
2018-06-22,1,1
2018-06-23,1,1
2018-06-25,1,1
2018-06-26,1,1
2018-06-28,1,1
2018-06-30,2,2
2018-07-09,1,1
2018-07-21,1,1
2018-07-30,1,1
2018-08-01,1,1
2018-08-14,1,1
2018-08-23,1,1
2018-08-31,1,1
2018-09-08,1,1
2018-09-14,3,3
2018-09-19,2,2
2018-09-24,1,1
2018-09-25,2,2
2018-09-28,1,1
