date,hit_count,text_count
1997-10-23,1,1
1997-11-13,1,1
1997-11-15,1,1
1997-11-19,1,1
1997-12-30,1,1
1998-01-12,1,1
1998-01-16,2,1
1998-01-17,1,1
1998-02-03,1,1
1998-02-28,1,1
1998-03-04,1,1
1998-03-11,1,1
1998-03-25,1,1
1998-03-26,1,1
1998-03-30,1,1
1998-04-18,3,2
1998-05-27,1,1
1998-06-10,1,1
1998-06-18,2,2
1998-07-09,1,1
1998-07-28,1,1
1998-08-31,1,1
1998-09-02,2,2
1998-09-18,1,1
1998-09-30,9,9
1998-10-07,2,1
1998-10-15,1,1
1998-10-17,1,1
1998-10-23,1,1
1998-10-29,1,1
1998-10-31,2,1
1998-11-02,1,1
1998-11-03,1,1
1998-11-04,4,2
1998-11-05,2,2
1998-11-06,1,1
1998-11-09,1,1
1998-11-10,3,2
1998-11-12,1,1
1998-11-18,1,1
1998-11-21,1,1
1998-11-27,2,1
1998-12-19,1,1
1998-12-24,1,1
1999-01-04,1,1
1999-01-14,1,1
1999-01-16,1,1
1999-01-19,1,1
1999-01-22,1,1
1999-01-23,1,1
1999-01-25,4,2
1999-01-27,1,1
1999-02-11,3,1
1999-02-12,1,1
1999-03-02,1,1
1999-03-05,1,1
1999-03-08,1,1
1999-03-26,1,1
1999-03-29,3,1
1999-04-16,1,1
1999-04-20,1,1
1999-05-03,1,1
1999-05-06,1,1
1999-06-01,1,1
1999-06-05,4,3
1999-06-15,2,1
1999-06-18,1,1
1999-06-24,2,2
1999-07-03,1,1
1999-07-07,1,1
1999-07-14,1,1
1999-08-17,1,1
1999-10-11,1,1
1999-10-20,1,1
1999-10-21,1,1
1999-10-25,1,1
1999-10-27,2,2
1999-11-06,2,2
1999-11-10,1,1
1999-11-15,1,1
1999-11-16,1,1
1999-11-20,1,1
1999-12-18,1,1
1999-12-21,1,1
1999-12-27,1,1
1999-12-28,5,3
2000-01-04,5,2
2000-01-08,4,2
2000-01-17,1,1
2000-01-18,1,1
2000-01-22,2,1
2000-01-31,1,1
2000-02-04,1,1
2000-02-09,1,1
2000-02-15,1,1
2000-02-16,2,2
2000-03-16,1,1
2000-03-23,1,1
2000-03-27,1,1
2000-04-04,1,1
2000-04-13,2,1
2000-04-20,1,1
2000-05-05,1,1
2000-05-20,1,1
2000-06-03,1,1
2000-06-09,1,1
2000-06-24,1,1
2000-06-29,3,1
2000-06-30,3,1
2000-07-13,1,1
2000-07-22,1,1
2000-07-28,1,1
2000-08-12,2,1
2000-09-01,3,1
2000-09-12,1,1
2000-09-13,1,1
2000-09-21,2,1
2000-09-25,2,1
2000-10-18,1,1
2000-10-19,3,2
2000-10-23,1,1
2000-11-02,2,1
2000-11-08,1,1
2000-11-10,1,1
2000-11-17,1,1
2000-11-18,1,1
2000-11-24,1,1
2000-11-27,6,2
2000-11-28,1,1
2000-12-08,3,2
2000-12-11,1,1
2000-12-14,1,1
2000-12-29,1,1
2000-12-30,3,2
2001-01-13,1,1
2001-01-20,1,1
2001-01-23,3,2
2001-01-25,1,1
2001-01-29,1,1
2001-01-30,1,1
2001-02-07,1,1
2001-02-19,2,1
2001-02-21,3,1
2001-02-24,1,1
2001-02-26,1,1
2001-03-02,1,1
2001-03-16,1,1
2001-03-24,1,1
2001-03-27,1,1
2001-03-31,5,2
2001-04-02,3,3
2001-04-05,2,1
2001-04-06,2,1
2001-04-07,1,1
2001-04-17,1,1
2001-05-04,1,1
2001-05-09,1,1
2001-05-21,2,1
2001-05-29,1,1
2001-06-06,1,1
2001-06-09,2,1
2001-06-13,4,3
2001-06-21,1,1
2001-07-04,1,1
2001-07-06,1,1
2001-07-09,1,1
2001-07-10,4,2
2001-07-11,1,1
2001-07-13,3,1
2001-07-16,5,1
2001-07-19,3,2
2001-07-21,5,1
2001-07-24,5,2
2001-07-25,1,1
2001-07-27,1,1
2001-07-28,1,1
2001-08-17,4,3
2001-08-21,1,1
2001-08-23,1,1
