date,hit_count,text_count
1997-10-21,1,1
1997-10-24,1,1
1997-10-28,1,1
1997-11-20,1,1
1998-04-06,1,1
1998-05-08,1,1
1998-05-11,1,1
1998-09-03,1,1
1998-10-06,1,1
1998-11-10,1,1
1998-11-16,1,1
1998-11-23,1,1
1999-02-20,1,1
1999-04-14,1,1
1999-04-17,1,1
1999-06-16,1,1
1999-06-19,1,1
1999-07-03,1,1
1999-09-06,1,1
1999-09-09,1,1
1999-10-04,1,1
1999-10-26,2,2
1999-11-05,1,1
1999-11-13,1,1
1999-11-17,1,1
1999-11-22,1,1
1999-12-14,1,1
2000-02-10,1,1
2000-03-13,1,1
2000-06-09,1,1
2000-07-10,1,1
2000-10-16,1,1
2001-03-28,1,1
2001-04-12,1,1
2001-04-23,1,1
2001-06-11,1,1
2001-06-15,1,1
2001-06-16,1,1
2001-07-18,1,1
2001-07-20,1,1
2001-07-23,1,1
2001-07-24,1,1
2001-08-07,1,1
2001-08-14,1,1
2001-11-12,1,1
2002-01-19,1,1
2002-04-30,1,1
2002-05-16,1,1
2002-05-17,1,1
2002-05-24,1,1
2002-06-17,1,1
2002-08-26,1,1
2002-08-27,1,1
2002-09-04,1,1
2002-09-05,1,1
2002-09-28,1,1
2002-11-02,1,1
2003-02-07,1,1
2003-02-13,1,1
2003-04-24,2,2
2003-04-25,1,1
2003-04-30,1,1
2003-08-11,1,1
2003-08-19,1,1
2003-09-01,1,1
2003-09-13,1,1
2003-11-18,1,1
2003-12-02,1,1
2003-12-05,1,1
2004-01-05,1,1
2004-01-21,1,1
2004-02-03,1,1
2004-02-28,1,1
2004-03-01,1,1
2004-03-24,1,1
2004-03-31,1,1
2004-04-05,1,1
2004-04-07,1,1
2004-05-22,1,1
2004-06-02,1,1
2004-06-05,1,1
2004-06-16,1,1
2004-09-14,1,1
2004-09-18,1,1
2004-10-16,1,1
2004-11-04,1,1
2004-12-09,1,1
2004-12-14,1,1
2004-12-20,2,2
2004-12-22,1,1
2005-02-01,1,1
2005-02-05,1,1
2005-02-16,1,1
2005-02-17,2,2
2005-02-22,1,1
2005-02-24,2,2
2005-02-28,1,1
2005-03-02,1,1
2005-03-04,1,1
2005-03-30,1,1
2005-04-11,1,1
2005-04-12,1,1
2005-04-27,1,1
2005-04-28,1,1
2005-05-13,1,1
2005-05-23,1,1
2005-06-29,1,1
2005-07-04,1,1
2005-07-06,1,1
2005-07-07,1,1
2005-07-08,2,2
2005-07-09,2,2
2005-07-18,1,1
2005-07-22,1,1
2005-07-23,1,1
2005-07-26,1,1
2005-08-02,1,1
2005-08-03,1,1
2005-08-04,1,1
2005-08-05,1,1
2005-08-08,1,1
2005-08-09,1,1
2005-08-10,2,2
2005-08-11,1,1
2005-08-12,1,1
2005-08-26,2,2
2005-09-02,1,1
2005-09-09,1,1
2005-09-29,1,1
2005-10-06,1,1
2005-11-11,1,1
2005-11-19,1,1
2005-11-25,1,1
2005-12-08,1,1
2005-12-12,2,2
2005-12-14,1,1
2005-12-28,1,1
2006-02-16,2,2
2006-02-20,1,1
2006-03-11,2,2
2006-03-15,1,1
2006-04-05,1,1
2006-05-06,1,1
2006-05-26,1,1
2006-07-03,1,1
2006-07-20,1,1
2006-08-02,1,1
2006-09-15,1,1
2006-09-29,1,1
2006-10-14,1,1
2006-10-24,1,1
2006-11-06,2,2
2006-11-07,2,2
2006-11-27,2,2
2006-11-28,1,1
2006-12-01,1,1
2006-12-15,1,1
2006-12-16,2,2
2006-12-20,1,1
2006-12-21,1,1
2006-12-30,2,2
2007-01-05,1,1
2007-01-08,1,1
2007-01-10,2,2
2007-01-16,1,1
2007-01-17,1,1
2007-01-18,2,2
2007-01-19,1,1
2007-01-20,1,1
2007-01-22,1,1
2007-01-25,2,2
2007-01-26,3,3
2007-01-27,1,1
2007-02-01,1,1
2007-02-02,1,1
2007-02-16,1,1
2007-02-19,1,1
2007-02-22,1,1
2007-02-23,1,1
2007-02-24,1,1
2007-03-02,1,1
2007-03-05,1,1
2007-03-09,1,1
2007-03-13,1,1
2007-03-14,1,1
2007-03-15,1,1
2007-03-16,1,1
2007-03-22,1,1
2007-03-31,1,1
2007-04-04,1,1
2007-04-12,1,1
2007-05-03,2,2
2007-05-04,1,1
2007-05-05,1,1
2007-05-07,1,1
2007-05-24,1,1
2007-05-29,1,1
2007-05-30,1,1
2007-05-31,2,2
2007-06-01,1,1
2007-06-04,1,1
2007-06-08,2,2
2007-06-09,2,2
2007-06-16,1,1
2007-06-23,1,1
2007-07-06,1,1
2007-07-21,1,1
2007-08-06,1,1
2007-08-11,1,1
2007-08-16,1,1
2007-09-04,1,1
2007-09-05,1,1
2007-09-12,1,1
2007-09-15,1,1
2007-09-25,1,1
2007-09-26,1,1
2007-09-27,1,1
2007-10-09,1,1
2007-10-20,1,1
2007-11-13,1,1
2007-11-19,1,1
2007-11-20,1,1
2007-11-24,1,1
2007-11-30,1,1
2007-12-01,1,1
2007-12-04,1,1
2007-12-07,1,1
2007-12-08,1,1
2007-12-17,1,1
2007-12-29,2,2
2008-01-10,1,1
2008-01-22,1,1
2008-02-04,1,1
2008-02-21,1,1
2008-02-28,1,1
2008-04-10,1,1
2008-06-07,1,1
