date,hit_count,text_count
2015-06-19,3,2
2015-06-20,5,3
2015-06-23,1,1
2015-06-24,3,1
2015-06-27,1,1
2015-06-30,1,1
2015-07-02,1,1
2015-07-07,4,1
2015-07-08,2,2
2015-07-10,1,1
2015-07-11,2,2
2015-07-16,1,1
2015-07-17,1,1
2015-07-18,4,3
2015-07-22,2,1
2015-07-29,1,1
2015-07-30,2,1
2015-07-31,2,2
2015-08-01,1,1
2015-08-03,1,1
2015-08-04,3,1
2015-08-07,4,4
2015-08-12,5,3
2015-08-13,3,2
2015-08-15,2,1
2015-08-17,1,1
2015-08-19,1,1
2015-08-20,4,2
2015-08-21,3,2
2015-08-25,2,2
2015-08-26,2,1
2015-08-27,1,1
2015-09-01,1,1
2015-09-08,1,1
2015-09-11,1,1
2015-09-17,2,2
2015-09-18,3,1
2015-09-21,1,1
2015-09-23,2,2
2015-09-24,2,1
2015-09-26,1,1
2015-10-01,2,2
2015-10-02,4,1
2015-10-06,2,2
2015-10-08,1,1
2015-10-09,1,1
2015-10-10,1,1
2015-10-14,1,1
2015-10-15,2,2
2015-10-17,2,1
2015-10-21,2,2
2015-10-22,2,2
2015-10-23,6,2
2015-10-24,1,1
2015-10-26,1,1
2015-10-27,1,1
2015-10-28,5,3
2015-10-29,2,1
2015-11-04,1,1
2015-11-05,2,1
2015-11-07,1,1
2015-11-10,4,2
2015-11-14,1,1
2015-11-19,1,1
2015-11-20,2,1
2015-11-24,1,1
2015-11-25,1,1
2015-11-26,3,3
2015-11-27,1,1
2015-11-28,6,3
2015-11-30,9,3
2015-12-01,6,3
2015-12-02,4,3
2015-12-03,13,5
2015-12-04,2,2
2015-12-05,6,2
2015-12-08,2,2
2015-12-09,1,1
2015-12-12,16,9
2015-12-14,17,8
2015-12-18,7,4
2015-12-19,1,1
2015-12-24,1,1
2015-12-28,2,2
2015-12-31,4,3
2016-01-02,2,1
2016-01-04,5,1
2016-01-08,4,1
2016-01-09,5,2
2016-01-12,3,2
2016-01-14,1,1
2016-01-15,1,1
2016-01-16,5,3
2016-01-19,1,1
2016-01-20,2,2
2016-01-21,1,1
2016-01-28,1,1
2016-01-29,1,1
2016-01-30,2,1
2016-02-01,1,1
2016-02-05,10,2
2016-02-06,1,1
2016-02-11,1,1
2016-02-13,1,1
2016-02-15,2,2
2016-02-16,2,1
2016-02-17,3,3
2016-02-23,1,1
2016-02-24,1,1
2016-02-25,2,2
2016-02-29,1,1
2016-03-01,2,1
2016-03-03,2,1
2016-03-04,4,3
2016-03-05,8,4
2016-03-09,9,2
2016-03-11,1,1
2016-03-12,1,1
2016-03-14,1,1
2016-03-16,1,1
2016-03-19,1,1
2016-03-21,2,2
2016-03-24,3,2
2016-03-29,4,1
2016-03-30,3,2
2016-03-31,1,1
2016-04-05,1,1
2016-04-08,1,1
2016-04-11,3,1
2016-04-12,8,3
2016-04-19,2,1
2016-04-23,1,1
2016-05-03,1,1
2016-05-05,1,1
2016-05-10,2,2
2016-05-11,1,1
2016-05-12,1,1
2016-05-19,1,1
2016-05-25,1,1
2016-05-26,1,1
2016-06-01,1,1
2016-06-02,2,1
2016-06-08,1,1
2016-06-11,2,1
2016-06-16,3,2
2016-06-29,2,2
2016-07-02,2,2
2016-07-06,1,1
2016-07-09,2,1
2016-07-13,2,2
2016-07-14,1,1
2016-07-15,2,2
2016-07-21,1,1
2016-07-28,1,1
2016-08-03,1,1
2016-08-08,3,1
2016-08-09,5,2
2016-08-11,1,1
2016-08-17,1,1
2016-08-19,1,1
2016-08-24,3,2
2016-08-29,1,1
2016-09-03,2,1
2016-09-05,1,1
2016-09-13,4,2
2016-09-20,3,1
2016-09-21,1,1
2016-09-27,2,2
2016-10-07,1,1
2016-11-24,2,2
2016-12-06,1,1
2016-12-07,1,1
2017-02-28,2,1
2017-03-04,1,1
2017-03-06,1,1
2017-03-08,2,2
2017-03-10,1,1
2017-03-14,1,1
2017-03-16,1,1
2017-03-17,1,1
2017-03-18,2,2
2017-03-20,4,2
2017-03-22,4,2
2017-03-25,5,3
2017-03-29,2,2
2017-03-30,4,1
2017-04-01,1,1
2017-04-03,1,1
2017-04-04,1,1
2017-04-05,1,1
2017-04-08,1,1
2017-04-11,4,2
2017-04-13,1,1
2017-04-14,1,1
2017-04-15,4,3
2017-04-19,3,3
2017-04-20,2,1
2017-04-22,5,5
2017-04-25,3,2
2017-04-28,2,1
2017-05-05,3,2
2017-05-09,2,1
2017-05-10,2,2
2017-05-12,2,2
2017-05-15,1,1
2017-05-16,1,1
2017-05-18,5,2
2017-05-20,3,1
2017-05-22,1,1
2017-05-24,1,1
2017-05-25,2,2
2017-05-29,3,2
