date,hit_count,text_count
2015-08-07,2,2
2015-12-01,1,1
2015-12-02,1,1
2015-12-14,1,1
2015-12-18,1,1
2016-01-28,1,1
2016-02-29,1,1
2016-04-19,1,1
2016-06-09,1,1
2016-08-09,1,1
2016-08-22,1,1
2017-03-16,1,1
2017-06-08,1,1
2017-09-21,1,1
2017-10-13,2,2
2017-11-24,1,1
2018-01-12,1,1
2018-02-17,1,1
2018-02-27,1,1
2018-05-05,1,1
2018-09-29,1,1
2018-10-08,1,1
2018-10-09,2,2
2018-12-06,1,1
2018-12-21,1,1
2019-01-05,1,1
2019-01-21,1,1
2019-01-22,1,1
2019-01-26,1,1
2019-01-28,1,1
2019-01-29,2,2
2019-02-26,1,1
2019-03-02,1,1
2019-03-11,1,1
2019-03-16,1,1
2019-04-11,1,1
2019-04-18,1,1
2019-05-23,1,1
2019-06-05,1,1
2019-06-07,1,1
2019-06-24,1,1
2019-07-31,1,1
2019-08-09,1,1
2019-08-27,1,1
2019-09-07,2,2
2019-09-17,1,1
2019-10-01,1,1
2019-10-02,1,1
2019-10-17,1,1
2019-10-18,1,1
2019-10-22,1,1
2019-10-31,1,1
2019-11-06,1,1
2019-11-08,1,1
2019-11-26,1,1
2019-11-27,2,2
2019-12-06,1,1
2019-12-19,1,1
2019-12-27,1,1
2020-01-08,1,1
2020-01-11,1,1
2020-01-15,1,1
2020-02-01,1,1
2020-02-05,1,1
2020-02-14,1,1
2020-03-09,1,1
2020-03-17,1,1
2020-06-03,1,1
2020-06-25,1,1
2020-06-26,1,1
2020-07-21,1,1
2020-07-23,2,2
2020-09-24,2,2
2020-10-26,1,1
2020-11-16,1,1
2020-12-08,1,1
2020-12-18,1,1
2021-01-05,2,2
2021-02-02,1,1
2021-03-11,1,1
2021-03-20,1,1
2021-03-31,1,1
2021-04-26,1,1
2021-04-29,2,2
2021-05-03,1,1
2021-05-13,1,1
2021-05-17,2,2
2021-05-19,1,1
2021-05-21,1,1
2021-06-01,2,2
2021-06-02,2,2
2021-06-11,1,1
2021-06-12,1,1
2021-06-15,2,2
2021-06-19,2,2
2021-06-22,1,1
2021-07-02,1,1
2021-07-08,1,1
2021-07-14,1,1
2021-07-17,2,2
2021-07-22,1,1
2021-08-21,1,1
2021-09-11,1,1
2021-09-13,2,2
2021-09-16,1,1
2021-10-06,1,1
2021-10-29,1,1
2021-10-30,1,1
2021-11-05,3,3
2021-11-06,1,1
2021-11-08,1,1
2021-11-13,2,2
2021-11-17,2,2
2021-12-04,2,2
2021-12-08,5,5
2021-12-21,1,1
2021-12-29,3,3
2022-01-12,1,1
2022-01-15,2,2
2022-01-18,1,1
2022-01-26,2,2
2022-02-05,1,1
2022-02-23,1,1
2022-02-25,1,1
2022-03-15,2,2
2022-03-16,2,2
2022-03-23,2,2
2022-03-24,1,1
2022-04-02,1,1
2022-04-05,1,1
2022-04-06,1,1
2022-04-07,2,2
2022-04-21,3,3
2022-05-17,1,1
2022-05-21,1,1
2022-05-23,4,4
2022-05-25,1,1
2022-06-01,4,4
2022-06-04,1,1
2022-06-21,1,1
2022-06-29,1,1
2022-07-06,2,2
2022-07-16,3,3
2022-07-18,1,1
2022-07-20,1,1
2022-07-27,3,3
2022-08-04,2,2
2022-08-20,1,1
2022-08-22,1,1
2022-08-26,1,1
2022-08-29,1,1
2022-08-30,1,1
2022-09-01,1,1
2022-09-07,1,1
2022-09-08,1,1
2022-09-10,3,3
2022-09-16,1,1
2022-09-24,1,1
2022-10-14,1,1
2022-10-19,1,1
2022-10-21,2,2
2022-10-25,1,1
2022-11-02,2,2
2022-11-04,1,1
2022-11-07,1,1
2022-11-15,1,1
2022-11-16,1,1
2022-11-17,1,1
2022-11-19,1,1
2022-11-22,1,1
2022-12-03,1,1
2022-12-09,1,1
2022-12-13,2,2
