date,hit_count,text_count
2002-01-04,1,1
2002-02-16,1,1
2002-02-18,1,1
2002-02-19,1,1
2002-03-08,1,1
2002-03-09,2,1
2002-03-27,1,1
2002-04-07,1,1
2002-04-08,1,1
2002-04-12,1,1
2002-04-13,3,3
2002-04-19,2,2
2002-04-24,1,1
2002-04-28,1,1
2002-05-07,3,1
2002-05-29,1,1
2002-06-03,1,1
2002-06-07,2,1
2002-06-11,1,1
2002-06-12,2,1
2002-06-13,2,1
2002-06-22,2,2
2002-06-27,3,1
2002-07-06,2,1
2002-07-12,1,1
2002-07-19,2,1
2002-07-25,1,1
2002-08-10,2,1
2002-08-11,1,1
2002-08-17,1,1
2002-08-18,2,1
2002-08-19,1,1
2002-08-20,3,3
2002-08-22,2,1
2002-08-24,1,1
2002-08-25,2,2
2002-08-26,6,2
2002-08-27,1,1
2002-08-29,2,1
2002-08-30,2,2
2002-08-31,4,4
2002-09-01,1,1
2002-09-03,2,2
2002-09-04,1,1
2002-09-06,5,1
2002-09-11,1,1
2002-09-16,1,1
2002-09-17,2,2
2002-09-20,1,1
2002-09-26,2,2
2002-09-27,1,1
2002-09-30,2,2
2002-10-02,5,1
2002-10-05,3,1
2002-10-08,1,1
2002-10-10,1,1
2002-10-17,3,1
2002-10-18,1,1
2002-10-19,2,2
2002-10-21,1,1
2002-10-23,1,1
2002-11-04,1,1
2002-11-07,2,1
2002-11-15,1,1
2002-11-17,3,3
2002-11-18,2,1
2002-11-19,2,1
2002-11-22,1,1
2002-11-28,1,1
2002-11-30,2,1
2002-12-05,1,1
2002-12-14,1,1
2002-12-19,1,1
2002-12-20,2,1
2002-12-24,1,1
2003-01-01,1,1
2003-01-07,3,1
2003-01-11,5,2
2003-01-13,1,1
2003-01-24,1,1
2003-02-01,1,1
2003-02-08,1,1
2003-02-11,1,1
2003-02-17,1,1
2003-02-26,2,2
2003-02-27,2,1
2003-02-28,1,1
2003-03-08,2,1
2003-03-12,2,2
2003-03-13,2,1
2003-03-14,1,1
2003-03-16,3,3
2003-03-18,1,1
2003-04-08,1,1
2003-04-19,1,1
2003-04-29,2,2
2003-05-04,2,2
2003-05-15,1,1
2003-05-17,1,1
2003-06-04,2,1
2003-06-07,1,1
2003-06-15,2,2
2003-06-27,1,1
2003-06-28,1,1
2003-06-29,1,1
2003-07-01,1,1
2003-07-04,1,1
2003-07-15,1,1
2003-07-17,1,1
2003-07-18,2,1
2003-07-20,1,1
2003-07-23,1,1
2003-07-24,4,2
2003-07-25,1,1
2003-07-27,1,1
2003-07-28,1,1
2003-07-29,1,1
2003-07-30,3,1
2003-07-31,1,1
2003-08-01,6,4
2003-08-03,1,1
2003-08-10,4,3
2003-08-12,1,1
2003-08-17,2,2
2003-08-19,1,1
2003-08-24,2,1
2003-08-31,2,2
2003-09-01,1,1
2003-09-04,2,1
2003-09-12,2,1
2003-09-13,1,1
2003-09-20,1,1
2003-09-24,1,1
2003-09-26,1,1
2003-10-02,5,2
2003-10-05,1,1
2003-10-06,2,2
2003-10-07,1,1
2003-10-11,4,2
