date,hit_count,text_count
2002-05-01,1,1
2002-07-12,4,4
2002-07-16,1,1
2002-09-01,1,1
2002-09-05,1,1
2002-10-04,1,1
2003-02-09,1,1
2003-03-03,1,1
2003-03-26,1,1
2003-07-11,1,1
2003-10-08,1,1
2004-01-14,1,1
2004-02-19,1,1
2004-03-03,1,1
2004-03-13,1,1
2004-03-17,1,1
2004-06-19,1,1
2004-06-24,1,1
2004-06-30,1,1
2004-07-16,1,1
2004-07-30,1,1
2004-12-07,2,2
2004-12-10,1,1
2005-02-12,1,1
2005-03-22,1,1
2005-04-11,1,1
2005-07-09,1,1
2005-07-23,1,1
2005-08-05,3,3
2005-08-23,1,1
2005-08-25,2,2
2005-08-30,1,1
2005-09-03,1,1
2005-10-09,1,1
2005-12-02,1,1
2005-12-12,1,1
2006-01-19,1,1
2006-02-15,2,2
2006-03-13,1,1
2006-04-30,1,1
2006-05-07,1,1
2006-05-20,1,1
2006-06-14,1,1
2006-08-04,1,1
2006-08-18,1,1
2006-09-23,3,3
2006-10-05,1,1
2006-10-08,1,1
2006-10-12,1,1
2006-10-19,1,1
2006-11-04,1,1
2006-11-19,1,1
2006-11-20,1,1
2006-12-05,1,1
2006-12-10,1,1
2006-12-21,1,1
2007-01-13,1,1
2007-01-14,1,1
2007-01-16,1,1
2007-01-21,2,2
2007-01-23,2,2
2007-01-24,1,1
2007-01-25,2,2
2007-01-27,2,2
2007-01-28,2,2
2007-01-29,1,1
2007-01-31,1,1
2007-02-05,1,1
2007-02-11,3,3
2007-02-21,1,1
2007-02-25,2,2
2007-02-26,2,2
2007-03-01,1,1
2007-03-05,1,1
2007-03-12,1,1
2007-03-19,2,2
2007-03-25,1,1
2007-03-26,1,1
2007-04-01,1,1
2007-04-03,1,1
2007-04-05,1,1
2007-04-06,4,4
2007-04-07,1,1
2007-04-16,1,1
2007-04-20,1,1
2007-05-04,1,1
2007-05-08,1,1
2007-05-19,1,1
2007-06-02,1,1
2007-06-04,1,1
2007-06-05,1,1
2007-06-07,3,3
2007-06-08,1,1
2007-06-09,1,1
2007-06-10,1,1
2007-06-22,1,1
2007-06-28,1,1
2007-07-01,1,1
2007-07-04,1,1
2007-07-05,1,1
2007-07-08,2,2
2007-07-12,1,1
2007-07-21,1,1
2007-07-22,3,3
2007-07-26,1,1
2007-08-02,1,1
2007-08-10,1,1
2007-08-11,2,2
2007-08-14,1,1
2007-08-20,2,2
2007-08-26,2,2
2007-09-08,1,1
2007-09-19,1,1
2007-10-01,1,1
2007-10-05,1,1
2007-10-13,3,3
2007-10-14,1,1
2007-10-16,1,1
2007-10-20,1,1
2007-11-09,2,2
2007-11-11,1,1
2007-11-19,1,1
2007-11-25,1,1
2007-11-27,1,1
2007-12-03,1,1
2007-12-13,1,1
2007-12-16,1,1
2007-12-21,1,1
2007-12-22,1,1
2008-01-12,1,1
2008-01-13,2,2
2008-01-19,1,1
2008-01-23,1,1
2008-01-25,2,2
2008-01-29,2,2
2008-01-30,1,1
2008-01-31,1,1
2008-02-02,1,1
2008-02-06,1,1
2008-02-07,1,1
2008-02-12,1,1
2008-02-16,1,1
2008-02-24,2,2
2008-02-26,1,1
2008-03-04,2,2
2008-03-11,1,1
2008-03-14,2,2
2008-03-15,1,1
2008-03-16,1,1
2008-03-19,1,1
2008-03-21,1,1
2008-03-23,1,1
2008-04-05,1,1
2008-04-09,1,1
2008-04-12,1,1
2008-04-15,1,1
2008-04-17,1,1
2008-04-18,1,1
2008-04-19,1,1
2008-04-20,1,1
2008-04-22,1,1
2008-04-23,1,1
2008-04-29,1,1
2008-05-09,1,1
2008-05-17,1,1
2008-06-14,1,1
2008-06-19,1,1
2008-06-26,1,1
2008-07-04,1,1
2008-07-12,3,3
2008-07-25,1,1
2008-07-29,1,1
2008-08-19,1,1
2008-09-07,1,1
2008-09-13,1,1
2008-09-14,1,1
2008-09-29,1,1
2008-10-15,1,1
2008-10-16,1,1
2008-10-20,1,1
2008-10-21,1,1
2008-10-24,1,1
2008-10-28,1,1
2008-10-31,1,1
2008-11-01,1,1
2008-11-07,1,1
2008-11-12,1,1
2008-12-01,1,1
2008-12-11,1,1
2008-12-12,1,1
2008-12-14,1,1
2008-12-17,1,1
2008-12-18,1,1
2008-12-23,2,2
2008-12-28,1,1
2009-01-30,1,1
2009-02-22,1,1
2009-03-22,1,1
2009-03-25,1,1
2009-03-29,1,1
2009-04-06,1,1
2009-04-18,1,1
2009-05-12,2,2
2009-05-13,1,1
2009-05-14,1,1
2009-06-23,1,1
2009-07-01,1,1
2009-07-09,1,1
2009-07-10,1,1
2009-07-11,2,2
2009-07-12,1,1
2009-07-28,1,1
2009-08-01,1,1
2009-08-17,2,2
2009-08-25,1,1
2009-09-06,1,1
2009-09-07,1,1
2009-09-08,1,1
2009-09-09,1,1
2009-09-10,1,1
2009-09-18,2,2
2009-09-23,2,2
2009-10-08,2,2
2009-10-09,2,2
2009-10-11,1,1
2009-10-12,1,1
2009-10-14,1,1
2009-10-15,1,1
2009-10-18,1,1
2009-10-29,1,1
2009-10-30,2,2
2009-11-05,1,1
2009-11-12,1,1
2009-11-18,2,2
2009-11-19,1,1
2009-11-20,2,2
2009-12-05,1,1
2009-12-06,2,2
2009-12-07,1,1
2009-12-09,1,1
2009-12-11,1,1
2009-12-12,2,2
2009-12-13,2,2
2009-12-14,1,1
2009-12-17,2,2
2009-12-18,1,1
2009-12-20,3,3
2009-12-28,1,1
2009-12-31,1,1
2010-01-07,1,1
2010-01-08,1,1
2010-01-16,1,1
2010-01-23,2,2
2010-02-06,1,1
2010-02-13,1,1
2010-02-18,1,1
2010-02-21,1,1
2010-04-07,1,1
2010-04-29,1,1
2010-05-29,1,1
2010-06-17,1,1
2010-07-10,1,1
2010-08-15,1,1
2010-09-05,1,1
2010-09-07,2,2
2010-09-26,1,1
2010-10-10,1,1
2010-12-02,1,1
2010-12-03,1,1
2010-12-05,1,1
2010-12-12,1,1
2010-12-19,1,1
2010-12-28,1,1
2011-01-19,1,1
2011-01-25,1,1
2011-02-11,1,1
2011-02-13,1,1
2011-02-22,1,1
2011-03-19,1,1
2011-03-28,1,1
2011-05-03,1,1
2011-05-22,1,1
2011-05-29,1,1
2011-06-03,1,1
2011-06-19,1,1
2011-07-01,1,1
2011-07-07,1,1
2011-08-06,1,1
2011-08-28,1,1
2011-09-07,2,2
2011-09-22,2,2
2011-09-24,1,1
2011-10-05,2,2
