date,hit_count,text_count
2001-03-30,1,1
2002-03-07,1,1
2004-10-01,2,2
2007-01-31,1,1
2007-02-08,1,1
2007-03-05,1,1
2007-05-05,1,1
2007-05-10,1,1
2007-05-23,1,1
2007-07-07,1,1
2007-10-13,2,2
2007-10-16,1,1
2007-10-19,1,1
2007-11-07,1,1
2007-12-12,1,1
2008-04-17,1,1
2008-04-28,1,1
2009-08-17,1,1
2009-09-26,1,1
2009-10-26,1,1
2009-12-07,1,1
2009-12-19,1,1
2010-01-14,1,1
2010-11-03,1,1
2010-11-30,1,1
2015-01-05,1,1
2017-09-08,1,1
2017-10-12,1,1
2017-11-06,1,1
2018-08-09,1,1
2018-08-17,1,1
2018-09-14,1,1
2019-01-15,1,1
2019-01-25,1,1
2019-01-26,1,1
2019-02-02,1,1
2019-02-09,1,1
2019-02-18,1,1
2019-02-19,1,1
2019-02-23,1,1
2019-02-28,1,1
2019-03-08,1,1
2019-03-12,1,1
2019-03-14,1,1
2019-03-16,3,3
2019-03-19,1,1
2019-03-23,3,3
2019-03-26,1,1
2019-03-29,1,1
2019-04-02,1,1
2019-04-05,1,1
2019-04-08,7,7
2019-04-11,1,1
2019-04-20,1,1
2019-04-30,1,1
2019-05-02,2,2
2019-05-04,1,1
2019-05-10,1,1
2019-05-14,1,1
2019-05-16,1,1
2019-05-22,1,1
2019-05-24,1,1
2019-05-28,1,1
2019-05-31,1,1
2019-06-04,1,1
2019-06-25,4,4
2019-07-09,1,1
2019-07-23,1,1
2019-07-27,1,1
2019-07-29,2,2
2019-08-02,1,1
2019-08-06,1,1
2019-08-14,1,1
2019-08-21,1,1
2019-08-28,1,1
2019-08-29,1,1
2019-09-02,1,1
2019-09-04,1,1
2019-09-05,1,1
2019-09-07,2,2
2019-09-19,1,1
2019-09-21,1,1
2019-09-23,1,1
2019-09-24,1,1
2019-09-28,1,1
2019-10-01,1,1
2019-10-03,1,1
2019-10-04,1,1
2019-10-11,1,1
2019-10-16,1,1
2019-10-22,1,1
2019-10-25,1,1
2019-11-07,1,1
2019-11-09,1,1
2019-11-11,1,1
2019-11-16,1,1
2019-11-22,1,1
2019-11-28,2,2
2019-11-29,1,1
2019-12-04,2,2
2019-12-09,3,3
2019-12-13,1,1
2019-12-24,1,1
2019-12-28,1,1
2019-12-30,1,1
2019-12-31,1,1
2020-01-13,1,1
2020-01-14,2,2
2020-01-15,1,1
2020-01-16,1,1
2020-01-18,1,1
2020-01-21,2,2
2020-01-24,1,1
2020-01-27,1,1
2020-01-29,1,1
2020-02-07,1,1
2020-02-12,1,1
2020-02-22,1,1
2020-02-24,1,1
2020-02-29,1,1
2020-03-03,1,1
2020-03-05,1,1
2020-03-13,1,1
2020-03-20,1,1
2020-04-09,1,1
2020-04-23,1,1
2020-05-13,1,1
2020-05-14,1,1
2020-05-18,1,1
2020-05-30,1,1
2020-07-04,1,1
2020-08-14,1,1
2020-08-22,1,1
2020-09-03,1,1
2020-09-07,1,1
2020-09-08,1,1
2020-09-09,1,1
2020-09-11,2,2
2020-09-18,1,1
2020-09-23,1,1
2020-09-26,2,2
2020-10-06,1,1
2020-10-19,1,1
2020-10-24,1,1
2020-11-07,1,1
2020-12-05,1,1
2020-12-29,1,1
2021-01-04,1,1
2021-01-07,2,2
2021-01-13,1,1
2021-01-15,1,1
2021-02-12,1,1
2021-02-19,1,1
2021-02-20,1,1
2021-02-26,1,1
2021-03-06,1,1
2021-03-12,1,1
2021-03-13,2,2
2021-03-15,1,1
2021-03-25,1,1
2021-03-29,1,1
2021-03-30,1,1
2021-04-22,1,1
2021-05-08,1,1
2021-05-10,1,1
2021-05-12,1,1
2021-05-14,1,1
2021-05-17,2,2
2021-05-19,2,2
2021-05-21,2,2
2021-05-25,1,1
2021-06-09,2,2
2021-06-12,1,1
2021-06-15,1,1
2021-06-16,2,2
2021-06-21,1,1
2021-06-26,2,2
2021-07-06,1,1
2021-07-10,2,2
2021-08-10,1,1
2021-08-13,1,1
2021-08-14,1,1
2021-08-21,1,1
2021-08-25,1,1
2021-09-02,2,2
2021-09-09,1,1
2021-09-25,1,1
2021-10-05,1,1
2021-10-06,1,1
2021-10-14,1,1
2021-10-19,1,1
2021-10-20,1,1
2021-10-23,1,1
2021-10-30,1,1
2021-11-06,1,1
2021-11-15,2,2
2021-11-16,1,1
2021-11-26,1,1
2021-12-01,2,2
2021-12-09,1,1
2022-01-06,1,1
2022-01-08,1,1
2022-01-22,3,3
2022-02-07,1,1
2022-02-15,1,1
2022-02-16,1,1
2022-02-28,1,1
2022-03-05,1,1
2022-03-11,1,1
2022-03-19,1,1
2022-03-22,1,1
2022-03-25,1,1
2022-04-01,1,1
2022-04-06,1,1
2022-04-20,1,1
2022-05-16,1,1
2022-05-23,1,1
2022-06-25,1,1
2022-07-01,2,2
2022-07-13,1,1
2022-07-19,1,1
2022-07-23,1,1
2022-08-06,1,1
2022-08-09,1,1
2022-08-17,1,1
2022-08-19,2,2
2022-08-20,1,1
2022-08-22,1,1
2022-08-23,1,1
2022-08-24,1,1
2022-09-10,1,1
2022-09-16,1,1
2022-09-17,1,1
2022-09-19,1,1
2022-09-21,2,2
2022-09-23,1,1
2022-09-24,2,2
2022-10-01,1,1
2022-10-17,1,1
2022-10-19,1,1
2022-10-25,1,1
2022-10-27,1,1
2022-11-04,1,1
2022-11-07,1,1
2022-11-12,1,1
2022-11-14,1,1
2022-11-15,2,2
2022-11-21,1,1
2022-11-25,2,2
2022-12-19,1,1
2022-12-24,1,1
2022-12-28,1,1
