date,hit_count,text_count
2013-01-03,2,1
2013-01-04,1,1
2013-01-05,1,1
2013-01-09,1,1
2013-01-18,1,1
2013-01-26,1,1
2013-01-28,2,2
2013-01-29,3,1
2013-01-30,1,1
2013-02-06,1,1
2013-02-07,1,1
2013-02-14,1,1
2013-03-02,1,1
2013-03-05,2,1
2013-03-08,3,3
2013-03-12,3,1
2013-03-13,1,1
2013-03-21,3,2
2013-03-23,2,2
2013-03-28,2,1
2013-04-09,1,1
2013-04-11,1,1
2013-04-20,3,1
2013-05-07,1,1
2013-05-25,1,1
2013-06-01,3,1
2013-06-04,1,1
2013-06-05,4,2
2013-06-06,1,1
2013-06-08,1,1
2013-06-13,1,1
2013-06-15,1,1
2013-06-19,1,1
2013-06-20,2,2
2013-06-26,1,1
2013-06-29,1,1
2013-07-01,1,1
2013-07-03,4,1
2013-07-04,2,2
2013-07-10,1,1
2013-07-16,2,1
2013-08-06,2,2
2013-08-09,1,1
2013-08-15,1,1
2013-08-16,1,1
2013-08-22,1,1
2013-08-28,2,2
2013-08-30,1,1
2013-09-03,2,2
2013-09-05,1,1
2013-09-09,1,1
2013-09-10,1,1
2013-09-11,1,1
2013-09-14,1,1
2013-09-16,7,3
2013-09-19,1,1
2013-09-27,1,1
2013-09-28,7,3
2013-09-30,2,1
2013-10-09,3,3
2013-10-10,1,1
2013-10-19,3,1
2013-10-24,2,1
2013-11-06,1,1
2013-11-07,3,3
2013-11-08,2,2
2013-11-13,1,1
2013-11-14,1,1
2013-11-16,5,1
2013-11-19,1,1
2013-11-23,2,2
2013-11-25,1,1
2013-12-02,2,1
2013-12-06,1,1
2013-12-07,1,1
2013-12-11,1,1
2013-12-27,1,1
2013-12-30,2,1
2014-01-04,1,1
2014-01-10,4,2
2014-01-18,1,1
2014-01-23,1,1
2014-01-28,4,1
2014-02-06,3,1
2014-02-11,1,1
2014-02-22,3,2
2014-02-25,2,1
2014-02-26,3,3
2014-02-27,3,2
2014-03-01,1,1
2014-03-05,2,1
2014-03-07,2,1
2014-03-08,3,1
2014-03-11,2,1
2014-03-13,1,1
2014-03-21,3,2
2014-03-25,2,2
2014-03-27,2,2
2014-04-01,3,1
2014-04-02,2,1
2014-04-03,2,1
2014-04-04,4,3
2014-04-09,1,1
2014-04-14,2,1
2014-04-15,1,1
2014-04-16,1,1
2014-04-22,1,1
2014-05-03,2,2
2014-05-06,1,1
2014-05-08,1,1
2014-05-12,2,1
2014-05-16,2,1
2014-05-22,2,1
2014-05-30,1,1
2014-05-31,1,1
2014-06-03,2,1
2014-06-04,1,1
2014-06-05,5,2
2014-06-06,7,3
2014-06-10,1,1
2014-06-12,3,1
2014-06-17,2,1
2014-06-20,2,1
2014-06-23,6,1
2014-07-09,1,1
2014-07-10,2,2
2014-07-12,1,1
2014-07-21,3,1
2014-07-25,1,1
2014-07-26,1,1
2014-07-31,3,2
2014-08-08,1,1
2014-08-13,1,1
2014-08-16,1,1
2014-08-25,1,1
2014-08-26,1,1
2014-08-28,2,1
2014-09-02,1,1
2014-09-06,1,1
2014-09-09,1,1
2014-09-11,1,1
2014-09-12,2,2
2014-09-16,4,3
2014-09-19,2,1
2014-09-20,1,1
2014-09-22,2,1
2014-09-23,2,2
2014-09-24,7,1
2014-10-06,1,1
2014-10-08,3,2
2014-10-13,2,1
2014-10-18,4,1
2014-10-22,1,1
2014-10-23,2,2
2014-10-24,2,1
2014-10-25,2,1
2014-11-05,1,1
2014-11-06,2,1
2014-11-11,1,1
2014-11-13,3,2
2014-11-14,2,1
2014-11-15,3,3
2014-11-17,2,2
2014-11-18,1,1
2014-11-21,1,1
2014-11-26,1,1
2014-12-02,4,1
2014-12-03,1,1
2014-12-04,6,3
2014-12-10,1,1
2014-12-24,1,1
2015-01-15,2,1
2015-01-16,1,1
2015-01-17,1,1
2015-01-20,1,1
2015-01-22,1,1
2015-01-24,1,1
2015-02-03,1,1
2015-02-06,2,1
2015-02-07,1,1
2015-02-17,1,1
2015-02-19,1,1
2015-03-02,1,1
2015-03-04,2,2
2015-03-07,2,1
2015-03-09,3,1
2015-03-14,1,1
2015-03-17,2,2
2015-03-18,1,1
2015-03-19,1,1
2015-03-25,1,1
2015-03-27,1,1
