date,hit_count,text_count
2016-02-26,1,1
2016-03-26,1,1
2016-04-15,1,1
2016-07-05,1,1
2016-10-05,1,1
2017-04-29,1,1
2017-05-15,1,1
2017-07-07,1,1
2018-01-29,1,1
2018-02-03,2,2
2018-02-06,2,2
2018-03-03,2,2
2018-03-05,1,1
2018-03-09,1,1
2018-03-17,1,1
2018-06-19,1,1
2018-10-25,1,1
2018-11-21,1,1
2019-01-19,1,1
2019-01-23,1,1
2019-01-29,1,1
2019-02-13,1,1
2019-02-15,1,1
2019-02-19,1,1
2019-03-02,2,2
2019-03-08,1,1
2019-03-09,1,1
2019-03-16,1,1
2019-03-22,1,1
2019-03-25,1,1
2019-03-27,1,1
2019-04-09,1,1
2019-04-10,2,2
2019-04-18,1,1
2019-05-04,1,1
2019-05-06,1,1
2019-05-18,1,1
2019-05-20,1,1
2019-05-21,1,1
2019-05-25,1,1
2019-06-01,1,1
2019-06-05,1,1
2019-06-11,1,1
2019-06-12,2,2
2019-06-14,1,1
2019-06-18,1,1
2019-06-20,2,2
2019-06-21,2,2
2019-06-24,1,1
2019-07-04,1,1
2019-07-11,1,1
2019-08-09,1,1
2019-08-10,3,3
2019-08-14,1,1
2019-08-15,1,1
2019-08-20,3,3
2019-08-29,1,1
2019-08-30,1,1
2019-09-04,1,1
2019-09-11,1,1
2019-09-14,1,1
2019-09-17,2,2
2019-09-18,3,3
2019-09-19,1,1
2019-09-20,1,1
2019-09-21,1,1
2019-09-25,2,2
2019-09-26,2,2
2019-09-28,1,1
2019-10-01,1,1
2019-10-08,1,1
2019-10-16,1,1
2019-10-17,1,1
2019-10-25,1,1
2019-11-01,1,1
2019-11-08,1,1
2019-11-09,1,1
2019-11-13,1,1
2019-11-14,1,1
2019-11-18,1,1
2019-11-19,1,1
2019-11-21,1,1
2019-11-22,1,1
2019-11-28,1,1
2019-11-29,2,2
2019-11-30,3,3
2019-12-03,1,1
2019-12-16,1,1
2019-12-17,1,1
2019-12-18,1,1
2019-12-23,1,1
2019-12-27,1,1
2019-12-28,2,2
2020-01-07,1,1
2020-01-10,1,1
2020-01-11,2,2
2020-01-15,2,2
2020-01-17,1,1
2020-01-22,1,1
2020-01-23,1,1
2020-01-31,1,1
2020-02-01,1,1
2020-02-05,2,2
2020-02-10,1,1
2020-02-27,1,1
2020-02-29,1,1
2020-03-05,1,1
2020-03-06,1,1
2020-03-24,1,1
2020-03-30,1,1
2020-04-02,1,1
2020-04-16,1,1
2020-04-17,1,1
2020-04-24,1,1
2020-04-25,2,2
2020-05-11,1,1
2020-05-22,2,2
2020-06-08,1,1
2020-06-13,1,1
2020-06-17,1,1
2020-06-27,1,1
2020-07-11,1,1
2020-07-24,1,1
2020-07-30,1,1
2020-08-10,1,1
2020-08-11,2,2
2020-08-21,1,1
2020-08-27,2,2
2020-08-28,1,1
2020-09-05,1,1
2020-09-11,1,1
2020-09-15,1,1
2020-09-16,1,1
2020-09-22,1,1
2020-09-23,1,1
2020-09-24,2,2
2020-09-26,1,1
2020-10-02,1,1
2020-10-22,1,1
2020-10-26,1,1
2020-11-10,1,1
2020-11-17,1,1
2020-12-01,1,1
2020-12-07,1,1
2020-12-10,1,1
2020-12-11,2,2
2021-01-02,1,1
2021-01-09,1,1
2021-02-02,1,1
2021-02-05,1,1
2021-02-16,2,2
2021-02-20,1,1
2021-02-23,1,1
2021-02-25,2,2
2021-03-02,1,1
2021-03-04,1,1
2021-03-11,1,1
2021-03-20,5,5
2021-03-27,1,1
2021-03-29,1,1
2021-03-30,1,1
2021-04-07,1,1
2021-04-08,1,1
2021-04-10,1,1
2021-04-26,1,1
2021-04-28,1,1
2021-05-05,1,1
2021-05-06,1,1
2021-05-18,1,1
2021-05-19,1,1
2021-05-20,1,1
2021-05-28,1,1
2021-05-31,1,1
2021-06-05,1,1
2021-06-08,1,1
2021-06-14,1,1
2021-06-15,1,1
2021-06-19,1,1
2021-06-24,5,5
2021-07-02,1,1
2021-07-05,4,4
2021-07-10,1,1
2021-07-19,2,2
2021-07-21,1,1
2021-07-22,1,1
2021-07-24,1,1
2021-07-28,1,1
2021-08-04,1,1
2021-08-05,1,1
2021-08-06,1,1
2021-08-11,1,1
2021-08-12,1,1
2021-08-14,1,1
2021-08-19,1,1
2021-08-21,1,1
2021-08-28,1,1
2021-09-03,1,1
2021-09-07,1,1
2021-09-10,1,1
2021-09-11,2,2
2021-09-14,1,1
2021-09-15,1,1
2021-09-17,2,2
2021-09-18,2,2
2021-09-20,1,1
2021-09-21,1,1
2021-09-22,1,1
2021-09-25,2,2
2021-09-28,2,2
2021-09-29,1,1
2021-10-04,1,1
2021-10-06,1,1
2021-10-08,1,1
2021-10-11,1,1
2021-10-12,1,1
2021-10-20,2,2
2021-10-22,1,1
2021-10-23,1,1
2021-10-25,1,1
2021-10-29,1,1
2021-11-01,2,2
2021-11-02,2,2
2021-11-04,2,2
2021-11-06,2,2
2021-11-08,1,1
2021-11-12,2,2
2021-11-13,2,2
2021-11-15,1,1
2021-11-18,1,1
2021-11-20,1,1
2021-11-22,1,1
2021-11-25,1,1
2021-11-27,1,1
2021-11-29,1,1
2021-12-01,1,1
2021-12-02,1,1
2021-12-11,1,1
2021-12-24,1,1
2021-12-31,2,2
2022-01-04,1,1
2022-01-05,1,1
2022-01-21,1,1
2022-01-27,1,1
2022-02-02,1,1
2022-02-08,2,2
2022-02-16,1,1
2022-02-28,1,1
2022-03-07,1,1
2022-03-18,1,1
2022-03-19,1,1
2022-03-21,1,1
2022-03-23,1,1
2022-03-25,1,1
2022-03-26,3,3
2022-04-07,1,1
2022-04-08,1,1
2022-04-11,1,1
2022-04-30,1,1
2022-05-02,1,1
2022-05-04,1,1
2022-05-05,1,1
2022-05-07,1,1
2022-05-10,1,1
2022-05-14,1,1
2022-05-24,1,1
2022-05-31,1,1
2022-06-08,1,1
2022-06-14,1,1
2022-06-15,1,1
2022-06-17,1,1
2022-06-21,1,1
2022-06-22,1,1
2022-06-27,1,1
2022-06-30,1,1
2022-07-05,1,1
2022-07-11,1,1
2022-07-15,2,2
2022-07-16,2,2
2022-07-19,2,2
2022-07-27,1,1
2022-08-06,2,2
2022-08-23,1,1
2022-08-27,1,1
2022-09-02,1,1
2022-09-03,1,1
2022-09-05,1,1
2022-09-10,2,2
