date,hit_count,text_count
2016-01-02,2,1
2016-01-04,2,1
2016-01-05,1,1
2016-01-07,3,3
2016-01-08,1,1
2016-01-09,2,1
2016-01-12,1,1
2016-01-13,3,1
2016-01-14,5,3
2016-01-15,3,3
2016-01-16,4,3
2016-01-19,6,4
2016-01-20,3,3
2016-01-21,4,3
2016-01-22,2,1
2016-01-26,2,2
2016-01-27,3,3
2016-01-28,1,1
2016-01-29,4,4
2016-01-30,1,1
2016-02-01,1,1
2016-02-02,2,1
2016-02-03,1,1
2016-02-04,3,2
2016-02-05,2,2
2016-02-08,1,1
2016-02-09,1,1
2016-02-10,3,2
2016-02-11,3,3
2016-02-12,8,4
2016-02-15,1,1
2016-02-16,2,2
2016-02-17,5,4
2016-02-18,1,1
2016-02-19,2,2
2016-02-20,2,1
2016-02-22,1,1
2016-02-23,1,1
2016-02-24,6,3
2016-02-25,3,2
2016-02-26,3,2
2016-03-01,3,1
2016-03-05,3,2
2016-03-07,2,2
2016-03-08,4,2
2016-03-09,3,1
2016-03-10,3,3
2016-03-11,5,2
2016-03-15,2,1
2016-03-16,2,1
2016-03-17,9,3
2016-03-18,4,3
2016-03-19,3,2
2016-03-21,1,1
2016-03-22,2,1
2016-03-26,11,3
2016-03-29,1,1
2016-03-31,2,2
2016-04-02,2,2
2016-04-04,1,1
2016-04-05,1,1
2016-04-06,8,6
2016-04-07,3,3
2016-04-08,5,2
2016-04-09,1,1
2016-04-12,5,3
2016-04-13,5,2
2016-04-14,1,1
2016-04-15,5,4
2016-04-16,4,3
2016-04-20,2,2
2016-04-21,3,2
2016-04-22,2,2
2016-04-23,5,4
2016-04-25,1,1
2016-04-27,2,2
2016-05-02,4,3
2016-05-03,1,1
2016-05-10,2,2
2016-05-11,2,2
2016-05-13,4,3
2016-05-14,3,2
2016-05-18,4,3
2016-05-21,1,1
2016-05-23,1,1
2016-05-24,1,1
2016-05-25,12,7
2016-05-26,2,1
2016-05-27,2,1
2016-05-30,1,1
2016-05-31,4,3
2016-06-01,2,2
2016-06-02,2,2
2016-06-03,4,2
2016-06-04,6,3
2016-06-06,2,2
2016-06-07,4,2
2016-06-08,3,3
2016-06-09,6,4
2016-06-10,2,1
2016-06-11,9,4
2016-06-13,5,3
2016-06-17,1,1
2016-06-18,1,1
2016-06-21,1,1
2016-06-22,2,2
2016-06-24,1,1
2016-06-28,2,2
2016-06-29,2,2
2016-06-30,8,2
2016-07-02,10,3
2016-07-05,4,3
2016-07-06,1,1
2016-07-09,2,2
2016-07-11,1,1
2016-07-12,3,3
2016-07-13,4,3
2016-07-15,5,4
2016-07-16,1,1
2016-07-18,1,1
2016-07-19,2,2
2016-07-20,7,5
2016-07-21,7,4
2016-07-22,4,3
2016-07-26,2,2
2016-07-27,2,2
2016-07-28,5,4
2016-07-30,2,1
2016-08-02,4,3
2016-08-04,1,1
2016-08-06,1,1
2016-08-08,3,2
2016-08-09,3,2
2016-08-13,1,1
2016-08-17,3,3
2016-08-18,2,1
2016-08-19,1,1
2016-08-20,2,1
2016-08-22,2,1
2016-08-23,1,1
2016-08-24,2,2
2016-08-25,2,1
2016-08-26,1,1
2016-08-27,7,2
2016-08-30,2,2
2016-08-31,5,4
2016-09-01,2,2
2016-09-02,2,2
2016-09-03,1,1
2016-09-05,5,3
2016-09-06,5,2
2016-09-08,3,1
2016-09-09,9,3
2016-09-12,4,3
2016-09-13,1,1
2016-09-14,5,4
2016-09-16,3,3
2016-09-17,4,2
2016-09-19,3,2
2016-09-20,2,2
2016-09-21,2,2
2016-09-22,2,1
2016-09-23,1,1
2016-09-24,4,4
2016-09-27,1,1
2016-09-28,1,1
2016-09-29,5,2
2016-09-30,3,3
2016-10-01,2,2
2016-10-05,7,6
2016-10-06,1,1
2016-10-08,3,2
2016-10-10,5,3
2016-10-11,1,1
2016-10-12,2,1
2016-10-13,2,2
2016-10-14,3,3
2016-10-15,1,1
2016-10-17,1,1
2016-10-18,7,5
2016-10-19,2,2
2016-10-20,1,1
2016-10-22,2,2
2016-10-24,3,2
2016-10-25,3,1
2016-10-26,5,3
2016-10-28,2,2
2016-10-29,6,4
2016-11-01,1,1
2016-11-02,6,2
2016-11-03,4,4
2016-11-05,1,1
2016-11-08,9,5
2016-11-09,2,2
2016-11-10,12,6
2016-11-11,2,1
2016-11-12,9,3
2016-11-14,4,4
2016-11-15,1,1
2016-11-16,5,3
2016-11-17,6,5
2016-11-18,4,4
2016-11-19,13,5
2016-11-21,1,1
2016-11-23,3,2
2016-11-24,8,5
2016-11-25,9,3
2016-11-28,1,1
2016-11-29,8,3
2016-11-30,1,1
2016-12-01,5,3
2016-12-02,4,3
2016-12-03,4,3
2016-12-06,4,2
2016-12-08,2,1
2016-12-09,1,1
2016-12-10,6,1
2016-12-14,1,1
2016-12-15,2,1
2016-12-16,5,3
2016-12-19,1,1
2016-12-22,2,2
2016-12-23,1,1
2016-12-24,7,2
2016-12-27,2,1
2016-12-28,6,6
2016-12-29,1,1
2016-12-30,6,4
2016-12-31,1,1
2017-01-03,5,3
2017-01-04,4,2
2017-01-05,3,2
2017-01-06,2,2
2017-01-07,5,3
2017-01-11,2,2
2017-01-12,2,2
2017-01-13,1,1
2017-01-14,4,1
2017-01-17,1,1
2017-01-18,6,4
2017-01-19,2,2
2017-01-20,3,3
2017-01-21,2,1
2017-01-23,2,2
2017-01-24,4,3
2017-01-25,2,2
2017-01-26,7,4
2017-01-27,2,2
2017-01-28,1,1
2017-01-30,1,1
2017-01-31,1,1
2017-02-02,3,3
2017-02-03,5,3
2017-02-04,3,3
2017-02-06,1,1
2017-02-09,7,3
2017-02-10,7,5
2017-02-11,2,2
2017-02-13,1,1
2017-02-14,1,1
2017-02-15,5,5
2017-02-18,2,2
2017-02-21,5,3
2017-02-22,5,3
2017-02-23,1,1
2017-02-24,5,4
2017-02-25,2,1
2017-02-27,1,1
2017-03-01,1,1
2017-03-02,1,1
2017-03-07,2,2
2017-03-10,2,1
2017-03-11,1,1
2017-03-14,2,2
2017-03-15,4,4
2017-03-16,1,1
2017-03-17,6,6
2017-03-18,1,1
2017-03-20,3,1
2017-03-21,7,2
2017-03-23,6,2
2017-03-24,12,8
2017-03-25,11,3
2017-03-28,2,2
