date,hit_count,text_count
2003-03-13,1,1
2004-05-22,1,1
2004-08-19,1,1
2004-11-17,1,1
2005-02-12,1,1
2006-11-18,1,1
2006-12-16,1,1
2007-02-10,1,1
2007-02-17,1,1
2007-02-19,1,1
2007-02-24,2,2
2007-02-26,1,1
2007-03-03,1,1
2007-03-05,1,1
2007-03-06,1,1
2007-03-12,1,1
2007-03-13,1,1
2007-03-14,1,1
2007-03-19,1,1
2007-04-21,1,1
2007-04-28,1,1
2007-05-15,1,1
2007-06-04,1,1
2007-06-09,1,1
2007-07-12,1,1
2007-07-28,1,1
2007-07-30,1,1
2008-03-05,1,1
2008-05-07,1,1
2008-07-24,1,1
2008-09-22,1,1
2009-01-20,1,1
2009-09-12,1,1
2009-09-14,2,2
2009-09-15,3,3
2009-09-19,1,1
2009-09-26,1,1
2009-09-29,1,1
2009-10-01,3,3
2009-10-03,1,1
2009-10-06,1,1
2009-10-07,1,1
2009-10-08,1,1
2009-10-09,1,1
2009-10-14,1,1
2009-10-17,1,1
2009-10-20,1,1
2009-10-22,2,2
2009-10-24,1,1
2009-10-28,1,1
2009-11-02,1,1
2009-11-04,1,1
2009-11-17,1,1
2009-11-18,1,1
2009-11-21,1,1
2009-11-26,2,2
2009-12-07,1,1
2009-12-09,1,1
2009-12-28,1,1
2010-01-09,1,1
2010-01-19,1,1
2010-03-12,1,1
2010-03-13,1,1
2010-03-20,1,1
2010-04-07,1,1
2010-04-09,1,1
2010-04-21,1,1
2010-06-23,1,1
2010-07-01,1,1
2010-07-06,1,1
2010-09-14,1,1
2010-09-21,1,1
2010-09-30,1,1
2010-10-05,1,1
2010-10-06,2,2
2010-10-09,1,1
2010-10-25,1,1
2010-10-26,1,1
2010-11-12,1,1
2010-11-16,1,1
2010-11-19,1,1
2010-12-21,1,1
2010-12-24,1,1
2011-01-28,1,1
2011-02-12,2,2
2011-03-18,1,1
2011-04-04,1,1
2011-04-05,1,1
2011-04-06,1,1
2011-04-30,1,1
2011-05-12,1,1
2011-05-16,1,1
2011-06-09,1,1
2011-06-15,1,1
2011-06-16,2,2
2011-07-20,1,1
2011-10-11,1,1
2011-11-19,1,1
2012-11-29,1,1
2013-03-22,1,1
2013-04-27,1,1
2013-09-28,1,1
2014-04-01,1,1
2014-04-05,1,1
2014-04-24,1,1
2014-07-11,1,1
2014-09-20,1,1
2014-09-24,1,1
2014-10-11,2,2
2014-10-27,1,1
2015-05-05,1,1
2015-05-22,1,1
2015-07-21,1,1
2015-11-03,1,1
2015-11-07,2,2
2015-11-16,1,1
2015-11-18,1,1
2016-03-07,1,1
2016-04-28,1,1
2016-05-05,1,1
2016-06-16,1,1
2016-07-05,2,2
2016-07-21,1,1
2017-01-16,1,1
2017-03-03,1,1
2017-03-04,1,1
2017-03-16,1,1
2017-03-20,1,1
2017-06-21,1,1
2017-09-11,1,1
2017-09-16,1,1
2017-09-20,1,1
2017-11-17,1,1
2018-01-15,1,1
2018-01-17,1,1
2018-02-15,1,1
2018-04-12,1,1
2018-06-06,1,1
2018-07-23,1,1
2018-08-23,1,1
2018-09-19,1,1
2018-10-12,1,1
2018-10-25,1,1
2018-11-21,1,1
2018-12-05,1,1
2019-01-23,1,1
2019-02-27,1,1
2019-03-06,2,2
2019-03-09,1,1
2019-03-11,1,1
