date,hit_count,text_count
2000-11-27,1,1
2001-05-11,1,1
2001-06-15,1,1
2001-11-12,1,1
2002-04-06,1,1
2002-04-24,1,1
2002-06-10,1,1
2002-09-04,1,1
2002-10-02,1,1
2003-01-15,1,1
2003-06-23,1,1
2004-03-25,1,1
2004-04-03,1,1
2005-02-16,1,1
2005-02-21,1,1
2005-11-30,1,1
2005-12-03,1,1
2006-08-08,1,1
2007-02-22,1,1
2007-03-06,1,1
2007-04-17,1,1
2007-05-29,1,1
2007-06-01,1,1
2007-06-02,1,1
2007-06-05,1,1
2007-06-23,1,1
2007-07-12,1,1
2007-08-08,1,1
2007-09-15,1,1
2007-12-15,1,1
2007-12-28,1,1
2008-01-25,3,3
2008-01-29,1,1
2008-04-15,2,2
2008-04-16,1,1
2008-04-17,1,1
2008-04-18,1,1
2008-04-22,1,1
2008-06-19,1,1
2008-07-30,1,1
2008-10-07,1,1
2008-10-08,1,1
2008-10-16,1,1
2008-11-06,1,1
2008-12-12,1,1
2008-12-15,1,1
2009-01-22,1,1
2009-06-29,1,1
2009-07-06,1,1
2009-08-11,1,1
2009-11-16,1,1
2009-11-19,1,1
2009-11-24,1,1
2009-11-26,1,1
2009-12-12,1,1
2009-12-19,1,1
2009-12-21,1,1
2009-12-23,1,1
2009-12-31,2,2
2010-03-08,1,1
2010-06-19,1,1
2010-08-18,1,1
2010-11-06,1,1
2010-11-18,1,1
2011-01-13,1,1
2011-03-04,1,1
2011-06-20,1,1
2011-07-04,1,1
2011-07-15,1,1
2011-08-26,1,1
2011-10-13,1,1
2011-11-05,1,1
2011-11-29,1,1
2011-12-05,1,1
2012-01-21,1,1
2012-04-23,1,1
2012-06-06,1,1
2012-06-12,1,1
2012-07-14,1,1
2012-08-14,1,1
2013-02-01,1,1
2013-02-18,1,1
2013-04-16,1,1
2013-04-24,1,1
2013-08-08,1,1
2013-09-28,1,1
2013-11-19,1,1
2014-01-16,1,1
2014-01-23,1,1
2014-02-14,1,1
2014-02-21,1,1
2014-03-19,1,1
2014-04-23,1,1
2014-05-31,1,1
2014-07-12,1,1
2014-07-14,1,1
2014-08-11,1,1
2014-09-18,1,1
2014-10-14,1,1
2014-10-24,1,1
2014-10-25,1,1
2014-10-31,1,1
2014-12-13,1,1
2015-02-12,1,1
2015-05-22,1,1
2015-08-04,1,1
2015-12-04,1,1
2015-12-12,1,1
2015-12-14,3,3
2015-12-23,1,1
2016-01-07,1,1
2016-01-29,1,1
2016-06-18,1,1
2016-07-16,1,1
2016-09-05,1,1
2016-11-08,1,1
2016-12-13,1,1
2017-01-13,1,1
2017-01-19,1,1
2017-02-21,1,1
2017-05-10,1,1
2017-06-01,1,1
2017-06-02,1,1
2017-07-06,1,1
2017-07-14,1,1
2017-11-07,1,1
2017-11-28,1,1
2018-01-12,1,1
2018-01-13,1,1
2018-05-29,1,1
2018-07-13,1,1
2018-09-21,1,1
2018-10-09,2,2
2018-10-15,1,1
2018-11-16,1,1
2018-11-30,1,1
2018-12-17,2,2
2019-01-28,1,1
2019-02-16,1,1
2019-03-23,1,1
2019-04-15,1,1
2019-04-24,1,1
2019-05-17,2,2
2019-05-23,1,1
2019-05-25,2,2
2019-06-13,1,1
2019-06-21,1,1
2019-06-22,1,1
2019-06-24,1,1
2019-07-04,3,3
2019-07-11,1,1
2019-07-13,1,1
2019-08-21,1,1
2019-09-10,1,1
2019-09-17,1,1
2019-09-21,2,2
2019-09-24,1,1
2019-09-25,1,1
2019-10-04,1,1
2019-10-07,1,1
2019-10-09,1,1
2019-10-11,1,1
2019-10-16,1,1
2019-10-22,1,1
2019-11-07,1,1
2019-11-28,1,1
2019-11-29,1,1
2019-11-30,1,1
2019-12-02,1,1
2019-12-03,1,1
2019-12-06,1,1
2019-12-12,2,2
2019-12-13,2,2
2019-12-14,1,1
2019-12-20,1,1
2019-12-24,1,1
2020-01-03,1,1
2020-01-10,1,1
2020-01-13,2,2
2020-01-15,1,1
2020-01-16,2,2
2020-01-17,2,2
2020-01-18,1,1
2020-01-23,1,1
2020-01-25,1,1
2020-01-27,1,1
2020-02-08,1,1
2020-02-14,1,1
2020-02-17,1,1
2020-02-20,1,1
2020-03-04,1,1
2020-03-11,1,1
2020-03-12,1,1
2020-04-11,1,1
2020-05-06,1,1
2020-05-09,1,1
2020-05-29,1,1
2020-06-16,1,1
2020-06-17,1,1
2020-06-22,1,1
2020-06-26,1,1
2020-07-11,1,1
2020-07-23,1,1
2020-08-12,1,1
2020-08-20,1,1
2020-09-14,2,2
2020-09-16,1,1
2020-09-17,1,1
2020-09-19,1,1
2020-09-24,1,1
2020-09-30,1,1
2020-10-05,1,1
2020-10-08,2,2
2020-10-10,1,1
2020-10-14,2,2
2020-10-15,1,1
2020-10-22,1,1
2020-10-24,1,1
2020-10-27,1,1
2020-11-05,1,1
2020-11-07,1,1
2020-11-19,2,2
2020-12-01,1,1
2020-12-10,1,1
2020-12-12,2,2
2020-12-14,1,1
2021-01-08,1,1
2021-01-13,1,1
2021-01-20,1,1
2021-01-23,1,1
2021-02-05,1,1
2021-02-16,1,1
2021-03-17,2,2
2021-03-19,1,1
2021-03-27,2,2
2021-04-07,1,1
2021-04-13,1,1
2021-04-14,1,1
2021-04-15,1,1
2021-04-16,1,1
2021-04-17,2,2
2021-04-20,1,1
2021-04-21,1,1
2021-04-22,3,3
2021-04-23,1,1
2021-04-26,2,2
2021-04-27,1,1
2021-04-28,1,1
2021-05-04,2,2
2021-05-05,1,1
2021-05-06,1,1
2021-05-07,1,1
2021-05-12,2,2
2021-05-19,1,1
2021-06-02,1,1
2021-06-14,1,1
2021-06-16,2,2
2021-06-22,2,2
2021-06-25,1,1
2021-07-02,2,2
2021-07-03,1,1
2021-07-05,1,1
2021-07-08,1,1
2021-07-10,1,1
2021-07-15,1,1
2021-07-17,2,2
2021-07-20,1,1
2021-07-22,1,1
2021-07-27,1,1
2021-08-03,1,1
2021-08-04,1,1
2021-08-10,2,2
2021-08-12,1,1
2021-08-14,1,1
2021-08-16,1,1
2021-08-17,1,1
2021-08-18,2,2
2021-08-19,1,1
2021-08-31,1,1
2021-09-02,1,1
2021-09-07,2,2
2021-09-10,1,1
2021-09-13,2,2
2021-09-15,1,1
2021-09-17,1,1
2021-09-18,1,1
2021-09-22,2,2
2021-09-25,2,2
2021-09-27,1,1
2021-09-30,1,1
2021-10-04,2,2
2021-10-05,2,2
2021-10-07,1,1
2021-10-09,2,2
2021-10-14,2,2
2021-10-20,1,1
2021-10-22,1,1
2021-10-25,3,3
2021-10-28,1,1
2021-10-30,2,2
2021-11-02,2,2
2021-11-04,1,1
2021-11-05,1,1
2021-11-11,1,1
2021-11-15,2,2
2021-11-16,1,1
2021-11-18,3,3
2021-11-19,1,1
2021-11-24,1,1
2021-11-25,1,1
2021-12-16,1,1
2021-12-21,1,1
2021-12-22,1,1
2021-12-30,3,3
2021-12-31,1,1
2022-01-03,1,1
2022-01-08,1,1
2022-01-10,1,1
2022-01-11,1,1
2022-01-15,1,1
2022-01-20,1,1
2022-01-21,1,1
2022-01-25,1,1
2022-02-03,1,1
2022-02-05,1,1
2022-02-07,1,1
2022-02-11,1,1
2022-02-18,1,1
2022-02-24,2,2
2022-03-04,3,3
2022-03-19,1,1
2022-03-23,2,2
2022-03-25,1,1
2022-03-31,1,1
2022-04-05,2,2
2022-04-06,1,1
2022-04-09,1,1
2022-05-05,1,1
2022-05-12,2,2
2022-05-14,1,1
2022-05-18,1,1
2022-05-19,1,1
2022-05-20,1,1
2022-05-21,1,1
2022-05-28,1,1
2022-06-01,2,2
2022-06-08,3,3
2022-06-09,2,2
2022-06-13,1,1
2022-06-14,1,1
2022-06-15,1,1
2022-06-18,1,1
2022-06-20,1,1
2022-06-23,1,1
2022-06-25,1,1
2022-06-27,1,1
2022-06-29,1,1
2022-07-04,3,3
2022-07-05,2,2
2022-07-08,2,2
2022-07-09,1,1
2022-07-14,1,1
2022-07-15,1,1
2022-07-19,1,1
2022-07-25,1,1
2022-07-26,1,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-13,1,1
2022-08-24,2,2
2022-08-26,1,1
2022-08-31,1,1
2022-09-10,1,1
2022-09-15,1,1
2022-09-17,2,2
2022-09-23,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-10-01,2,2
2022-10-04,1,1
2022-10-08,2,2
2022-10-11,1,1
2022-10-12,1,1
2022-10-13,1,1
2022-10-21,2,2
2022-11-04,1,1
2022-11-09,1,1
2022-11-10,1,1
2022-11-11,2,2
2022-11-15,2,2
2022-11-22,1,1
2022-11-29,1,1
2022-11-30,1,1
2022-12-03,1,1
2022-12-22,1,1
2022-12-27,1,1
