date,hit_count,text_count
2000-12-05,1,1
2001-04-14,1,1
2001-04-29,1,1
2001-06-16,1,1
2001-07-24,1,1
2005-06-17,1,1
2007-01-03,1,1
2007-03-10,2,2
2007-04-17,1,1
2007-07-11,1,1
2007-11-21,1,1
2007-12-28,1,1
2009-06-28,1,1
2009-07-09,1,1
2009-09-01,1,1
2009-09-03,1,1
2009-09-20,1,1
2009-10-11,1,1
2009-11-15,1,1
2009-12-01,2,2
2009-12-02,1,1
2009-12-06,1,1
2009-12-08,1,1
2009-12-19,1,1
2010-10-29,1,1
2010-11-02,1,1
2010-11-05,1,1
2011-06-16,1,1
2011-09-20,1,1
2011-10-18,2,2
2011-10-21,1,1
2011-11-17,1,1
2011-11-27,1,1
2012-03-14,1,1
2012-05-30,1,1
2012-10-03,1,1
2013-06-05,1,1
2013-06-30,1,1
2013-07-06,1,1
2013-11-24,1,1
2014-01-05,1,1
2014-01-16,1,1
2014-03-22,1,1
2014-09-18,1,1
2014-09-24,1,1
2014-10-24,1,1
2014-10-25,1,1
2014-12-02,1,1
2015-01-04,1,1
2015-01-10,2,2
2015-03-10,1,1
2015-03-15,1,1
2015-05-20,1,1
2015-06-02,1,1
2015-08-04,1,1
2015-10-21,1,1
2015-11-17,1,1
2015-11-28,2,2
2015-12-01,1,1
2015-12-12,1,1
2015-12-13,1,1
2016-01-24,1,1
2016-01-29,1,1
2016-02-07,1,1
2016-02-11,1,1
2016-03-09,1,1
2016-03-17,1,1
2016-03-22,1,1
2016-04-24,1,1
2016-05-21,1,1
2016-07-06,1,1
2016-07-22,1,1
2016-07-31,1,1
2016-09-04,1,1
2016-09-21,1,1
2016-10-08,1,1
2016-11-06,1,1
2016-11-26,1,1
2016-12-08,1,1
2017-02-02,1,1
2017-03-24,1,1
2017-03-29,1,1
2017-04-05,1,1
2017-04-11,1,1
2017-05-05,1,1
2017-06-02,1,1
2017-06-09,1,1
2017-06-11,1,1
2017-06-21,1,1
2017-06-25,1,1
2017-07-02,1,1
2017-07-21,1,1
2017-08-30,1,1
2017-09-06,1,1
2017-09-22,1,1
2017-10-08,1,1
2017-10-13,1,1
2017-10-25,1,1
2017-11-18,1,1
2017-11-19,1,1
2017-12-28,1,1
2018-01-10,1,1
2018-01-27,1,1
2018-03-11,1,1
2018-03-17,1,1
2018-03-18,1,1
2018-03-20,2,2
2018-03-23,1,1
2018-04-04,1,1
2018-04-07,2,2
2018-05-13,1,1
2018-05-15,1,1
2018-05-30,1,1
2018-06-07,1,1
2018-06-17,1,1
2018-06-19,1,1
2018-06-22,1,1
2018-07-17,1,1
2018-07-22,2,2
2018-07-26,1,1
2018-08-09,1,1
2018-09-01,1,1
2018-09-06,1,1
2018-09-16,2,2
2018-10-02,2,2
2018-11-21,1,1
2018-11-23,1,1
2018-11-30,1,1
2018-12-04,2,2
2018-12-06,1,1
2018-12-13,1,1
2019-01-27,1,1
2019-01-31,1,1
2019-02-26,1,1
2019-03-19,1,1
2019-03-21,1,1
2019-03-22,1,1
2019-04-03,1,1
2019-04-07,1,1
2019-04-10,1,1
2019-04-12,2,2
2019-04-13,1,1
2019-04-16,1,1
2019-04-21,1,1
2019-04-23,1,1
2019-04-24,1,1
2019-04-28,3,3
2019-05-01,1,1
2019-05-03,2,2
2019-05-05,1,1
2019-05-09,2,2
2019-05-18,1,1
2019-05-28,1,1
2019-06-06,1,1
2019-06-16,1,1
2019-06-20,1,1
2019-06-23,1,1
2019-06-29,1,1
2019-06-30,1,1
2019-07-02,1,1
2019-07-05,2,2
2019-07-13,1,1
2019-07-17,1,1
2019-07-18,1,1
2019-07-21,1,1
2019-07-28,2,2
2019-08-04,1,1
2019-08-18,2,2
2019-08-23,1,1
2019-08-27,1,1
2019-08-28,1,1
2019-08-30,1,1
2019-09-08,1,1
2019-09-11,2,2
2019-09-14,3,3
2019-09-17,1,1
2019-09-21,2,2
2019-09-22,1,1
2019-09-24,1,1
2019-09-26,4,4
2019-09-28,1,1
2019-10-02,1,1
2019-10-05,1,1
2019-10-06,1,1
2019-10-08,1,1
2019-10-10,1,1
2019-10-11,1,1
2019-10-31,1,1
2019-11-06,1,1
2019-11-07,1,1
2019-11-13,1,1
2019-11-15,1,1
2019-11-17,1,1
2019-11-30,2,2
2019-12-03,2,2
2019-12-06,1,1
2019-12-08,1,1
2019-12-12,1,1
2019-12-13,1,1
2019-12-14,1,1
2019-12-17,2,2
2020-01-03,2,2
2020-01-04,1,1
2020-01-05,2,2
2020-01-10,1,1
2020-01-11,1,1
2020-01-16,2,2
2020-01-17,1,1
2020-01-19,1,1
2020-01-21,1,1
2020-01-22,1,1
2020-01-23,1,1
2020-02-04,2,2
2020-02-09,1,1
2020-02-11,1,1
2020-03-06,1,1
2020-03-12,1,1
2020-03-18,1,1
2020-04-17,1,1
2020-04-25,1,1
2020-05-06,1,1
2020-05-12,2,2
2020-05-13,1,1
2020-05-24,1,1
2020-05-27,1,1
2020-06-02,1,1
2020-06-10,1,1
2020-06-13,1,1
2020-06-14,1,1
2020-06-16,1,1
2020-06-25,1,1
2020-06-27,1,1
2020-06-28,2,2
2020-07-03,2,2
2020-08-08,2,2
2020-08-16,1,1
2020-08-23,1,1
2020-08-27,1,1
2020-08-29,1,1
2020-08-30,2,2
2020-09-11,2,2
2020-09-14,1,1
2020-09-16,1,1
2020-09-17,1,1
2020-09-18,3,3
2020-09-23,1,1
2020-09-26,1,1
2020-09-29,1,1
