date,hit_count,text_count
2000-01-11,1,1
2000-03-18,1,1
2000-11-02,1,1
2000-11-03,1,1
2000-11-23,1,1
2000-12-05,1,1
2000-12-14,1,1
2001-03-31,1,1
2001-04-05,1,1
2001-06-16,1,1
2001-07-17,1,1
2001-07-20,1,1
2001-07-24,1,1
2001-09-15,1,1
2002-08-04,1,1
2002-08-25,2,2
2002-09-05,1,1
2003-04-06,1,1
2003-06-22,1,1
2005-05-05,1,1
2005-07-06,2,2
2005-07-09,1,1
2005-08-21,1,1
2005-09-25,1,1
2005-12-02,1,1
2005-12-04,1,1
2006-11-12,1,1
2006-11-17,1,1
2006-11-18,1,1
2007-01-07,1,1
2007-01-11,1,1
2007-01-13,1,1
2007-01-19,1,1
2007-01-23,1,1
2007-01-26,1,1
2007-02-20,1,1
2007-03-07,1,1
2007-03-08,1,1
2007-03-11,1,1
2007-03-22,2,2
2007-04-13,1,1
2007-05-31,2,2
2007-06-03,1,1
2007-06-06,1,1
2007-07-01,1,1
2007-07-03,1,1
2007-07-07,2,2
2007-07-08,1,1
2007-08-14,1,1
2007-08-19,2,2
2007-09-23,1,1
2007-09-26,2,2
2007-09-29,1,1
2007-10-13,1,1
2007-11-27,1,1
2007-12-09,1,1
2007-12-11,1,1
2007-12-16,1,1
2007-12-27,1,1
2009-01-21,1,1
2009-02-05,1,1
2009-03-07,1,1
2009-03-11,1,1
2009-06-26,1,1
2009-06-27,1,1
2009-08-04,1,1
2009-08-11,1,1
2009-08-14,1,1
2009-09-24,1,1
2009-10-04,1,1
2009-10-14,1,1
2009-10-21,1,1
2009-10-29,1,1
2009-11-17,1,1
2009-11-27,1,1
2009-12-02,1,1
2009-12-03,1,1
2009-12-12,1,1
2009-12-13,1,1
2009-12-18,1,1
2009-12-19,1,1
2009-12-31,1,1
2010-10-05,1,1
2010-10-27,1,1
2010-10-30,1,1
2010-11-03,1,1
2010-11-05,1,1
2010-11-09,1,1
2010-12-02,1,1
2010-12-12,1,1
2011-03-27,1,1
2011-04-16,1,1
2011-05-14,1,1
2011-05-26,1,1
2011-10-20,1,1
2011-11-27,1,1
2011-12-10,1,1
2011-12-11,1,1
2011-12-14,1,1
2012-02-08,1,1
2012-03-31,1,1
2012-06-01,1,1
2012-11-06,1,1
2012-12-01,1,1
2013-05-07,1,1
2013-06-20,1,1
2013-07-21,1,1
2013-09-28,1,1
2013-10-19,1,1
2013-11-12,1,1
2013-11-23,1,1
2014-01-05,1,1
2014-01-16,1,1
2014-01-22,1,1
2014-02-01,1,1
2014-04-25,1,1
2014-06-21,1,1
2014-06-29,1,1
2014-09-23,1,1
2014-09-24,1,1
2014-11-06,2,2
2014-11-15,1,1
2015-01-07,1,1
2015-02-14,1,1
2015-05-09,1,1
2015-05-29,1,1
2015-06-04,1,1
2015-06-19,1,1
2015-06-24,1,1
2015-08-13,1,1
2015-09-04,1,1
2015-10-02,1,1
2015-10-25,1,1
2015-12-03,1,1
2015-12-13,1,1
2015-12-20,1,1
2015-12-29,1,1
2016-01-02,1,1
2016-02-11,1,1
2016-02-16,1,1
2016-03-01,1,1
2016-03-05,1,1
2016-03-10,1,1
2016-07-23,1,1
2016-08-11,1,1
2016-08-18,1,1
2016-09-21,1,1
2016-09-29,1,1
2016-10-08,1,1
2016-11-17,1,1
2016-11-18,1,1
2016-12-11,1,1
2016-12-14,1,1
2017-02-14,1,1
2017-03-05,1,1
2017-03-15,1,1
2017-03-24,1,1
2017-05-11,1,1
2017-05-20,1,1
2017-05-27,1,1
2017-05-28,1,1
2017-06-01,1,1
2017-06-02,1,1
2017-06-09,2,2
2017-06-18,1,1
2017-06-21,1,1
2017-06-30,1,1
2017-07-04,2,2
2017-07-08,1,1
2017-07-09,1,1
2017-07-15,1,1
2017-07-20,1,1
2017-07-28,1,1
2017-08-03,1,1
2017-08-29,1,1
2017-09-20,1,1
2017-09-21,1,1
2017-09-22,1,1
2017-09-30,1,1
2017-10-15,1,1
2017-10-29,1,1
2017-11-05,1,1
2017-11-18,1,1
2017-12-28,1,1
2018-02-03,1,1
2018-03-06,1,1
2018-03-15,1,1
2018-03-18,1,1
2018-03-25,1,1
2018-04-03,1,1
2018-04-07,1,1
2018-04-08,1,1
2018-05-16,1,1
2018-06-17,1,1
2018-08-22,1,1
2018-08-29,1,1
2018-09-19,1,1
2018-09-26,1,1
2018-09-28,1,1
2018-09-30,1,1
2018-10-03,1,1
2018-10-25,1,1
2018-11-18,1,1
2018-11-20,1,1
2018-11-30,1,1
2018-12-01,1,1
2018-12-02,1,1
2018-12-07,1,1
2018-12-09,1,1
2018-12-13,1,1
2018-12-21,1,1
2019-01-19,1,1
2019-01-25,2,2
2019-03-02,1,1
2019-03-15,5,5
2019-03-16,3,3
2019-03-17,1,1
2019-03-19,1,1
2019-03-20,1,1
2019-03-21,3,3
2019-03-24,1,1
2019-03-30,1,1
2019-03-31,1,1
2019-04-03,1,1
2019-04-17,1,1
2019-04-18,1,1
2019-04-19,1,1
2019-04-20,1,1
2019-04-28,1,1
2019-05-03,1,1
2019-05-05,1,1
2019-05-08,1,1
2019-05-09,1,1
2019-05-16,1,1
2019-05-24,1,1
2019-05-25,1,1
2019-05-26,3,3
2019-05-28,2,2
2019-05-29,3,3
2019-06-01,2,2
2019-06-04,1,1
2019-06-11,1,1
2019-06-26,1,1
2019-06-27,1,1
2019-06-29,1,1
2019-07-03,1,1
2019-07-04,2,2
2019-07-05,1,1
2019-07-13,1,1
2019-07-14,2,2
2019-07-16,1,1
2019-07-18,2,2
2019-07-21,1,1
2019-07-26,2,2
2019-07-28,2,2
2019-07-30,1,1
2019-08-02,2,2
2019-08-04,1,1
2019-08-07,1,1
2019-08-18,1,1
2019-08-21,1,1
2019-08-25,1,1
2019-08-27,1,1
2019-08-28,1,1
2019-08-30,1,1
2019-09-06,1,1
2019-09-07,2,2
2019-09-08,1,1
2019-09-11,1,1
2019-09-12,2,2
2019-09-14,1,1
2019-09-17,1,1
2019-09-18,1,1
2019-09-19,2,2
2019-09-20,1,1
2019-09-21,3,3
2019-09-22,2,2
2019-09-24,1,1
2019-09-25,2,2
2019-09-26,1,1
2019-09-27,2,2
2019-09-28,2,2
2019-09-29,1,1
2019-10-08,2,2
2019-10-09,1,1
2019-10-11,3,3
2019-10-14,2,2
2019-10-16,1,1
2019-10-20,1,1
2019-10-22,1,1
2019-10-23,1,1
2019-10-24,1,1
2019-11-03,2,2
2019-11-05,1,1
2019-11-09,1,1
2019-11-15,1,1
2019-11-16,2,2
2019-11-17,2,2
2019-11-20,1,1
2019-11-22,1,1
2019-11-28,1,1
2019-11-30,2,2
2019-12-03,2,2
2019-12-04,1,1
2019-12-07,1,1
2019-12-12,1,1
2019-12-17,3,3
2019-12-19,1,1
2019-12-20,1,1
2019-12-22,1,1
2019-12-29,3,3
2019-12-31,1,1
2020-01-04,2,2
2020-01-05,1,1
2020-01-10,1,1
2020-01-12,1,1
2020-01-14,1,1
2020-01-16,1,1
2020-01-17,2,2
2020-01-18,1,1
2020-01-19,2,2
2020-01-22,1,1
2020-01-23,2,2
2020-01-24,1,1
2020-01-25,2,2
2020-01-29,1,1
2020-01-30,1,1
2020-02-04,3,3
2020-02-06,1,1
2020-02-08,3,3
2020-02-11,1,1
2020-02-12,1,1
2020-02-13,2,2
2020-02-14,1,1
2020-02-16,1,1
2020-02-19,1,1
2020-02-23,2,2
2020-02-26,1,1
2020-02-29,1,1
2020-03-03,1,1
2020-03-06,1,1
2020-03-07,1,1
2020-03-14,1,1
2020-03-29,1,1
2020-04-04,1,1
2020-04-16,1,1
2020-04-21,1,1
2020-04-22,1,1
2020-04-24,1,1
2020-04-25,1,1
2020-05-17,1,1
2020-05-26,1,1
2020-05-27,1,1
2020-06-13,1,1
2020-06-25,1,1
2020-06-27,2,2
2020-06-28,1,1
2020-06-30,1,1
2020-07-04,1,1
2020-07-17,1,1
2020-07-31,1,1
2020-08-18,1,1
2020-08-23,1,1
2020-08-30,1,1
2020-09-02,1,1
2020-09-11,1,1
2020-09-23,1,1
2020-09-29,1,1
2020-10-01,1,1
2020-10-02,1,1
2020-10-09,1,1
2020-10-10,1,1
2020-10-11,1,1
2020-10-28,1,1
2020-10-30,1,1
2020-11-04,1,1
2020-11-17,1,1
2020-11-18,1,1
2020-12-06,1,1
2020-12-15,1,1
2020-12-22,1,1
2020-12-29,1,1
2021-01-03,1,1
2021-01-08,1,1
2021-01-12,1,1
2021-01-31,1,1
2021-02-09,1,1
2021-02-13,1,1
2021-03-20,1,1
2021-04-04,1,1
2021-04-06,1,1
2021-04-08,1,1
2021-04-16,1,1
2021-04-23,1,1
2021-04-27,1,1
2021-05-02,1,1
2021-05-04,1,1
2021-05-06,1,1
2021-05-13,1,1
2021-05-16,1,1
2021-05-21,1,1
2021-05-28,1,1
2021-05-29,1,1
2021-06-03,1,1
2021-06-05,1,1
2021-06-06,1,1
2021-06-08,1,1
2021-06-11,1,1
2021-06-13,2,2
2021-06-16,1,1
2021-06-19,1,1
2021-06-27,1,1
2021-06-29,1,1
2021-07-09,1,1
2021-07-10,1,1
2021-07-15,1,1
2021-07-16,2,2
2021-07-18,1,1
2021-07-23,1,1
2021-07-30,1,1
2021-08-10,1,1
2021-08-15,1,1
2021-08-17,1,1
2021-08-20,2,2
2021-08-22,1,1
2021-09-03,1,1
2021-09-04,2,2
2021-09-05,2,2
2021-09-07,1,1
2021-09-10,1,1
2021-09-11,1,1
2021-09-19,1,1
2021-09-21,1,1
2021-09-24,1,1
2021-09-25,1,1
2021-09-29,1,1
2021-10-01,1,1
2021-10-09,3,3
2021-10-12,1,1
2021-10-16,1,1
2021-10-19,1,1
2021-10-27,1,1
2021-10-29,1,1
2021-10-30,1,1
2021-10-31,1,1
2021-11-02,1,1
2021-11-04,1,1
2021-11-05,3,3
2021-11-06,1,1
2021-11-13,1,1
2021-11-14,1,1
2021-11-28,1,1
2021-12-08,1,1
2021-12-12,1,1
2021-12-16,2,2
2021-12-19,1,1
2022-01-02,1,1
2022-01-09,1,1
2022-01-18,1,1
2022-01-22,1,1
2022-01-25,1,1
2022-01-26,1,1
2022-02-03,2,2
2022-02-04,1,1
2022-02-11,1,1
2022-02-24,1,1
2022-02-25,1,1
2022-02-27,1,1
2022-03-01,1,1
2022-03-23,1,1
2022-04-03,2,2
2022-04-08,1,1
2022-04-14,1,1
2022-05-03,1,1
2022-05-26,1,1
2022-06-01,1,1
2022-06-07,1,1
2022-06-11,1,1
2022-06-29,2,2
2022-07-05,1,1
2022-07-07,1,1
2022-07-10,1,1
2022-07-13,1,1
2022-07-14,1,1
2022-07-16,1,1
2022-07-19,1,1
2022-08-14,1,1
2022-08-21,3,3
2022-08-23,1,1
2022-08-25,1,1
2022-09-25,1,1
2022-09-29,1,1
2022-10-04,1,1
2022-10-26,1,1
2022-10-28,1,1
2022-11-06,2,2
2022-11-09,1,1
2022-11-10,1,1
2022-11-12,1,1
2022-11-20,1,1
2022-11-22,1,1
2022-12-04,2,2
2022-12-08,1,1
2022-12-11,1,1
2022-12-15,1,1
2022-12-16,1,1
2022-12-30,1,1
