date,hit_count,text_count
2000-02-27,1,1
2002-08-18,1,1
2005-02-16,1,1
2007-01-17,1,1
2007-01-26,1,1
2007-03-08,1,1
2007-03-10,1,1
2007-03-11,1,1
2007-11-17,1,1
2007-12-16,1,1
2009-01-25,1,1
2009-02-15,1,1
2009-07-29,1,1
2009-12-08,1,1
2010-11-11,1,1
2010-11-13,1,1
2011-04-15,2,2
2011-06-18,1,1
2011-07-09,1,1
2011-09-17,1,1
2012-05-31,1,1
2013-11-21,1,1
2014-09-18,1,1
2015-02-04,1,1
2015-02-21,1,1
2015-06-02,1,1
2015-06-30,1,1
2015-11-27,1,1
2015-12-01,1,1
2016-01-08,1,1
2016-02-11,1,1
2016-04-22,1,1
2016-07-15,1,1
2016-08-03,1,1
2016-11-06,1,1
2016-11-20,1,1
2016-11-24,1,1
2016-12-08,1,1
2017-03-30,1,1
2017-03-31,1,1
2017-05-24,1,1
2017-06-18,1,1
2017-07-21,1,1
2017-10-06,1,1
2017-10-15,1,1
2017-11-15,1,1
2017-12-01,1,1
2018-03-23,1,1
2018-04-07,1,1
2018-06-17,2,2
2018-06-22,1,1
2018-08-09,1,1
2018-09-16,2,2
2018-09-19,1,1
2018-10-02,2,2
2018-10-25,1,1
2019-03-16,1,1
2019-04-18,1,1
2019-06-12,1,1
2019-06-25,1,1
2019-07-19,1,1
2019-07-28,1,1
2019-08-06,1,1
2019-08-28,1,1
2019-08-29,1,1
2019-09-11,1,1
2019-11-06,1,1
2019-11-07,1,1
2019-11-16,1,1
2020-01-10,1,1
2020-02-13,1,1
2020-02-23,1,1
2020-03-03,1,1
2020-03-15,1,1
2020-05-12,1,1
2020-05-27,1,1
2020-06-18,1,1
2020-06-26,1,1
2020-06-28,1,1
2020-07-30,1,1
2020-08-23,1,1
2020-09-11,1,1
2020-09-17,1,1
2020-09-18,2,2
2020-09-26,1,1
2020-10-04,1,1
2020-10-18,1,1
2020-10-25,1,1
2020-10-27,1,1
2020-10-28,1,1
2020-11-04,1,1
2020-12-27,1,1
2021-01-22,1,1
2021-05-06,1,1
2021-05-09,2,2
2021-05-22,1,1
2021-05-28,1,1
2021-06-05,1,1
2021-06-06,1,1
2021-07-11,1,1
2021-08-12,1,1
2021-09-10,1,1
2021-09-23,1,1
2021-09-26,1,1
2021-10-08,1,1
2021-10-13,1,1
2021-10-23,1,1
2021-11-02,1,1
2021-11-13,1,1
2022-01-21,1,1
2022-03-04,1,1
2022-03-18,1,1
2022-03-26,1,1
2022-04-03,1,1
2022-05-25,1,1
2022-06-09,1,1
2022-07-06,1,1
2022-07-07,1,1
2022-07-17,1,1
2022-08-21,2,2
2022-08-23,1,1
2022-08-28,1,1
2022-09-18,1,1
2022-10-18,1,1
2022-10-20,1,1
2022-11-06,1,1
