date,hit_count,text_count
2003-08-11,1,1
2004-05-28,1,1
2005-01-22,1,1
2005-02-12,1,1
2005-02-16,1,1
2005-04-28,1,1
2005-09-29,1,1
2005-12-12,1,1
2006-08-12,1,1
2006-11-03,1,1
2006-11-08,1,1
2006-12-14,1,1
2007-02-09,1,1
2007-02-10,1,1
2007-02-14,1,1
2007-02-21,1,1
2007-02-23,2,2
2007-02-27,1,1
2007-03-02,1,1
2007-03-08,1,1
2007-03-09,1,1
2007-03-19,1,1
2007-03-20,1,1
2007-03-23,1,1
2007-03-26,2,2
2007-04-10,1,1
2007-04-16,1,1
2007-04-19,1,1
2007-04-23,1,1
2007-04-25,2,2
2007-04-30,1,1
2007-05-05,1,1
2007-05-08,1,1
2007-05-12,1,1
2007-06-07,1,1
2007-07-14,1,1
2007-07-21,1,1
2007-08-08,2,2
2007-09-06,1,1
2007-09-18,1,1
2007-10-13,1,1
2007-10-23,1,1
2007-10-27,1,1
2007-11-16,1,1
2007-11-20,1,1
2007-12-03,2,2
2007-12-11,1,1
2007-12-31,1,1
2008-01-19,2,2
2008-02-02,1,1
2008-04-19,1,1
2008-05-27,1,1
2008-09-19,1,1
2008-09-25,1,1
2008-11-19,1,1
2009-03-13,1,1
2009-04-02,1,1
2009-04-08,1,1
2009-05-12,1,1
2009-05-25,1,1
2009-05-28,1,1
2009-05-29,2,2
2009-06-03,1,1
2009-06-25,1,1
2009-08-18,1,1
2009-09-23,1,1
2009-11-04,1,1
2009-11-14,1,1
2009-11-24,1,1
2009-11-30,1,1
2009-12-07,2,2
2009-12-17,1,1
2010-01-20,1,1
2010-02-06,1,1
2010-04-22,1,1
2010-04-27,1,1
2010-04-28,1,1
2010-12-01,1,1
2010-12-09,1,1
2010-12-14,1,1
2010-12-28,1,1
2011-01-29,1,1
2011-02-03,2,2
2011-03-12,1,1
2011-03-22,1,1
2011-04-02,1,1
2011-05-04,1,1
2011-05-07,1,1
2011-09-01,1,1
2012-04-24,1,1
2012-05-12,1,1
2012-05-25,1,1
2012-05-30,1,1
2012-07-14,1,1
2012-09-07,2,2
2012-10-24,1,1
2012-10-25,2,2
2012-10-26,2,2
2012-11-24,1,1
2012-11-30,2,2
2012-12-19,1,1
2012-12-31,1,1
2013-01-24,1,1
2013-02-28,2,2
2013-03-06,1,1
2013-04-20,1,1
2013-09-16,1,1
2013-11-04,1,1
2013-11-05,1,1
2013-11-07,1,1
2013-11-12,1,1
2013-12-12,1,1
2014-04-17,2,2
2014-06-27,1,1
2014-07-05,1,1
2015-02-07,1,1
2015-04-16,1,1
2015-07-30,2,2
2015-08-01,1,1
2015-08-19,1,1
2015-09-10,1,1
2015-11-05,1,1
2015-11-21,1,1
2015-12-11,1,1
2015-12-14,1,1
2015-12-31,1,1
2016-02-13,1,1
2016-05-05,2,2
2016-05-07,1,1
2016-05-09,1,1
2016-06-20,3,3
2016-08-19,1,1
2016-11-03,1,1
2016-12-28,1,1
2017-04-04,1,1
2017-05-03,1,1
2017-05-27,1,1
2017-06-07,2,2
2017-06-09,1,1
2017-07-07,1,1
2017-09-02,1,1
2017-09-06,1,1
2017-09-16,1,1
2017-10-19,1,1
2018-01-13,1,1
2018-02-02,1,1
2018-03-09,1,1
2018-03-19,1,1
2018-03-24,1,1
2018-05-07,1,1
2018-06-08,1,1
2018-07-12,1,1
2018-07-28,1,1
2018-08-08,1,1
2018-08-09,1,1
2018-08-11,1,1
2018-08-14,1,1
2018-08-17,1,1
2018-08-20,1,1
2018-08-31,2,2
2018-09-04,1,1
2018-09-08,1,1
2018-09-15,1,1
2018-09-25,1,1
2018-09-26,1,1
2018-09-27,1,1
2018-09-28,2,2
2018-09-29,1,1
2018-10-15,1,1
2018-10-16,1,1
2018-10-26,2,2
2018-11-05,1,1
2018-11-09,1,1
2018-11-13,1,1
2018-11-26,2,2
2018-12-06,2,2
2019-01-12,1,1
2019-01-14,1,1
2019-01-15,1,1
2019-01-25,1,1
2019-01-29,1,1
2019-01-31,1,1
2019-02-09,1,1
2019-02-21,1,1
2019-03-06,1,1
2019-03-11,2,2
2019-03-12,1,1
2019-03-14,1,1
2019-03-18,1,1
2019-03-19,1,1
2019-03-21,1,1
2019-04-02,1,1
2019-04-10,1,1
2019-04-13,1,1
2019-04-23,3,3
2019-04-25,1,1
2019-04-29,1,1
2019-05-01,1,1
2019-05-03,1,1
2019-05-16,1,1
2019-05-17,2,2
2019-05-18,3,3
2019-05-21,3,3
2019-05-22,1,1
2019-05-23,3,3
2019-05-24,1,1
2019-05-25,6,6
2019-05-27,3,3
2019-05-28,3,3
2019-05-29,2,2
2019-06-01,1,1
2019-06-05,5,5
2019-06-06,1,1
2019-06-08,2,2
2019-06-11,1,1
2019-06-12,3,3
2019-06-13,1,1
2019-06-14,3,3
2019-06-15,2,2
2019-06-18,4,4
2019-06-19,2,2
2019-06-24,1,1
2019-06-25,2,2
2019-06-26,2,2
2019-06-27,1,1
2019-06-29,1,1
2019-07-02,3,3
2019-07-03,3,3
2019-07-04,5,5
2019-07-06,6,6
2019-07-08,2,2
2019-07-09,4,4
2019-07-10,4,4
2019-07-11,6,6
2019-07-12,9,9
2019-07-13,9,9
2019-07-15,1,1
2019-07-16,2,2
2019-07-17,4,4
2019-07-19,1,1
2019-07-20,1,1
2019-07-23,2,2
2019-07-24,3,3
2019-07-25,3,3
2019-07-26,2,2
2019-07-27,1,1
2019-07-29,1,1
2019-07-30,2,2
2019-07-31,1,1
2019-08-01,3,3
2019-08-02,3,3
2019-08-03,8,8
2019-08-06,2,2
2019-08-07,1,1
2019-08-10,2,2
2019-08-14,1,1
2019-08-15,5,5
2019-08-17,2,2
2019-08-19,2,2
2019-08-20,1,1
2019-08-21,1,1
2019-08-24,1,1
2019-08-26,1,1
2019-08-27,1,1
2019-08-28,5,5
2019-08-29,3,3
2019-08-30,1,1
2019-08-31,3,3
2019-09-03,2,2
2019-09-04,1,1
2019-09-05,3,3
2019-09-06,5,5
2019-09-07,2,2
2019-09-09,1,1
2019-09-10,2,2
2019-09-11,3,3
2019-09-12,1,1
2019-09-13,1,1
2019-09-14,4,4
2019-09-18,2,2
2019-09-19,3,3
2019-09-20,7,7
2019-09-21,7,7
2019-09-23,2,2
2019-09-24,1,1
2019-09-25,4,4
2019-09-26,3,3
2019-09-27,4,4
2019-09-28,1,1
2019-10-01,3,3
2019-10-02,2,2
2019-10-03,1,1
2019-10-05,1,1
2019-10-08,3,3
2019-10-09,1,1
2019-10-10,5,5
2019-10-11,3,3
2019-10-12,1,1
2019-10-14,1,1
2019-10-15,1,1
2019-10-16,1,1
2019-10-17,2,2
2019-10-19,1,1
2019-10-21,1,1
2019-10-23,5,5
2019-10-24,2,2
2019-10-25,1,1
2019-10-26,1,1
2019-10-29,1,1
2019-10-31,1,1
2019-11-05,1,1
2019-11-08,2,2
2019-11-12,1,1
2019-11-13,2,2
2019-11-15,2,2
2019-11-18,1,1
2019-11-19,1,1
2019-11-20,4,4
2019-11-21,3,3
2019-11-22,2,2
2019-11-23,1,1
2019-11-25,1,1
2019-11-26,2,2
2019-11-27,4,4
2019-11-28,4,4
2019-11-29,2,2
2019-11-30,7,7
2019-12-03,2,2
2019-12-04,1,1
2019-12-06,1,1
2019-12-07,4,4
2019-12-10,1,1
2019-12-13,2,2
2019-12-14,2,2
2019-12-16,1,1
2019-12-17,3,3
2019-12-18,1,1
2019-12-19,1,1
2019-12-21,3,3
2019-12-24,1,1
2019-12-27,1,1
2019-12-28,1,1
2019-12-31,1,1
2020-01-07,2,2
2020-01-14,1,1
2020-01-15,1,1
2020-01-17,1,1
2020-01-18,1,1
2020-01-22,1,1
2020-01-24,4,4
2020-01-25,3,3
2020-01-27,2,2
2020-01-28,5,5
2020-01-30,1,1
2020-02-03,1,1
2020-02-05,1,1
2020-02-06,1,1
2020-02-08,1,1
2020-02-10,1,1
2020-02-12,3,3
2020-02-13,1,1
2020-02-14,2,2
2020-02-15,1,1
2020-02-17,1,1
2020-02-19,1,1
2020-02-21,2,2
2020-02-22,2,2
2020-02-24,2,2
2020-02-26,1,1
2020-02-27,3,3
2020-02-29,1,1
2020-03-02,1,1
2020-03-03,1,1
2020-03-04,2,2
2020-03-10,1,1
2020-03-19,2,2
2020-03-21,1,1
2020-03-24,2,2
2020-03-27,1,1
2020-03-28,1,1
2020-03-30,1,1
2020-04-18,1,1
2020-04-22,2,2
2020-04-24,2,2
2020-04-25,2,2
2020-04-27,2,2
2020-04-28,2,2
2020-04-29,2,2
2020-04-30,1,1
2020-05-01,1,1
2020-05-05,1,1
2020-05-08,1,1
2020-05-11,1,1
2020-05-12,2,2
2020-05-19,2,2
2020-05-21,3,3
2020-05-28,1,1
2020-06-09,1,1
2020-06-15,2,2
2020-06-22,1,1
2020-06-23,1,1
2020-07-01,1,1
2020-07-02,1,1
2020-07-13,1,1
2020-07-14,1,1
2020-07-18,2,2
2020-07-21,1,1
2020-07-22,1,1
2020-07-23,1,1
2020-07-24,2,2
2020-07-28,1,1
2020-08-05,4,4
2020-08-08,1,1
2020-08-11,1,1
2020-08-14,1,1
2020-08-17,1,1
2020-08-18,2,2
2020-08-20,1,1
2020-08-21,3,3
2020-08-25,1,1
2020-08-26,1,1
2020-08-27,2,2
2020-08-28,2,2
2020-08-29,1,1
2020-08-31,2,2
2020-09-02,2,2
2020-09-04,2,2
2020-09-05,1,1
2020-09-08,3,3
2020-09-09,3,3
2020-09-10,2,2
2020-09-11,1,1
2020-09-12,1,1
2020-09-14,1,1
2020-09-15,1,1
2020-09-17,2,2
2020-09-22,4,4
2020-09-23,1,1
2020-09-24,1,1
2020-09-25,4,4
2020-09-26,2,2
2020-09-29,1,1
2020-10-01,1,1
2020-10-03,1,1
2020-10-08,1,1
2020-10-14,1,1
2020-10-15,1,1
2020-10-20,1,1
2020-10-23,1,1
2020-10-24,1,1
2020-10-28,1,1
2020-11-05,4,4
2020-11-06,1,1
2020-11-09,1,1
2020-11-11,1,1
2020-11-20,1,1
2020-11-21,1,1
2020-11-23,1,1
2020-11-24,1,1
2020-11-26,2,2
2020-12-01,1,1
2020-12-02,1,1
2020-12-07,1,1
2020-12-09,1,1
2020-12-12,1,1
2020-12-14,1,1
2020-12-19,1,1
2020-12-31,1,1
2021-01-18,2,2
2021-01-22,1,1
2021-01-23,1,1
2021-01-25,1,1
2021-01-28,1,1
2021-02-04,1,1
2021-02-05,1,1
2021-02-08,1,1
2021-02-12,1,1
2021-02-13,1,1
2021-02-15,2,2
2021-02-16,1,1
2021-02-17,1,1
2021-02-22,1,1
2021-02-23,1,1
2021-02-24,3,3
2021-02-25,1,1
2021-03-01,2,2
2021-03-02,1,1
2021-03-03,1,1
2021-03-08,1,1
2021-03-11,2,2
2021-03-15,1,1
2021-03-18,2,2
2021-03-22,2,2
2021-03-24,2,2
2021-03-25,1,1
2021-03-27,1,1
2021-03-29,1,1
2021-03-30,1,1
2021-04-12,1,1
2021-04-13,1,1
2021-04-15,1,1
2021-04-16,3,3
2021-04-23,1,1
2021-04-24,2,2
2021-04-27,1,1
2021-04-28,1,1
2021-04-30,1,1
2021-05-01,1,1
2021-05-03,1,1
2021-05-04,1,1
2021-05-11,1,1
2021-05-15,1,1
2021-05-17,2,2
2021-05-19,1,1
2021-05-21,1,1
2021-05-26,2,2
2021-05-27,1,1
2021-06-05,1,1
2021-06-07,1,1
2021-06-09,2,2
2021-06-11,1,1
2021-06-15,1,1
2021-06-17,1,1
2021-06-19,1,1
2021-06-21,2,2
2021-06-24,1,1
2021-06-25,1,1
2021-06-29,1,1
2021-06-30,1,1
2021-07-01,1,1
2021-07-07,1,1
2021-07-10,1,1
2021-07-12,2,2
2021-07-16,3,3
2021-07-17,3,3
2021-07-19,1,1
2021-07-23,2,2
2021-07-24,2,2
2021-07-30,1,1
2021-07-31,1,1
2021-08-02,1,1
2021-08-04,1,1
2021-08-05,1,1
2021-08-06,1,1
2021-08-07,1,1
2021-08-09,1,1
2021-08-10,2,2
2021-08-14,2,2
2021-08-17,1,1
2021-08-19,1,1
2021-08-20,2,2
2021-08-21,4,4
2021-08-23,2,2
2021-08-26,1,1
2021-08-28,2,2
2021-08-30,2,2
2021-08-31,5,5
2021-09-01,2,2
2021-09-02,2,2
2021-09-03,5,5
2021-09-04,3,3
2021-09-06,1,1
2021-09-07,1,1
2021-09-08,1,1
2021-09-09,1,1
2021-09-10,1,1
2021-09-11,2,2
2021-09-13,1,1
2021-09-14,4,4
2021-09-15,1,1
2021-09-16,2,2
2021-09-17,1,1
2021-09-18,1,1
2021-09-20,3,3
2021-09-21,6,6
2021-09-22,3,3
2021-09-23,5,5
2021-09-24,1,1
2021-09-25,2,2
2021-09-27,2,2
2021-10-04,1,1
2021-10-07,1,1
2021-10-08,1,1
2021-10-13,1,1
2021-10-15,2,2
2021-10-18,2,2
2021-10-20,1,1
2021-10-25,1,1
2021-10-26,1,1
2021-10-28,1,1
2021-10-30,2,2
2021-11-01,1,1
2021-11-04,1,1
2021-11-06,2,2
2021-11-08,3,3
2021-11-09,1,1
2021-11-10,1,1
2021-11-11,1,1
2021-11-12,1,1
2021-11-13,1,1
2021-11-15,2,2
2021-11-16,1,1
2021-11-18,2,2
2021-11-20,1,1
2021-11-22,1,1
2021-11-26,2,2
2021-11-27,1,1
2021-11-29,1,1
2021-11-30,1,1
2021-12-02,1,1
2021-12-06,1,1
2021-12-07,1,1
2021-12-09,2,2
2021-12-13,1,1
2021-12-15,1,1
2021-12-21,1,1
2021-12-27,1,1
2021-12-28,1,1
2022-01-03,1,1
2022-01-05,1,1
2022-01-10,1,1
2022-01-11,1,1
2022-01-22,1,1
2022-01-25,1,1
2022-01-26,1,1
2022-02-02,1,1
2022-02-03,2,2
2022-02-04,1,1
2022-02-08,1,1
2022-02-12,1,1
2022-02-23,1,1
2022-02-26,1,1
2022-03-01,2,2
2022-03-09,2,2
2022-03-10,2,2
2022-03-11,1,1
2022-03-12,3,3
2022-03-14,2,2
2022-03-15,2,2
2022-03-16,3,3
2022-03-18,1,1
2022-03-22,1,1
2022-03-24,1,1
2022-03-25,3,3
2022-03-26,3,3
2022-03-29,1,1
2022-03-30,1,1
2022-03-31,1,1
2022-04-02,1,1
2022-04-06,3,3
2022-04-11,1,1
2022-04-20,1,1
2022-04-29,2,2
2022-05-03,2,2
2022-05-04,2,2
2022-05-05,1,1
2022-05-07,1,1
2022-05-12,1,1
2022-05-13,1,1
2022-05-16,2,2
2022-05-18,1,1
2022-05-19,1,1
2022-05-23,1,1
2022-05-25,1,1
2022-06-02,2,2
2022-06-03,1,1
2022-06-09,4,4
2022-06-10,1,1
2022-06-16,1,1
2022-06-18,2,2
2022-06-24,1,1
2022-06-27,1,1
2022-06-28,1,1
2022-07-02,1,1
2022-07-05,1,1
2022-07-08,1,1
2022-07-09,1,1
2022-07-13,1,1
2022-07-15,1,1
2022-07-16,1,1
2022-07-18,2,2
2022-07-19,1,1
2022-07-20,1,1
2022-07-22,1,1
2022-07-27,1,1
2022-08-03,1,1
2022-08-05,3,3
2022-08-09,1,1
2022-08-12,1,1
2022-08-13,1,1
2022-08-15,1,1
2022-08-18,1,1
2022-08-19,1,1
2022-08-20,1,1
2022-08-22,2,2
2022-08-26,1,1
2022-08-31,3,3
2022-09-01,1,1
2022-09-02,1,1
2022-09-03,2,2
2022-09-07,2,2
2022-09-09,1,1
2022-09-12,1,1
2022-09-14,1,1
2022-09-16,2,2
2022-09-20,1,1
2022-09-23,1,1
