date,hit_count,text_count
2001-07-11,1,1
2015-07-23,2,2
2015-08-05,1,1
2018-05-18,1,1
2018-08-09,2,2
2018-10-12,1,1
2018-11-09,1,1
2019-01-11,2,2
2019-01-22,1,1
2019-02-04,1,1
2019-02-12,2,2
2019-02-21,3,3
2019-02-22,1,1
2019-02-28,1,1
2019-03-01,2,2
2019-03-07,1,1
2019-03-12,1,1
2019-03-13,1,1
2019-03-14,2,2
2019-03-19,1,1
2019-03-20,1,1
2019-03-21,1,1
2019-03-25,2,2
2019-04-01,3,3
2019-04-02,1,1
2019-04-05,1,1
2019-04-08,1,1
2019-05-02,1,1
2019-05-07,1,1
2019-05-08,1,1
2019-05-09,2,2
2019-05-14,1,1
2019-05-15,2,2
2019-05-16,1,1
2019-05-21,1,1
2019-05-23,2,2
2019-05-24,1,1
2019-05-28,1,1
2019-06-04,1,1
2019-06-05,3,3
2019-06-07,2,2
2019-06-13,1,1
2019-06-25,1,1
2019-06-28,1,1
2019-07-09,1,1
2019-07-29,2,2
2019-08-06,1,1
2019-08-09,1,1
2019-08-15,1,1
2019-08-27,1,1
2019-08-30,1,1
2019-09-05,2,2
2019-09-09,1,1
2019-09-10,2,2
2019-09-23,1,1
2019-09-26,1,1
2019-10-11,1,1
2019-11-21,1,1
2019-11-29,1,1
2019-12-13,2,2
2020-01-13,1,1
2020-01-14,1,1
2020-01-15,1,1
2020-01-16,1,1
2020-01-21,3,3
2020-01-22,1,1
2020-01-23,1,1
2020-01-24,1,1
2020-01-27,1,1
2020-02-07,3,3
2020-02-10,1,1
2020-02-13,3,3
2020-02-14,1,1
2020-02-22,1,1
2020-02-29,1,1
2020-03-04,2,2
2020-03-06,1,1
2020-03-19,2,2
2020-05-11,1,1
2020-05-14,2,2
2020-05-16,1,1
2020-05-30,2,2
2020-06-16,1,1
2020-08-03,1,1
2020-08-10,1,1
2020-08-12,1,1
2020-08-14,1,1
2020-08-19,1,1
2020-08-21,1,1
2020-08-22,2,2
2020-08-25,1,1
2020-09-02,1,1
2020-09-08,2,2
2020-09-09,1,1
2020-09-11,1,1
2020-09-12,1,1
2020-09-18,1,1
2020-09-25,1,1
2020-09-26,1,1
2020-10-05,1,1
2020-10-08,1,1
2020-10-09,3,3
2020-10-12,1,1
2020-10-14,1,1
2020-10-19,1,1
2020-10-24,1,1
2020-11-03,3,3
2020-11-07,1,1
2020-11-09,1,1
2020-11-13,2,2
2020-11-23,1,1
2020-12-05,1,1
2020-12-11,1,1
2021-01-07,1,1
2021-01-13,1,1
2021-01-15,1,1
2021-01-19,2,2
2021-01-20,1,1
2021-01-21,1,1
2021-01-23,1,1
2021-01-26,1,1
2021-02-05,1,1
2021-02-13,1,1
2021-02-15,1,1
2021-02-20,1,1
2021-03-03,1,1
2021-03-15,1,1
2021-03-18,2,2
2021-03-19,1,1
2021-03-20,1,1
2021-03-26,2,2
2021-03-27,1,1
2021-03-31,1,1
2021-04-10,2,2
2021-04-22,1,1
2021-05-03,1,1
2021-05-05,1,1
2021-05-11,1,1
2021-05-18,1,1
2021-05-21,2,2
2021-05-22,3,3
2021-05-28,1,1
2021-06-02,2,2
2021-06-07,2,2
2021-06-14,1,1
2021-06-15,1,1
2021-06-16,1,1
2021-06-19,1,1
2021-06-21,1,1
2021-06-25,1,1
2021-06-26,1,1
2021-07-06,1,1
2021-07-09,1,1
2021-07-10,2,2
2021-07-13,1,1
2021-07-14,1,1
2021-07-19,1,1
2021-07-22,1,1
2021-08-05,1,1
2021-08-10,1,1
2021-08-13,1,1
2021-08-14,1,1
2021-08-21,1,1
2021-09-02,1,1
2021-09-09,2,2
2021-09-18,1,1
2021-09-24,3,3
2021-09-25,3,3
2021-09-27,1,1
2021-10-01,1,1
2021-10-20,1,1
2021-10-23,1,1
2021-10-28,1,1
2021-11-11,1,1
2021-11-12,1,1
2021-11-13,2,2
2021-11-15,1,1
2021-11-16,1,1
2021-11-22,1,1
2021-12-01,1,1
2021-12-04,1,1
2021-12-08,1,1
2021-12-09,1,1
2021-12-10,1,1
2021-12-17,1,1
2022-01-12,1,1
2022-01-22,1,1
2022-01-24,1,1
2022-01-25,1,1
2022-01-26,1,1
2022-01-27,1,1
2022-02-05,1,1
2022-02-10,1,1
2022-02-17,1,1
2022-03-04,1,1
2022-03-05,1,1
2022-03-19,1,1
2022-03-22,1,1
2022-03-24,1,1
2022-03-30,1,1
2022-04-01,1,1
2022-04-05,1,1
2022-04-07,1,1
2022-04-08,1,1
2022-04-14,1,1
2022-04-29,1,1
2022-05-02,3,3
2022-05-05,1,1
2022-05-18,1,1
2022-05-23,1,1
2022-05-30,1,1
2022-06-04,1,1
2022-06-08,1,1
2022-06-11,1,1
2022-06-20,1,1
2022-06-22,1,1
2022-06-24,1,1
2022-06-25,1,1
2022-07-04,1,1
2022-07-11,3,3
2022-07-13,1,1
2022-07-19,1,1
2022-07-22,1,1
2022-07-26,1,1
2022-07-27,1,1
2022-08-02,2,2
2022-08-06,1,1
2022-08-08,2,2
2022-08-09,2,2
2022-08-13,2,2
2022-08-15,1,1
2022-08-18,1,1
2022-08-22,1,1
2022-08-23,1,1
2022-08-29,1,1
2022-09-10,1,1
2022-09-16,2,2
2022-09-19,2,2
2022-09-21,1,1
2022-09-24,2,2
2022-10-01,1,1
2022-10-19,1,1
2022-10-22,1,1
2022-10-31,1,1
2022-11-01,1,1
2022-11-04,1,1
2022-11-07,2,2
2022-11-12,1,1
2022-11-14,1,1
2022-11-15,1,1
2022-11-16,2,2
2022-11-21,1,1
2022-12-02,1,1
2022-12-03,1,1
2022-12-09,1,1
2022-12-12,1,1
2022-12-21,1,1
2022-12-24,1,1
