date,hit_count,text_count
2000-09-30,1,1
2001-03-29,1,1
2001-04-23,1,1
2001-07-03,2,2
2001-09-08,1,1
2002-12-03,1,1
2003-08-27,1,1
2003-08-29,1,1
2003-09-10,1,1
2013-10-27,1,1
2014-02-12,1,1
2014-05-22,1,1
2014-09-10,1,1
2014-10-15,1,1
2014-11-12,1,1
2014-11-13,1,1
2014-11-20,1,1
2015-02-19,1,1
2015-03-10,1,1
2015-05-05,1,1
2015-07-09,2,2
2015-07-23,1,1
2015-08-06,1,1
2015-09-17,2,2
2015-11-12,2,2
2015-12-09,1,1
2015-12-18,1,1
2015-12-23,1,1
2016-01-21,1,1
2016-01-27,1,1
2016-03-09,1,1
2016-03-10,1,1
2016-06-22,2,2
2016-07-01,1,1
2016-08-31,1,1
2016-12-01,2,2
2016-12-20,2,2
2016-12-22,1,1
2017-01-19,1,1
2017-02-01,1,1
2017-05-18,2,2
2017-05-31,1,1
2017-07-06,1,1
2017-09-11,1,1
2017-09-19,1,1
2017-09-22,1,1
2017-12-01,1,1
2017-12-12,1,1
2018-01-18,1,1
2018-01-30,1,1
2018-03-06,1,1
2018-05-07,1,1
2018-05-28,1,1
2018-07-25,1,1
2018-08-08,1,1
2018-08-29,1,1
2018-09-05,1,1
2018-09-13,1,1
2018-09-19,2,2
2018-10-09,1,1
2018-10-25,1,1
2018-11-09,1,1
2018-11-19,1,1
2018-11-21,1,1
2018-11-28,1,1
2018-12-04,1,1
2018-12-05,1,1
2018-12-10,1,1
2018-12-17,2,2
2019-01-18,1,1
2019-02-04,1,1
2019-02-06,1,1
2019-02-13,1,1
2019-02-15,1,1
2019-03-05,1,1
2019-03-07,1,1
2019-03-08,1,1
2019-03-12,1,1
2019-03-14,1,1
2019-03-20,1,1
2019-03-21,1,1
2019-03-25,1,1
2019-03-26,1,1
2019-04-03,1,1
2019-04-05,2,2
2019-04-11,1,1
2019-04-25,1,1
2019-04-29,1,1
2019-05-03,1,1
2019-05-07,1,1
2019-05-08,1,1
2019-05-13,2,2
2019-05-15,3,3
2019-05-17,1,1
2019-05-23,3,3
2019-05-24,1,1
2019-05-27,1,1
2019-05-28,3,3
2019-05-29,1,1
2019-06-03,1,1
2019-06-14,1,1
2019-06-20,2,2
2019-06-24,1,1
2019-06-25,1,1
2019-07-04,1,1
2019-07-05,1,1
2019-07-09,1,1
2019-07-16,1,1
2019-07-29,1,1
2019-08-12,2,2
2019-08-15,2,2
2019-08-19,1,1
2019-08-21,1,1
2019-08-27,1,1
2019-08-28,1,1
2019-08-29,1,1
2019-08-30,2,2
2019-09-02,3,3
2019-09-03,1,1
2019-09-10,2,2
2019-09-11,1,1
2019-09-18,1,1
2019-09-20,1,1
2019-09-25,1,1
2019-09-27,1,1
2019-09-30,1,1
2019-10-01,1,1
2019-10-02,1,1
2019-10-04,1,1
2019-10-07,1,1
2019-10-10,1,1
2019-10-24,1,1
2019-12-17,1,1
2020-01-08,1,1
2020-01-10,1,1
2020-01-11,2,2
2020-01-14,1,1
2020-01-15,2,2
2020-01-21,3,3
2020-01-24,1,1
2020-01-25,2,2
2020-01-27,1,1
2020-01-29,1,1
2020-01-30,2,2
2020-02-01,3,3
2020-02-04,2,2
2020-02-06,3,3
2020-02-07,1,1
2020-02-08,2,2
2020-02-18,1,1
2020-02-22,1,1
2020-02-25,1,1
2020-03-03,1,1
2020-04-04,2,2
2020-04-06,1,1
2020-04-23,3,3
2020-04-30,3,3
2020-05-05,1,1
2020-05-09,1,1
2020-05-13,1,1
2020-05-16,1,1
2020-05-19,1,1
2020-05-27,2,2
2020-05-28,1,1
2020-05-30,1,1
2020-06-02,1,1
2020-06-11,1,1
2020-07-04,1,1
2020-07-06,1,1
2020-07-07,2,2
2020-07-11,1,1
2020-07-14,1,1
2020-07-17,4,4
2020-07-25,2,2
2020-08-04,1,1
2020-08-05,1,1
2020-08-12,1,1
2020-08-18,1,1
2020-08-21,1,1
2020-08-24,1,1
2020-08-27,1,1
2020-09-02,1,1
2020-09-07,1,1
2020-09-08,2,2
2020-09-09,2,2
2020-09-11,1,1
2020-09-12,1,1
2020-09-15,2,2
2020-09-17,1,1
2020-09-24,1,1
2020-09-26,1,1
2020-10-01,1,1
2020-10-06,3,3
2020-10-12,1,1
2020-10-24,1,1
2020-10-27,1,1
2020-11-03,1,1
2020-11-04,1,1
2020-11-07,4,4
2020-11-11,2,2
2020-11-13,1,1
2020-12-03,1,1
2020-12-05,2,2
2020-12-08,1,1
2020-12-14,2,2
2020-12-17,1,1
2020-12-18,1,1
2020-12-30,1,1
2021-01-05,1,1
2021-01-07,1,1
2021-01-11,1,1
2021-01-13,1,1
2021-01-14,1,1
2021-01-16,1,1
2021-01-19,3,3
2021-01-20,2,2
2021-01-21,1,1
2021-01-23,1,1
2021-01-25,2,2
2021-01-26,2,2
2021-01-28,1,1
2021-01-29,1,1
2021-01-30,1,1
2021-02-01,2,2
2021-02-02,1,1
2021-02-03,1,1
2021-02-04,2,2
2021-02-05,3,3
2021-02-08,1,1
2021-02-10,2,2
2021-02-12,1,1
2021-02-13,1,1
2021-02-15,1,1
2021-02-16,1,1
2021-02-17,1,1
2021-02-19,1,1
2021-02-20,2,2
2021-02-27,1,1
2021-03-02,1,1
2021-03-09,1,1
2021-03-10,2,2
2021-03-17,1,1
2021-03-19,1,1
2021-03-20,1,1
2021-03-22,3,3
2021-03-23,2,2
2021-03-24,2,2
2021-03-25,3,3
2021-03-30,1,1
2021-03-31,1,1
2021-04-09,1,1
2021-04-13,1,1
2021-04-15,1,1
2021-04-16,1,1
2021-04-17,1,1
2021-04-19,2,2
2021-04-23,2,2
2021-04-24,2,2
2021-04-28,1,1
2021-04-29,1,1
2021-04-30,1,1
2021-05-01,1,1
2021-05-06,1,1
2021-05-07,1,1
2021-05-11,1,1
2021-05-14,1,1
2021-05-17,2,2
2021-05-18,1,1
2021-05-19,2,2
2021-05-20,1,1
2021-05-21,1,1
2021-05-22,1,1
2021-05-28,1,1
2021-05-31,2,2
2021-06-02,5,5
2021-06-07,2,2
2021-06-08,1,1
2021-06-09,1,1
2021-06-10,1,1
2021-06-11,1,1
2021-06-12,2,2
2021-06-14,3,3
2021-06-15,1,1
2021-06-16,2,2
2021-06-17,2,2
2021-06-19,1,1
2021-06-22,1,1
2021-06-23,4,4
2021-06-28,1,1
2021-07-02,1,1
2021-07-03,2,2
2021-07-05,2,2
2021-07-06,3,3
2021-07-13,1,1
2021-07-17,3,3
2021-07-19,1,1
2021-07-28,1,1
2021-07-30,1,1
2021-07-31,1,1
2021-08-04,1,1
2021-08-07,1,1
2021-08-09,1,1
