date,hit_count,text_count
2000-07-15,1,1
2000-07-19,1,1
2000-11-27,1,1
2001-02-20,1,1
2001-03-30,1,1
2001-04-23,1,1
2001-06-13,1,1
2001-06-14,1,1
2001-06-23,1,1
2001-07-03,2,2
2001-07-21,1,1
2001-07-24,2,2
2001-08-02,1,1
2001-09-10,1,1
2001-09-11,1,1
2002-02-15,1,1
2002-04-25,1,1
2002-05-13,1,1
2002-06-01,1,1
2002-06-05,1,1
2002-08-23,1,1
2002-08-26,1,1
2002-09-03,1,1
2002-09-04,2,2
2002-09-05,1,1
2002-10-30,1,1
2002-12-31,1,1
2003-04-14,2,2
2003-05-27,1,1
2003-05-28,1,1
2003-07-31,1,1
2003-09-01,2,2
2003-09-05,1,1
2010-02-10,1,1
2013-12-31,1,1
2014-01-08,1,1
2014-07-17,1,1
2014-10-30,1,1
2014-11-07,1,1
2015-01-15,1,1
2015-02-26,1,1
2015-05-05,1,1
2015-05-21,2,2
2015-07-15,1,1
2015-08-06,4,4
2015-10-08,2,2
2015-12-09,1,1
2016-01-12,1,1
2016-03-22,2,2
2016-05-25,2,2
2016-07-30,1,1
2016-08-02,1,1
2016-09-22,1,1
2016-10-05,1,1
2016-11-09,1,1
2016-11-10,3,3
2016-12-17,2,2
2016-12-20,2,2
2017-01-18,3,3
2017-02-23,2,2
2017-05-04,1,1
2017-05-31,1,1
2017-06-08,2,2
2017-07-06,1,1
2017-07-11,1,1
2017-07-13,1,1
2017-07-14,1,1
2017-08-08,1,1
2017-08-17,1,1
2017-09-20,1,1
2017-10-27,1,1
2017-11-03,1,1
2018-01-10,1,1
2018-01-17,1,1
2018-01-24,2,2
2018-01-30,1,1
2018-02-02,1,1
2018-02-05,1,1
2018-02-08,1,1
2018-04-23,1,1
2018-05-02,2,2
2018-05-08,1,1
2018-05-16,1,1
2018-06-11,1,1
2018-07-26,1,1
2018-08-02,1,1
2018-08-06,1,1
2018-08-23,1,1
2018-09-10,1,1
2018-09-24,1,1
2018-09-26,1,1
2018-10-01,1,1
2018-10-09,2,2
2018-10-17,1,1
2018-10-18,1,1
2018-10-19,1,1
2018-10-22,1,1
2018-10-31,1,1
2018-11-06,1,1
2018-11-09,1,1
2018-11-12,1,1
2018-11-16,2,2
2018-11-19,1,1
2018-11-21,2,2
2018-11-28,2,2
2018-11-29,1,1
2018-12-10,1,1
2018-12-12,2,2
2018-12-14,1,1
2018-12-17,1,1
2018-12-18,1,1
2018-12-20,2,2
2018-12-21,1,1
2018-12-28,1,1
2019-01-04,2,2
2019-01-08,1,1
2019-01-09,1,1
2019-01-11,3,3
2019-01-16,1,1
2019-01-18,1,1
2019-01-22,2,2
2019-01-23,2,2
2019-01-24,1,1
2019-01-28,2,2
2019-01-29,2,2
2019-01-30,2,2
2019-01-31,1,1
2019-02-01,2,2
2019-02-04,3,3
2019-02-05,3,3
2019-02-06,1,1
2019-02-07,2,2
2019-02-08,1,1
2019-02-11,2,2
2019-02-12,2,2
2019-02-13,1,1
2019-02-15,2,2
2019-02-18,3,3
2019-02-20,1,1
2019-02-21,4,4
2019-02-22,2,2
2019-02-25,1,1
2019-02-27,1,1
2019-02-28,1,1
2019-03-01,2,2
2019-03-06,3,3
2019-03-07,1,1
2019-03-08,2,2
2019-03-11,2,2
2019-03-12,1,1
2019-03-13,3,3
2019-03-14,3,3
2019-03-15,2,2
2019-03-18,3,3
2019-03-19,5,5
2019-03-20,5,5
2019-03-21,4,4
2019-03-22,2,2
2019-03-25,6,6
2019-03-26,2,2
2019-03-27,2,2
2019-03-28,4,4
2019-04-01,5,5
2019-04-02,1,1
2019-04-05,3,3
2019-04-08,4,4
2019-04-10,1,1
2019-04-11,1,1
2019-04-12,3,3
2019-04-16,2,2
2019-04-17,2,2
2019-04-24,1,1
2019-04-25,1,1
2019-04-29,1,1
2019-04-30,1,1
2019-05-02,6,6
2019-05-03,1,1
2019-05-07,1,1
2019-05-08,2,2
2019-05-09,3,3
2019-05-10,2,2
2019-05-13,1,1
2019-05-14,3,3
2019-05-15,2,2
2019-05-16,1,1
2019-05-17,1,1
2019-05-21,3,3
2019-05-23,4,4
2019-05-24,2,2
2019-05-27,1,1
2019-05-28,4,4
2019-05-29,2,2
2019-05-31,3,3
2019-06-04,1,1
2019-06-05,3,3
2019-06-07,1,1
2019-06-11,1,1
2019-06-12,1,1
2019-06-13,2,2
2019-06-14,1,1
2019-06-18,1,1
2019-06-20,3,3
2019-06-21,1,1
2019-06-24,1,1
2019-06-25,2,2
2019-06-26,1,1
2019-06-27,2,2
2019-06-28,1,1
2019-07-01,1,1
2019-07-03,2,2
2019-07-04,2,2
2019-07-08,3,3
2019-07-09,4,4
2019-07-10,1,1
2019-07-11,2,2
2019-07-18,1,1
2019-07-19,1,1
2019-07-22,1,1
2019-07-26,1,1
2019-07-29,2,2
2019-07-30,1,1
2019-08-02,2,2
2019-08-06,2,2
2019-08-07,1,1
2019-08-08,1,1
2019-08-09,1,1
2019-08-12,3,3
2019-08-13,1,1
2019-08-14,1,1
2019-08-15,1,1
2019-08-21,1,1
2019-08-23,2,2
2019-08-27,2,2
2019-08-28,1,1
2019-08-29,1,1
2019-08-30,2,2
2019-09-02,1,1
2019-09-03,3,3
2019-09-04,2,2
2019-09-05,1,1
2019-09-06,1,1
2019-09-09,1,1
2019-09-10,1,1
2019-09-11,2,2
2019-09-12,3,3
2019-09-13,1,1
2019-09-16,2,2
2019-09-18,2,2
2019-09-19,3,3
2019-09-23,2,2
2019-09-24,1,1
2019-09-27,2,2
2019-09-30,1,1
2019-10-01,2,2
2019-10-07,1,1
2019-10-10,1,1
2019-10-11,2,2
2019-10-15,1,1
2019-10-16,2,2
2019-10-18,4,4
2019-10-21,3,3
2019-10-22,3,3
2019-10-23,1,1
2019-10-25,3,3
2019-10-28,1,1
2019-10-30,1,1
2019-11-01,2,2
2019-11-04,1,1
2019-11-06,2,2
2019-12-03,1,1
2020-01-08,2,2
2020-01-09,2,2
2020-01-10,1,1
2020-01-11,1,1
2020-01-13,1,1
2020-01-14,2,2
2020-01-15,2,2
2020-01-16,1,1
2020-01-18,4,4
2020-01-20,1,1
2020-01-21,3,3
2020-01-22,2,2
2020-01-24,1,1
2020-01-25,5,5
2020-01-27,1,1
2020-01-28,1,1
2020-01-30,1,1
2020-01-31,1,1
2020-02-01,2,2
2020-02-04,1,1
2020-02-05,1,1
2020-02-06,2,2
2020-02-07,3,3
2020-02-08,2,2
2020-02-12,2,2
2020-02-13,3,3
2020-02-14,1,1
2020-02-15,1,1
2020-02-17,1,1
2020-02-21,1,1
2020-02-22,5,5
2020-02-24,3,3
2020-02-25,3,3
2020-02-27,3,3
2020-02-29,3,3
2020-03-02,1,1
2020-03-04,3,3
2020-03-05,1,1
2020-03-06,2,2
2020-03-10,1,1
2020-03-13,1,1
2020-03-14,1,1
2020-04-04,1,1
2020-04-07,4,4
2020-04-14,1,1
2020-04-23,2,2
2020-04-28,1,1
2020-05-02,1,1
2020-05-04,1,1
2020-05-11,1,1
2020-05-13,1,1
2020-05-14,1,1
2020-05-16,2,2
2020-05-20,1,1
2020-05-22,1,1
2020-05-27,1,1
2020-05-28,1,1
2020-05-30,2,2
2020-06-02,1,1
2020-06-06,1,1
2020-06-09,1,1
2020-06-10,1,1
