date,hit_count,text_count
2007-09-28,3,1
2007-10-02,2,2
2007-10-05,1,1
2007-10-06,2,2
2007-10-09,1,1
2007-10-10,2,2
2007-10-11,1,1
2007-10-13,11,4
2007-10-17,2,1
2007-10-18,3,3
2007-10-19,1,1
2007-10-20,8,4
2007-10-22,1,1
2007-10-23,4,3
2007-10-24,3,1
2007-10-25,1,1
2007-10-27,2,2
2007-10-29,2,2
2007-10-30,5,3
2007-10-31,1,1
2007-11-02,4,3
2007-11-03,2,1
2007-11-05,3,1
2007-11-06,6,3
2007-11-07,3,2
2007-11-08,2,2
2007-11-09,2,2
2007-11-10,11,8
2007-11-12,8,2
2007-11-13,2,2
2007-11-15,1,1
2007-11-16,3,3
2007-11-17,1,1
2007-11-19,3,2
2007-11-21,2,2
2007-11-22,3,2
2007-11-23,1,1
2007-11-24,2,2
2007-11-27,2,2
2007-11-28,2,2
2007-11-29,3,3
2007-11-30,13,5
2007-12-01,1,1
2007-12-03,3,2
2007-12-04,10,7
2007-12-05,3,3
2007-12-06,6,5
2007-12-07,8,5
2007-12-08,7,5
2007-12-10,2,1
2007-12-11,2,2
2007-12-12,10,3
2007-12-13,9,5
2007-12-15,16,7
2007-12-17,4,2
2007-12-18,3,2
2007-12-19,1,1
2007-12-20,2,2
2007-12-21,6,4
2007-12-22,2,1
2007-12-27,4,2
2007-12-28,2,2
2007-12-29,8,4
2007-12-31,2,2
2008-01-03,1,1
2008-01-04,4,4
2008-01-09,3,3
2008-01-10,3,2
2008-01-11,4,3
2008-01-12,6,2
2008-01-16,6,4
2008-01-17,6,3
2008-01-19,2,2
2008-01-21,1,1
2008-01-24,7,3
2008-01-25,9,3
2008-01-26,2,2
2008-01-28,2,2
2008-01-29,10,5
2008-01-30,2,2
2008-01-31,2,1
2008-02-01,2,2
2008-02-02,5,4
2008-02-04,2,2
2008-02-05,1,1
2008-02-06,2,1
2008-02-07,3,1
2008-02-08,5,4
2008-02-09,5,1
2008-02-13,1,1
2008-02-18,1,1
2008-02-19,2,1
2008-02-20,1,1
2008-02-21,5,4
2008-02-22,1,1
2008-02-23,4,1
2008-02-26,6,5
2008-02-27,3,2
2008-02-28,3,3
2008-02-29,2,2
2008-03-01,2,2
2008-03-06,6,4
2008-03-08,19,3
2008-03-11,2,2
2008-03-12,3,2
2008-03-13,4,3
2008-03-14,7,4
2008-03-15,1,1
2008-03-17,1,1
2008-03-18,1,1
2008-03-22,1,1
2008-03-26,1,1
2008-03-27,10,4
2008-03-31,1,1
2008-04-01,1,1
2008-04-03,1,1
2008-04-04,1,1
2008-04-05,1,1
2008-04-08,2,2
2008-04-09,4,3
2008-04-10,1,1
2008-04-11,1,1
2008-04-14,4,3
2008-04-15,1,1
2008-04-16,2,2
2008-04-17,4,4
2008-04-18,16,6
2008-04-19,7,6
2008-04-21,1,1
2008-04-22,15,5
2008-04-23,9,2
2008-04-24,3,1
2008-04-26,4,3
2008-04-29,1,1
2008-05-02,2,2
2008-05-03,1,1
2008-05-06,1,1
2008-05-07,1,1
2008-05-08,7,2
2008-05-09,1,1
2008-05-13,10,2
2008-05-15,1,1
2008-05-16,4,4
2008-05-17,2,2
2008-05-20,4,3
2008-05-24,2,2
2008-05-27,2,1
2008-05-28,1,1
2008-05-29,2,2
2008-05-30,3,2
2008-06-04,3,3
2008-06-05,2,2
2008-06-06,1,1
2008-06-07,7,5
2008-06-09,2,1
2008-06-10,5,4
2008-06-11,11,4
2008-06-12,1,1
2008-06-13,4,3
2008-06-14,4,3
2008-06-17,1,1
2008-06-18,3,2
2008-06-19,3,2
2008-06-24,11,5
2008-06-25,4,3
2008-06-26,2,2
2008-06-27,1,1
2008-06-28,2,2
2008-06-30,1,1
2008-07-02,2,2
2008-07-03,2,1
2008-07-04,14,5
2008-07-05,2,1
2008-07-07,4,3
2008-07-08,6,3
2008-07-09,3,1
2008-07-10,7,4
2008-07-11,5,4
2008-07-12,1,1
2008-07-15,5,4
2008-07-18,1,1
2008-07-22,5,3
2008-07-23,1,1
2008-07-25,2,2
2008-07-26,2,2
2008-07-29,1,1
2008-07-30,1,1
2008-08-04,1,1
2008-08-05,4,1
2008-08-06,3,3
2008-08-07,1,1
2008-08-11,1,1
2008-08-16,1,1
2008-08-21,2,2
2008-08-22,3,3
2008-08-23,2,1
2008-08-28,1,1
2008-09-02,1,1
2008-09-03,2,2
2008-09-04,2,1
2008-09-06,1,1
2008-09-10,2,1
2008-09-12,3,3
2008-09-13,2,2
2008-09-16,1,1
2008-09-17,1,1
2008-09-18,3,2
2008-09-20,2,2
2008-09-23,9,2
2008-09-24,3,1
2008-09-25,3,1
2008-09-27,2,2
2008-09-30,2,2
2008-10-02,5,2
2008-10-04,5,3
2008-10-09,2,2
2008-10-10,2,1
2008-10-11,3,2
2008-10-13,3,1
2008-10-14,4,1
2008-10-15,4,2
2008-10-16,6,3
2008-10-17,3,2
2008-10-18,8,8
2008-10-20,1,1
2008-10-21,4,1
2008-10-22,1,1
2008-10-23,3,3
2008-10-25,1,1
2008-10-30,8,2
2008-11-04,1,1
2008-11-05,6,1
2008-11-06,6,4
2008-11-11,6,1
2008-11-13,6,2
2008-11-14,6,4
2008-11-15,1,1
2008-11-17,4,1
2008-11-18,4,3
2008-11-19,1,1
2008-11-20,2,2
2008-11-21,12,4
2008-11-22,3,3
2008-11-24,3,2
2008-11-26,1,1
2008-11-29,3,3
2008-12-02,4,2
2008-12-03,2,2
2008-12-04,4,2
2008-12-05,3,3
2008-12-06,7,3
2008-12-09,13,5
2008-12-11,2,2
2008-12-12,4,4
2008-12-13,3,2
2008-12-15,1,1
2008-12-17,3,2
2008-12-18,6,2
2008-12-20,1,1
2008-12-23,1,1
2008-12-24,3,3
2008-12-27,2,2
2008-12-30,1,1
2008-12-31,2,1
2009-01-03,4,2
2009-01-05,1,1
2009-01-07,1,1
2009-01-09,1,1
2009-01-10,4,3
2009-01-12,1,1
2009-01-13,1,1
2009-01-14,1,1
2009-01-17,6,2
2009-01-19,2,2
2009-01-20,1,1
2009-01-23,2,2
2009-01-24,2,2
2009-01-26,1,1
2009-01-27,5,3
2009-01-28,1,1
2009-01-30,7,5
2009-02-02,2,2
2009-02-04,2,1
2009-02-05,1,1
2009-02-07,1,1
2009-02-09,3,3
2009-02-10,3,3
2009-02-11,1,1
2009-02-12,3,2
2009-02-13,1,1
2009-02-14,2,2
2009-02-18,2,1
2009-02-20,5,3
2009-02-21,1,1
2009-02-24,2,2
2009-02-26,3,3
2009-02-27,1,1
2009-03-02,1,1
2009-03-03,1,1
2009-03-04,1,1
2009-03-05,1,1
2009-03-07,1,1
2009-03-10,1,1
2009-03-11,1,1
2009-03-13,6,3
2009-03-16,3,1
2009-03-19,6,3
2009-03-20,1,1
2009-03-21,2,2
2009-03-23,1,1
2009-03-24,3,1
2009-03-25,2,2
2009-03-26,4,3
2009-03-27,1,1
2009-03-30,2,2
2009-04-01,3,1
2009-04-02,1,1
2009-04-04,1,1
2009-04-06,2,1
2009-04-07,1,1
2009-04-08,1,1
2009-04-15,3,1
2009-04-16,1,1
2009-04-18,3,2
2009-04-21,4,3
2009-04-23,1,1
2009-04-28,4,3
2009-04-29,7,3
2009-04-30,4,3
2009-05-02,1,1
2009-05-05,3,1
2009-05-08,1,1
2009-05-09,2,2
2009-05-11,3,2
2009-05-12,1,1
2009-05-14,1,1
2009-05-15,1,1
2009-05-16,1,1
2009-05-18,4,1
2009-05-19,1,1
2009-05-20,4,4
2009-05-27,3,2
2009-05-28,1,1
2009-05-30,1,1
2009-06-02,1,1
2009-06-03,1,1
2009-06-04,8,3
2009-06-05,1,1
2009-06-13,1,1
2009-06-16,1,1
2009-06-18,5,2
2009-06-20,3,1
2009-06-22,2,2
2009-06-23,4,4
2009-06-24,1,1
2009-06-25,4,3
2009-06-27,1,1
2009-06-29,7,4
2009-06-30,1,1
