date,hit_count,text_count
2001-01-13,2,1
2001-01-15,1,1
2001-01-20,1,1
2001-01-22,1,1
2001-01-23,2,2
2001-01-24,1,1
2001-01-30,2,2
2001-02-03,1,1
2001-02-06,1,1
2001-02-19,1,1
2001-02-20,5,2
2001-02-21,1,1
2001-02-24,4,1
2001-02-26,1,1
2001-03-03,1,1
2001-03-16,1,1
2001-03-29,2,1
2001-03-30,1,1
2001-04-02,3,1
2001-04-09,1,1
2001-04-10,1,1
2001-04-11,1,1
2001-04-12,1,1
2001-04-14,1,1
2001-04-24,3,1
2001-04-25,3,1
2001-05-01,2,2
2001-05-03,1,1
2001-05-10,1,1
2001-05-26,1,1
2001-05-30,2,1
2001-05-31,2,1
2001-06-08,1,1
2001-06-20,1,1
2001-06-26,1,1
2001-07-19,6,2
2001-07-20,1,1
2001-07-24,1,1
2001-07-28,1,1
2001-08-01,2,1
2001-08-21,1,1
2001-09-14,1,1
2001-10-17,1,1
2001-10-30,1,1
2001-11-03,1,1
2001-11-06,3,1
2001-11-13,1,1
2001-11-15,1,1
2001-12-28,2,1
2003-01-04,2,2
2003-01-09,1,1
2003-01-15,1,1
2003-01-24,1,1
2003-01-28,1,1
2003-02-10,2,1
2003-02-15,2,1
2003-02-17,1,1
2003-02-20,1,1
2003-02-21,1,1
2003-03-06,1,1
2003-03-11,2,2
2003-03-13,1,1
2003-03-21,2,2
2003-03-22,3,2
2003-03-26,2,2
2003-04-04,1,1
2003-04-07,2,2
2003-04-08,1,1
2003-04-16,1,1
2003-05-21,1,1
2003-07-12,1,1
2003-07-25,1,1
2003-07-26,1,1
2003-07-28,1,1
2003-08-09,2,1
2003-08-11,1,1
2003-08-12,1,1
2003-08-15,1,1
2003-08-20,1,1
2003-08-21,1,1
2003-08-22,1,1
2003-08-29,1,1
2003-09-04,1,1
2003-09-05,1,1
2003-09-08,1,1
2003-09-09,2,2
2003-09-10,1,1
2003-09-13,1,1
2003-09-18,1,1
2003-09-30,1,1
2003-10-07,1,1
2003-10-20,1,1
2003-10-25,1,1
2003-11-11,1,1
2003-11-14,2,1
2003-11-15,1,1
2003-11-21,2,1
2003-12-03,2,1
2003-12-05,1,1
2003-12-17,1,1
2003-12-19,1,1
2003-12-20,1,1
2003-12-24,1,1
2004-05-11,2,2
2004-05-13,4,4
2004-05-17,1,1
2004-05-22,10,2
2004-05-29,1,1
2004-06-03,1,1
2004-06-10,1,1
2004-07-03,2,1
2004-07-20,1,1
2004-07-22,1,1
2004-07-23,1,1
2004-07-24,1,1
2004-08-13,2,1
2004-08-19,1,1
2004-08-27,1,1
2004-09-22,1,1
2004-09-25,1,1
2004-10-05,1,1
2004-10-14,2,2
2004-10-15,3,1
2004-10-16,2,2
2004-10-20,2,1
2004-10-23,1,1
2004-10-25,4,1
2004-11-02,1,1
2004-11-06,1,1
2004-11-11,1,1
2004-11-13,1,1
2004-11-16,1,1
2004-11-17,1,1
2004-11-26,1,1
2004-11-27,1,1
2004-12-01,1,1
2004-12-03,2,1
2004-12-06,1,1
2004-12-16,1,1
2004-12-23,1,1
2004-12-24,1,1
2005-01-26,1,1
2005-02-10,1,1
2005-02-12,5,2
2005-02-17,1,1
2005-02-19,1,1
2005-02-21,1,1
2005-02-22,1,1
2005-02-26,3,1
2005-03-05,2,2
2005-03-12,2,1
2005-03-31,1,1
2005-04-14,1,1
2005-04-15,1,1
2005-04-19,1,1
2005-05-03,1,1
2005-05-12,3,2
2005-06-24,8,1
2005-06-29,1,1
2005-07-05,3,2
2005-07-07,4,3
2005-07-08,4,1
2005-07-09,2,1
2005-07-14,1,1
2005-08-02,1,1
2005-08-11,1,1
2005-08-25,2,1
2005-09-02,1,1
2005-09-03,1,1
2005-09-08,1,1
2005-09-09,4,2
2005-09-10,1,1
2005-09-15,1,1
2005-11-10,1,1
2005-11-16,1,1
2005-11-29,1,1
2005-12-01,1,1
2005-12-06,2,1
2005-12-09,2,2
2005-12-12,1,1
2006-02-18,1,1
2006-02-23,1,1
2006-02-25,3,1
2006-02-28,2,1
2006-03-04,3,3
2006-03-10,1,1
2006-03-11,1,1
2006-03-21,1,1
2006-03-27,1,1
2006-04-01,2,2
2006-04-04,1,1
2006-04-05,2,2
2006-04-06,1,1
2006-04-27,3,1
2006-05-04,3,2
2006-05-06,5,1
2006-05-08,1,1
2006-05-10,1,1
2006-05-19,1,1
2006-06-02,1,1
2006-06-09,1,1
2006-06-19,1,1
2006-06-22,1,1
2006-06-28,1,1
2006-06-29,3,2
2006-07-03,1,1
2006-07-05,2,1
2006-07-07,2,1
2006-07-10,2,1
2006-07-18,2,2
2006-07-21,1,1
2006-07-24,2,1
2006-07-26,2,2
2006-07-28,1,1
2006-07-29,2,1
2006-08-01,1,1
2006-09-18,1,1
2006-10-05,3,1
2006-10-06,3,2
2006-10-07,1,1
2006-10-10,3,3
2006-10-21,1,1
2006-10-25,1,1
2006-10-28,1,1
2006-10-31,2,1
2006-11-03,4,2
2006-11-04,1,1
2006-11-06,5,4
2006-11-07,2,2
2006-11-08,3,2
2006-11-11,13,5
2006-11-13,1,1
2006-11-16,1,1
2006-11-17,2,2
2006-11-18,3,1
2006-11-21,3,2
2006-11-22,3,1
2006-11-23,1,1
2006-11-25,3,3
2006-11-29,1,1
2006-11-30,4,1
2006-12-04,1,1
2006-12-05,1,1
2006-12-07,5,2
2006-12-09,3,2
2006-12-12,1,1
2006-12-14,1,1
2006-12-16,1,1
2006-12-18,2,1
2006-12-20,1,1
2006-12-21,1,1
2006-12-29,1,1
2007-01-03,2,2
2007-01-04,4,1
2007-01-05,2,2
2007-01-09,1,1
2007-01-10,2,2
2007-01-11,17,5
2007-01-12,1,1
2007-01-13,1,1
2007-01-15,1,1
2007-01-16,2,2
2007-01-19,3,3
2007-01-20,10,4
2007-01-23,7,4
2007-01-25,1,1
2007-01-27,4,3
2007-01-29,1,1
2007-01-31,1,1
2007-02-01,5,3
2007-02-02,1,1
2007-02-03,3,2
2007-02-05,3,2
2007-02-06,2,2
2007-02-07,11,7
2007-02-09,3,2
2007-02-10,4,4
2007-02-12,7,5
2007-02-13,6,4
2007-02-14,1,1
2007-02-15,9,2
2007-02-17,4,2
2007-02-20,10,6
2007-02-21,6,5
2007-02-22,7,4
2007-02-23,8,4
2007-02-24,3,2
2007-02-26,6,5
2007-02-27,5,5
2007-02-28,5,5
2007-03-01,7,5
2007-03-02,5,4
2007-03-03,7,5
2007-03-05,2,2
2007-03-06,15,9
2007-03-07,3,2
2007-03-08,19,6
2007-03-09,6,3
2007-03-10,4,4
2007-03-12,8,6
2007-03-13,3,3
2007-03-14,1,1
2007-03-15,2,2
2007-03-16,8,7
2007-03-17,9,5
2007-03-19,2,2
2007-03-20,4,2
2007-03-21,3,3
2007-03-22,3,3
2007-03-23,7,7
2007-03-24,13,10
2007-03-26,1,1
2007-03-27,6,5
2007-03-28,3,2
2007-03-29,5,5
2007-03-30,2,2
2007-03-31,3,2
2007-04-02,2,1
2007-04-03,2,2
2007-04-04,10,4
2007-04-05,5,3
2007-04-07,3,3
2007-04-11,2,2
2007-04-12,6,4
2007-04-14,4,4
2007-04-16,2,2
2007-04-17,1,1
2007-04-18,3,3
2007-04-19,1,1
2007-04-20,4,4
2007-04-21,5,5
2007-04-23,1,1
2007-04-24,1,1
2007-04-25,1,1
2007-04-26,2,2
2007-04-27,15,8
2007-04-28,5,3
2007-05-01,4,3
2007-05-03,7,2
2007-05-07,2,2
2007-05-08,3,3
2007-05-09,4,3
2007-05-10,4,2
2007-05-11,5,4
2007-05-12,4,3
2007-05-14,5,2
2007-05-15,2,2
2007-05-16,1,1
2007-05-17,6,5
2007-05-19,3,3
2007-05-21,2,2
2007-05-23,3,2
2007-05-24,2,2
2007-05-25,4,2
2007-05-26,1,1
2007-05-29,6,1
2007-06-01,5,3
2007-06-02,1,1
2007-06-04,4,3
2007-06-05,2,2
2007-06-06,5,2
2007-06-07,2,2
2007-06-09,7,4
2007-06-11,4,4
2007-06-12,2,2
2007-06-13,3,2
2007-06-14,1,1
2007-06-16,7,6
2007-06-18,1,1
2007-06-19,4,2
2007-06-20,1,1
2007-06-21,2,2
2007-06-22,2,2
2007-06-23,5,4
2007-06-25,4,3
2007-06-26,3,2
2007-06-27,4,4
2007-06-28,2,2
2007-06-29,4,2
2007-06-30,2,2
2007-07-02,3,1
2007-07-03,2,2
2007-07-04,11,4
2007-07-05,4,3
2007-07-06,2,2
2007-07-07,7,2
2007-07-09,2,2
2007-07-10,1,1
2007-07-11,1,1
2007-07-12,14,4
2007-07-13,3,2
2007-07-14,4,3
2007-07-16,3,3
2007-07-17,12,9
2007-07-18,4,3
2007-07-19,1,1
2007-07-20,5,4
2007-07-21,3,3
2007-07-23,2,2
2007-07-24,3,2
2007-07-25,1,1
2007-07-26,4,3
2007-07-27,2,1
2007-07-28,7,6
2007-07-30,3,3
2007-07-31,6,2
2007-08-02,1,1
2007-08-04,3,2
2007-08-06,1,1
2007-08-07,4,3
2007-08-09,1,1
2007-08-10,1,1
2007-08-18,5,2
2007-08-20,1,1
2007-08-21,1,1
2007-08-22,1,1
2007-08-24,7,4
2007-08-25,5,4
2007-08-27,1,1
2007-08-28,3,3
2007-08-29,2,2
2007-08-31,5,3
2007-09-03,1,1
2007-09-04,6,1
2007-09-05,3,3
2007-09-06,7,4
2007-09-07,4,2
2007-09-08,4,3
2007-09-10,4,2
2007-09-11,7,2
2007-09-12,2,1
2007-09-13,3,3
2007-09-14,5,2
2007-09-17,2,1
2007-09-18,2,2
2007-09-19,5,4
2007-09-21,2,1
2007-09-22,5,4
2007-09-26,23,6
2007-09-27,4,1
2007-09-28,1,1
2007-10-01,6,2
2007-10-03,2,2
2007-10-06,4,4
2007-10-08,5,4
2007-10-09,4,3
2007-10-10,1,1
2007-10-11,1,1
2007-10-12,9,5
2007-10-13,13,8
2007-10-16,6,3
2007-10-17,2,2
2007-10-19,1,1
2007-10-20,2,2
2007-10-22,2,2
2007-10-23,2,2
2007-10-24,3,3
2007-10-25,1,1
2007-10-26,7,4
2007-10-27,2,2
2007-10-29,2,2
2007-10-30,4,3
2007-10-31,2,2
2007-11-01,5,2
2007-11-03,1,1
2007-11-05,1,1
2007-11-06,8,5
2007-11-07,2,2
2007-11-08,4,4
2007-11-09,4,3
2007-11-10,3,1
2007-11-13,6,3
2007-11-14,2,1
2007-11-15,4,3
2007-11-16,5,3
2007-11-20,2,2
2007-11-21,6,2
2007-11-23,4,3
2007-11-24,3,2
2007-11-27,1,1
2007-11-29,4,2
2007-11-30,3,3
2007-12-01,1,1
2007-12-03,1,1
2007-12-04,2,2
2007-12-05,20,5
2007-12-07,3,1
2007-12-08,11,5
2007-12-11,2,2
2007-12-12,3,3
2007-12-13,3,2
2007-12-14,2,2
2007-12-15,7,5
2007-12-17,4,3
2007-12-18,8,6
2007-12-20,9,5
2007-12-21,6,2
2007-12-22,1,1
2007-12-24,1,1
2007-12-29,1,1
2008-01-08,4,3
2008-01-09,4,4
2008-01-10,2,2
2008-01-11,1,1
2008-01-14,5,2
2008-01-15,7,6
2008-01-16,2,2
2008-01-17,1,1
2008-01-18,2,2
2008-01-19,4,4
2008-01-22,1,1
2008-01-23,2,2
2008-01-24,21,6
2008-01-25,2,2
2008-01-26,2,2
2008-01-28,5,3
2008-01-29,1,1
2008-01-30,3,1
2008-01-31,5,4
2008-02-01,5,5
2008-02-02,5,4
2008-02-04,8,4
2008-02-05,6,5
2008-02-06,5,5
2008-02-07,3,2
2008-02-08,1,1
2008-02-09,10,6
2008-02-11,4,3
2008-02-12,1,1
2008-02-13,5,3
2008-02-14,5,3
2008-02-15,2,2
2008-02-16,6,5
2008-02-18,7,6
2008-02-19,8,6
2008-02-20,5,2
2008-02-21,8,7
2008-02-22,2,2
2008-02-23,6,5
2008-02-25,1,1
2008-02-26,5,4
2008-02-27,3,3
2008-02-28,7,3
2008-02-29,6,5
2008-03-01,4,3
2008-03-03,2,2
2008-03-04,5,4
2008-03-05,8,4
2008-03-06,2,1
2008-03-07,1,1
2008-03-08,3,2
2008-03-12,2,2
2008-03-13,1,1
2008-03-15,4,2
2008-03-17,1,1
2008-03-18,4,3
2008-03-19,3,2
2008-03-20,2,2
2008-03-22,49,26
2008-03-25,12,8
2008-03-26,2,2
2008-03-28,2,2
2008-03-31,4,4
2008-04-01,3,3
2008-04-03,1,1
2008-04-04,4,1
2008-04-05,1,1
2008-04-07,3,3
2008-04-09,3,3
2008-04-10,6,4
2008-04-11,5,3
2008-04-14,2,2
2008-04-15,2,2
2008-04-16,3,2
2008-04-17,6,4
2008-04-18,1,1
2008-04-19,8,2
2008-04-21,6,3
2008-04-22,3,1
2008-04-23,6,3
2008-04-24,1,1
2008-04-25,1,1
2008-04-28,1,1
2008-04-30,6,1
2008-05-01,4,3
2008-05-03,19,8
2008-05-05,3,1
2008-05-06,3,1
2008-05-07,1,1
2008-05-09,8,3
2008-05-10,4,4
2008-05-13,1,1
2008-05-15,9,9
2008-05-16,3,2
2008-05-17,2,2
2008-05-19,4,4
2008-05-20,4,3
2008-05-21,2,2
2008-05-22,3,2
2008-05-24,5,3
2008-05-26,1,1
2008-05-27,4,3
2008-05-28,4,3
2008-05-29,7,5
2008-05-31,24,8
2008-06-03,2,1
2008-06-04,11,8
2008-06-05,3,3
2008-06-06,5,4
2008-06-07,17,11
2008-06-09,2,2
2008-06-10,7,3
2008-06-11,1,1
2008-06-12,1,1
2008-06-13,12,3
2008-06-14,2,2
2008-06-16,1,1
2008-06-17,4,1
2008-06-18,1,1
2008-06-19,4,3
2008-06-20,6,2
2008-06-21,4,4
2008-06-23,2,2
2008-06-24,4,2
2008-06-25,2,2
2008-06-26,4,1
2008-06-28,7,6
2008-06-30,3,3
2008-07-01,2,2
2008-07-02,1,1
2008-07-04,3,3
2008-07-05,8,5
2008-07-07,1,1
2008-07-08,3,3
2008-07-09,2,2
2008-07-10,5,5
2008-07-11,5,5
2008-07-12,1,1
2008-07-15,2,2
2008-07-16,2,2
2008-07-17,1,1
2008-07-18,4,3
2008-07-19,2,2
2008-07-21,1,1
2008-07-22,5,2
2008-07-23,2,2
2008-07-25,3,2
2008-07-26,8,6
2008-07-30,1,1
2008-08-02,2,1
2008-08-04,1,1
2008-08-06,2,2
2008-08-07,2,1
2008-08-08,2,1
2008-08-09,3,3
2008-08-11,1,1
2008-08-12,2,2
2008-08-13,2,1
2008-08-18,4,2
2008-08-19,5,3
2008-08-20,3,2
2008-08-21,6,4
2008-08-23,2,1
2008-08-26,3,2
2008-08-30,4,2
2008-09-01,3,2
2008-09-04,2,1
2008-09-05,1,1
2008-09-06,3,1
2008-09-08,6,4
2008-09-11,7,7
2008-09-12,4,3
2008-09-13,5,4
2008-09-16,1,1
2008-09-17,1,1
2008-09-18,6,5
2008-09-19,2,2
2008-09-20,1,1
2008-09-22,2,2
2008-09-23,1,1
2008-09-24,6,3
2008-09-25,2,2
2008-09-26,2,2
2008-09-27,7,3
2008-09-29,2,2
2008-09-30,6,5
2008-10-02,2,2
2008-10-03,4,4
2008-10-07,5,3
2008-10-10,1,1
2008-10-11,4,2
2008-10-16,3,3
2008-10-17,4,3
2008-10-18,3,2
2008-10-20,1,1
2008-10-21,1,1
2008-10-23,1,1
2008-10-24,2,2
2008-10-25,9,4
2008-10-27,6,4
2008-10-28,3,3
2008-10-29,7,2
2008-10-30,4,3
2008-10-31,6,1
2008-11-01,2,2
2008-11-03,3,2
2008-11-04,2,1
2008-11-05,12,6
2008-11-07,1,1
2008-11-08,3,3
2008-11-10,1,1
2008-11-11,6,4
2008-11-12,1,1
2008-11-13,2,2
2008-11-14,3,1
2008-11-15,2,2
2008-11-17,6,2
2008-11-18,3,2
2008-11-20,9,4
2008-11-21,4,1
2008-11-25,1,1
2008-11-26,1,1
2008-11-27,11,4
2008-11-29,20,12
2008-12-01,6,3
2008-12-02,8,3
2008-12-03,1,1
2008-12-04,2,2
2008-12-05,10,1
2008-12-06,3,3
2008-12-08,1,1
2008-12-09,12,2
2008-12-10,6,3
2008-12-12,1,1
2008-12-13,2,1
2008-12-15,2,1
2008-12-16,2,2
2008-12-17,5,5
2008-12-18,1,1
2008-12-19,3,2
2008-12-23,3,2
2008-12-24,1,1
2008-12-29,1,1
2008-12-30,2,2
2008-12-31,1,1
2009-01-09,2,1
2009-01-10,2,2
2009-01-12,1,1
2009-01-13,1,1
2009-01-14,4,2
2009-01-16,5,4
2009-01-17,3,3
2009-01-20,1,1
2009-01-23,7,5
2009-01-24,8,7
2009-01-27,2,2
2009-01-28,5,2
2009-01-29,8,4
2009-01-30,1,1
2009-01-31,3,3
2009-02-03,1,1
2009-02-05,4,2
2009-02-06,1,1
2009-02-07,5,2
2009-02-09,2,1
2009-02-10,2,1
2009-02-11,4,3
2009-02-12,3,3
2009-02-13,25,16
2009-02-14,4,3
2009-02-16,5,3
2009-02-17,3,3
2009-02-18,2,2
2009-02-19,1,1
2009-02-20,1,1
2009-02-21,1,1
2009-02-23,1,1
2009-02-25,1,1
2009-02-26,1,1
2009-02-27,1,1
2009-02-28,3,2
2009-03-02,1,1
2009-03-04,1,1
2009-03-05,3,2
2009-03-06,4,4
2009-03-07,7,3
2009-03-09,3,3
2009-03-10,4,3
2009-03-12,5,4
2009-03-13,2,2
2009-03-14,6,2
2009-03-16,1,1
2009-03-17,10,5
2009-03-18,2,2
2009-03-19,6,4
2009-03-21,4,4
2009-03-23,8,3
2009-03-24,2,1
2009-03-25,5,3
2009-03-26,2,2
2009-03-27,4,4
2009-03-28,6,4
2009-03-30,1,1
2009-03-31,2,2
2009-04-01,6,5
2009-04-02,3,2
2009-04-03,5,3
2009-04-04,5,3
2009-04-07,1,1
2009-04-08,2,1
2009-04-09,2,2
2009-04-11,4,1
2009-04-15,3,1
2009-04-17,2,2
2009-04-18,6,6
2009-04-20,2,2
2009-04-22,1,1
2009-04-23,3,1
2009-04-25,4,2
2009-04-27,10,4
2009-04-28,4,3
2009-04-29,1,1
2009-04-30,2,2
2009-05-01,6,4
2009-05-05,5,4
2009-05-06,2,2
2009-05-07,3,3
2009-05-08,1,1
2009-05-11,1,1
2009-05-12,1,1
2009-05-13,2,1
2009-05-15,2,2
2009-05-16,6,5
2009-05-19,3,2
2009-05-23,1,1
2009-05-25,2,2
2009-05-26,3,2
2009-05-29,4,2
2009-05-30,2,2
2009-06-02,3,3
2009-06-03,1,1
2009-06-04,1,1
2009-06-05,3,1
2009-06-06,4,3
2009-06-08,1,1
2009-06-09,1,1
2009-06-10,1,1
2009-06-11,2,2
2009-06-15,2,2
2009-06-16,2,1
2009-06-17,1,1
2009-06-18,3,3
2009-06-19,3,1
2009-06-22,1,1
2009-06-24,1,1
2009-06-25,5,3
2009-06-27,4,4
2009-06-29,1,1
2009-06-30,1,1
2009-07-02,2,2
2009-07-03,2,2
2009-07-04,4,4
2009-07-06,1,1
2009-07-08,5,2
2009-07-09,1,1
2009-07-10,2,1
2009-07-11,3,3
2009-07-13,5,2
2009-07-14,6,4
2009-07-15,2,2
2009-07-16,3,3
2009-07-17,2,2
2009-07-18,1,1
2009-07-21,1,1
2009-07-22,3,1
2009-07-23,1,1
2009-07-25,1,1
2009-07-27,1,1
2009-07-28,1,1
2009-07-29,1,1
2009-07-30,1,1
2009-08-01,9,5
2009-08-05,1,1
2009-08-06,1,1
2009-08-08,3,3
2009-08-10,1,1
2009-08-11,3,2
2009-08-12,1,1
2009-08-13,1,1
2009-08-17,4,2
2009-08-18,1,1
2009-08-20,2,1
2009-08-21,1,1
2009-08-22,2,2
2009-08-25,1,1
2009-08-26,1,1
2009-08-27,3,1
2009-08-28,1,1
2009-08-29,2,2
2009-08-31,2,2
2009-09-01,2,2
2009-09-02,4,4
2009-09-03,9,2
2009-09-08,1,1
2009-09-10,3,2
2009-09-11,2,2
2009-09-12,5,3
2009-09-14,11,5
2009-09-15,9,3
2009-09-16,1,1
2009-09-18,2,2
2009-09-19,3,3
2009-09-22,4,2
2009-09-23,2,2
2009-09-24,5,5
2009-09-25,1,1
2009-09-26,2,2
2009-09-28,3,1
2009-09-29,13,4
2009-09-30,1,1
2009-10-01,15,3
2009-10-02,1,1
2009-10-03,5,5
2009-10-05,2,2
2009-10-06,2,1
2009-10-07,3,3
2009-10-08,11,5
2009-10-09,4,1
2009-10-10,1,1
2009-10-12,3,2
2009-10-13,2,2
2009-10-14,7,1
2009-10-15,3,3
2009-10-16,1,1
2009-10-17,12,4
2009-10-19,3,3
2009-10-20,5,3
2009-10-22,1,1
2009-10-24,2,2
2009-10-27,2,2
2009-10-28,4,2
2009-10-29,1,1
2009-10-30,2,2
2009-10-31,3,2
2009-11-02,3,3
2009-11-04,10,5
2009-11-05,2,2
2009-11-06,1,1
2009-11-07,1,1
2009-11-09,3,3
2009-11-10,6,4
2009-11-11,1,1
2009-11-14,2,2
2009-11-16,1,1
2009-11-17,1,1
2009-11-18,1,1
2009-11-20,2,2
