date,hit_count,text_count
2019-01-22,1,1
2019-01-26,2,2
2019-02-08,1,1
2019-02-16,1,1
2019-02-28,1,1
2019-03-02,2,2
2019-03-05,1,1
2019-03-13,1,1
2019-03-15,1,1
2019-03-16,1,1
2019-03-20,1,1
2019-03-27,1,1
2019-04-02,1,1
2019-04-05,2,2
2019-04-07,1,1
2019-05-04,1,1
2019-05-05,1,1
2019-05-12,1,1
2019-05-15,1,1
2019-05-24,3,3
2019-05-25,1,1
2019-06-04,2,2
2019-06-05,2,2
2019-06-06,1,1
2019-06-08,1,1
2019-06-11,1,1
2019-06-14,1,1
2019-06-17,1,1
2019-06-19,3,3
2019-06-20,1,1
2019-06-22,2,2
2019-06-26,3,3
2019-06-27,2,2
2019-06-29,2,2
2019-07-04,3,3
2019-07-05,2,2
2019-07-06,4,4
2019-07-08,1,1
2019-07-11,2,2
2019-07-12,2,2
2019-07-13,4,4
2019-07-15,2,2
2019-07-17,1,1
2019-07-18,1,1
2019-07-19,1,1
2019-07-20,1,1
2019-07-24,2,2
2019-07-25,1,1
2019-07-28,1,1
2019-07-29,1,1
2019-08-01,1,1
2019-08-03,1,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-12,1,1
2019-08-17,1,1
2019-08-22,1,1
2019-08-24,1,1
2019-08-25,1,1
2019-08-28,1,1
2019-08-29,3,3
2019-08-31,1,1
2019-09-04,1,1
2019-09-06,1,1
2019-09-07,1,1
2019-09-09,2,2
2019-09-10,2,2
2019-09-11,1,1
2019-09-12,1,1
2019-09-13,2,2
2019-09-14,3,3
2019-09-17,3,3
2019-09-18,4,4
2019-09-19,2,2
2019-09-20,1,1
2019-09-21,5,5
2019-09-24,3,3
2019-09-27,2,2
2019-09-28,1,1
2019-09-30,1,1
2019-10-01,1,1
2019-10-02,1,1
2019-10-05,1,1
2019-10-07,1,1
2019-10-08,2,2
2019-10-10,1,1
2019-10-11,1,1
2019-10-13,1,1
2019-10-15,1,1
2019-10-18,1,1
2019-10-19,1,1
2019-10-23,1,1
2019-10-30,1,1
2019-10-31,1,1
2019-11-02,1,1
2019-11-04,1,1
2019-11-07,1,1
2019-11-09,1,1
2019-11-14,2,2
2019-11-16,1,1
2019-11-18,1,1
2019-11-19,1,1
2019-11-20,1,1
2019-11-21,1,1
2019-11-23,1,1
2019-11-25,1,1
2019-11-26,1,1
2019-11-29,1,1
2019-12-01,1,1
2019-12-03,1,1
2019-12-04,1,1
2019-12-05,1,1
2019-12-07,2,2
