date,hit_count,text_count
2019-01-04,1,1
2019-01-05,6,5
2019-01-07,1,1
2019-01-10,10,7
2019-01-11,4,4
2019-01-12,1,1
2019-01-16,3,3
2019-01-17,4,1
2019-01-18,9,6
2019-01-19,4,2
2019-01-21,2,1
2019-01-22,6,4
2019-01-23,2,2
2019-01-24,6,4
2019-01-25,3,2
2019-01-26,9,5
2019-01-27,4,1
2019-01-28,3,3
2019-01-29,3,3
2019-01-30,10,3
2019-01-31,1,1
2019-02-01,5,2
2019-02-02,2,1
2019-02-03,1,1
2019-02-04,1,1
2019-02-05,2,1
2019-02-06,1,1
2019-02-07,5,4
2019-02-08,3,3
2019-02-09,4,4
2019-02-11,4,2
2019-02-12,3,2
2019-02-13,4,4
2019-02-14,3,3
2019-02-15,15,10
2019-02-16,1,1
2019-02-17,1,1
2019-02-18,2,1
2019-02-19,2,1
2019-02-20,4,4
2019-02-21,4,2
2019-02-23,2,2
2019-02-24,4,2
2019-02-26,2,2
2019-02-27,4,3
2019-02-28,5,4
2019-03-01,8,6
2019-03-02,1,1
2019-03-05,7,3
2019-03-06,7,3
2019-03-07,5,3
2019-03-08,1,1
2019-03-10,4,1
2019-03-11,2,1
2019-03-12,4,3
2019-03-13,2,1
2019-03-14,2,2
2019-03-15,5,3
2019-03-16,3,3
2019-03-18,2,2
2019-03-19,2,2
2019-03-20,2,2
2019-03-21,2,2
2019-03-22,10,4
2019-03-23,2,2
2019-03-25,1,1
2019-03-26,4,2
2019-03-27,14,5
2019-03-28,2,2
2019-03-29,5,5
2019-03-30,10,7
2019-03-31,1,1
2019-04-01,3,3
2019-04-02,2,1
2019-04-03,8,4
2019-04-04,5,4
2019-04-05,2,1
2019-04-06,2,2
2019-04-07,1,1
2019-04-08,4,2
2019-04-09,6,2
2019-04-10,3,3
2019-04-11,2,1
2019-04-12,2,1
2019-04-13,2,1
2019-04-14,1,1
2019-04-15,7,6
2019-04-16,2,2
2019-04-17,1,1
2019-04-18,1,1
2019-04-20,4,2
2019-04-23,3,2
2019-04-24,6,4
2019-04-25,2,2
2019-04-26,7,5
2019-04-28,1,1
2019-04-29,2,2
2019-04-30,7,3
2019-05-01,4,2
2019-05-03,2,2
2019-05-04,6,6
2019-05-05,6,2
2019-05-06,2,2
2019-05-07,6,3
2019-05-08,7,5
2019-05-09,5,4
2019-05-10,2,2
2019-05-11,8,2
2019-05-12,1,1
2019-05-13,5,1
2019-05-14,3,2
2019-05-15,6,2
2019-05-16,8,6
2019-05-17,4,2
2019-05-18,2,2
2019-05-20,2,1
2019-05-21,2,2
2019-05-22,7,5
2019-05-23,3,3
2019-05-24,11,7
2019-05-25,6,6
2019-05-26,2,2
2019-05-27,10,7
2019-05-28,12,8
2019-05-29,6,5
2019-05-30,7,6
2019-06-01,11,5
2019-06-02,6,1
2019-06-03,2,2
2019-06-04,18,9
2019-06-05,4,3
2019-06-06,5,5
2019-06-07,13,8
2019-06-08,15,10
2019-06-09,6,1
2019-06-12,6,5
2019-06-13,7,5
2019-06-14,5,2
2019-06-15,10,9
2019-06-17,8,3
2019-06-18,2,2
2019-06-19,11,8
2019-06-20,5,3
2019-06-22,13,5
2019-06-24,8,4
2019-06-25,6,4
2019-06-26,18,9
2019-06-27,13,6
2019-06-28,6,3
2019-06-29,13,6
2019-06-30,2,2
2019-07-01,8,6
2019-07-02,4,4
2019-07-03,5,2
2019-07-04,11,9
2019-07-05,10,5
2019-07-06,9,4
2019-07-07,6,2
2019-07-08,8,7
2019-07-09,4,4
2019-07-10,3,2
2019-07-11,9,4
2019-07-12,10,4
2019-07-13,17,7
2019-07-14,2,1
2019-07-15,3,2
2019-07-16,8,6
2019-07-17,11,3
2019-07-18,10,5
2019-07-19,4,2
2019-07-20,11,4
2019-07-21,2,1
2019-07-22,4,2
2019-07-23,10,4
2019-07-24,11,7
2019-07-25,11,4
2019-07-26,6,4
2019-07-27,7,6
2019-07-28,1,1
2019-07-29,3,3
2019-07-30,9,6
2019-07-31,1,1
2019-08-01,2,1
2019-08-02,4,1
2019-08-03,9,6
2019-08-04,4,3
2019-08-05,11,5
2019-08-06,1,1
2019-08-07,6,4
2019-08-08,13,5
2019-08-09,18,6
2019-08-10,14,3
2019-08-11,4,4
2019-08-12,6,2
2019-08-13,10,8
2019-08-14,15,7
2019-08-15,12,6
2019-08-16,7,6
2019-08-17,6,3
2019-08-18,5,2
2019-08-19,4,1
2019-08-20,6,5
2019-08-21,6,4
2019-08-22,13,6
2019-08-23,14,3
2019-08-24,8,6
2019-08-25,4,3
2019-08-26,8,3
2019-08-28,4,2
2019-08-29,9,6
2019-08-30,4,4
2019-08-31,10,9
2019-09-02,2,2
2019-09-03,4,3
2019-09-04,21,9
2019-09-05,1,1
2019-09-06,10,6
2019-09-07,10,3
2019-09-08,3,1
2019-09-09,4,4
2019-09-10,12,6
2019-09-11,10,7
2019-09-12,20,7
2019-09-13,6,4
2019-09-14,6,6
2019-09-15,5,2
