date,hit_count,text_count
2002-08-14,1,1
2002-09-20,1,1
2004-03-01,1,1
2004-05-11,1,1
2004-05-28,1,1
2004-12-07,1,1
2005-06-07,1,1
2006-01-05,1,1
2006-10-11,1,1
2006-11-10,1,1
2006-11-24,1,1
2006-12-22,1,1
2007-01-19,1,1
2007-02-09,1,1
2007-02-15,1,1
2007-02-23,1,1
2007-02-24,1,1
2007-03-05,1,1
2007-03-16,1,1
2007-04-19,1,1
2007-05-05,2,2
2007-05-07,1,1
2007-05-09,1,1
2007-05-14,1,1
2007-11-26,2,2
2007-11-27,1,1
2007-12-08,1,1
2009-02-06,2,2
2009-05-27,1,1
2009-07-11,1,1
2009-08-19,1,1
2009-09-21,2,2
2009-09-24,1,1
2009-10-10,2,2
2009-11-12,1,1
2010-05-17,2,2
2010-05-19,2,2
2010-08-20,1,1
2010-09-25,1,1
2010-09-27,2,2
2010-09-28,2,2
2010-10-22,1,1
2010-11-13,1,1
2010-11-15,1,1
2010-12-18,1,1
2011-04-13,1,1
2011-05-05,1,1
2011-05-24,1,1
2011-06-18,1,1
2011-06-21,2,2
2011-09-17,2,2
2011-09-19,1,1
2011-09-20,1,1
2011-12-28,1,1
2012-02-03,1,1
2012-02-18,1,1
2012-02-29,1,1
2012-03-12,3,3
2012-05-01,1,1
2012-05-17,1,1
2012-05-23,1,1
2012-06-09,1,1
2012-09-18,1,1
2012-09-24,1,1
2012-10-03,1,1
2012-11-06,1,1
2012-11-23,1,1
2012-11-26,1,1
2012-12-14,1,1
2013-02-25,1,1
2013-02-28,2,2
2013-03-04,1,1
2013-03-16,1,1
2013-04-03,1,1
2013-06-21,1,1
2013-10-08,1,1
2013-11-02,1,1
2013-12-19,1,1
2013-12-27,1,1
2013-12-28,1,1
2014-01-18,1,1
2014-04-05,1,1
2014-07-05,1,1
2014-08-07,1,1
2015-05-26,1,1
2015-07-03,3,3
2015-07-30,1,1
2015-08-12,1,1
2015-08-13,1,1
2015-10-29,1,1
2015-11-05,1,1
2015-12-29,1,1
2017-03-13,1,1
2017-03-16,1,1
2017-04-04,1,1
2017-08-29,1,1
2017-10-28,1,1
2017-11-20,1,1
2017-12-13,1,1
2018-01-08,1,1
2018-02-14,1,1
2018-03-26,1,1
2018-04-05,1,1
2018-05-08,1,1
2018-05-31,1,1
2018-07-10,1,1
2018-07-27,1,1
2018-08-10,1,1
2018-08-22,1,1
2018-08-28,1,1
2018-09-13,1,1
2018-10-24,1,1
2018-10-29,1,1
2018-11-01,1,1
2018-11-13,1,1
2018-11-20,1,1
2018-11-23,1,1
2018-12-22,1,1
2019-02-04,1,1
