date,hit_count,text_count
2001-11-16,1,1
2001-11-28,3,2
2001-12-15,1,1
2002-01-26,1,1
2002-02-15,3,2
2002-02-16,2,1
2002-03-05,2,1
2002-03-15,1,1
2002-03-30,1,1
2002-04-03,1,1
2002-04-12,3,2
2002-04-24,1,1
2002-05-23,4,1
2002-05-25,1,1
2002-06-13,1,1
2002-06-20,2,1
2002-06-22,1,1
2002-07-02,1,1
2002-07-03,1,1
2002-07-10,1,1
2002-07-13,1,1
2002-08-10,4,2
2002-08-13,4,2
2002-08-14,7,2
2002-08-15,4,1
2002-08-16,1,1
2002-08-20,5,3
2002-08-21,5,3
2002-08-23,2,1
2002-08-26,1,1
2002-08-27,1,1
2002-08-28,1,1
2002-08-29,3,1
2002-08-30,1,1
2002-08-31,1,1
2002-09-03,1,1
2002-09-09,1,1
2002-09-10,4,1
2002-09-14,1,1
2002-09-16,1,1
2002-09-20,1,1
2002-09-24,1,1
2002-09-25,2,1
2002-10-09,2,1
2002-10-10,2,2
2002-10-26,1,1
2003-02-04,1,1
2003-02-08,1,1
2003-02-13,1,1
2003-03-25,1,1
2003-05-31,1,1
2003-06-06,1,1
2003-06-11,8,3
2003-06-14,5,2
2003-06-17,1,1
2003-06-25,1,1
2003-06-27,2,1
2003-07-03,1,1
2003-07-16,1,1
2003-07-17,4,2
2003-07-18,1,1
2003-07-19,2,2
2003-07-21,1,1
2003-07-22,3,3
2003-07-23,2,2
2003-07-25,3,2
2003-07-26,1,1
2003-07-28,2,1
2003-07-29,1,1
2003-07-30,3,2
2003-08-07,1,1
2003-08-08,1,1
2003-08-09,1,1
2003-08-15,1,1
2003-08-19,4,2
2003-08-21,1,1
2003-08-23,8,2
2003-08-27,1,1
2003-09-02,1,1
2003-09-03,2,2
2003-09-09,1,1
2003-09-11,1,1
2003-09-13,1,1
2003-09-15,1,1
2003-09-16,1,1
2003-09-19,1,1
2003-09-20,2,2
2003-09-24,1,1
2003-09-25,1,1
2003-09-27,1,1
2003-10-02,1,1
2003-10-04,1,1
2003-10-08,1,1
2003-10-09,1,1
2003-10-10,1,1
2003-10-18,3,1
2003-10-21,3,1
2003-10-23,1,1
2003-10-24,1,1
2003-10-25,1,1
2003-10-31,3,2
2003-11-04,3,2
2003-11-07,1,1
2003-11-10,1,1
2003-11-11,2,2
2003-11-14,2,1
2003-11-22,1,1
2003-12-02,1,1
2003-12-04,1,1
2003-12-05,1,1
2003-12-10,1,1
2003-12-11,2,1
2003-12-13,2,1
2003-12-27,4,3
2003-12-29,1,1
2004-01-12,1,1
2004-01-20,1,1
2004-01-21,1,1
2004-01-23,1,1
2004-01-24,1,1
2004-01-27,2,2
2004-01-29,1,1
2004-02-05,1,1
2004-02-13,7,4
2004-02-14,1,1
2004-02-16,3,3
2004-02-17,1,1
2004-02-25,7,3
2004-02-26,1,1
2004-02-27,1,1
2004-03-01,1,1
2004-03-06,3,1
2004-03-11,3,2
2004-03-15,1,1
2004-03-17,1,1
2004-03-18,1,1
2004-03-19,2,2
2004-03-20,3,3
2004-03-24,1,1
2004-03-27,3,2
2004-03-29,4,3
2004-03-31,3,3
2004-04-01,8,4
2004-04-02,1,1
2004-04-03,1,1
2004-04-06,1,1
2004-04-24,1,1
2004-04-27,3,2
2004-05-04,3,2
2004-05-05,3,3
2004-05-06,1,1
2004-05-07,3,2
2004-05-08,1,1
2004-05-10,1,1
2004-05-11,3,2
2004-05-13,2,1
2004-05-14,8,2
2004-05-15,2,2
2004-05-17,4,3
2004-05-18,1,1
2004-05-24,1,1
2004-05-25,1,1
2004-05-26,4,3
2004-05-27,5,2
2004-05-28,4,2
2004-06-01,2,2
2004-06-02,1,1
2004-06-03,8,4
2004-06-04,3,1
2004-06-07,2,1
2004-06-09,1,1
2004-06-15,1,1
2004-06-16,2,2
2004-06-18,1,1
2004-06-19,2,1
2004-06-23,4,3
2004-06-28,1,1
2004-07-06,1,1
2004-07-07,2,2
2004-07-09,2,2
2004-07-13,1,1
2004-07-14,1,1
2004-07-21,1,1
2004-07-22,2,1
2004-07-23,3,2
2004-07-24,2,1
2004-07-26,4,2
2004-08-04,2,2
2004-08-12,1,1
2004-08-18,2,1
2004-08-19,1,1
2004-08-20,3,2
2004-08-24,1,1
2004-08-25,2,2
2004-09-01,1,1
2004-09-04,1,1
2004-09-06,2,1
2004-09-14,2,1
2004-09-15,5,2
2004-09-17,3,1
2004-09-21,1,1
2004-09-22,4,3
2004-09-25,3,3
2004-09-28,1,1
2004-09-30,1,1
2004-10-02,2,2
2004-10-05,1,1
2004-10-06,1,1
2004-10-11,2,1
2004-10-12,2,1
2004-10-16,4,3
2004-10-18,1,1
2004-10-23,4,3
2004-10-27,1,1
2004-10-28,1,1
2004-10-29,2,2
2004-11-01,1,1
2004-11-04,3,1
2004-11-10,1,1
2004-11-20,1,1
2004-11-22,1,1
2004-11-24,1,1
2004-11-26,1,1
2004-11-30,1,1
2004-12-07,1,1
2004-12-09,1,1
2004-12-15,1,1
2004-12-16,2,1
2004-12-17,2,2
2004-12-20,2,1
2004-12-22,1,1
2004-12-23,2,2
2004-12-28,1,1
2004-12-29,1,1
2004-12-30,2,1
2004-12-31,4,2
2005-01-03,3,2
2005-01-08,1,1
2005-01-11,1,1
2005-01-14,1,1
2005-01-15,1,1
2005-01-20,2,2
2005-01-26,1,1
2005-01-29,2,2
2005-02-02,1,1
2005-02-03,1,1
2005-02-05,1,1
2005-02-09,1,1
2005-02-10,1,1
2005-02-11,8,3
2005-02-15,2,2
2005-02-16,3,1
2005-02-17,9,4
2005-02-18,1,1
2005-02-19,1,1
2005-02-22,2,1
2005-02-24,1,1
2005-02-28,1,1
2005-03-01,1,1
2005-03-02,3,1
2005-03-09,1,1
2005-03-16,2,1
2005-03-29,1,1
2005-03-30,1,1
2005-03-31,1,1
2005-04-08,1,1
2005-04-09,1,1
2005-04-13,1,1
2005-04-16,2,2
2005-04-22,1,1
2005-04-23,3,1
2005-04-29,3,2
2005-05-12,2,2
2005-05-24,2,1
2005-05-25,4,3
2005-05-30,1,1
2005-06-01,1,1
2005-06-03,4,2
2005-06-07,3,2
2005-06-08,1,1
2005-06-09,4,2
2005-06-13,2,2
2005-06-15,1,1
2005-06-18,4,4
2005-06-22,2,1
2005-06-29,3,3
2005-07-04,1,1
2005-07-06,5,3
2005-07-07,3,1
2005-07-08,2,2
2005-07-09,4,2
2005-07-11,1,1
2005-07-13,1,1
2005-07-14,1,1
2005-07-20,4,1
2005-07-21,1,1
2005-07-29,1,1
2005-08-01,1,1
2005-08-02,1,1
