date,hit_count,text_count
2001-10-25,1,1
2001-12-27,1,1
2002-01-22,1,1
2002-02-16,1,1
2002-02-20,1,1
2002-05-15,1,1
2002-05-17,1,1
2002-05-22,1,1
2002-08-09,1,1
2002-09-04,1,1
2003-01-08,1,1
2003-08-16,1,1
2003-09-05,1,1
2003-09-30,1,1
2004-03-11,2,2
2004-03-18,1,1
2004-03-31,1,1
2004-04-01,1,1
2004-04-21,1,1
2004-05-11,1,1
2004-06-01,1,1
2004-06-02,1,1
2004-06-09,1,1
2004-07-31,2,2
2004-08-02,1,1
2004-08-06,1,1
2004-08-12,1,1
2004-08-26,3,3
2004-09-20,1,1
2004-10-01,1,1
2004-10-06,1,1
2004-10-12,1,1
2004-12-18,1,1
2004-12-27,1,1
2005-01-14,1,1
2005-02-01,1,1
2005-02-10,1,1
2005-02-16,1,1
2005-02-22,1,1
2005-03-05,1,1
2005-03-16,1,1
2005-06-17,1,1
2005-06-23,1,1
2005-06-24,1,1
2005-09-07,1,1
2005-10-27,1,1
2005-10-31,1,1
2005-11-19,2,2
2005-12-07,1,1
2005-12-19,2,2
2006-01-05,1,1
2006-02-10,1,1
2006-02-13,1,1
2006-02-16,1,1
2006-02-25,1,1
2006-03-31,1,1
2006-04-04,1,1
2006-04-07,1,1
2006-04-21,1,1
2006-04-24,1,1
2006-04-25,1,1
2006-05-05,1,1
2006-06-28,1,1
2006-07-18,1,1
2006-09-07,1,1
2006-09-23,1,1
2006-10-06,2,2
2006-10-07,1,1
2006-10-19,3,3
2006-10-20,1,1
2006-10-28,1,1
2006-11-07,2,2
2006-11-10,1,1
2006-11-21,6,6
2006-11-30,2,2
2006-12-02,1,1
2006-12-14,1,1
2006-12-22,1,1
2006-12-30,1,1
2007-01-04,1,1
2007-01-11,2,2
2007-01-15,1,1
2007-01-22,1,1
2007-01-25,1,1
2007-01-29,1,1
2007-02-01,1,1
2007-02-03,1,1
2007-02-06,1,1
2007-02-07,1,1
2007-02-09,1,1
2007-02-12,1,1
2007-02-22,1,1
2007-02-26,1,1
2007-03-08,1,1
2007-03-10,1,1
2007-03-13,2,2
2007-03-14,2,2
2007-03-15,2,2
2007-03-20,1,1
2007-03-21,1,1
2007-03-23,1,1
2007-03-24,1,1
2007-03-26,1,1
2007-03-27,1,1
2007-03-31,1,1
2007-04-02,1,1
2007-04-04,1,1
2007-04-13,1,1
2007-04-20,2,2
2007-04-25,2,2
2007-04-27,1,1
2007-04-28,1,1
2007-05-01,5,5
2007-05-03,1,1
2007-05-04,1,1
2007-05-08,1,1
2007-05-09,1,1
2007-05-10,2,2
2007-05-14,1,1
2007-05-21,1,1
2007-05-22,3,3
2007-05-25,3,3
2007-05-30,2,2
2007-05-31,1,1
2007-06-02,3,3
2007-06-06,1,1
2007-06-07,1,1
2007-06-22,1,1
2007-06-23,1,1
2007-06-25,1,1
2007-06-29,1,1
2007-07-04,1,1
2007-07-05,1,1
2007-07-09,1,1
2007-07-14,2,2
2007-07-27,1,1
2007-07-31,1,1
2007-08-10,1,1
2007-08-13,1,1
2007-08-28,1,1
2007-09-10,1,1
2007-09-14,1,1
2007-09-20,1,1
2007-09-27,1,1
2007-10-18,3,3
2007-11-06,1,1
2007-11-12,2,2
2007-11-16,2,2
2007-11-19,1,1
2007-11-21,2,2
2007-11-22,1,1
2007-11-23,1,1
2007-11-26,2,2
2007-11-27,1,1
2007-11-29,1,1
2007-12-03,1,1
2007-12-04,2,2
2007-12-05,2,2
2007-12-06,1,1
2007-12-07,1,1
2007-12-08,3,3
2007-12-10,1,1
2007-12-11,1,1
2007-12-17,1,1
2007-12-20,1,1
2007-12-21,1,1
2007-12-29,1,1
2008-01-11,1,1
2008-01-14,1,1
2008-01-18,1,1
2008-02-09,1,1
2008-02-23,1,1
2008-02-25,1,1
2008-02-29,1,1
2008-03-04,1,1
2008-04-15,1,1
2008-04-22,1,1
2008-04-26,2,2
2008-04-28,2,2
2008-04-30,1,1
2008-05-06,1,1
2008-05-09,1,1
2008-05-10,2,2
2008-05-15,1,1
2008-05-28,1,1
2008-06-16,1,1
2008-07-07,1,1
2008-08-02,1,1
2008-08-19,1,1
2008-08-20,1,1
2008-09-08,1,1
2008-09-18,1,1
2008-11-06,1,1
2008-11-13,1,1
2008-11-14,1,1
2008-11-18,1,1
2008-11-19,1,1
2008-11-29,1,1
2008-12-02,1,1
2008-12-03,1,1
2008-12-13,2,2
2008-12-15,1,1
2009-01-12,1,1
2009-01-21,1,1
2009-01-28,1,1
2009-01-31,1,1
2009-02-02,1,1
2009-02-04,1,1
2009-02-06,1,1
2009-02-25,1,1
2009-03-13,1,1
2009-03-17,2,2
2009-04-08,1,1
2009-04-20,1,1
2009-04-24,1,1
2009-05-12,1,1
2009-05-14,1,1
2009-05-18,2,2
2009-05-29,1,1
2009-06-05,1,1
2009-06-15,2,2
2009-07-03,1,1
2009-07-07,1,1
2009-07-10,1,1
2009-07-27,1,1
2009-07-31,1,1
2009-08-01,1,1
2009-08-05,1,1
2009-08-27,1,1
2009-08-29,1,1
2009-09-05,1,1
2009-09-10,1,1
2009-09-21,2,2
2009-09-22,2,2
2009-10-10,2,2
2009-10-13,2,2
2009-11-02,1,1
2009-11-17,1,1
2009-11-18,1,1
2009-11-30,1,1
2009-12-03,1,1
2009-12-07,3,3
2009-12-14,1,1
2009-12-15,2,2
2009-12-16,2,2
2009-12-17,2,2
2009-12-19,2,2
2009-12-31,1,1
2010-01-09,1,1
2010-01-12,1,1
2010-01-18,1,1
2010-02-26,2,2
2010-03-06,1,1
2010-03-22,1,1
2010-04-07,1,1
2010-04-08,2,2
2010-04-10,1,1
2010-05-04,1,1
2010-05-17,2,2
2010-05-19,2,2
2010-05-31,1,1
2010-06-03,1,1
2010-06-26,1,1
2010-07-01,1,1
2010-07-05,1,1
2010-07-16,1,1
2010-07-17,1,1
2010-07-20,2,2
2010-07-22,1,1
2010-08-13,1,1
2010-08-14,1,1
2010-08-23,2,2
2010-08-25,1,1
2010-08-30,1,1
2010-09-03,1,1
2010-09-04,1,1
2010-09-06,1,1
2010-09-11,1,1
2010-09-24,1,1
2010-09-27,2,2
2010-09-29,1,1
2010-09-30,1,1
2010-10-02,2,2
2010-10-06,1,1
2010-10-16,1,1
2010-10-25,1,1
2010-10-27,1,1
2010-10-28,1,1
2010-11-03,1,1
2010-11-04,1,1
2010-11-06,2,2
2010-11-08,1,1
2010-11-16,1,1
2010-11-19,1,1
2010-11-25,1,1
2010-11-29,1,1
2010-12-03,1,1
2010-12-07,1,1
2010-12-11,1,1
2010-12-13,1,1
2010-12-27,1,1
2011-01-05,1,1
2011-01-13,1,1
2011-02-07,2,2
2011-02-14,1,1
2011-02-15,1,1
2011-02-16,1,1
2011-02-21,1,1
2011-02-28,2,2
2011-03-08,1,1
2011-03-16,1,1
2011-03-17,1,1
2011-03-28,1,1
2011-03-29,1,1
2011-04-02,1,1
2011-04-06,1,1
2011-04-07,1,1
2011-04-08,2,2
2011-04-09,1,1
