date,hit_count,text_count
2002-03-15,1,1
2002-08-14,1,1
2002-08-20,1,1
2002-08-29,1,1
2002-09-03,1,1
2003-07-29,1,1
2003-09-15,1,1
2003-10-02,1,1
2003-10-25,1,1
2003-11-22,1,1
2003-12-11,1,1
2004-04-24,1,1
2004-05-05,1,1
2004-05-07,1,1
2004-05-08,1,1
2004-05-11,1,1
2004-05-14,2,2
2004-05-15,1,1
2004-05-17,1,1
2004-05-26,1,1
2004-05-27,1,1
2004-06-01,2,2
2004-06-03,1,1
2004-06-07,1,1
2004-06-09,1,1
2004-06-23,1,1
2004-09-06,1,1
2004-09-30,1,1
2004-10-27,1,1
2005-01-08,1,1
2005-03-16,1,1
2005-03-29,1,1
2005-04-13,1,1
2005-09-03,1,1
2005-09-09,2,2
2005-09-21,1,1
2005-10-11,1,1
2005-11-29,1,1
2005-12-01,1,1
2006-01-10,1,1
2006-02-24,1,1
2006-03-15,1,1
2006-05-23,1,1
2006-10-19,1,1
2006-11-01,1,1
2006-11-21,2,2
2006-12-02,1,1
2006-12-20,1,1
2006-12-29,1,1
2007-02-13,2,2
2007-02-21,1,1
2007-02-23,1,1
2007-02-28,3,3
2007-03-02,1,1
2007-03-03,1,1
2007-03-05,1,1
2007-03-10,1,1
2007-03-13,2,2
2007-03-15,1,1
2007-03-16,1,1
2007-03-17,1,1
2007-03-19,1,1
2007-03-21,1,1
2007-03-24,1,1
2007-03-27,3,3
2007-03-31,1,1
2007-04-14,1,1
2007-04-19,1,1
2007-04-27,1,1
2007-05-01,2,2
2007-05-05,1,1
2007-05-21,1,1
2007-05-22,1,1
2007-05-31,1,1
2007-06-06,1,1
2007-06-21,2,2
2007-06-22,2,2
2007-06-23,2,2
2007-06-25,1,1
2007-07-14,1,1
2007-07-28,1,1
2007-08-06,1,1
2007-08-10,1,1
2007-08-18,1,1
2007-09-20,1,1
2007-09-25,1,1
2007-10-03,1,1
2007-10-23,1,1
2007-11-12,1,1
2007-11-13,1,1
2007-11-15,1,1
2007-11-19,1,1
2007-11-24,1,1
2007-11-28,1,1
2007-11-30,1,1
2007-12-04,1,1
2007-12-07,2,2
2008-02-16,1,1
2008-02-27,1,1
2008-04-23,1,1
2008-04-26,1,1
2008-05-15,1,1
2008-05-24,1,1
2008-06-16,1,1
2008-06-18,1,1
2008-06-20,1,1
2008-07-15,1,1
2008-08-04,1,1
2008-08-30,1,1
2008-11-06,1,1
2008-11-20,1,1
2008-11-29,1,1
2008-12-06,1,1
2008-12-17,1,1
2008-12-27,1,1
2009-01-03,1,1
2009-01-20,1,1
2009-02-04,1,1
2009-02-10,1,1
2009-03-28,2,2
2009-04-07,1,1
2009-04-08,1,1
2009-04-09,1,1
2009-04-20,1,1
2009-06-22,1,1
2009-06-24,1,1
2009-07-07,1,1
2009-07-16,1,1
2009-07-23,1,1
2009-08-04,1,1
2009-08-05,1,1
2009-08-13,1,1
2009-09-02,1,1
2009-09-04,1,1
2009-09-19,1,1
2009-09-29,1,1
2009-10-01,1,1
2009-10-14,1,1
2009-10-23,1,1
2009-11-04,1,1
2009-12-09,1,1
2009-12-18,1,1
2009-12-28,1,1
2010-01-27,1,1
2010-02-01,1,1
2010-02-12,1,1
2010-02-20,1,1
2010-02-27,1,1
2010-03-03,1,1
2010-03-06,2,2
2010-03-09,1,1
2010-03-10,1,1
2010-03-12,1,1
2010-03-20,1,1
2010-04-01,1,1
2010-04-10,1,1
2010-04-22,1,1
2010-04-27,1,1
2010-04-30,1,1
2010-05-01,1,1
2010-05-05,1,1
2010-05-08,1,1
2010-05-12,1,1
2010-05-27,1,1
2010-07-02,1,1
2010-07-29,1,1
2010-07-31,2,2
2010-08-06,1,1
2010-08-16,1,1
2010-08-30,1,1
2010-09-24,1,1
2010-09-25,1,1
2010-10-01,1,1
2010-11-08,1,1
2010-11-12,1,1
2010-12-11,1,1
2010-12-15,1,1
2010-12-18,1,1
2011-02-25,1,1
2011-03-05,1,1
2011-03-07,1,1
2011-03-26,1,1
2011-03-30,2,2
2011-04-12,1,1
2011-04-14,2,2
2011-04-16,1,1
2011-04-20,1,1
2011-05-04,1,1
2011-05-05,1,1
2011-05-18,1,1
2011-05-20,1,1
2011-06-02,2,2
2011-06-07,1,1
2011-06-09,3,3
2011-06-11,1,1
2011-06-27,3,3
2011-07-04,1,1
2011-07-15,1,1
2011-07-18,1,1
2011-07-20,3,3
2011-07-26,1,1
2011-08-02,2,2
2011-08-03,1,1
2011-08-04,1,1
2011-09-06,2,2
2011-09-08,1,1
2011-09-09,1,1
2011-09-22,2,2
2011-09-24,1,1
2011-09-26,2,2
2011-09-29,1,1
2011-10-19,1,1
2011-10-22,1,1
2011-10-26,2,2
2011-11-16,1,1
2011-11-19,1,1
2011-11-22,2,2
2011-11-30,1,1
2011-12-03,1,1
2011-12-08,2,2
2012-01-12,1,1
2012-02-02,1,1
2012-02-04,1,1
2012-02-08,2,2
2012-02-15,1,1
2012-02-23,3,3
2012-02-24,1,1
2012-02-28,1,1
2012-03-03,1,1
2012-03-07,1,1
2012-03-13,1,1
2012-03-14,1,1
2012-04-02,1,1
2012-04-26,1,1
2012-04-28,1,1
2012-05-04,1,1
2012-05-15,1,1
2012-05-22,1,1
2012-05-25,1,1
2012-06-13,2,2
2012-06-15,1,1
2012-06-21,1,1
2012-06-27,1,1
2012-07-03,1,1
2012-07-20,1,1
2012-07-25,1,1
2012-08-01,1,1
2012-08-09,1,1
2012-08-15,1,1
2012-08-18,2,2
2012-08-22,1,1
2012-08-28,1,1
2012-08-29,1,1
2012-09-14,1,1
2012-10-11,1,1
2012-10-13,1,1
2012-10-17,1,1
2012-11-05,1,1
2012-11-06,1,1
2012-11-07,3,3
2012-11-12,1,1
2012-11-13,1,1
2012-12-05,1,1
2012-12-08,1,1
2012-12-21,1,1
2013-01-07,2,2
2013-01-08,1,1
2013-01-23,1,1
2013-02-15,1,1
2013-02-16,1,1
2013-02-19,3,3
2013-02-23,1,1
2013-02-25,2,2
2013-03-01,1,1
2013-03-05,1,1
2013-03-15,1,1
2013-04-03,2,2
2013-04-10,2,2
2013-05-09,1,1
2013-05-14,1,1
2013-05-15,2,2
2013-06-18,1,1
2013-07-06,1,1
2013-07-10,1,1
2013-07-13,1,1
2013-07-26,1,1
2013-08-14,2,2
2013-08-16,1,1
2013-08-26,1,1
2013-09-17,1,1
2013-09-24,1,1
