date,hit_count,text_count
2015-08-01,1,1
2015-08-03,4,1
2015-08-13,3,1
2015-08-14,1,1
2015-08-17,5,2
2015-08-19,1,1
2015-08-27,2,1
2015-08-29,2,1
2015-09-02,5,2
2015-09-03,1,1
2015-09-04,1,1
2015-09-17,1,1
2015-09-19,1,1
2015-09-22,1,1
2015-10-12,1,1
2015-10-13,1,1
2015-10-15,1,1
2015-10-16,1,1
2015-10-19,3,1
2015-10-28,1,1
2015-11-03,1,1
2015-11-06,1,1
2015-11-09,1,1
2015-11-16,1,1
2015-12-12,1,1
2015-12-14,1,1
2015-12-17,1,1
2015-12-18,1,1
2016-01-06,1,1
2016-01-08,1,1
2016-01-11,2,1
2016-01-19,7,2
2016-01-25,2,1
2016-02-01,1,1
2016-02-16,2,1
2016-02-17,1,1
2016-02-23,1,1
2016-02-24,1,1
2016-02-26,1,1
2016-03-07,1,1
2016-03-15,1,1
2016-03-19,3,2
2016-04-02,4,1
2016-04-14,2,1
2016-05-12,2,1
2016-05-13,1,1
2016-05-28,1,1
2016-05-30,7,1
2016-06-04,1,1
2016-06-15,2,1
2016-06-17,2,1
2016-06-20,1,1
2016-06-25,2,1
2016-06-28,1,1
2016-07-05,1,1
2016-07-16,2,1
2016-07-20,2,1
2016-07-23,1,1
2016-07-27,10,2
2016-09-01,2,1
2016-09-03,1,1
2016-09-14,1,1
2016-09-16,1,1
2016-09-20,1,1
2016-09-24,2,1
2016-10-01,2,1
2016-10-06,1,1
2016-11-10,1,1
2016-11-14,1,1
2016-11-16,3,1
2016-11-22,1,1
2016-12-02,2,1
2016-12-09,2,1
2016-12-27,1,1
2017-01-05,7,1
2017-01-07,1,1
2017-01-12,4,1
2017-01-13,1,1
2017-01-18,2,1
2017-02-03,1,1
2017-02-06,3,1
2017-02-22,1,1
2017-02-23,1,1
2017-02-24,1,1
2017-03-04,1,1
2017-03-08,2,1
2017-03-31,3,2
2017-04-04,1,1
2017-04-19,3,2
2017-04-25,1,1
2017-04-26,1,1
2017-05-10,1,1
2017-05-26,1,1
2017-05-30,1,1
2017-05-31,1,1
2017-06-03,3,1
2017-06-08,1,1
2017-06-10,1,1
2017-06-12,2,1
2017-06-14,2,2
2017-06-23,2,2
2017-06-24,1,1
2017-07-21,1,1
2017-08-01,3,2
2017-08-07,3,2
2017-08-11,3,1
2017-08-17,3,1
2017-08-29,1,1
2017-09-02,1,1
2017-09-06,2,1
2017-09-14,1,1
2017-09-15,1,1
2017-09-27,1,1
2017-09-28,1,1
2017-10-17,1,1
2017-10-24,3,2
2017-10-28,3,2
2017-11-14,1,1
2017-11-28,1,1
2017-12-19,1,1
2018-01-16,1,1
2018-01-17,2,1
2018-01-23,1,1
2018-01-27,2,1
2018-01-30,3,2
2018-01-31,3,2
2018-02-08,1,1
2018-02-12,1,1
2018-02-14,1,1
2018-02-28,2,1
2018-03-07,1,1
2018-03-10,1,1
2018-03-26,1,1
2018-04-12,7,1
2018-04-13,3,2
2018-04-17,1,1
2018-04-18,1,1
2018-04-19,1,1
2018-04-20,1,1
2018-05-03,3,2
2018-05-07,1,1
2018-05-08,1,1
2018-05-15,1,1
2018-05-16,1,1
