date,hit_count,text_count
2001-03-29,1,1
2001-04-20,1,1
2001-04-27,1,1
2001-05-15,1,1
2001-06-15,1,1
2001-07-06,1,1
2001-07-16,2,2
2001-07-21,3,3
2001-07-23,2,2
2001-08-23,1,1
2001-10-30,1,1
2001-11-12,1,1
2002-02-07,1,1
2002-06-05,2,2
2002-08-19,1,1
2002-08-20,1,1
2002-08-24,1,1
2002-08-28,1,1
2002-09-03,1,1
2002-09-05,2,2
2002-10-28,1,1
2003-01-20,1,1
2003-05-22,1,1
2003-05-31,1,1
2003-07-31,1,1
2004-01-21,1,1
2004-06-05,1,1
2004-08-28,1,1
2005-02-19,1,1
2005-03-24,1,1
2005-05-07,1,1
2005-06-01,1,1
2005-06-11,2,2
2005-07-06,1,1
2005-07-08,1,1
2005-07-09,1,1
2005-07-12,1,1
2005-07-19,1,1
2005-08-06,1,1
2005-08-23,1,1
2005-08-31,1,1
2005-09-12,1,1
2005-10-15,1,1
2005-12-07,1,1
2005-12-31,1,1
2006-02-16,1,1
2006-03-06,1,1
2006-03-16,1,1
2006-04-14,1,1
2006-05-13,1,1
2006-06-21,1,1
2006-07-31,1,1
2006-08-04,2,2
2006-09-29,1,1
2006-11-08,1,1
2006-11-18,1,1
2006-11-22,1,1
2006-12-04,1,1
2006-12-12,1,1
2006-12-30,1,1
2007-01-09,1,1
2007-01-20,1,1
2007-01-22,1,1
2007-01-24,1,1
2007-01-26,1,1
2007-01-27,2,2
2007-01-29,1,1
2007-01-31,1,1
2007-02-03,2,2
2007-02-08,1,1
2007-02-10,1,1
2007-02-19,1,1
2007-02-27,1,1
2007-03-05,1,1
2007-03-06,2,2
2007-03-08,1,1
2007-03-09,1,1
2007-03-13,1,1
2007-03-15,1,1
2007-03-24,1,1
2007-03-27,1,1
2007-03-31,1,1
2007-04-02,1,1
2007-04-04,2,2
2007-04-07,1,1
2007-04-11,1,1
2007-04-13,1,1
2007-04-16,1,1
2007-04-17,1,1
2007-04-19,1,1
2007-05-05,1,1
2007-05-10,1,1
2007-05-25,1,1
2007-05-29,3,3
2007-05-30,1,1
2007-06-02,3,3
2007-06-05,1,1
2007-06-08,2,2
2007-06-09,1,1
2007-06-11,1,1
2007-06-20,2,2
2007-06-30,1,1
2007-07-09,1,1
2007-07-10,1,1
2007-07-26,1,1
2007-07-28,1,1
2007-07-30,1,1
