date,hit_count,text_count
2001-02-22,1,1
2001-04-04,1,1
2001-07-06,1,1
2001-11-12,1,1
2001-11-27,1,1
2002-08-09,1,1
2002-08-20,1,1
2002-09-03,1,1
2002-09-05,1,1
2002-11-08,1,1
2002-11-15,1,1
2003-03-10,2,2
2003-10-21,1,1
2003-12-04,1,1
2004-02-12,1,1
2004-04-14,1,1
2004-06-05,1,1
2004-07-19,1,1
2005-02-17,2,2
2005-06-08,1,1
2005-08-20,1,1
2005-10-19,1,1
2006-01-16,1,1
2006-03-24,1,1
2006-07-17,1,1
2006-07-20,1,1
2006-08-11,1,1
2006-08-21,1,1
2006-12-01,1,1
2007-01-26,2,2
2007-01-27,1,1
2007-01-29,1,1
2007-01-31,1,1
2007-02-01,1,1
2007-02-05,1,1
2007-02-09,1,1
2007-02-22,1,1
2007-03-03,1,1
2007-03-06,1,1
2007-03-08,2,2
2007-03-10,1,1
2007-03-13,1,1
2007-03-24,1,1
2007-04-02,1,1
2007-04-16,1,1
2007-04-30,1,1
2007-05-05,2,2
2007-05-07,1,1
2007-05-25,1,1
2007-08-14,1,1
2007-08-22,1,1
2007-08-24,1,1
2007-09-15,1,1
2007-10-01,1,1
2007-10-23,1,1
2007-11-13,1,1
2007-11-15,1,1
2007-11-16,1,1
2007-11-29,1,1
2007-12-01,1,1
2007-12-06,1,1
2008-01-02,1,1
2008-01-24,1,1
2008-01-25,1,1
2008-01-26,1,1
2008-02-02,1,1
2008-02-28,1,1
2008-03-13,1,1
2008-03-15,1,1
2008-03-18,1,1
2008-03-19,1,1
2008-04-05,1,1
2008-04-07,1,1
2008-05-24,1,1
2008-06-14,1,1
2008-07-01,1,1
2008-07-07,1,1
2008-07-11,1,1
2008-07-26,1,1
2008-08-05,2,2
2008-08-11,1,1
2008-08-26,1,1
2008-10-25,1,1
2008-11-08,2,2
2008-12-13,1,1
2008-12-15,1,1
2009-01-23,1,1
2009-02-21,2,2
2009-03-30,1,1
2009-04-17,1,1
2009-04-29,1,1
2009-05-06,1,1
2009-05-27,1,1
2009-06-20,1,1
2009-06-29,1,1
2009-07-01,1,1
2009-07-20,1,1
2009-08-13,1,1
2009-08-22,1,1
2009-09-23,1,1
2009-09-24,1,1
2009-10-12,1,1
2009-10-15,1,1
2009-10-17,1,1
2009-11-07,1,1
2009-11-14,1,1
2009-11-18,1,1
2009-11-28,1,1
2009-12-04,1,1
2009-12-05,1,1
2009-12-09,1,1
2009-12-11,2,2
2009-12-12,1,1
2009-12-16,1,1
2009-12-18,1,1
2009-12-22,2,2
2010-01-07,1,1
2010-01-23,1,1
2010-02-04,1,1
2010-02-09,1,1
2010-02-11,1,1
2010-02-15,1,1
2010-02-26,1,1
2010-03-11,1,1
2010-03-12,1,1
2010-03-16,1,1
2010-03-29,1,1
2010-05-03,1,1
2010-05-31,1,1
2010-06-05,1,1
2010-07-01,1,1
2010-07-19,2,2
2010-07-26,1,1
2010-09-27,1,1
2010-10-04,1,1
2010-10-06,1,1
2010-10-15,1,1
2010-11-11,1,1
2010-11-15,2,2
2010-11-22,1,1
2010-11-25,2,2
2010-11-26,2,2
2010-12-20,2,2
2011-01-03,1,1
2011-02-07,2,2
2011-02-14,1,1
2011-03-17,1,1
2011-03-19,3,3
2011-03-21,1,1
2011-03-24,1,1
2011-03-26,1,1
2011-03-30,1,1
2011-04-08,1,1
2011-04-09,1,1
2011-04-14,1,1
2011-04-18,1,1
2011-04-26,1,1
2011-05-10,1,1
2011-05-13,1,1
2011-06-04,1,1
2011-06-09,1,1
2011-06-14,1,1
2011-06-28,1,1
2011-07-01,1,1
2011-08-19,1,1
2011-09-26,1,1
2011-09-30,1,1
2011-10-04,1,1
2011-11-03,1,1
2011-11-05,1,1
2011-11-09,1,1
2011-11-14,1,1
2011-11-21,1,1
2011-11-23,1,1
2011-11-24,1,1
2011-12-03,1,1
2012-02-13,1,1
2012-03-03,2,2
2012-03-05,1,1
2012-03-10,2,2
2012-03-15,1,1
2012-04-23,1,1
2012-05-08,1,1
2012-05-26,1,1
2012-08-02,1,1
2012-08-22,1,1
2012-09-03,1,1
2012-09-20,1,1
2012-09-24,1,1
2012-10-08,1,1
2012-10-12,1,1
2012-10-29,1,1
2012-11-02,3,3
2012-11-06,1,1
2012-11-26,2,2
2012-11-27,1,1
2012-12-01,1,1
2012-12-07,1,1
2013-01-15,2,2
2013-02-05,1,1
2013-02-25,1,1
2013-04-09,1,1
2013-04-27,1,1
2013-04-29,1,1
2013-05-23,1,1
2013-06-14,1,1
2013-07-03,1,1
2013-08-06,1,1
2013-11-11,1,1
2013-11-13,1,1
2013-12-16,1,1
2014-01-07,2,2
2014-01-15,3,3
2014-01-23,1,1
2014-01-25,1,1
2014-04-14,1,1
2014-05-07,2,2
2014-05-10,1,1
2014-06-06,1,1
2014-06-23,1,1
2014-09-25,1,1
2014-10-08,1,1
2014-11-10,1,1
2015-01-14,1,1
2015-02-12,1,1
2015-02-23,1,1
2015-03-04,1,1
2015-03-21,1,1
2015-05-08,2,2
2015-06-15,1,1
2015-06-19,2,2
2015-07-31,1,1
2015-08-10,1,1
2015-08-24,1,1
2015-09-26,1,1
2015-10-05,1,1
2015-10-19,1,1
2015-11-23,2,2
2015-11-30,1,1
2015-12-03,1,1
2015-12-04,1,1
2015-12-07,1,1
2015-12-09,1,1
2015-12-10,1,1
2015-12-12,2,2
2015-12-15,1,1
2015-12-21,1,1
2016-02-11,1,1
2016-03-03,1,1
2016-03-17,3,3
2016-05-10,1,1
2016-06-30,1,1
2016-07-25,1,1
2016-09-05,2,2
2016-09-15,1,1
2016-10-03,1,1
2016-10-31,1,1
2016-11-04,2,2
2016-11-12,1,1
2016-11-19,2,2
2017-01-07,1,1
2017-01-31,1,1
2017-03-06,1,1
2017-03-28,1,1
2017-03-30,2,2
2017-04-10,1,1
2017-06-03,1,1
2017-06-12,1,1
2017-06-30,1,1
2017-08-07,1,1
2017-08-10,1,1
2017-09-20,1,1
2017-10-07,1,1
2017-11-02,1,1
2017-11-11,1,1
2017-12-02,1,1
2017-12-12,1,1
2017-12-27,1,1
2018-02-07,1,1
2018-03-24,1,1
2018-05-25,1,1
2018-05-26,1,1
2018-06-21,1,1
2018-08-04,2,2
2018-10-05,1,1
2018-10-06,1,1
2018-10-09,2,2
2018-10-11,1,1
2018-11-09,2,2
2018-11-26,1,1
2018-11-28,1,1
2018-12-07,1,1
2019-01-22,1,1
2019-01-26,2,2
2019-01-30,1,1
2019-01-31,2,2
2019-02-02,2,2
2019-02-15,1,1
2019-02-27,1,1
2019-03-30,1,1
2019-04-09,1,1
2019-04-10,2,2
2019-04-16,1,1
2019-04-24,1,1
2019-05-04,1,1
2019-05-11,1,1
2019-05-16,1,1
2019-05-22,1,1
2019-06-05,1,1
2019-06-15,1,1
2019-06-18,1,1
2019-07-05,1,1
2019-07-08,1,1
2019-07-18,1,1
2019-07-19,3,3
2019-07-27,1,1
2019-08-03,3,3
2019-08-09,1,1
2019-08-27,1,1
2019-09-07,1,1
2019-09-10,2,2
2019-09-14,3,3
2019-09-16,1,1
2019-09-20,1,1
2019-09-24,1,1
2019-09-30,1,1
2019-10-03,1,1
2019-10-04,1,1
2019-10-11,1,1
2019-10-12,1,1
2019-10-15,1,1
2019-10-18,2,2
2019-10-19,1,1
2019-10-21,1,1
2019-10-29,1,1
2019-11-05,1,1
2019-11-08,1,1
2019-11-12,1,1
2019-11-14,2,2
2019-11-23,2,2
2019-11-26,1,1
2019-12-02,1,1
2019-12-05,1,1
2019-12-11,1,1
2019-12-19,1,1
2019-12-21,2,2
2020-01-07,1,1
2020-01-10,1,1
2020-01-11,1,1
2020-01-24,2,2
2020-01-28,2,2
2020-02-03,1,1
2020-02-15,1,1
2020-02-26,1,1
2020-02-29,1,1
2020-03-06,1,1
2020-03-21,2,2
2020-05-25,1,1
2020-05-26,2,2
2020-05-27,1,1
2020-06-30,1,1
2020-07-09,1,1
2020-07-23,1,1
2020-08-01,1,1
2020-08-29,1,1
2020-09-12,2,2
2020-09-17,1,1
2020-09-26,1,1
2020-10-01,1,1
2020-10-09,1,1
2020-10-10,1,1
2020-10-15,1,1
2020-10-31,1,1
2020-11-18,1,1
2020-11-25,1,1
2020-12-05,1,1
2020-12-07,1,1
2021-01-07,1,1
2021-01-09,1,1
2021-03-01,1,1
2021-03-05,2,2
2021-03-11,1,1
2021-03-13,1,1
2021-03-20,1,1
2021-03-31,1,1
2021-04-07,1,1
2021-05-04,1,1
2021-05-05,1,1
2021-05-26,1,1
2021-05-28,1,1
2021-05-29,1,1
2021-06-04,1,1
2021-06-11,1,1
2021-06-22,1,1
2021-07-05,1,1
2021-07-06,1,1
2021-07-07,1,1
2021-07-16,1,1
2021-07-17,1,1
2021-07-23,1,1
2021-07-24,1,1
2021-07-28,1,1
2021-08-11,2,2
2021-08-12,1,1
2021-08-14,3,3
2021-09-07,1,1
2021-09-20,1,1
2021-09-22,1,1
2021-10-06,1,1
2021-10-09,1,1
2021-10-11,1,1
2021-10-14,1,1
2021-10-21,1,1
2021-10-25,1,1
2021-11-02,1,1
2021-11-06,1,1
2021-11-10,1,1
2021-11-20,1,1
2021-11-25,1,1
2021-12-04,1,1
2021-12-09,1,1
2021-12-11,1,1
2021-12-20,1,1
2021-12-21,1,1
2022-01-08,2,2
2022-01-15,1,1
2022-01-22,1,1
2022-01-26,1,1
2022-01-28,1,1
2022-02-05,2,2
2022-02-12,1,1
2022-02-24,1,1
2022-03-01,1,1
2022-03-07,1,1
2022-03-09,1,1
2022-03-11,1,1
2022-03-22,1,1
2022-03-23,1,1
2022-03-26,1,1
2022-04-04,1,1
2022-04-09,1,1
2022-04-20,1,1
2022-05-06,1,1
2022-05-14,1,1
2022-05-19,1,1
2022-05-23,1,1
2022-06-04,2,2
2022-06-10,1,1
2022-06-15,1,1
2022-07-05,2,2
2022-07-21,2,2
2022-07-22,1,1
2022-07-23,1,1
2022-07-28,1,1
2022-08-02,1,1
2022-08-05,1,1
2022-08-06,1,1
2022-08-09,1,1
2022-08-13,1,1
2022-08-16,1,1
2022-08-19,1,1
2022-08-20,2,2
2022-08-26,1,1
2022-09-01,1,1
2022-09-03,1,1
2022-09-06,1,1
2022-09-09,1,1
2022-09-14,1,1
2022-09-27,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-08,2,2
2022-10-10,1,1
2022-11-02,1,1
2022-11-04,1,1
2022-11-05,2,2
2022-11-08,1,1
2022-11-09,1,1
2022-11-10,1,1
2022-11-19,2,2
2022-12-06,2,2
2022-12-07,1,1
2022-12-19,1,1
2022-12-28,1,1
