date,hit_count,text_count
2011-11-28,1,1
2012-07-17,1,1
2013-07-08,1,1
2014-04-01,1,1
2015-10-20,1,1
2015-12-14,1,1
2016-01-28,1,1
2016-05-04,1,1
2016-06-18,1,1
2016-07-26,1,1
2016-08-06,1,1
2017-07-31,1,1
2017-09-08,1,1
2017-10-30,1,1
2018-06-01,1,1
2018-08-01,1,1
2018-08-24,1,1
2018-10-24,1,1
2018-10-29,1,1
2018-11-09,1,1
2018-12-19,1,1
2019-01-07,1,1
2019-01-26,1,1
2019-02-08,1,1
2019-04-13,1,1
2019-05-04,1,1
2019-05-08,2,2
2019-05-09,1,1
2019-05-23,1,1
2019-06-01,1,1
2019-06-08,1,1
2019-06-17,1,1
2019-06-22,1,1
2019-07-03,1,1
2019-07-24,1,1
2019-07-29,1,1
2019-07-30,1,1
2019-08-02,1,1
2019-08-03,3,3
2019-08-14,1,1
2019-08-15,1,1
2019-08-19,1,1
2019-08-22,1,1
2019-09-14,1,1
2019-09-20,1,1
2019-09-21,1,1
2019-09-24,1,1
2019-10-04,1,1
2019-10-12,1,1
2019-10-14,1,1
2019-10-23,1,1
2019-10-26,2,2
2019-11-01,1,1
2019-11-06,2,2
2019-11-25,1,1
2019-11-26,2,2
2019-12-03,1,1
2019-12-16,1,1
2019-12-20,1,1
2019-12-23,1,1
2019-12-31,1,1
2021-01-08,1,1
2021-01-14,1,1
2021-01-15,1,1
2021-01-16,1,1
2021-01-22,1,1
2021-01-23,1,1
2021-01-28,1,1
2021-02-04,1,1
2021-02-11,1,1
2021-02-12,1,1
2021-03-09,1,1
2021-03-18,1,1
2021-03-19,2,2
2021-03-20,1,1
2021-04-15,1,1
2021-04-23,1,1
2021-04-24,2,2
2021-04-26,1,1
2021-05-17,1,1
2021-05-18,1,1
2021-05-21,1,1
2021-06-01,1,1
2021-06-02,1,1
2021-06-08,1,1
2021-06-10,1,1
2021-06-19,1,1
2021-07-03,1,1
2021-07-21,1,1
2021-07-24,1,1
2021-07-28,1,1
2021-08-04,1,1
2021-08-10,1,1
2021-08-14,1,1
2021-08-25,1,1
2021-08-26,2,2
2021-09-02,1,1
2021-09-04,1,1
2021-09-08,1,1
2021-09-13,1,1
2021-09-14,2,2
2021-09-16,3,3
2021-09-18,1,1
2021-09-20,2,2
2021-09-23,2,2
2021-09-24,2,2
2021-09-25,3,3
2021-09-27,1,1
2021-09-28,2,2
2021-10-05,1,1
2021-10-09,1,1
2021-10-20,1,1
2021-10-30,1,1
2021-11-01,2,2
2021-11-02,1,1
2021-11-03,1,1
2021-11-06,1,1
2021-11-08,1,1
2021-11-10,1,1
2021-11-13,3,3
2021-11-27,1,1
2021-12-31,1,1
2022-01-10,1,1
2022-01-12,1,1
2022-01-20,1,1
2022-02-02,1,1
2022-02-10,1,1
2022-02-19,1,1
2022-03-25,1,1
2022-03-26,4,4
2022-05-04,1,1
2022-05-06,1,1
2022-05-11,1,1
2022-05-12,1,1
2022-05-17,1,1
2022-05-23,1,1
2022-05-24,2,2
2022-05-31,2,2
2022-06-09,1,1
2022-06-10,1,1
2022-06-11,1,1
2022-06-25,1,1
2022-06-27,1,1
2022-06-28,1,1
2022-06-30,1,1
2022-07-09,1,1
2022-07-19,1,1
2022-07-20,1,1
2022-07-21,2,2
2022-07-29,1,1
2022-08-06,1,1
2022-08-24,3,3
2022-08-30,1,1
2022-09-10,1,1
2022-09-22,1,1
2022-09-24,1,1
2022-09-26,1,1
2022-10-07,1,1
2022-10-08,1,1
2022-10-17,1,1
2022-10-20,1,1
2022-10-28,1,1
2022-10-29,1,1
2022-11-05,2,2
2022-11-07,2,2
2022-11-08,2,2
2022-11-09,1,1
2022-11-21,1,1
2022-11-22,1,1
2022-11-23,1,1
2022-11-25,1,1
2022-11-26,2,2
2022-12-02,1,1
2022-12-03,2,2
2022-12-05,1,1
2022-12-17,1,1
