date,hit_count,text_count
2011-08-22,1,1
2011-08-25,2,2
2011-09-22,1,1
2011-11-12,1,1
2011-12-10,1,1
2012-02-29,2,2
2012-03-13,1,1
2012-03-29,1,1
2012-04-21,1,1
2012-06-01,1,1
2012-06-06,1,1
2012-06-26,1,1
2012-07-05,2,2
2012-07-17,1,1
2012-08-17,1,1
2012-11-05,1,1
2012-12-01,1,1
2012-12-20,1,1
2013-01-28,3,3
2013-02-23,1,1
2013-05-18,1,1
2013-06-29,1,1
2013-08-20,2,2
2013-11-04,1,1
2013-11-23,1,1
2013-12-11,1,1
2014-01-08,1,1
2014-01-23,1,1
2014-04-14,1,1
2014-04-25,1,1
2014-05-15,1,1
2014-06-14,1,1
2014-07-15,1,1
2014-07-29,1,1
2014-08-15,1,1
2014-08-26,1,1
2014-10-30,1,1
2015-06-08,1,1
2015-08-04,1,1
2015-09-22,1,1
2015-09-23,1,1
2015-09-28,1,1
2015-10-01,1,1
2015-10-26,1,1
2015-11-27,1,1
2015-12-03,1,1
2015-12-09,1,1
2015-12-10,1,1
2015-12-14,1,1
2015-12-19,1,1
2016-01-05,2,2
2016-01-27,1,1
2016-02-13,1,1
2016-04-08,2,2
2016-04-27,1,1
2016-05-14,1,1
2016-05-17,1,1
2016-05-19,1,1
2016-06-02,1,1
2016-07-15,1,1
2016-09-02,1,1
2016-11-07,2,2
2016-11-11,1,1
2016-11-19,1,1
2016-12-22,1,1
2017-03-22,1,1
2017-04-24,2,2
2017-06-03,1,1
2017-06-09,1,1
2017-07-07,1,1
2017-11-03,1,1
2017-11-09,1,1
2017-12-12,1,1
2017-12-14,1,1
2018-02-03,2,2
2018-03-12,1,1
2018-04-23,1,1
2018-06-09,1,1
2018-07-23,2,2
2018-08-16,1,1
2018-09-28,1,1
2018-10-09,1,1
2018-10-12,1,1
2018-11-24,1,1
2018-12-19,1,1
2019-01-21,1,1
2019-01-23,1,1
2019-01-26,1,1
2019-01-28,1,1
2019-01-29,2,2
2019-03-20,1,1
2019-03-23,1,1
2019-04-09,1,1
2019-04-20,1,1
2019-04-24,1,1
2019-04-26,1,1
2019-05-10,1,1
2019-05-25,1,1
2019-06-05,1,1
2019-07-30,1,1
2019-08-08,1,1
2019-08-09,1,1
2019-08-10,1,1
2019-08-17,1,1
2019-08-31,1,1
2019-09-06,1,1
2019-09-19,1,1
2019-09-20,1,1
2019-09-21,1,1
2019-09-25,1,1
2019-09-27,1,1
2019-10-01,1,1
2019-10-18,1,1
2019-11-13,1,1
2019-11-30,1,1
2019-12-02,1,1
2019-12-06,1,1
2019-12-21,1,1
2019-12-27,1,1
2021-01-02,1,1
2021-01-04,1,1
2021-01-26,1,1
2021-02-26,1,1
2021-02-27,2,2
2021-03-02,1,1
2021-03-03,1,1
2021-03-12,1,1
2021-03-20,2,2
2021-04-12,1,1
2021-04-24,1,1
2021-04-26,1,1
2021-04-29,1,1
2021-05-14,1,1
2021-05-17,1,1
2021-05-19,1,1
2021-06-14,1,1
2021-06-15,1,1
2021-06-16,1,1
2021-06-19,1,1
2021-06-22,1,1
2021-06-25,1,1
2021-06-30,1,1
2021-07-02,2,2
2021-07-08,1,1
2021-07-10,1,1
2021-07-21,1,1
2021-07-22,1,1
2021-07-24,1,1
2021-08-03,1,1
2021-08-04,1,1
2021-08-26,1,1
2021-08-28,1,1
2021-09-10,1,1
2021-09-15,1,1
2021-09-18,1,1
2021-09-21,4,4
2021-09-25,2,2
2021-09-28,2,2
2021-10-16,1,1
2021-10-18,1,1
2021-10-23,1,1
2021-10-30,1,1
2021-11-05,2,2
2021-11-10,1,1
2021-11-13,1,1
2021-11-18,1,1
2021-11-19,1,1
2021-11-20,1,1
2021-11-23,1,1
2021-12-02,2,2
2021-12-14,1,1
2021-12-17,1,1
2021-12-21,1,1
2021-12-30,1,1
2022-01-04,1,1
2022-01-12,1,1
2022-01-13,1,1
2022-01-14,1,1
2022-01-19,3,3
2022-01-20,1,1
2022-01-22,1,1
2022-01-25,1,1
2022-01-26,2,2
2022-02-03,1,1
2022-02-11,1,1
2022-02-16,2,2
2022-02-18,1,1
2022-02-22,1,1
2022-02-23,1,1
2022-03-10,1,1
2022-03-12,2,2
2022-04-04,1,1
2022-04-07,1,1
2022-04-12,1,1
2022-05-12,2,2
2022-05-13,1,1
2022-05-14,1,1
2022-05-16,1,1
2022-05-21,1,1
2022-05-23,1,1
2022-05-25,2,2
2022-05-31,1,1
2022-06-08,1,1
2022-06-09,1,1
2022-06-21,2,2
2022-06-22,1,1
2022-06-23,1,1
2022-06-29,1,1
2022-06-30,1,1
2022-07-05,1,1
2022-07-06,3,3
2022-07-07,1,1
2022-07-08,2,2
2022-07-09,1,1
2022-07-11,1,1
2022-07-14,1,1
2022-07-16,1,1
2022-07-20,1,1
2022-07-22,1,1
2022-08-06,1,1
2022-08-29,1,1
2022-08-30,1,1
2022-09-14,1,1
2022-09-16,1,1
2022-09-20,1,1
2022-09-23,1,1
2022-09-24,4,4
2022-10-05,1,1
2022-10-07,1,1
2022-10-11,1,1
2022-10-13,3,3
2022-10-14,1,1
2022-10-15,2,2
2022-10-19,1,1
2022-10-20,1,1
2022-10-22,1,1
2022-11-04,1,1
2022-11-07,2,2
2022-11-09,1,1
2022-11-10,1,1
2022-11-22,1,1
2022-11-23,1,1
2022-11-29,1,1
2022-11-30,1,1
2022-12-01,1,1
2022-12-06,1,1
2022-12-08,1,1
2022-12-14,1,1
2022-12-17,1,1
2022-12-20,1,1
2022-12-24,1,1
